tweet_id,tweet,class
983178912,"I pulled a muscle in my back yesterday & it hurts like a bitch!  The good thing about not being pregnant?  Advil, Alcohol, & Diet Coke!",1
963000145,pregnant people can't take advil :-(  only tylenol and it doesn't work as well I think,1
983178912,"I pulled a muscle in my back yesterday & it hurts like a bitch!  The good thing about not being pregnant?  Advil, Alcohol, & Diet Coke!",1
963000145,pregnant people can't take advil :-(  only tylenol and it doesn't work as well I think,1
3916873390,hswoap sorry... all i know is that pregnant women can't take advil.... learned that the other day.,1
3735179767,Tiger Balm: recommended for retired NFL players and pregnant women unable to take Advil for their headaches.,1
3457748810,"tara - massage, chiropractic, acupuncture. When you're not pregnant, massive quantities of advil + hot tub.",1
3167819684,"Clippopotamus I felt that way too when I was pregnant with a migraine. Oh Advil, how I love you! LOL",1
3147540809,Lil Devils and lemon muffins and Advil - my back is much better! Or maybe it was seeing my extremely pregnant colleague. Lumbar perspective.,1
2930668289,Eating Saltine crackers in the morning bc I took Advil on an empty stomach. Bets on how long until somebody accuses me of being pregnant?,1
2423907789,"If I'm not going to be pregnant, I want to take Advil! I want to eat sushi! But really, I'd just rather be pregnant.",1
2423883016,Why so many headaches when I'm potentially pregnant and off Advil?,1
1882231682,"Someone please invent Advil for pregnant women. Tylenol just doesn't do it for me, and yes, I already tried therapeutic doses of chocolate.",1
1881643398,"RT dooce: Someone please invent Advil for pregnant women. Tylenol just doesn't do it for me, and yes, I already tried therapeutic doses ...",1
1877882731,"dooce I love how you can't have Advil when you are pregnant, but once the baby's out they give you enough of it to tranquilize a cow.",1
1877863842,RT dooce: Someone please invent Advil for pregnant women. Tylenol just doesn't do it for me.,1
1877729744,"dooce if it is for pregnant women, it should be chocolate covered Advil...",1
1877573674,"Someone please invent Advil for pregnant women. Tylenol just doesn't do it for me, and yes, I already tried therapeutic doses of chocolate.",1
1498315543,Q: How much Advil would a pregnant bitch take if a pregnant bitch could take Advil?  A: like a fucking bottle or two.,1
1347451386,"I have my period, there is no Advil, and my back feels like I'm pregnant with a watermelon. I am liable to kill .. http://twurl.nl/u7024b",1
1178517557,luckyfish I took sinutab recentlly as it's the only cold med ok when pregnant. Wow did that make me dopey! I miss my advil cold & sinus,1
1142837629,"Random complaint about being pregnant: I miss Advil. I don't get many headaches anymore, but the ones I get are really bad. :(",1
3916873390,hswoap sorry... all i know is that pregnant women can't take advil.... learned that the other day.,1
3735179767,Tiger Balm: recommended for retired NFL players and pregnant women unable to take Advil for their headaches.,1
3457748810,"tara - massage, chiropractic, acupuncture. When you're not pregnant, massive quantities of advil + hot tub.",1
3167819684,"Clippopotamus I felt that way too when I was pregnant with a migraine. Oh Advil, how I love you! LOL",1
3147540809,Lil Devils and lemon muffins and Advil - my back is much better! Or maybe it was seeing my extremely pregnant colleague. Lumbar perspective.,1
2930668289,Eating Saltine crackers in the morning bc I took Advil on an empty stomach. Bets on how long until somebody accuses me of being pregnant?,1
2423907789,"If I'm not going to be pregnant, I want to take Advil! I want to eat sushi! But really, I'd just rather be pregnant.",1
2423883016,Why so many headaches when I'm potentially pregnant and off Advil?,1
