tweet_id,tweet,class
754226372,jjprojects Bad botox - and while she's pregnant. Not good.,1
572399232,wonders if nicole kidman is really pregnant...she did drop out of the new Reader movie...lets see if she stops her botox!,1
754226372,jjprojects Bad botox - and while she's pregnant. Not good.,1
572399232,wonders if nicole kidman is really pregnant...she did drop out of the new Reader movie...lets see if she stops her botox!,1
816017593,"Nicole Kidmans new look, pregnant and Botox-free: 
Survey: Do you like the new look?
Celebrity-watche.. http://tinyurl.com/57eq4x",1
804001636,Rt: DrLuv: considering BOTOX? - make sure you (1) are not pregnant (2) be an idiot like me and get a facial massage 30 minutes after! lol,1
816017593,"Nicole Kidmans new look, pregnant and Botox-free: 
Survey: Do you like the new look?
Celebrity-watche.. http://tinyurl.com/57eq4x",1
804001636,Rt: DrLuv: considering BOTOX? - make sure you (1) are not pregnant (2) be an idiot like me and get a facial massage 30 minutes after! lol,1
4054310776,"Rihanna's nipple ring, is Halle Berry pregnant again, Lindsay ODs - on botox! http://danasdirt.com/",1
3563156545,EnJay123 locomotion_girl  Miss Botox pregnant ?,1
3218583547,lafcity elective abortion and botox are NONE of your business.. you do not have the right to even know she is pregnant.. PRIVATE,1
2895862981,"KitKate86 No comment re: botox. Yes, Sarah pregnant with boy 4",1
2895850416,is playin property snakes n ladders with ms beeny (pregnant agen?!) 4homes these ppl r clueless.also she needs to reduce her botox intake!,1
2632001762,"Kate Langbroek (in the wrong generation) on Talkin' 'Bout Your Generation, dont women stop using botox when pregnant?",1
2518555738,"Today at 3 don't miss The Doctors discuss ways of fixing bloodshot eyes,remedies for constipation, having botox when pregnant,and much more.",1
1973640309,"Nicole Kidman Gains 10 Pounds, Must Be Pregnant: Fingers crossed, because shes already gotten celebratory Botox. http://tinyurl.com/mycssp",1
1836436653,"RT BakoMom: Question of the day.... Can you get Botox while pregnant? [If yr pregnant, yr beautiful w/o Botox.]",1
1552874484,Ask the Doctor: Botox While Pregnant http://twurl.nl/mncbe0,1
