tweet_id,tweet,class
3615524687,"Mizz_Lia LOL my gma got a pic of me when i was 2 with my whole arm n a box of cheez-its, i only ate them when i was pregnant :-x",1
2716548507,"I just cried watching 16 and pregnant in the company of Cheez-its on a Saturday night. And seriously l.Lohan, a made-for-tv movie?! HAHA!!!",1
1159945051,is definitely not pregnant but is suffering cravings. I need cheez-its and pizza like no one's business.,1
3615524687,"Mizz_Lia LOL my gma got a pic of me when i was 2 with my whole arm n a box of cheez-its, i only ate them when i was pregnant :-x",1
2716548507,"I just cried watching 16 and pregnant in the company of Cheez-its on a Saturday night. And seriously l.Lohan, a made-for-tv movie?! HAHA!!!",1
1159945051,is definitely not pregnant but is suffering cravings. I need cheez-its and pizza like no one's business.,1
865416146073206786,"i asked this pregnant girl i work with if she's had any weird cravings since being pregnant, and she said she made cereal out of cheez-its ",1
859854048404623362,"My auntie keep telling me I'm eating like a pregnant woman. I had alfredo, bacon and cheddar cheez-its, and a KK donutNot pregnant just FAT",1
854675217356140545,I was up at 2 eating a whole box of white cheddar Cheez-its and watching Atlantis. Idk if I'm pregnant or have no self control.,1
846977162532048896,"Oh the joys of being pregnant, like waking up and wanting Cheez-Its at 2 am",1
840785115424808961,"CANADA HAS NO CHEEZ-ITS?!!!

I am having cravings like a pregnant woman! 

*cries* RIP ME.",1
786778196943314944,"""I'm going to be so awkward when I tell my husband I'm pregnant, I'll get two big cheez-its and one little cheez-it and be like 'look!'"" ",1
865416146073206786,"i asked this pregnant girl i work with if she's had any weird cravings since being pregnant, and she said she made cereal out of cheez-its ",1
859854048404623362,"My auntie keep telling me I'm eating like a pregnant woman. I had alfredo, bacon and cheddar cheez-its, and a KK donutNot pregnant just FAT",1
854675217356140545,I was up at 2 eating a whole box of white cheddar Cheez-its and watching Atlantis. Idk if I'm pregnant or have no self control.,1
846977162532048896,"Oh the joys of being pregnant, like waking up and wanting Cheez-Its at 2 am",1
840785115424808961,"CANADA HAS NO CHEEZ-ITS?!!!

I am having cravings like a pregnant woman! 

*cries* RIP ME.",1
786778196943314944,"""I'm going to be so awkward when I tell my husband I'm pregnant, I'll get two big cheez-its and one little cheez-it and be like 'look!'"" ",1
