tweet_id,tweet,class
751773336108228608,Getting Haley's hangover kit so I ask the lady at target where the Dramamine is and she asks me if I'm pregnant...,1
710493293335871488,janesa_xo take Dramamine. It's supposed to be for motion sickness but I took it when I was pregnant for nausea,1
751773336108228608,Getting Haley's hangover kit so I ask the lady at target where the Dramamine is and she asks me if I'm pregnant...,1
710493293335871488,janesa_xo take Dramamine. It's supposed to be for motion sickness but I took it when I was pregnant for nausea,1
485332088141279233,Taking Dramamine While Pregnant MyDoctor http://wp.me/p3UepW-1tma,1
469828654047186944,"Just Googled ""Can I take Dramamine while pregnant."" Search history full of those lately. Obviously I trust the very best Internet doctors.",1
431806948371992576,"Kait523 ..did she take dramamine? ""HistoricalPics: Pregnant Jackie Kennedy enjoying a cigarette, 1963. https://twitter.com/HistoricalPics/status/431566778079387648/photo/1pic.twitter.com/7jNrFBQPrT""",1
421649901156433921,"Going sailing today with my fabulous pregnant sister & her boyfriend in Puerto Rico.  Dramamine check & Beer check, let's go!",1
485332088141279233,Taking Dramamine While Pregnant MyDoctor http://wp.me/p3UepW-1tma,1
469828654047186944,"Just Googled ""Can I take Dramamine while pregnant."" Search history full of those lately. Obviously I trust the very best Internet doctors.",1
431806948371992576,"Kait523 ..did she take dramamine? ""HistoricalPics: Pregnant Jackie Kennedy enjoying a cigarette, 1963. https://twitter.com/HistoricalPics/status/431566778079387648/photo/1pic.twitter.com/7jNrFBQPrT""",1
421649901156433921,"Going sailing today with my fabulous pregnant sister & her boyfriend in Puerto Rico.  Dramamine check & Beer check, let's go!",1
13651090947969024,"KarenAlloy Dramamine is the medicine you need, otherwise you just have to wait it out.. you got to ask doctor if you're pregnant though",1
21861163815,"Ok, no more ferries while pregnant!  I need dramamine on stand- by.  I must be getting old!",1
21517294691,abnertheowl Sit in the front. Ginger ale. Don't read. Try Dramamine or Sea-Bands (only thing that would work when I was pregnant).,1
18435110866,j_witte I'm a big fan of Dramamine. They also have this Ginger gum that is given to pregnant women to prevent nausea- does wonders!,1
13651090947969024,"KarenAlloy Dramamine is the medicine you need, otherwise you just have to wait it out.. you got to ask doctor if you're pregnant though",1
21861163815,"Ok, no more ferries while pregnant!  I need dramamine on stand- by.  I must be getting old!",1
21517294691,abnertheowl Sit in the front. Ginger ale. Don't read. Try Dramamine or Sea-Bands (only thing that would work when I was pregnant).,1
18435110866,j_witte I'm a big fan of Dramamine. They also have this Ginger gum that is given to pregnant women to prevent nausea- does wonders!,1
13793555265,RT robylobeira: cordeliagarza dramamine// shes pregnant dude..,1
7637024656,Emily_Kirby get her some dramamine (or some sympathy if pregnant),1
7541725117,galengering sucks to be car sick. Take some dramamine next time if you know your traveling. Or your pregnant jajajajaja.,1
6601166216,I get motion sickness so I purchase dramamine and the cashier asked was I pregnant...do I know you?,1
13793555265,RT robylobeira: cordeliagarza dramamine// shes pregnant dude..,1
7637024656,Emily_Kirby get her some dramamine (or some sympathy if pregnant),1
7541725117,galengering sucks to be car sick. Take some dramamine next time if you know your traveling. Or your pregnant jajajajaja.,1
6601166216,I get motion sickness so I purchase dramamine and the cashier asked was I pregnant...do I know you?,1
584599447885123586,I took Dramamine when I was pregnant bc it helps with nausea but it always made me so sleepy.,1
581192567825403905,shelbeeeelynn you can get these wrists things at cvs for morning sickness. It's a Dramamine safe for pregnant woman.,1
539290695719481344,"""When she's pregnant hips full of Dramamine"" pic.twitter.com/2TbgpKf4x9",1
537783815725662208,mburnshockey  You're always puking! Either you're pregnant or you need dramamine!,1
508988224123850753,"Last time I flew I was still pregnant w/Olivia.My travel skills have def gotten rusty,but I did remember the Dramamine! travelexpertnomore",1
503052328329441280,Can i take dramamine and Benadryl while pregnant? That's the big discussion for tonight ,1
584599447885123586,I took Dramamine when I was pregnant bc it helps with nausea but it always made me so sleepy.,1
581192567825403905,shelbeeeelynn you can get these wrists things at cvs for morning sickness. It's a Dramamine safe for pregnant woman.,1
539290695719481344,"""When she's pregnant hips full of Dramamine"" pic.twitter.com/2TbgpKf4x9",1
537783815725662208,mburnshockey  You're always puking! Either you're pregnant or you need dramamine!,1
508988224123850753,"Last time I flew I was still pregnant w/Olivia.My travel skills have def gotten rusty,but I did remember the Dramamine! travelexpertnomore",1
503052328329441280,Can i take dramamine and Benadryl while pregnant? That's the big discussion for tonight ,1
837086331704598529,I'm the same way; I do the same Dramamine or I buy these ginger hard candies I used when I was pregnant; CVS has them,1
827199004526063617,"I don't want to see Beyonce's pregnant belly anymore
Please stop

Dramamine",1
819171567393525760,Person in seat 43A. Do not I repeat do not. Ask me for my Dramamine because you're pregnant. If you're about to order a beer minutes later?!,1
837086331704598529,I'm the same way; I do the same Dramamine or I buy these ginger hard candies I used when I was pregnant; CVS has them,1
827199004526063617,"I don't want to see Beyonce's pregnant belly anymore
Please stop

Dramamine",1
819171567393525760,Person in seat 43A. Do not I repeat do not. Ask me for my Dramamine because you're pregnant. If you're about to order a beer minutes later?!,1
961663612396847104,"Try ""Dramamine"" it actually works and pregnant women can take it.",1
961663194677719040,"Try ""DRAMAMINE"", pregnant women can actually take it",1
959995812779458560,Pharmacists told me to take a bunch of Dramamine about  2 hours before you leave take a couple as you arrive to before you get on. Also get a coke let it go flat then sip it. Will help you relax and help you feel better. The coke is something they give to moms that are pregnant.,1
953746580716138496,Mehh. Dramamine works better. If you enjoy the taste of ginger they make a ginger gum that helped a bit when I was pregnant.,1
895784899579437056,Glad I'm not pregnant anymore cause dramamine done went up to $8 lord,1
961663612396847104,"Try ""Dramamine"" it actually works and pregnant women can take it.",1
961663194677719040,"Try ""DRAMAMINE"", pregnant women can actually take it",1
959995812779458560,Pharmacists told me to take a bunch of Dramamine about  2 hours before you leave take a couple as you arrive to before you get on. Also get a coke let it go flat then sip it. Will help you relax and help you feel better. The coke is something they give to moms that are pregnant.,1
953746580716138496,Mehh. Dramamine works better. If you enjoy the taste of ginger they make a ginger gum that helped a bit when I was pregnant.,1
895784899579437056,Glad I'm not pregnant anymore cause dramamine done went up to $8 lord,1
3916267891,anybody know anything about taking dramamine while pregnant? i'm reading online and seeing nothing good about that.,1
3873693418,Just picked up some sea bands so that I'm not sick on the cruise. I don't know if I can take Dramamine while pregnant.,1
