tweet_id,tweet,class
1124207226556522496,"HIT BY A RANDOM JELLO WITH KETCHUP. BOWEL MOVEMENTS DIARRHEA THE GUN PREGNANT AND BLUE. UNIVERSE WAS IN A BETTER FOR YOUR NEITHER A WHEEL COW FECES IT'S A COOL PACKAGE AND IS A KATY PERRY, ROOF AND FART WILL BE ODOROUS. STARRING A TOILET YACOIN POO EPHEDRA SINICIA",1
1124207226556522496,"HIT BY A RANDOM JELLO WITH KETCHUP. BOWEL MOVEMENTS DIARRHEA THE GUN PREGNANT AND BLUE. UNIVERSE WAS IN A BETTER FOR YOUR NEITHER A WHEEL COW FECES IT'S A COOL PACKAGE AND IS A KATY PERRY, ROOF AND FART WILL BE ODOROUS. STARRING A TOILET YACOIN POO EPHEDRA SINICIA",1
586181599651205121,my stomach keeps making strange noises and feels weird. idk if it's the Ephedra and L-carnatine mix on an empty stomach or if I'm pregnant..,1
586181599651205121,my stomach keeps making strange noises and feels weird. idk if it's the Ephedra and L-carnatine mix on an empty stomach or if I'm pregnant..,1
623633140804812802,"Health tip: When trying to get pregnant, avoid herbs such as licorice, sassafras, ginseng, St. John's wort and ephedra.",1
599841058273398784,Diet Pills News: Diet pills while pregnant diet pills like ephedra: Diet pills while pregnant... http://tinyurl.com/ks977ta Diet Pills News:,1
623633140804812802,"Health tip: When trying to get pregnant, avoid herbs such as licorice, sassafras, ginseng, St. John's wort and ephedra.",1
599841058273398784,Diet Pills News: Diet pills while pregnant diet pills like ephedra: Diet pills while pregnant... http://tinyurl.com/ks977ta Diet Pills News:,1
23685460819709952,treating the dieting casualty ephedra based weight loss pills ... diet to help you get pregnant arson weight los... http://bit.ly/h5CEWF,1
7593374446002180,Experience The Benefits Of Exercising While Pregnant | Ephedra ...: Prescribing exercise for pregnant women is a... http://bit.ly/fAcFJd,1
5158402917408768,Feeling Pretty During Your Pregnancy | Ephedra Weightloss Blog: Being pregnant doesn't mean you will need to sto... http://bit.ly/a8y5Kc,1
23685460819709952,treating the dieting casualty ephedra based weight loss pills ... diet to help you get pregnant arson weight los... http://bit.ly/h5CEWF,1
7593374446002180,Experience The Benefits Of Exercising While Pregnant | Ephedra ...: Prescribing exercise for pregnant women is a... http://bit.ly/fAcFJd,1
5158402917408768,Feeling Pretty During Your Pregnancy | Ephedra Weightloss Blog: Being pregnant doesn't mean you will need to sto... http://bit.ly/a8y5Kc,1
222578752478121985,Out Ephedra: Ephedrine  Buy Ephedrine in 2012 Obesity: Why Are Men Getting Pregnant?: Watch Out! That Potbelly ... http://bit.ly/NhgAoo,1
222578741342248963,Out Ephedra: Ephedrine  Buy Ephedrine in 2012 Obesity: Why Are Men Getting Pregnant?: Watch Out! That Potbelly ... http://bit.ly/NhgAoo,1
222578740620824576,Out Ephedra: Ephedrine  Buy Ephedrine in 2012 Obesity: Why Are Men Getting Pregnant?: Watch Out! That Potbelly ... http://bit.ly/NhgAoo,1
222578739924570112,Out Ephedra: Ephedrine  Buy Ephedrine in 2012 Obesity: Why Are Men Getting Pregnant?: Watch Out! That Potbelly ... http://bit.ly/NhgAoo,1
222578739047956480,Out Ephedra: Ephedrine  Buy Ephedrine in 2012 Obesity: Why Are Men Getting Pregnant?: Watch Out! That Potbelly ... http://bit.ly/NhgAoo,1
