tweet_id,tweet,class
788055624,"mommygetspaid I had IUD when I got pregnant, and now worried...",1
784819713,"mjtam I'm just afraid of Ectopic Pregnancy,  I got pregnant wit iud.",1
783647744,"amygeekgrl I'm worried, the first 12 wks, had 1 miscar and it's not fun. Also had the IUD taken out while pregnant, there are risks :(",1
783049749,I guess I'm a walking proof you can get pregnant with IUD.,1
788055624,"mommygetspaid I had IUD when I got pregnant, and now worried...",1
784819713,"mjtam I'm just afraid of Ectopic Pregnancy,  I got pregnant wit iud.",1
783647744,"amygeekgrl I'm worried, the first 12 wks, had 1 miscar and it's not fun. Also had the IUD taken out while pregnant, there are risks :(",1
783049749,I guess I'm a walking proof you can get pregnant with IUD.,1
1065206482,"pantrygirl I was thinking they were saying that babies in your bed = poor sleep, therefore use IUD to not get pregnant again.",1
1036380725,"oh, and now I can get pregnant again ... booo :( Had to have my IUD removed - it was making my hair fall out!!!",1
1033165421,Pregnant Pause Blog: WoW Vs. IUD http://tinyurl.com/5ol9ok,1
1018798801,followthatdog i have a friend who got pregnant w/3 despite an IUD! the ob found it in her cervix.,1
958617226,"mrsflinger Gotten pregnant w/ IUD, pill and any other method. Oh yeah, the pill also gave me 12 blood clots. No good experiences here :)",1
947599286,"Dear Pregnant Lady w/ 3 Kids In Tow, Unless you own a dairy farm, I would look into IUDs. Population crisis, anyone? (puppymommy)",1
917747586,IUD and Not Getting Pregnant: http://EzineArticles.com/?id=1469898,1
898923875,IUD and not getting pregnant http://tinyurl.com/6zuflk,1
1065206482,"pantrygirl I was thinking they were saying that babies in your bed = poor sleep, therefore use IUD to not get pregnant again.",1
1036380725,"oh, and now I can get pregnant again ... booo :( Had to have my IUD removed - it was making my hair fall out!!!",1
1033165421,Pregnant Pause Blog: WoW Vs. IUD http://tinyurl.com/5ol9ok,1
1018798801,followthatdog i have a friend who got pregnant w/3 despite an IUD! the ob found it in her cervix.,1
958617226,"mrsflinger Gotten pregnant w/ IUD, pill and any other method. Oh yeah, the pill also gave me 12 blood clots. No good experiences here :)",1
947599286,"Dear Pregnant Lady w/ 3 Kids In Tow, Unless you own a dairy farm, I would look into IUDs. Population crisis, anyone? (puppymommy)",1
917747586,IUD and Not Getting Pregnant: http://EzineArticles.com/?id=1469898,1
898923875,IUD and not getting pregnant http://tinyurl.com/6zuflk,1
4018888787,My mom's oldest sister accidentally got pregnant at 55. Only issue was she had a IUD at the time.,1
4014419984,PotterEntourage I guess bleeding 2/3 of the time is ONE way not to become pregnant but... I'm just about ready to get rid of the IUD.,1
3995304588,beckelhimer there's only a .09 percent chance i could even get pregnant cuz i've got the super-powered iud. So dont worry lol.,1
3946944875,Merana IUD... No period in 2 years.. can u get pregnant still? - http://tinyurl.com/of6m5f,1
3918717840,My DR ordered a blood test to make sure I'm not pregnant in order to get my IUD. If I come out pregnant that means I'm a Tyranosaurus.,1
3915608147,"knittingbicycle IUDs puncture the uteran wall more often in women who haven't been pregnant, but it can be done. Some drs just won't.",1
3915529889,knittingbicycle saomai I had a hard time finding a doctor here who would put an iud in a woman who hadn't been pregnant.,1
3866228133,heathergerlaugh A friend of mine had an IUD and just found out that she's pregnant...with twins. yayforfailedbirthcontrol,1
3814955408,How long does it generally take to get pregnant after you remove an IUD? - http://ow.ly/okxy,1
3750034278,New Question: Being pregnant while having an iud.: Hello...I am close to 6 weeks pregnant and had a.. http://digg.com/u1Bxvo,1
3739248167,"New Question: I have Mirena IUD, how do I tell if i'm pregnant or not?: Hi my name is Kasie. My hus.. http://digg.com/u1BwSX",1
3691220192,"I'm reconsidering my IUD. It's been nothing but a thorn in my side. But hey, I'm not pregnant!",1
3561603908,[ Women's Health ] Open Question : For women with copper IUD have you got pregnant with it?- I've had mine over 4 y... http://bit.ly/3w9C3v,1
3548396244,txcoachswife why secrettweet it? We know its you! LOL! RT secrettweet: 49362 I really want to be pregnant. I hope my IUD has failed...,1
3545529367,RT secrettweet: 49362 I really want to be pregnant. I hope my IUD has failed... http://is.gd/2ywK8 | Seek help!,1
3544889830,HAHA WTF! RT secrettweet 49362 I really want to be pregnant. I hope my IUD has failed.,1
3505715563,Does it take a year to get pregnant after an paraguad iud removed mine was taken out november 17 200: Does it ta.. http://bit.ly/35qvkn,1
3473967435,IUD and Not Getting Pregnant - http://tinyurl.com/m6dgz8,1
3462150571,My auntie implanted a IUD in her uterus so she can't get pregnant?! Aw.,1
3442785346,My insurance company won't cover an IUD....I'm getting pregnant *just* to show them.,1
4018888787,My mom's oldest sister accidentally got pregnant at 55. Only issue was she had a IUD at the time.,1
4014419984,PotterEntourage I guess bleeding 2/3 of the time is ONE way not to become pregnant but... I'm just about ready to get rid of the IUD.,1
3995304588,beckelhimer there's only a .09 percent chance i could even get pregnant cuz i've got the super-powered iud. So dont worry lol.,1
3946944875,Merana IUD... No period in 2 years.. can u get pregnant still? - http://tinyurl.com/of6m5f,1
3918717840,My DR ordered a blood test to make sure I'm not pregnant in order to get my IUD. If I come out pregnant that means I'm a Tyranosaurus.,1
3915608147,"knittingbicycle IUDs puncture the uteran wall more often in women who haven't been pregnant, but it can be done. Some drs just won't.",1
3915529889,knittingbicycle saomai I had a hard time finding a doctor here who would put an iud in a woman who hadn't been pregnant.,1
3866228133,heathergerlaugh A friend of mine had an IUD and just found out that she's pregnant...with twins. yayforfailedbirthcontrol,1
3814955408,How long does it generally take to get pregnant after you remove an IUD? - http://ow.ly/okxy,1
3750034278,New Question: Being pregnant while having an iud.: Hello...I am close to 6 weeks pregnant and had a.. http://digg.com/u1Bxvo,1
3739248167,"New Question: I have Mirena IUD, how do I tell if i'm pregnant or not?: Hi my name is Kasie. My hus.. http://digg.com/u1BwSX",1
3691220192,"I'm reconsidering my IUD. It's been nothing but a thorn in my side. But hey, I'm not pregnant!",1
3561603908,[ Women's Health ] Open Question : For women with copper IUD have you got pregnant with it?- I've had mine over 4 y... http://bit.ly/3w9C3v,1
3548396244,txcoachswife why secrettweet it? We know its you! LOL! RT secrettweet: 49362 I really want to be pregnant. I hope my IUD has failed...,1
3545529367,RT secrettweet: 49362 I really want to be pregnant. I hope my IUD has failed... http://is.gd/2ywK8 | Seek help!,1
3544889830,HAHA WTF! RT secrettweet 49362 I really want to be pregnant. I hope my IUD has failed.,1
3505715563,Does it take a year to get pregnant after an paraguad iud removed mine was taken out november 17 200: Does it ta.. http://bit.ly/35qvkn,1
3473967435,IUD and Not Getting Pregnant - http://tinyurl.com/m6dgz8,1
3462150571,My auntie implanted a IUD in her uterus so she can't get pregnant?! Aw.,1
3442785346,My insurance company won't cover an IUD....I'm getting pregnant *just* to show them.,1
3332185813,"upstatemomof3 i think that if it was covered, lots of teenage girls wouldnt end up pregnant. and not just the pill, but diaphragms and iuds",1
3258124173,"But you just keep telling yourself ""oh i CAN'T be pregnant! I have an IUD! (durrrr...) So what finally tips you off, i wonder...",1
3257939187,i've heard scary stories about women getting pregnant w/an IUD. Now that i have 1 i'm paranoid. What if it DOES fail? How'm I to know?,1
3228331989,The results are in. I'm definitely NOT pregnant. IUD is still reasonably in place. Everything else down there is in tip top shape. Woot!,1
3152668644,"""Getting pregnant after Mirena IUD"" I have had my mierena IUD in for just over 2 years and my husband and I have...http://bit.ly/Dtkb6",1
3146284252,New Question: any chance im pregnant?: I had an iud. I had it taken out about 4 months ago and then.. http://digg.com/u1A1Ir,1
2931660393,Butterfly_Betty HTTN I ain't pregnant. One more year left on my IUD....oh sry TMI,1
2917939275,What would happen to your baby if you were pregnant when you got your IUD placed and did not know you were pregnant unt... http://rde.me/AOA,1
2903644761,HAvent had period for three months. i have iud but started bleeding today. could i be pregnant?: Hi. my name is .. http://bit.ly/6ulqq,1
2903577140,HAvent had period for three months. i have iud but started bleeding today. could i be pregnant?: Hi. my name is .. http://bit.ly/6ulqq,1
2829126845,"I received an IUD abt 2 months ago & my great husband went with me for the check up. So unless otherwise noted, I am not pregnant.",1
2787195373,"Contrary to popular belief, you can get an IUD even if you haven't had children or if you want to get pregnant in the next few years",1
2706658547,mari426 I ain't pregnant ma'am you can't get pregnant on the IUD,1
2698693711,16 & Pregnant makes me want to have a baby and give it up for adoption. LOL. Good thing I have an IUD.,1
2660681055,mac_feisty i know 2 people that had IUD that got pregnant! how old r u?,1
2616425497,Open Question: Pregnant with Mirena IUD? - http://tinyurl.com/lnbg37,1
2602364021,"I think I have the flu. If I didn't have an IUD, I'd think I was pregnant.",1
2545635671,"-My boobs hurt. My period's not even close. -Hope you're not pregnant! -I have an IUD. If I was, it'd be a messe.. http://twurl.nl/17bdym",1
2470995901,WexlerRules I have an IUD I can't get pregnant,1
2404972524,"Okay, I've decided, don't want to be pregnant. Ever. Gonna check into that whole IUD thing....",1
2400995070,New Question: Pregnant on the IUD?: I really don't know were to start!!!!ok my son is 11 months...I.. http://digg.com/u173L8,1
2382075344,New Question: pregnant on birth control: Am I pregnant? I am on the iud And 8weeks late? http://digg.com/u16wBG,1
2380996317,New Question: pregnant while on birth control: Can I get pregnant while using the iud http://digg.com/u16vxO,1
2362030338,Am I the only girl who spends three days each month convinced I'm pregnant? Thought the IUD would cure the feelings of fear mixed w/desire.,1
