tweet_id,tweet,class
795929119,r pharmacists & doctors mad? dishing out boozy medicine to 19 month old kids + drugs labelled unsuitable for the pregnant to pregnant wives,1
498882972,would give my left one for a shot of NyQuil. Someone really needs to come up with an effective cold medicine for pregnant women. Really.,1
795929119,r pharmacists & doctors mad? dishing out boozy medicine to 19 month old kids + drugs labelled unsuitable for the pregnant to pregnant wives,1
498882972,would give my left one for a shot of NyQuil. Someone really needs to come up with an effective cold medicine for pregnant women. Really.,1
122362322,Emergency Medicine Pearl of the Day: All females are pregnant!,1
122362322,Emergency Medicine Pearl of the Day: All females are pregnant!,1
1087312159,My sister loved this song while she was pregnant. Old Crow Medicine Show. Wagon Wheel.  http://blip.fm/~1d2uh,1
1084473224,"After taking medicine 21 days ago that was supposed to take care of this in 24 hours, my body is still considered to be pregnant.",1
1065133358,"hey twitter, help diagnose me! medicine head, nausea, lack of appetite, and not pregnant... ideas?",1
1055676703,"Still sick--skiing anyway. Wonders of modem medicine make it nice. Jaime, being pregnant and sick, not so much. Might leave her 4 one run.",1
1054221164,the medicine is making me really weird i love how everyone automatically jumps to the conclusion that im pregnant. IM NOT. get over it. lol,1
1053597836,Seriously. Enough now. Ill - need medicine. Pregnant - can't have medicine. THIS SUCKS.,1
1039108953,Just off work and picking up some medicine for my sick fiance...it sucks to be sick with the flu and pregnant!!,1
1036836286,Pregnant women with asthma are more confident about medicines http://tinyurl.com/5d9yjo,1
1036494300,Pregnant women with asthma can be more confident about some medicines http://is.gd/a4ej,1
1036307127,Pregnant women with asthma can be more confident about some medicines http://tinyurl.com/5wveps,1
1035442062,Hoping a cup of peppermint tea will help my headache.  Don't like taking medicine while pregnant.,1
1021739771,Pregnant In America Movie. How modern medicine is harming mothers and infants for profit: http://pregnantinamerica.com/,1
997523274,"I seem to have a cold...please tell me there is some medicine I can take for runny nose, sore throat and body aches when pregnant...",1
992895134,jasoncrouch Has she got some good cough medicine? I was able to take a little codeine when I had the flu while pregnant. Helped a ton,1
971479823,huckermonkey don't mix cold medicine with science fiction. The results are unpredictable. Dont operate machinery while texting or pregnant,1
964334616,"Pregnancy and Medicines Acne: Is it safe to use medicine while I am pregnant?There is no clear-cut ans.. http://tinyurl.com/69t4u7",1
960318678,duocore.news Pregnancy and Medicines Acne: Is it safe to use medicine while I am pregnant.. http://tinyurl.com/3ohrth,1
959812120,Wow I was pregnant or just pregnant for so long that I forgot how much fun cold medicine can be!,1
950003805,[-O] Pregnant with Plausible Promise -Web 2.0 and Participatory Medicine http://hellotxt.co.. http://tinyurl.com/4tlq2j,1
949997148,Pregnant with Plausible Promise -Web 2.0 and Participatory Medicine http://hellotxt.com/l/Gcjp,1
1087312159,My sister loved this song while she was pregnant. Old Crow Medicine Show. Wagon Wheel.  http://blip.fm/~1d2uh,1
1084473224,"After taking medicine 21 days ago that was supposed to take care of this in 24 hours, my body is still considered to be pregnant.",1
1065133358,"hey twitter, help diagnose me! medicine head, nausea, lack of appetite, and not pregnant... ideas?",1
1055676703,"Still sick--skiing anyway. Wonders of modem medicine make it nice. Jaime, being pregnant and sick, not so much. Might leave her 4 one run.",1
1054221164,the medicine is making me really weird i love how everyone automatically jumps to the conclusion that im pregnant. IM NOT. get over it. lol,1
1053597836,Seriously. Enough now. Ill - need medicine. Pregnant - can't have medicine. THIS SUCKS.,1
1039108953,Just off work and picking up some medicine for my sick fiance...it sucks to be sick with the flu and pregnant!!,1
1036836286,Pregnant women with asthma are more confident about medicines http://tinyurl.com/5d9yjo,1
1036494300,Pregnant women with asthma can be more confident about some medicines http://is.gd/a4ej,1
1036307127,Pregnant women with asthma can be more confident about some medicines http://tinyurl.com/5wveps,1
1035442062,Hoping a cup of peppermint tea will help my headache.  Don't like taking medicine while pregnant.,1
1021739771,Pregnant In America Movie. How modern medicine is harming mothers and infants for profit: http://pregnantinamerica.com/,1
997523274,"I seem to have a cold...please tell me there is some medicine I can take for runny nose, sore throat and body aches when pregnant...",1
992895134,jasoncrouch Has she got some good cough medicine? I was able to take a little codeine when I had the flu while pregnant. Helped a ton,1
971479823,huckermonkey don't mix cold medicine with science fiction. The results are unpredictable. Dont operate machinery while texting or pregnant,1
964334616,"Pregnancy and Medicines Acne: Is it safe to use medicine while I am pregnant?There is no clear-cut ans.. http://tinyurl.com/69t4u7",1
960318678,duocore.news Pregnancy and Medicines Acne: Is it safe to use medicine while I am pregnant.. http://tinyurl.com/3ohrth,1
959812120,Wow I was pregnant or just pregnant for so long that I forgot how much fun cold medicine can be!,1
950003805,[-O] Pregnant with Plausible Promise -Web 2.0 and Participatory Medicine http://hellotxt.co.. http://tinyurl.com/4tlq2j,1
949997148,Pregnant with Plausible Promise -Web 2.0 and Participatory Medicine http://hellotxt.com/l/Gcjp,1
924610133,Cold Medicine while pregnant: I am three weeks pregnant and have a cold. Is it okay to take Dayquil .. http://tinyurl.com/6gwqt4,1
920632944,What medicine can I take for my sinuses I am 34 weeks pregnant: I am 34 weeks pregnant and i want to.. http://tinyurl.com/5dh97e,1
884904981,"Marvel of modern medicine, ""you're pregnant""...""oops, no, you're not"", ""tolerance is dealing with it"".  Socialized medicine rocks.",1
829744291,had migranie for over one day because i can't use my medicine while i am pregnant- anything for my baby. but OUCH what a shitty saturday :(,1
821670639,"sitting at my desk, feeling nauseous from my medicine, and remembering why I only got pregnant twice ...",1
4090630626,Get Pregnant Naturally Using Holistic Ancient Chinese Medicine http://bit.ly/cQ8Co,1
4090442648,Help to get pregnant naturally with holistic herbal medicine http://bit.ly/3iMv7V,1
4089638638,"rovingwriter an you can actually produce milk if you have never been pregnant - fact - so your ""modern medicine"" is a load of horseshit",1
4089004117,pregnant and i lost 8 poundss?! idk doctor gave me medicine to help with the all day morning sickness so that i can pick up some weight,1
4085817906,Get Pregnant Naturally Using Holistic Ancient Chinese Medicine http://bit.ly/cQ8Co,1
4083636991,[Womens Health](AA$3.00)im not pregnant however my periods are not coming i need the name of any medicine by which i can get my period,1
