tweet_id,tweet,class
9146334648,officialtila>>>NO NSAIDS ....only tylenol/acetaminophen...if you are pregnant....,1
9146334648,officialtila>>>NO NSAIDS ....only tylenol/acetaminophen...if you are pregnant....,1
2412050861,"Frex, can't have NSAIDs before surgery; also, no NSAIDs while pregnant. Some people are allergic to NSAIDs or to aspirin. Stupid FDA.",1
2412050861,"Frex, can't have NSAIDs before surgery; also, no NSAIDs while pregnant. Some people are allergic to NSAIDs or to aspirin. Stupid FDA.",1
860214392675336193,Trying to become pregnant? Are NSAIDS like ibuprogen or naproxen harming your chances? http://www.nottingham-herbalist.co.uk/blog/archives/07-2015,1
811365591416090624,Taking NSAIDs on a regular basis and trying to get pregnant? This is something worth knowing about: fertility http://fb.me/81aZtY37T,1
787379615325093889,"I'm pregnant, shouldn't really be taking any NSAIDs though I've taken a one off dose of ibuprofen",1
786953387967340548,there's not much else you can take while you're pregnant. I don't think you can take any NSAIDS.,1
860214392675336193,Trying to become pregnant? Are NSAIDS like ibuprogen or naproxen harming your chances? http://www.nottingham-herbalist.co.uk/blog/archives/07-2015,1
811365591416090624,Taking NSAIDs on a regular basis and trying to get pregnant? This is something worth knowing about: fertility http://fb.me/81aZtY37T,1
787379615325093889,"I'm pregnant, shouldn't really be taking any NSAIDs though I've taken a one off dose of ibuprofen",1
786953387967340548,there's not much else you can take while you're pregnant. I don't think you can take any NSAIDS.,1
30804188921331712,MrFloydNL It's the only OTC NSAIDS doctors approve for pregnant women here.,1
22716082703835136,Okay. Getting irritated...toradol is an nsaid.  Nsaids can cause PDAs to close.. .why would You give it to a pregnant woman?,1
27387765171,"NSAIDs During Pregnancy: After learning that she is pregnant, a woman will immediately have to change many things ... http://bit.ly/ajok47",1
30804188921331712,MrFloydNL It's the only OTC NSAIDS doctors approve for pregnant women here.,1
22716082703835136,Okay. Getting irritated...toradol is an nsaid.  Nsaids can cause PDAs to close.. .why would You give it to a pregnant woman?,1
27387765171,"NSAIDs During Pregnancy: After learning that she is pregnant, a woman will immediately have to change many things ... http://bit.ly/ajok47",1
307706940941803520,"(paracetamol)

 it is only analgesic and antipyretic
 it only NSAIDs for pregnant woman
 (cont) http://tl.gd/l6lha6",1
273248903858638848,It may be prudent for women who are planning to be pregnant to avoid using NSAIDs around conception. http://www.bmj.com/content/327/7411/368,1
268348762731208704,"ecuimres: Caring 4 Critically Ill Pregnant Pt: NSAIDs r class B prior 2 24 weeks, otherwise class D afterwards b/o premature closure of DA",1
261564357165588480,RPS reassures pregnant women about NSAIDs: The Society has provided comment for media stories about a study... http://dlvr.it/2NLNVK rps,1
252851704406609921,pregnancytip if you're trying to get pregnant avoid NSAIDs they can affect the lining in the uterus making implantation difficult. random,1
252834061318500352,NSAIDS increase miscarriage! Who's pregnant with pain that Advanced Chiropractic & Spine Center in Souderton can help? http://goo.gl/5LJIx,1
240863509901107201,Do not take Misoprostol to reduce the risk of stomach ulcers caused by nonsteroidal anti-inflammatory drugs (NSAIDs) if you are pregnant,1
307706940941803520,"(paracetamol)

 it is only analgesic and antipyretic
 it only NSAIDs for pregnant woman
 (cont) http://tl.gd/l6lha6",1
273248903858638848,It may be prudent for women who are planning to be pregnant to avoid using NSAIDs around conception. http://www.bmj.com/content/327/7411/368,1
268348762731208704,"ecuimres: Caring 4 Critically Ill Pregnant Pt: NSAIDs r class B prior 2 24 weeks, otherwise class D afterwards b/o premature closure of DA",1
261564357165588480,RPS reassures pregnant women about NSAIDs: The Society has provided comment for media stories about a study... http://dlvr.it/2NLNVK rps,1
252851704406609921,pregnancytip if you're trying to get pregnant avoid NSAIDs they can affect the lining in the uterus making implantation difficult. random,1
252834061318500352,NSAIDS increase miscarriage! Who's pregnant with pain that Advanced Chiropractic & Spine Center in Souderton can help? http://goo.gl/5LJIx,1
240863509901107201,Do not take Misoprostol to reduce the risk of stomach ulcers caused by nonsteroidal anti-inflammatory drugs (NSAIDs) if you are pregnant,1
197275988936241153,newsguy4 When I was pregnant (2X) I didn't take any pain meds or NSAIDs & I suffer w chronic pain. Did what was best 4 baby,1
184264651578671104,"eclecticbrotha Had it while I was pregnant. Can U take NSaids? Also, get a heating pad.",1
167635692388749312,BDLighted yes. Especially since the tx for this off usually liquid codeine and NSAIDs. I'm zero fun pregnant.,1
148085895084507136,"NSAIDs Throughout Pregnancy,Pregnancy: After getting to know that she is pregnant, a lady will right away must a... http://bit.ly/tY8Gkm",1
197275988936241153,newsguy4 When I was pregnant (2X) I didn't take any pain meds or NSAIDs & I suffer w chronic pain. Did what was best 4 baby,1
184264651578671104,"eclecticbrotha Had it while I was pregnant. Can U take NSaids? Also, get a heating pad.",1
167635692388749312,BDLighted yes. Especially since the tx for this off usually liquid codeine and NSAIDs. I'm zero fun pregnant.,1
148085895084507136,"NSAIDs Throughout Pregnancy,Pregnancy: After getting to know that she is pregnant, a lady will right away must a... http://bit.ly/tY8Gkm",1
