tweet_id,tweet,class
3460942570,mom thinks i'm pregnant just because i keep asking for ice milk w/ chocolate nesquik,1
1673247994,I feel like a pregnant chick...started with nesquik cravings then general tso's chix and today krispy kreme doughnuts...icy goodness :-),1
3460942570,mom thinks i'm pregnant just because i keep asking for ice milk w/ chocolate nesquik,1
1673247994,I feel like a pregnant chick...started with nesquik cravings then general tso's chix and today krispy kreme doughnuts...icy goodness :-),1
584297571759316992,"If a pregnant woman eats nesquik powder, do her breasts produce milkshake? I hope so.",1
570524491165474816,Always amazed by the things that happen in the medical world. Like Khia's titties producing powdered Nesquik when she's pregnant.,1
568253139444502529,Why am I craving fudge brownies and chocolate nesquick at 3:30am I'm not 10 years old or pregnant am I???,1
521830532389535744,"Me: I want powdered nesquik.. Now
Jerrik: you never go get me rillos.
Me:..... YOURE NOT PREGNANT HOE!!!!
Jerrik. You right ",1
584297571759316992,"If a pregnant woman eats nesquik powder, do her breasts produce milkshake? I hope so.",1
570524491165474816,Always amazed by the things that happen in the medical world. Like Khia's titties producing powdered Nesquik when she's pregnant.,1
568253139444502529,Why am I craving fudge brownies and chocolate nesquick at 3:30am I'm not 10 years old or pregnant am I???,1
521830532389535744,"Me: I want powdered nesquik.. Now
Jerrik: you never go get me rillos.
Me:..... YOURE NOT PREGNANT HOE!!!!
Jerrik. You right ",1
8308511038,Why on earth am I craving peanut butter toast and strawberry nesquick at 20 weeks pregnant... really craving it BAD.,1
8308511038,Why on earth am I craving peanut butter toast and strawberry nesquick at 20 weeks pregnant... really craving it BAD.,1
21808748502712320,RT _Nesquick I just got one question are yu pregnant? Lol *insider* lol I need to be,1
16898469591519234,"iKissAndKill: I'm Hungryyyyyyy!!! I'd Eat Anything.. I'd Even Let A Pregnant Woman Breast-Feed Me, IDGAF!!! Ahhhh...add nesquick I'mdown",1
27480042358,"No ur pregnant RT LilBiggaBANKS: Mr.Goodbar, Oreos, Snickers, Rice Krispes Treats, M&M's, Ice Creams & Nesquick... I'm Wavvvyy",1
24448362805,A fool just told me that Nesquik chocolate milk mix is 4 pregnant ppl.,1
18783484187,"My sister has some nice pregnant tiddies o_O . Plus she's brown skin , woah she has some nesquick in thereee .",1
15736571695,I have a craving for Nesquick choco milk as strong as a pregnant woman's. I can actually taste it in my mouuuttthhh,1
15472762468,TarynRucci I craved strawberry Nesquik before I found out I was pregnant with my first hopeit'sasign,1
21808748502712320,RT _Nesquick I just got one question are yu pregnant? Lol *insider* lol I need to be,1
16898469591519234,"iKissAndKill: I'm Hungryyyyyyy!!! I'd Eat Anything.. I'd Even Let A Pregnant Woman Breast-Feed Me, IDGAF!!! Ahhhh...add nesquick I'mdown",1
27480042358,"No ur pregnant RT LilBiggaBANKS: Mr.Goodbar, Oreos, Snickers, Rice Krispes Treats, M&M's, Ice Creams & Nesquick... I'm Wavvvyy",1
24448362805,A fool just told me that Nesquik chocolate milk mix is 4 pregnant ppl.,1
18783484187,"My sister has some nice pregnant tiddies o_O . Plus she's brown skin , woah she has some nesquick in thereee .",1
15736571695,I have a craving for Nesquick choco milk as strong as a pregnant woman's. I can actually taste it in my mouuuttthhh,1
15472762468,TarynRucci I craved strawberry Nesquik before I found out I was pregnant with my first hopeit'sasign,1
1033829126245953536,"college: water 
law school: water
law practice: water
teaching: water
teaching when I was pregnant: water, gatorade, ginger ale, diet coke, strawberry nesquik",1
1014346814927958016,"Dude, plan B is no different than an abortion if youve already reached conception. Lol youre literally advocating for a medical miscarriage, only difference is your level of guilt because you havent confirmed if youre pregnant or not.",1
1014202800178204672,"Im not and Ive never been pregnant,  BUT besides the point , its still is a womens choice. Women can take a lot of precautions and they can still fail on her. Telling couples and other women dont fuck is unrealistic. And also , what about women who were raped?",1
1004897300123144193,So Kat Von D is pregnant and is planning on not vaccinating her child.....I just.....people with giant platforms have a responsibility to not be so fucking ignorant,1
981728462988771328,Im craving nachos and a chocolate nesquik  god bless my soul if I ever get pregnant,1
966109417698574336,"i need a lifetime supply of nesquik strawberry milk, i literally crave that everyday ever since i was pregnant ",1
1033829126245953536,"college: water 
law school: water
law practice: water
teaching: water
teaching when I was pregnant: water, gatorade, ginger ale, diet coke, strawberry nesquik",1
1014346814927958016,"Dude, plan B is no different than an abortion if youve already reached conception. Lol youre literally advocating for a medical miscarriage, only difference is your level of guilt because you havent confirmed if youre pregnant or not.",1
1014202800178204672,"Im not and Ive never been pregnant,  BUT besides the point , its still is a womens choice. Women can take a lot of precautions and they can still fail on her. Telling couples and other women dont fuck is unrealistic. And also , what about women who were raped?",1
1004897300123144193,So Kat Von D is pregnant and is planning on not vaccinating her child.....I just.....people with giant platforms have a responsibility to not be so fucking ignorant,1
981728462988771328,Im craving nachos and a chocolate nesquik  god bless my soul if I ever get pregnant,1
966109417698574336,"i need a lifetime supply of nesquik strawberry milk, i literally crave that everyday ever since i was pregnant ",1
762528180997615616,"When I was pregnant I always drank chocolate nesquick at night. Now, I put nesquick in Leylani's bottle and she knocks out. ",1
761247175426932736,Happy bday to my favorite cousin of boom's moeh12 stay thick like nesquik and don't get pregnant  fucksolutionz fuckcheeze fuckawni,1
745704409145970689,[looks up nesquik bunny] [sees image of him pregnant] well it's time to die,1
724225986963890176,HOW MANY DID YOU GET PREGNANT YOU'RE TOO NESQUICK https://twitter.com/slowdanse/status/724158281783058432,1
717414726863613953,My saga story fictnal daughter hates to drink nesquik jam bread she despises my cravings wen I'm pregnant wid our 2nd daughter,1
707225051016384513,"I'm not pregnant, but does Nesquik in porridge work?",1
687333285077229568,For when you want chocolate in the morning (even this pregnant mama drinks it!) ---> http://ooh.li/aff7cf0 nesquik ad momlife,1
687153928237002752,For when you want chocolate in the morning (even this pregnant mama drinks it!) ---> http://ooh.li/aff7cf0 nesquik ad momlife,1
687062093598560256,For when you want chocolate in the morning (even this pregnant mama drinks it!)  ---> https://ooh.li/aff7cf0 nesquik ad,1
762528180997615616,"When I was pregnant I always drank chocolate nesquick at night. Now, I put nesquick in Leylani's bottle and she knocks out. ",1
761247175426932736,Happy bday to my favorite cousin of boom's moeh12 stay thick like nesquik and don't get pregnant  fucksolutionz fuckcheeze fuckawni,1
745704409145970689,[looks up nesquik bunny] [sees image of him pregnant] well it's time to die,1
724225986963890176,HOW MANY DID YOU GET PREGNANT YOU'RE TOO NESQUICK https://twitter.com/slowdanse/status/724158281783058432,1
717414726863613953,My saga story fictnal daughter hates to drink nesquik jam bread she despises my cravings wen I'm pregnant wid our 2nd daughter,1
707225051016384513,"I'm not pregnant, but does Nesquik in porridge work?",1
687333285077229568,For when you want chocolate in the morning (even this pregnant mama drinks it!) ---> http://ooh.li/aff7cf0 nesquik ad momlife,1
687153928237002752,For when you want chocolate in the morning (even this pregnant mama drinks it!) ---> http://ooh.li/aff7cf0 nesquik ad momlife,1
687062093598560256,For when you want chocolate in the morning (even this pregnant mama drinks it!)  ---> https://ooh.li/aff7cf0 nesquik ad,1
681037970816667650,people out here struggling to get pregnant and have a family & some of y'all have the audacity to abort your baby. that's honestly a shame.,1
678794938746847232,Since I've been pregnant the only chocolate milk I'll drink is nesquik and I crave it all the time,1
664943123383062528,Strawberry nesquick with blue top milk knowing I'm allergic to cows milk AND lactose intolerant I look 9 years pregnant,1
652504113930895360,"""I thought my vasectomy would keep my wife from getting pregnant, but apperantly it just changes the color of the baby""......",1
652214418315550720,If a women is pregnant and she has milk in her titties can you inject them with nesquik can you create milkshake from inside the titty?,1
634172042183622656,"Just went to the store for nesquick, I have cravings like a pregnant woman",1
