tweet_id,tweet,class
5414559951,O- (negative) Blood needed tonight/tomorrow morning for 8 months Pregnant Woman suffering Typhoid. Place: BSMMU (PG... http://bit.ly/sRHIQ,1
5414559951,O- (negative) Blood needed tonight/tomorrow morning for 8 months Pregnant Woman suffering Typhoid. Place: BSMMU (PG... http://bit.ly/sRHIQ,1
4042400918,lifesandcastle I donate blood as well. I am O negative so I feel it's my responsibility. I couldn't last year b/c I was pregnant. landsend,1
1717038816,"RT: staronline saiwanstar: Those with O negative blood group contact 0165129913, urgent to rescue a pregnant mother of 2 baby.",1
1717012612,"RT: saiwanstar: Those with O negative blood group  contact,  0165129913, urgent to rescue a pregnant mother of 2 baby. Thx.",1
1716995852,"RT saiwanstar: Those with O negative blood group  contact,  0165129913, urgent to rescue a pregnant mother of 2 baby. Thx - msg on b ...",1
1716959245,"Those with O negative blood group  contact,  0165129913, urgent to rescue a pregnant mother of 2 baby. Thx - msg on behalf of Jack Fung",1
4042400918,lifesandcastle I donate blood as well. I am O negative so I feel it's my responsibility. I couldn't last year b/c I was pregnant. landsend,1
1717038816,"RT: staronline saiwanstar: Those with O negative blood group contact 0165129913, urgent to rescue a pregnant mother of 2 baby.",1
1717012612,"RT: saiwanstar: Those with O negative blood group  contact,  0165129913, urgent to rescue a pregnant mother of 2 baby. Thx.",1
1716995852,"RT saiwanstar: Those with O negative blood group  contact,  0165129913, urgent to rescue a pregnant mother of 2 baby. Thx - msg on b ...",1
1716959245,"Those with O negative blood group  contact,  0165129913, urgent to rescue a pregnant mother of 2 baby. Thx - msg on behalf of Jack Fung",1
285784796574146560,"Very Emergency!!
Blood Group: O-(negative)
pregnant Patient
Location: Feni 
Time: 01.01.13 (within 11am)
contact:... http://fb.me/1reprTaJh",1
244921270821605376,"blood type A positive and O negative needed urgently for a pregnant lady, if u r healthy pls go donate and keep sharing this msg!!",1
244250095695052800,she has to fundamentally be O Negative Blood otherwise my body would have rejected her...they gave me the Rhogam Shot at 28 weeks pregnant..,1
285784796574146560,"Very Emergency!!
Blood Group: O-(negative)
pregnant Patient
Location: Feni 
Time: 01.01.13 (within 11am)
contact:... http://fb.me/1reprTaJh",1
244921270821605376,"blood type A positive and O negative needed urgently for a pregnant lady, if u r healthy pls go donate and keep sharing this msg!!",1
244250095695052800,she has to fundamentally be O Negative Blood otherwise my body would have rejected her...they gave me the Rhogam Shot at 28 weeks pregnant..,1
28823900980772864,28 weeks pregnant doctors appointment question and O negative blood.? http://xikv.com/pregnant/3472.html,1
25283559140888576,"Sometimes if u have O negative blood babies abort themselves *whistles* ""wonderosa: Some girls pregnant five times, have one child. Hmmm""",1
28420911783,I have type O negative blood and my husband is O positive and I am 22 weeks pregnant. I recently experienced light...  http://bit.ly/aVsrSf,1
28823900980772864,28 weeks pregnant doctors appointment question and O negative blood.? http://xikv.com/pregnant/3472.html,1
25283559140888576,"Sometimes if u have O negative blood babies abort themselves *whistles* ""wonderosa: Some girls pregnant five times, have one child. Hmmm""",1
28420911783,I have type O negative blood and my husband is O positive and I am 22 weeks pregnant. I recently experienced light...  http://bit.ly/aVsrSf,1
127526069669609472,"COUNTING DOWN TO BREAKING DAWN QUIZ - WEEK 1: 

Bella has a very rare blood type, O negative. While pregnant with... http://fb.me/1cFQgj88A",1
111186008661438464,getting pregnant http://bit.ly/r7Ycoc ;O O Negative blood and getting pregnant?,1
111185992379146240,O Negative blood and getting pregnant? getting pregnant http://bit.ly/r7Ycoc,1
105733082748960768,So it turns out I have an O negative/rhesus negative blood type. You get to know interesting things about yourself when pregnant.,1
127526069669609472,"COUNTING DOWN TO BREAKING DAWN QUIZ - WEEK 1: 

Bella has a very rare blood type, O negative. While pregnant with... http://fb.me/1cFQgj88A",1
111186008661438464,getting pregnant http://bit.ly/r7Ycoc ;O O Negative blood and getting pregnant?,1
111185992379146240,O Negative blood and getting pregnant? getting pregnant http://bit.ly/r7Ycoc,1
105733082748960768,So it turns out I have an O negative/rhesus negative blood type. You get to know interesting things about yourself when pregnant.,1
496640669528911872,"URGENT
A Pregnant Female (Twin) needs O.Negative Blood in L.D Hospital
Any one having O.Negative Blood group.... http://fb.me/1Eor4Wn5c",1
461982522579361793,She was pregnant but her pregnancy blood test came bk negative O_o,1
443785515285090304,GiveBloodNHS how long after having a baby do you have to wait to give blood. Only found out I was O negative when pregnant.,1
438325285965279232,'O' Negative blood group urgently required by pregnant  woman in Wadia hospital . Please contact  9769932661 - Suryavanshi if you are O- Neg,1
436899699484680193,"kishanreddybjp- appeal for blood donors:Require O
Negative blood for a pregnant woman in Gandhi
Hospital Sec-bad. Contact Venket
8106700144",1
432494863171342336,O Negative blood urgently needed for a pregnant woman in IGMH | Plx call 7895148... http://dlvr.it/4tlfBj,1
432491912491057153,"O Negative blood urgently needed for a pregnant woman in IGMH |
Plx call 7895148
Thanks",1
413329014712201216,MichelleMILLZ my blood is O negative. So anyone who has negative blood has to get a shot while pregnant and when they give birth.,1
496640669528911872,"URGENT
A Pregnant Female (Twin) needs O.Negative Blood in L.D Hospital
Any one having O.Negative Blood group.... http://fb.me/1Eor4Wn5c",1
461982522579361793,She was pregnant but her pregnancy blood test came bk negative O_o,1
443785515285090304,GiveBloodNHS how long after having a baby do you have to wait to give blood. Only found out I was O negative when pregnant.,1
438325285965279232,'O' Negative blood group urgently required by pregnant  woman in Wadia hospital . Please contact  9769932661 - Suryavanshi if you are O- Neg,1
436899699484680193,"kishanreddybjp- appeal for blood donors:Require O
Negative blood for a pregnant woman in Gandhi
Hospital Sec-bad. Contact Venket
8106700144",1
