tweet_id,tweet,class
9033250100,ahh_no1_cares allistar not only did you test negative for ped's you are also pregnant congrats,1
9033250100,ahh_no1_cares allistar not only did you test negative for ped's you are also pregnant congrats,1
563756457561448449,"Though she is pregnant right now, so it's obviously artificially plus-sized. PED's for plus-sized models, I'm sure.",1
563756457561448449,"Though she is pregnant right now, so it's obviously artificially plus-sized. PED's for plus-sized models, I'm sure.",1
955043866775781376,Real champs dont take PEDs or run from pregnant women they injured,1
949361037563908097,JonnyBones was at one time my favorite fighter. He has been popped for coke. He left the scene of an accident involving a pregnant woman because he was still drunk from the night before. He then denied and denied ever using PEDs then bam comes up positive. He has a lot of faith,1
902863569150193664,"You idiots do know that the BLACK WOMAN whom she can not beat is pregnant right, Right? Also, Miss Serena does not use PED's. https://twitter.com/espn/status/902518619401322497",1
900168598118969344,"JonnyBones team has these statements on hand 24/7... 1 for PED's, 1 for Drugs, 1 for hitting pregnant women w/ his  & fleeing. jonjoneshttps://twitter.com/arielhelwani/status/900167486745845761",1
900154433576853505,"Dui, hit n run with a pregnant woman, failed for PED's, failed for Coke, and now failed for steroids jon jones is utterly garbage",1
889954165421596672,"JonnyBones the PED's don't make u look like a bad guy, the cocaine addiction and hitting a pregnant women ruined ur rep. https://twitter.com/BloodyElbow/status/889817729406050304",1
871752197100494848,"PED's, cocaine, driving drunk hitting a pregnant woman and fleeing the scene, then coming back to get his weed, and fleeing the scene again.",1
955043866775781376,Real champs dont take PEDs or run from pregnant women they injured,1
949361037563908097,JonnyBones was at one time my favorite fighter. He has been popped for coke. He left the scene of an accident involving a pregnant woman because he was still drunk from the night before. He then denied and denied ever using PEDs then bam comes up positive. He has a lot of faith,1
902863569150193664,"You idiots do know that the BLACK WOMAN whom she can not beat is pregnant right, Right? Also, Miss Serena does not use PED's. https://twitter.com/espn/status/902518619401322497",1
900168598118969344,"JonnyBones team has these statements on hand 24/7... 1 for PED's, 1 for Drugs, 1 for hitting pregnant women w/ his  & fleeing. jonjoneshttps://twitter.com/arielhelwani/status/900167486745845761",1
900154433576853505,"Dui, hit n run with a pregnant woman, failed for PED's, failed for Coke, and now failed for steroids jon jones is utterly garbage",1
889954165421596672,"JonnyBones the PED's don't make u look like a bad guy, the cocaine addiction and hitting a pregnant women ruined ur rep. https://twitter.com/BloodyElbow/status/889817729406050304",1
871752197100494848,"PED's, cocaine, driving drunk hitting a pregnant woman and fleeing the scene, then coming back to get his weed, and fleeing the scene again.",1
364552377526792193,"ipeneIope Pregnant, tainted home runs, PED's, A-rod, Mets fan...I'm going to go with ""yes""",1
364552377526792193,"ipeneIope Pregnant, tainted home runs, PED's, A-rod, Mets fan...I'm going to go with ""yes""",1
654878794617126912,kevinjohnson366 Gators1UF Your starting CB shot at his pregnant girlfriend and your starting QB took PED's. Stop tweeting me,1
654454632819892224,First PED's now trying to shoot your pregnant girlfriend????? Florida is dumb as shit,1
