tweet_id,tweet,class
7260209691,RT JennHoop 10yrs ago I was miserable pregnant & scared 2 death I would hav the y2k baby & the pain medicine would goout w/the power// lol,1
7260068480,"10 yrs ago, I was miserable pregnant and scared to death I would have the y2k baby and the pain medicine would go out with the power!",1
7260209691,RT JennHoop 10yrs ago I was miserable pregnant & scared 2 death I would hav the y2k baby & the pain medicine would goout w/the power// lol,1
7260068480,"10 yrs ago, I was miserable pregnant and scared to death I would have the y2k baby and the pain medicine would go out with the power!",1
123799105368633344,Julie's not a happy camper without pain medicine right now - so excited to see how she is when she's pregnant. irritable butistillloveher,1
115346937271685122,What kind of pain medicine can i take while im pregnant?,1
92867877035712512,Going to cvs at 4am for pain medicine smh   this is y u shouldn't be alone while pregnant,1
82593054216826880,Lmfao this pain medicine they gave her got her high af! 16&pregnant,1
78289664653541376,I would have let her lil ass suffer..no pain medicine 16&pregnant,1
73598633207021568,What pain medicine can you take while pregnant?,1
51356898980667392,RT KiaJacob: TyRondaDevon its something else cause I took pain medicine.. Idk what's wrong with my stomach---pregnant,1
123799105368633344,Julie's not a happy camper without pain medicine right now - so excited to see how she is when she's pregnant. irritable butistillloveher,1
115346937271685122,What kind of pain medicine can i take while im pregnant?,1
92867877035712512,Going to cvs at 4am for pain medicine smh   this is y u shouldn't be alone while pregnant,1
82593054216826880,Lmfao this pain medicine they gave her got her high af! 16&pregnant,1
78289664653541376,I would have let her lil ass suffer..no pain medicine 16&pregnant,1
73598633207021568,What pain medicine can you take while pregnant?,1
51356898980667392,RT KiaJacob: TyRondaDevon its something else cause I took pain medicine.. Idk what's wrong with my stomach---pregnant,1
2799235805,Doctor gets mad at pregnant woman and denies her pain medicine during birth wtf http://bit.ly/Jdoyf,1
2797784496,Doctor gets mad at pregnant woman and denies her pain medicine during birth http://short.to/kg8u,1
2413524850,Just got pain medicine and motrin. My poor pregnant wife has to take care of me while pregnant.  She is the best ever,1
2799235805,Doctor gets mad at pregnant woman and denies her pain medicine during birth wtf http://bit.ly/Jdoyf,1
2797784496,Doctor gets mad at pregnant woman and denies her pain medicine during birth http://short.to/kg8u,1
2413524850,Just got pain medicine and motrin. My poor pregnant wife has to take care of me while pregnant.  She is the best ever,1
776593217823191040,When you're pregnant and get migraines and the strongest pain medicine you can take is extra strength Tylenol ,1
773501859436781570,Being pregnant and getting hurt is the worst thing ever!! Because you can't take any pain medicine! ,1
766013401692672001,Tylenol is currently the only pain medicine considered safe for pregnant women and after this study that will... http://fb.me/xs5KEF0v,1
763407582891483136,when even pain medicine cant get rid of your fucking cramps. u feel like im pregnant with the devils child!!!!!,1
753217920835215361,Having kidney stones while pregnant sucks. You can't drink alcohol and you can't take pain medicine. Just wake me up when it's over.,1
733971787881549824,mynameisjerm SaffaZimbo sjw_nonsense research say white Dr less likly 2give pregnant blk women pain medicine than white women,1
731046145187700736,U pregnant  RT pujols_009: My stomach hurts because of all this pain medicine I take and I can't stop taking it ,1
724721351638970368,"Agree with Dr. Marx's answer to ""Pain medicine, neurologists do you recommend Excedrin for migraines while pregnant? ..."" - http://htap.u...",1
707403817042706432,Can pregnant women get pain medicine for contractions or nah?,1
706170935200583680,"I_hearttwatter it's my pain Medicine, I'm not pregnant ",1
705565103802810369,Since she's pregnant she can't have any pain medicine and is experiencing contractions. Let's hope they won't have to deliver just yet,1
776593217823191040,When you're pregnant and get migraines and the strongest pain medicine you can take is extra strength Tylenol ,1
773501859436781570,Being pregnant and getting hurt is the worst thing ever!! Because you can't take any pain medicine! ,1
766013401692672001,Tylenol is currently the only pain medicine considered safe for pregnant women and after this study that will... http://fb.me/xs5KEF0v,1
763407582891483136,when even pain medicine cant get rid of your fucking cramps. u feel like im pregnant with the devils child!!!!!,1
753217920835215361,Having kidney stones while pregnant sucks. You can't drink alcohol and you can't take pain medicine. Just wake me up when it's over.,1
733971787881549824,mynameisjerm SaffaZimbo sjw_nonsense research say white Dr less likly 2give pregnant blk women pain medicine than white women,1
