tweet_id,tweet,class
1009831550,"Does anyone know if it's safe to take chewable pepto bismol when pregnant? I don't see aspirin as an ingredient, but I'm unsure.",1
1009831550,"Does anyone know if it's safe to take chewable pepto bismol when pregnant? I don't see aspirin as an ingredient, but I'm unsure.",1
3432118842,"Pregnant women over here drink bucketloads of Gaviscon, but not sure if you get that in the US. Similar to Pepto-Bismol I think.",1
3057973369,New blog post: Can You Take Pepto Bismol When Pregnant For Morning Sickness? http://bit.ly/3KaWDF,1
2628222199,AskDoctorForFree.com Can I take Pepto Bismol if I am 6 months pregnant? : Can I take Pepto B.. http://digg.com/u18HnP,1
2278670794,okay.. are pregnant women allowed to take pepto bismol?,1
3432118842,"Pregnant women over here drink bucketloads of Gaviscon, but not sure if you get that in the US. Similar to Pepto-Bismol I think.",1
3057973369,New blog post: Can You Take Pepto Bismol When Pregnant For Morning Sickness? http://bit.ly/3KaWDF,1
2628222199,AskDoctorForFree.com Can I take Pepto Bismol if I am 6 months pregnant? : Can I take Pepto B.. http://digg.com/u18HnP,1
2278670794,okay.. are pregnant women allowed to take pepto bismol?,1
678649614065643521,Really hope I gots a brutal ass stomach bug & not pregnant. Legit drinking pepto bismol straight out the bottle.,1
655147463590989824,I feel like I'm pregnant and I look like a bottle of pepto bismol,1
620409946635665408,"Told my momma my stomach was effed up...
Her: You pregnant? 
Me:  Yup
Her: Well this pepto bismol aint gon help ya

Really girl",1
678649614065643521,Really hope I gots a brutal ass stomach bug & not pregnant. Legit drinking pepto bismol straight out the bottle.,1
655147463590989824,I feel like I'm pregnant and I look like a bottle of pepto bismol,1
620409946635665408,"Told my momma my stomach was effed up...
Her: You pregnant? 
Me:  Yup
Her: Well this pepto bismol aint gon help ya

Really girl",1
868678361094250496,Why oomf just try to say imma get somebody pregnant her pussy smell hella unsweetened pepto-bismol and her weave dirty ,1
854345847747883008,"Bitches be 5 minutes pregnant calling out of work, baby that's just them lemon pepper wings from last night . Get you some pepto Bismol",1
842080235168251904,"No, I *can't* get pregnant because I took some Pepto Bismol.",1
839990960914280448,Told my dad I don't feel good and all he keeps doing is asking me if I'm pregnant and telling me to take pepto bismol??? dads,1
813862437069983748,"Learning experience, no Pepto Bismol while pregnant",1
868678361094250496,Why oomf just try to say imma get somebody pregnant her pussy smell hella unsweetened pepto-bismol and her weave dirty ,1
854345847747883008,"Bitches be 5 minutes pregnant calling out of work, baby that's just them lemon pepper wings from last night . Get you some pepto Bismol",1
842080235168251904,"No, I *can't* get pregnant because I took some Pepto Bismol.",1
839990960914280448,Told my dad I don't feel good and all he keeps doing is asking me if I'm pregnant and telling me to take pepto bismol??? dads,1
813862437069983748,"Learning experience, no Pepto Bismol while pregnant",1
11974661752,has decided pregnant women would be the perfect spokesperson for pepto bismol...just sayin,1
10432799128,Can I use pepto bismol while pregnant? http://tinyurl.com/ylygjm3 Come and give us your answer! NEW! RT this if you're curious.,1
10108267560,Does pepto bismol work for pregnant chicks?(no i am not prego just curious.),1
8561140767,RT toddcontact: bellablogs  does pepto bismol help with pregnant tummy?// never tried it. I was just answering your question.,1
8561063750,bellablogs  does pepto bismol help with pregnant tummy?,1
6589607071,Just got home from a great Christmas Party with the Creek Staff. The food was amazing. I ate like a pregnant hippo. I need some Pepto Bismol,1
