tweet_id,tweet,class
718490297974579200,"1 Peptobismol sale to pregnant daughter refused: 1 foetus saved, abuse received from mother. STOP pharmacycuts lovemypharmacy",1
718490297974579200,"1 Peptobismol sale to pregnant daughter refused: 1 foetus saved, abuse received from mother. STOP pharmacycuts lovemypharmacy",1
1222714550195122176,its cool apparently im getting pregnant,1
1222714550195122176,its cool apparently im getting pregnant,1
828091013868576769,How much peptobismol should I take since Im pregnant?,1
828091013868576769,How much peptobismol should I take since Im pregnant?,1
344299802303033344,I feel pregnant o.O i need some peptoBismol aaaahhh Stomachache Pain Can'tSleep http://instagram.com/p/aZ286CFhya/,1
319178000094621697,LightningBands: _FLY_JaE I am having the worst stomach pains right now! I got u pregnant .' Lmao  onthe way ! Lmao! Nah PeptoBismol,1
344299802303033344,I feel pregnant o.O i need some peptoBismol aaaahhh Stomachache Pain Can'tSleep http://instagram.com/p/aZ286CFhya/,1
319178000094621697,LightningBands: _FLY_JaE I am having the worst stomach pains right now! I got u pregnant .' Lmao  onthe way ! Lmao! Nah PeptoBismol,1
1059645166590615552,"Those weeks when your stomach is just not happy and you feel nauseous everyday, wtf. No Im not pregnant  sick FluSeason nausea peptobismol send help sos",1
1059645166590615552,"Those weeks when your stomach is just not happy and you feel nauseous everyday, wtf. No Im not pregnant  sick FluSeason nausea peptobismol send help sos",1
111872347920797696,Pink RT iOvrFeedFatHoes: Peptobismol RT BelindaBrown: Acid reflux RT KarelessWorld: Pregnant RT HisLastQueen Heartburn :(,1
111872347920797696,Pink RT iOvrFeedFatHoes: Peptobismol RT BelindaBrown: Acid reflux RT KarelessWorld: Pregnant RT HisLastQueen Heartburn :(,1
18936394158,I think I'm pregnant. I be heLLa craving random shyt to eat. Good thing I got the PeptoBismol on decckkk!! Lmao,1
18936394158,I think I'm pregnant. I be heLLa craving random shyt to eat. Good thing I got the PeptoBismol on decckkk!! Lmao,1
472962189028896769,"I feel pregnant off one peice of cake. So much regret, so little cake. thuglife fatty foodbaby imkeepingit peptobismol",1
472743738050351105,__PeptoBismol Awww! Shes pregnant??,1
469196591304552448,"Well Bambi was a male so there's that... RT ""__PeptoBismol: Bambi wasn't never pregnant, dawg. Idc""",1
469193146677886976,"""__PeptoBismol: Bambi wasn't never pregnant, dawg. Idc""",1
472962189028896769,"I feel pregnant off one peice of cake. So much regret, so little cake. thuglife fatty foodbaby imkeepingit peptobismol",1
472743738050351105,__PeptoBismol Awww! Shes pregnant??,1
469196591304552448,"Well Bambi was a male so there's that... RT ""__PeptoBismol: Bambi wasn't never pregnant, dawg. Idc""",1
469193146677886976,"""__PeptoBismol: Bambi wasn't never pregnant, dawg. Idc""",1
299240406082801665,This pregnant girl standing here in all pink looking like a bottle of peptobismol. idsmash toolate sexyprego fertile,1
241123295490088960,__PeptoBismol I'm pregnant :( sike but I got cramps out of this world!!!!,1
227977452666904576,"""__PeptoBismol: What's up with Joselyn from LoveNHipHop ? Is she still pregnant ? OrNaw"" aborted.",1
227976722023342080,"""__PeptoBismol: What's up with Joselyn from LoveNHipHop ? Is she still pregnant ? OrNaw"" Naw , she got an abortion !!",1
299240406082801665,This pregnant girl standing here in all pink looking like a bottle of peptobismol. idsmash toolate sexyprego fertile,1
241123295490088960,__PeptoBismol I'm pregnant :( sike but I got cramps out of this world!!!!,1
227977452666904576,"""__PeptoBismol: What's up with Joselyn from LoveNHipHop ? Is she still pregnant ? OrNaw"" aborted.",1
227976722023342080,"""__PeptoBismol: What's up with Joselyn from LoveNHipHop ? Is she still pregnant ? OrNaw"" Naw , she got an abortion !!",1
154407566816980992,"hahahaha! RT __PeptoBismol ""Ayee_SheGonee: Thats why im pregnant & yu the pappy !"" CTFFUUU ! GTFOH XD",1
154407566816980992,"hahahaha! RT __PeptoBismol ""Ayee_SheGonee: Thats why im pregnant & yu the pappy !"" CTFFUUU ! GTFOH XD",1
