tweet_id,tweet,class
14059237004,who has taken phenergan or promethazine for nausea or vomiting while pregnant?,1
14059237004,who has taken phenergan or promethazine for nausea or vomiting while pregnant?,1
31957011012784128,avodart lower psa: india in atomoxetinecan you take promethazine while pregnant reglan prescription (http://post... http://bit.ly/fIIVSW,1
30746391827456000,ChivyBean NO but half the time when a woman is pregnant and has sever morning sickness..she is givin reglan promethazine zofran odt...,1
22674675417,Ahhhhhhh worst pain in my life if I wasnt pregnant I would down a handfull of promethazine,1
31957011012784128,avodart lower psa: india in atomoxetinecan you take promethazine while pregnant reglan prescription (http://post... http://bit.ly/fIIVSW,1
30746391827456000,ChivyBean NO but half the time when a woman is pregnant and has sever morning sickness..she is givin reglan promethazine zofran odt...,1
22674675417,Ahhhhhhh worst pain in my life if I wasnt pregnant I would down a handfull of promethazine,1
663932734671355904,My doctor gave me promethazine pills while I was pregnant. I stayed sleep.,1
614133102663835648,They gave me Promethazine when I was pregnant with Logan. I drank that shit one time and literally slept through 45 hours. ,1
600666489260093440,They prescribed my pregnant ass Promethazine !,1
663932734671355904,My doctor gave me promethazine pills while I was pregnant. I stayed sleep.,1
614133102663835648,They gave me Promethazine when I was pregnant with Logan. I drank that shit one time and literally slept through 45 hours. ,1
600666489260093440,They prescribed my pregnant ass Promethazine !,1
770161204337737728,useBUBnkHFq - I hate shopping can you take promethazine 12.5 mg while pregnant  Heres the deal: If you can find m...,1
748979778561118208,"Promethazine is used for motion sickness and early morning sickness in pregnant women and not to make you hard for long
DrugSafety2016",1
743578586758578176,So look. I'm pregnant & my milk ducts are forming but I can't breastfeed. I got this promethazine baby milk for the low is what I'm saying.,1
741454675959009281,remember i went to the thrift store with charlie sheen & he showed me a trick where he made me feel pregnant by sippin promethazine codeine,1
725761015057670145,HGSupportUK hubby just went 2 get my promethazine. Told by pharmacist I shouldn't be taking it while pregnant. That's why I need it! Grrr!,1
712972561676681217,pharmd43  why some refrence said promethazine drug of choice for pregnant with N&V BUT IT IS Category c with pregnant???,1
710656664194588672,It's funny to me  that people be drinking promethazine. Dr. prescribe promethazine to pregnant woman for morning sickness.,1
695438826718810112,Promethazine makes me sleepy? Y do ppl pop those ?? Like when I was pregnant that kept me normal and less nauseated,1
770161204337737728,useBUBnkHFq - I hate shopping can you take promethazine 12.5 mg while pregnant  Heres the deal: If you can find m...,1
748979778561118208,"Promethazine is used for motion sickness and early morning sickness in pregnant women and not to make you hard for long
DrugSafety2016",1
743578586758578176,So look. I'm pregnant & my milk ducts are forming but I can't breastfeed. I got this promethazine baby milk for the low is what I'm saying.,1
