tweet_id,tweet,class
48730272,sarahgilbert: aren't Tums okay for pregnant women? and they have calcium too!,1
48730272,sarahgilbert: aren't Tums okay for pregnant women? and they have calcium too!,1
570277802,As I'm chewing on a Tums I'm thinking that maybe one of those Hillshire Farm Cheddar Wurst sausages might be yummy.  Wacky pregnant craving.,1
570277802,As I'm chewing on a Tums I'm thinking that maybe one of those Hillshire Farm Cheddar Wurst sausages might be yummy.  Wacky pregnant craving.,1
1063394692,taratrower Oh my. I popped Tums like candy while pregnant.,1
1062997780,"my heartburn from being pregnant is sooo bad, I live on tums to give me 20 minutes of relief.  This Baby is going to have some strong bones!",1
1041419052,My beautiful pregnant bride needs tums.  Off to the store...does anyone else need anything?,1
1006033309,Why can't they make tums taste like a Snickers bar for when you are pregnant?,1
975661124,"How to keep your pregnant wife happy: Back massages, chocolate, and lots of Tums.",1
963311803,"In front of me at walgreens: very pregnant girl and her carrot-top looking bf, buying tums, cigs and condoms...?",1
896745245,LauraFawcett Remember the good 'ol days when you were pregnant with Jack?  You had LOADS of Tums!  Love the tweets too.!,1
819929881,Midnight run in search of tums for the pregnant wife...,1
803220798,"in hospital with beth. she has kidney stones most likely. not fun and even less fun while shes pregnant. too many tums, not enough water.",1
1063394692,taratrower Oh my. I popped Tums like candy while pregnant.,1
1062997780,"my heartburn from being pregnant is sooo bad, I live on tums to give me 20 minutes of relief.  This Baby is going to have some strong bones!",1
1041419052,My beautiful pregnant bride needs tums.  Off to the store...does anyone else need anything?,1
1006033309,Why can't they make tums taste like a Snickers bar for when you are pregnant?,1
975661124,"How to keep your pregnant wife happy: Back massages, chocolate, and lots of Tums.",1
963311803,"In front of me at walgreens: very pregnant girl and her carrot-top looking bf, buying tums, cigs and condoms...?",1
896745245,LauraFawcett Remember the good 'ol days when you were pregnant with Jack?  You had LOADS of Tums!  Love the tweets too.!,1
819929881,Midnight run in search of tums for the pregnant wife...,1
803220798,"in hospital with beth. she has kidney stones most likely. not fun and even less fun while shes pregnant. too many tums, not enough water.",1
4094524050,I hate heartburn. Could I take tums even though I'm pregnant?,1
4068388251,putyourflareon Tums??? I lived on them when pregnant with Katy...,1
4031566726,chris71na I swear I ate Tums like candy when I was pregnant! Zantac works really well!,1
3887606872,"fnerfette Re: the heartburn, I picked up quite an impressive Tums habit while I was pregnant with Wes.",1
3679461500,"VelveteenMind for heartburn while pregnant: pepcid ac and tums. Trust me, 3 kids, reflux all 9 months",1
3679065992,"VelveteenMind Oh, I lived on the fruity tums when I was pregnant. We bought the generic ones in big bottles. =}",1
3246049648,AAHH 8 1/2 months pregnant and I can't find my Tums. This is a problem!,1
3241890946,Heading to bed and downing seemingly the whole bottle of Tums. Ah the joys of being 6 months pregnant.,1
3080753745,"Just realized that the back of the Tums bottle says not to take more than 10 in  24 hrs, what's a pregnant woman to do?",1
2949614442,Pregnant wife kept me up all night by shaking the Tums bottle. Watching Krull at 5 am was a bad idea. I'm totally spaced out.,1
2931928348,"jennapants ugh, I remember the prego heartburn. I think Tums profits when WAY up while I was pregnant. I bought them in bulk. For real.",1
2885454188,I've got a serious case of heartburn right now. Popped a tums. Reminds me of my pregnant days. Heartburn is an evil joke,1
2841712629,fuckyoumean you might be pregnant..take these tums and stfu,1
2783083592,"RT: mamaspohr Oh wait, talking about wine to the pregnant lady, is not nice. Um candy? Chocolate? Tums. :) http://bit.ly/17xop6",1
2783006290,"mamaspohr Oh wait, talking about wine to the pregnant lady, is not nice. Um candy? Chocolate? Tums. :)",1
2728048188,jhitchco I loved the chewy ones when I was pregnant. Only thing I could keep down. Note to self: not good to eat only tums,1
2718219355,Pregnant lady looking for a tums.  Ugh!,1
2680573645,andrealoper I went thru a Costco size of Tums while I was pregnant.  It was awful!  But I got my calcium though!,1
2640328990,My afternoon snack...peppermint tums.  I love being 8 months pregnant.,1
2618237706,Ugh My stomach hurts...so I had to take Tums ewwww!!!! reminds me of being pregnant,1
4094524050,I hate heartburn. Could I take tums even though I'm pregnant?,1
4068388251,putyourflareon Tums??? I lived on them when pregnant with Katy...,1
4031566726,chris71na I swear I ate Tums like candy when I was pregnant! Zantac works really well!,1
3887606872,"fnerfette Re: the heartburn, I picked up quite an impressive Tums habit while I was pregnant with Wes.",1
3679461500,"VelveteenMind for heartburn while pregnant: pepcid ac and tums. Trust me, 3 kids, reflux all 9 months",1
3679065992,"VelveteenMind Oh, I lived on the fruity tums when I was pregnant. We bought the generic ones in big bottles. =}",1
3246049648,AAHH 8 1/2 months pregnant and I can't find my Tums. This is a problem!,1
3241890946,Heading to bed and downing seemingly the whole bottle of Tums. Ah the joys of being 6 months pregnant.,1
3080753745,"Just realized that the back of the Tums bottle says not to take more than 10 in  24 hrs, what's a pregnant woman to do?",1
2949614442,Pregnant wife kept me up all night by shaking the Tums bottle. Watching Krull at 5 am was a bad idea. I'm totally spaced out.,1
2931928348,"jennapants ugh, I remember the prego heartburn. I think Tums profits when WAY up while I was pregnant. I bought them in bulk. For real.",1
2885454188,I've got a serious case of heartburn right now. Popped a tums. Reminds me of my pregnant days. Heartburn is an evil joke,1
2841712629,fuckyoumean you might be pregnant..take these tums and stfu,1
2783083592,"RT: mamaspohr Oh wait, talking about wine to the pregnant lady, is not nice. Um candy? Chocolate? Tums. :) http://bit.ly/17xop6",1
2783006290,"mamaspohr Oh wait, talking about wine to the pregnant lady, is not nice. Um candy? Chocolate? Tums. :)",1
2728048188,jhitchco I loved the chewy ones when I was pregnant. Only thing I could keep down. Note to self: not good to eat only tums,1
2718219355,Pregnant lady looking for a tums.  Ugh!,1
2680573645,andrealoper I went thru a Costco size of Tums while I was pregnant.  It was awful!  But I got my calcium though!,1
2640328990,My afternoon snack...peppermint tums.  I love being 8 months pregnant.,1
2618237706,Ugh My stomach hurts...so I had to take Tums ewwww!!!! reminds me of being pregnant,1
2561105271,"Since my wife has another 3 weeks of being pregnant, now might be the time to buy stock in TUMS. The key is to get out at the end of 3 weeks",1
2546694106,"mac_feisty wow I have no idea i am 17 and have never been pregnant... lol. try laying on your side and if that doesn't work, eat more tums!",1
