tweet_id,tweet,class
181349162,"Not pregnant (it was a possibility) Prescription: Imitrex 100mg (double old dose) vicodin (to ""break"" the headache cycle, phenergan (nausea)",1
181349162,"Not pregnant (it was a possibility) Prescription: Imitrex 100mg (double old dose) vicodin (to ""break"" the headache cycle, phenergan (nausea)",1
3546644272,"kevinfromconn i must advise against the vicodin with you being pregnant and all.  oops, that's a beer belly.",1
3278827943,magtastic they don't let pregnant women take vicodin or percacet do they? I'd love to get some sleep and NOT be in pain.,1
2891923343,"mom23greatgirls no worries. I got bad mirgraines when I was pregnant with Madeline too, and they gave me vicodin. It was glorious.",1
2792452642,angiemac78 yeah vicodin makes me sick like that too. had to take darvocet when i was pregnant w/ my son.,1
2357215340,"Most fucked up qoute I heard in a while ""I'm gonna smoke a blunt and pop a vicodin!"" via a a pregnant woman at least 7 months in.",1
1987476631,Wondering who in the world would give a pregnant girl Vicodin? Some crazy folks around here.,1
1747667464,i didnt no u can take vicodin when u pregnant! wtf!,1
1358298516,vicodin got me feelin pregnant..morning sickness and craveings,1
1338771430,"andytheclark Vicodin's for babies. Try eating oxycontin from a Pez dispenser (I know, I'm later than a pregnant catholic girl's period....)",1
3546644272,"kevinfromconn i must advise against the vicodin with you being pregnant and all.  oops, that's a beer belly.",1
3278827943,magtastic they don't let pregnant women take vicodin or percacet do they? I'd love to get some sleep and NOT be in pain.,1
2891923343,"mom23greatgirls no worries. I got bad mirgraines when I was pregnant with Madeline too, and they gave me vicodin. It was glorious.",1
2792452642,angiemac78 yeah vicodin makes me sick like that too. had to take darvocet when i was pregnant w/ my son.,1
2357215340,"Most fucked up qoute I heard in a while ""I'm gonna smoke a blunt and pop a vicodin!"" via a a pregnant woman at least 7 months in.",1
1987476631,Wondering who in the world would give a pregnant girl Vicodin? Some crazy folks around here.,1
1747667464,i didnt no u can take vicodin when u pregnant! wtf!,1
1358298516,vicodin got me feelin pregnant..morning sickness and craveings,1
1338771430,"andytheclark Vicodin's for babies. Try eating oxycontin from a Pez dispenser (I know, I'm later than a pregnant catholic girl's period....)",1
583033271367417856,fairuse well I wish the Feds would bust these doctors prescribing pregnant women Vicodin!! A roomful of tiny withdrawing babies=Fresh Hell,1
572501817575251968,"According to NBCNews, moms are taking opioids like Vicodin or Percocet while pregnant. ReproductiveClinicStJoseph http://dld.bz/d78Kh",1
569951429550481408,I have severe chronic back pain &amp; I'm 8 weeks... http://tinyurl.com/kxn4wy4 Back It's Pregnant Prescribed Severe Vicodin Weeks,1
558683263427158016,On painkillers and thinking about getting pregnant? Better talk to your doctor. http://wapo.st/1EwZfkY Vicodin Ocycontin Birthdefects,1
