tweet_id,tweet,class
1860648716,Sure would be nice if pregnant ladies could take things like xanex or valium.,1
1860648716,Sure would be nice if pregnant ladies could take things like xanex or valium.,1
13735307404,"Okay, about to fly. Pregnant women are not allowed xanex (sp?) So please pray for those who have to deal w me unmedicated on a plane!",1
13735307404,"Okay, about to fly. Pregnant women are not allowed xanex (sp?) So please pray for those who have to deal w me unmedicated on a plane!",1
215414825784844289,Why they don't have like some type of Valium or xanex medicine to give pregnant women to make them feel GOOD,1
197444728982216706,"Oh Kara wanna talk? Let's mention out she stays popping xanex, even while she was ""pregnant"" with Logans child.",1
190591879514042368,They should make a xanex pregnant friendly pregnantproblems,1
215414825784844289,Why they don't have like some type of Valium or xanex medicine to give pregnant women to make them feel GOOD,1
197444728982216706,"Oh Kara wanna talk? Let's mention out she stays popping xanex, even while she was ""pregnant"" with Logans child.",1
190591879514042368,They should make a xanex pregnant friendly pregnantproblems,1
624838928927956992,bellakriesch bcaseeee she did xanex when she was pregnant HAHAHAHAH,1
624838928927956992,bellakriesch bcaseeee she did xanex when she was pregnant HAHAHAHAH,1
7095138803261440,"I am too!  I am use to taking Xanex, but can't because I'm pregnant. RT BumpyJourney: I am having anxiety about tomorrows flight. Ugh.",1
4626314749288448,"I am suppose to get on a plane next week, but I have massive anxiety.  Now that I'm pregnant, I can't take my usual Xanex.  Any ideas?",1
29416294133,Latest addition to the list of movies NOT to watch while pregnant:  The Lovely Bones.  I need a Xanex.,1
29051030417,YR A. DAISY'S BACK... WHERE'S MY XANEX? B. WHY DO THEY HAVE TO MAKE HER A PREGNANT NUN?! I'M OFFENDED AND THAT NEVER HAPPENS...,1
27151205749,I just found out that I am pregnant and a few days ago I got really drunk and decided to take 20 xanex pills for s...  http://bit.ly/aVsrSf,1
16112550190,"""I'm going to tell you your futures. Xanex, pregnant, gay...and probaby retarded.""",1
7095138803261440,"I am too!  I am use to taking Xanex, but can't because I'm pregnant. RT BumpyJourney: I am having anxiety about tomorrows flight. Ugh.",1
4626314749288448,"I am suppose to get on a plane next week, but I have massive anxiety.  Now that I'm pregnant, I can't take my usual Xanex.  Any ideas?",1
29416294133,Latest addition to the list of movies NOT to watch while pregnant:  The Lovely Bones.  I need a Xanex.,1
29051030417,YR A. DAISY'S BACK... WHERE'S MY XANEX? B. WHY DO THEY HAVE TO MAKE HER A PREGNANT NUN?! I'M OFFENDED AND THAT NEVER HAPPENS...,1
27151205749,I just found out that I am pregnant and a few days ago I got really drunk and decided to take 20 xanex pills for s...  http://bit.ly/aVsrSf,1
16112550190,"""I'm going to tell you your futures. Xanex, pregnant, gay...and probaby retarded.""",1
537484345372467200,"Tums - A Pregnant Womans Adderall, Loratab, Xanex, Etc. 
Shorter Definition: Tums - Life.",1
537484345372467200,"Tums - A Pregnant Womans Adderall, Loratab, Xanex, Etc. 
Shorter Definition: Tums - Life.",1
386604405560070144,IF YOU ARE PREGNANT YOU DO NOT NEED TO BE TAKING XANEX RECREATIONALLY YOU STUPID SELFISH BITCH,1
366234779374465026,Why would I sell xanex to a pregnant girl . YouNeedHelp,1
359524576008470528,"Bitch was dancing on the bar, pregnant, drunk as fuck, popping xanex",1
349337872425422850,Wish I wasn't pregnant for a day so I could take some shots and possibly a xanex and be done with this emotional shit!! It's exhausting. ,1
324956985516769280,We will all need xanex to keep us composed Brigette912: I. Will. Flail. RT Sonny_Connie: OMFG if she's pregnant! askihjsgvbshii  GH,1
323652438945054720,"If I had access & it was kosher to do while pregnant, I would start popping xanex about now.",1
386604405560070144,IF YOU ARE PREGNANT YOU DO NOT NEED TO BE TAKING XANEX RECREATIONALLY YOU STUPID SELFISH BITCH,1
366234779374465026,Why would I sell xanex to a pregnant girl . YouNeedHelp,1
359524576008470528,"Bitch was dancing on the bar, pregnant, drunk as fuck, popping xanex",1
349337872425422850,Wish I wasn't pregnant for a day so I could take some shots and possibly a xanex and be done with this emotional shit!! It's exhausting. ,1
324956985516769280,We will all need xanex to keep us composed Brigette912: I. Will. Flail. RT Sonny_Connie: OMFG if she's pregnant! askihjsgvbshii  GH,1
323652438945054720,"If I had access & it was kosher to do while pregnant, I would start popping xanex about now.",1
490478050895609856,Taking Xanex WhilePregnant http://wp.me/p3UepW-1Xwo,1
465192790704406528,Who in there right mind crashes into a pregnant girl highly medicated off pain medication and xanex fuckingidiot,1
432874772804825089,Why can't I find a normal doctor up here to give me back my adderall and xanex from before I got pregnant. I need Florida!!!!!!!!!,1
412784937356386304,They need to make xanex for pregnant bitches because I'm out of control,1
412121450556829698,Fan Post: I was on Xanex and stopped when I found out I was pregnant I managed well with councling once a month... http://fb.me/1aMB6p8n6,1
490478050895609856,Taking Xanex WhilePregnant http://wp.me/p3UepW-1Xwo,1
465192790704406528,Who in there right mind crashes into a pregnant girl highly medicated off pain medication and xanex fuckingidiot,1
432874772804825089,Why can't I find a normal doctor up here to give me back my adderall and xanex from before I got pregnant. I need Florida!!!!!!!!!,1
412784937356386304,They need to make xanex for pregnant bitches because I'm out of control,1
412121450556829698,Fan Post: I was on Xanex and stopped when I found out I was pregnant I managed well with councling once a month... http://fb.me/1aMB6p8n6,1
102588892301111298,"Just seen a pregnant chick.....hit the blount, take half a xanex and a whole tab. I've officially lost faith in some bham woman.",1
102588892301111298,"Just seen a pregnant chick.....hit the blount, take half a xanex and a whole tab. I've officially lost faith in some bham woman.",1
1138621636561661953,"I need to write this down somewhere. Before James is ALLOWED to get me pregnant.... I need to do all these drugs: shrooms, acid, adderall (again ), molly (again cuz fuck yeah), and xanex. PERIODTTTTTT.",1
1128009908161531904,GameOfThrones has Dany been poisoned over a long period? Is that what has made her mad? Is that the paranoia legacy of house Targaryen? Or is she pregnant and thats her source of insanity? Surely Dorn makes xanex lets hook a bitch up,1
1078785832679550978,zacklucius56: can you take Xanex while pregnant? ,1
1138621636561661953,"I need to write this down somewhere. Before James is ALLOWED to get me pregnant.... I need to do all these drugs: shrooms, acid, adderall (again ), molly (again cuz fuck yeah), and xanex. PERIODTTTTTT.",1
1128009908161531904,GameOfThrones has Dany been poisoned over a long period? Is that what has made her mad? Is that the paranoia legacy of house Targaryen? Or is she pregnant and thats her source of insanity? Surely Dorn makes xanex lets hook a bitch up,1
1078785832679550978,zacklucius56: can you take Xanex while pregnant? ,1
300706985198895104,LetsStream i cant take xanex im pregnant...,1
292603565535535104,WankyJust_Wanky perfgrons actually they said Wemma is the only safe couple but they need xanex as well. Most likely Emma's pregnant.,1
279103066853240832,"I was pregnant. The guy i was with was on xanex, always drinking and smokin weed... So my baby was too small...",1
276564129085542400,So when she was 16 she was popping Xanex and smoking weed when she was 6 months pregnant.,1
275824665463779328,EVEN BETTER SHE DID XANEX WHILE PREGNANT! This fucking girl is getting better and better ,1
263183583995379712,I just realized I was checking out a pregnant junkie at the train station. Need to stop taking xanex and leaving the house,1
249156462008487936,Imma trade the gym in to snort this xanex bc im severlu in my feelings right now. Fuckin 16 and pregnant changed my whole mood,1
247962854387490817,LoOL RT tOeLOoFiLL: CPT weather is like a bipolar pregnant woman on steriods that's on her periods who missed her prescription of Xanex.,1
247962155465445376,CPT weather is like a bipolar pregnant woman on steriods that's on her periods who missed her prescription of Xanex.,1
236098090199834624,"Mom- ""I'm just gonna take my whole bottle of Xanex to LR. It's too bad you're pregnant & can't take any."" 

Wow, mother of the year? Haha!",1
225409791764332545,' Don't do xanex because you will get pregnant and die.' -kyle lmao,1
300706985198895104,LetsStream i cant take xanex im pregnant...,1
292603565535535104,WankyJust_Wanky perfgrons actually they said Wemma is the only safe couple but they need xanex as well. Most likely Emma's pregnant.,1
