tweet_id,tweet,class
10946608787,I have not had any adderall all day. I have been tired and very hungry. am I pregnant?,1
10794820792,Q: i'm 10 weeks pregnant is it ok to take a 30 mg aderall? http://mcclip.me/Fem6 question,1
6911241265,is it o.k to take adderall while pregnant? http://bit.ly/4smo3x,1
10946608787,I have not had any adderall all day. I have been tired and very hungry. am I pregnant?,1
10794820792,Q: i'm 10 weeks pregnant is it ok to take a 30 mg aderall? http://mcclip.me/Fem6 question,1
6911241265,is it o.k to take adderall while pregnant? http://bit.ly/4smo3x,1
1770981048,Looking for any information on Adderall use during pregnancy as well as others who have continued Adderall while pregnant..any problems?,1
1696353929,Just added myself to the http://wefollow.com twitter directory under:  pregnant adderall medica,1
1696184079,I have been on adderall for 3 years and recently had a baby. I did continue while I was pregnant...,1
1770981048,Looking for any information on Adderall use during pregnancy as well as others who have continued Adderall while pregnant..any problems?,1
1696353929,Just added myself to the http://wefollow.com twitter directory under:  pregnant adderall medica,1
1696184079,I have been on adderall for 3 years and recently had a baby. I did continue while I was pregnant...,1
32106830696026112,"I've always wondered but not got any answers, I have ADHD, and i take adderall for it, am i able to get pregnant...  http://bit.ly/aVsrSf",1
27913158932828160,"Downfall of taking adderall again, I gotta pee like a pregnant woman. Its like every 30 min, no bullshit",1
25127101422116864,RT thebigjablonsky: I got pregnant because I mixed up my birth control and my Adderall whitegirlproblems,1
22042493897932800,Aderall Fien: THE DIRTY ARMY: Nik meet Racheal she is only 19 and pregnant with her second child with a second b... http://bit.ly/i8PLnM,1
25882129497,"RT imjustshane Holy shit, how pregnant is Annie Adderall on Mad Men?!?!",1
18940727690,Yahoo! Answers - Natural Replacement for Adderall while pregnant?: Natural Replacement for Adderall while pregnant... http://bit.ly/8XtMJR,1
17640500233,"I wonder, if a pregnant lady did a bunch of adderall would her kid do really well at concentrating on stuff?",1
32106830696026112,"I've always wondered but not got any answers, I have ADHD, and i take adderall for it, am i able to get pregnant...  http://bit.ly/aVsrSf",1
27913158932828160,"Downfall of taking adderall again, I gotta pee like a pregnant woman. Its like every 30 min, no bullshit",1
25127101422116864,RT thebigjablonsky: I got pregnant because I mixed up my birth control and my Adderall whitegirlproblems,1
22042493897932800,Aderall Fien: THE DIRTY ARMY: Nik meet Racheal she is only 19 and pregnant with her second child with a second b... http://bit.ly/i8PLnM,1
25882129497,"RT imjustshane Holy shit, how pregnant is Annie Adderall on Mad Men?!?!",1
18940727690,Yahoo! Answers - Natural Replacement for Adderall while pregnant?: Natural Replacement for Adderall while pregnant... http://bit.ly/8XtMJR,1
17640500233,"I wonder, if a pregnant lady did a bunch of adderall would her kid do really well at concentrating on stuff?",1
124554733796069376,"I swear, when I don't take my Adderall_XR I eat like a pregnant woman",1
121638776119369728,If I wasn't pregnant I'd be taking a ridiculous amount of adderall. Way too much on my plate right about now.,1
121422852267323394,My bladder is the size of an acorn. And im not even pregnant...well i hope not,1
96080132741140481,Effects of smoking cigarettes while on adderall: Effects of smoking cigarettes while on adderall. I am 6 months pregnant. I quit smok...,1
94249226392961024,Me: could you just get pregnant so I can have your adderall?! BysKt: GO GOOGLE YOUR MAID OF HONOR DUTIES!! THAT'S NOT ONE OF THEM!,1
90879764189024256,mrteddyj -- um your thoughts!?? RT Adderall_XR: I have the temper and patience of a pregnant lady,1
85513955392503808,Adderall_XR: I have the temper and patience of a pregnant lady,1
85461620968521729,RT Adderall_XR I have the temper and patience of a pregnant lady,1
85440746215313408,RT Adderall_XR: I have the temper and patience of a pregnant lady,1
85438131217768448,"""Adderall_XR: I have the temper and patience of a pregnant lady"" vking89",1
85432785791238145,RT samduros: RT Adderall_XR: I have the temper and patience of a pregnant lady,1
85431657267593216,RT Adderall_XR: I have the temper and patience of a pregnant lady,1
85422055020965889,I have the temper and patience of a pregnant lady,1
75707443128180738,I was taking 15mg of Adderall twice daily for 4-5 months until I found out I was pregnant 2 weeks ago (about 7 w...  http://bit.ly/aVsrSf,1
70609350724562945,I got pregnant with twins on natural clomid. 40 mg of adderall ...: Stretch Marks in Twin Pregnancy; Birth With ... http://bit.ly/iUi4dN,1
124554733796069376,"I swear, when I don't take my Adderall_XR I eat like a pregnant woman",1
121638776119369728,If I wasn't pregnant I'd be taking a ridiculous amount of adderall. Way too much on my plate right about now.,1
121422852267323394,My bladder is the size of an acorn. And im not even pregnant...well i hope not,1
96080132741140481,Effects of smoking cigarettes while on adderall: Effects of smoking cigarettes while on adderall. I am 6 months pregnant. I quit smok...,1
94249226392961024,Me: could you just get pregnant so I can have your adderall?! BysKt: GO GOOGLE YOUR MAID OF HONOR DUTIES!! THAT'S NOT ONE OF THEM!,1
90879764189024256,mrteddyj -- um your thoughts!?? RT Adderall_XR: I have the temper and patience of a pregnant lady,1
85513955392503808,Adderall_XR: I have the temper and patience of a pregnant lady,1
85461620968521729,RT Adderall_XR I have the temper and patience of a pregnant lady,1
85440746215313408,RT Adderall_XR: I have the temper and patience of a pregnant lady,1
85438131217768448,"""Adderall_XR: I have the temper and patience of a pregnant lady"" vking89",1
85432785791238145,RT samduros: RT Adderall_XR: I have the temper and patience of a pregnant lady,1
85431657267593216,RT Adderall_XR: I have the temper and patience of a pregnant lady,1
85422055020965889,I have the temper and patience of a pregnant lady,1
75707443128180738,I was taking 15mg of Adderall twice daily for 4-5 months until I found out I was pregnant 2 weeks ago (about 7 w...  http://bit.ly/aVsrSf,1
70609350724562945,I got pregnant with twins on natural clomid. 40 mg of adderall ...: Stretch Marks in Twin Pregnancy; Birth With ... http://bit.ly/iUi4dN,1
867787184081969152,In court docs leaked to The Daily Mail there is testimony that Kathryn admitted she was drinking red wine and taking adderall while pregnant,1
862009823956787202,"getting Adderall refilled Friday

bc if my body won't get pregnant like I want, then GDI I'll fill it with stimulants until morale improves",1
847945591292297216,Yes because clearly taking adderall or starving while pregnant is smart & that is a goal grow up,1
847712042685390849,"Pregnant w/ a THIGH GAP?! Tell me it's adderall and/or starvation. This is why goals is a thing. 
http://dailym.ai/2noxAjTi-fa4a45bb8fc8b719 DailyMailCele",1
840669723239022593,i currently have the bladder of somone who's pregnant thx adderall,1
833608029933334529,I feel like if u do adderall when u pregnant the baby will come out of the womb speaking full sentences,1
833607687724204033,"If u do adderall while pregnant, will the baby come out smart as hell ?",1
832355342923288577,Talking about popping adderall and bars while YOURE FUCKING PREGNANT?! Some people really shouldn't be allowed to have babies I swear to god,1
830599355161800704,"""I hear if you do adderall and cocaine while pregnant your baby comes out bilingual""",1
826522488456757248,Looking for an OBGYN who wants to give me the thumbs up or down on Adderall while pregnant (for a romper story),1
814556695162654720,"I swear, if i keep drinking and taking adderall im gonna end up married to someone i hate or pregnant.",1
814336070447939585,The NFL is handing out 4 game suspensions left and right for adderall but Tyreke Hill can beat his pregnant girlfriend and become a star,1
810611643403026432,Should pregnant women be buying adderall?,1
807286800112906240,"I only know because of Adderall research. (I didn't take while pregnant, but could have.)",1
795709290950627328,"yeah sure that's what they all say and they still end up pregnant

from aderall",1
795084262903058432,I want Westballz' Falco to fill me with lasers and adderall until i'm pregnant so he can be my real addy daddy in the back seat of my caddy.,1
790972721882599425,"Adderall can be very dangerous for pregnant women...I will say there are a lot of things we don't know about Adderall, says HarrisStratyner",1
786304235998773250,"Bioethics Bulletin: This Week - Pregnant Women, Research, Drugs, Zika, Meat, FoodEthics, Gen Adderall, Prices, + http://eepurl.com/cjP6s9",1
867787184081969152,In court docs leaked to The Daily Mail there is testimony that Kathryn admitted she was drinking red wine and taking adderall while pregnant,1
862009823956787202,"getting Adderall refilled Friday

bc if my body won't get pregnant like I want, then GDI I'll fill it with stimulants until morale improves",1
847945591292297216,Yes because clearly taking adderall or starving while pregnant is smart & that is a goal grow up,1
847712042685390849,"Pregnant w/ a THIGH GAP?! Tell me it's adderall and/or starvation. This is why goals is a thing. 
http://dailym.ai/2noxAjTi-fa4a45bb8fc8b719 DailyMailCele",1
840669723239022593,i currently have the bladder of somone who's pregnant thx adderall,1
833608029933334529,I feel like if u do adderall when u pregnant the baby will come out of the womb speaking full sentences,1
833607687724204033,"If u do adderall while pregnant, will the baby come out smart as hell ?",1
832355342923288577,Talking about popping adderall and bars while YOURE FUCKING PREGNANT?! Some people really shouldn't be allowed to have babies I swear to god,1
830599355161800704,"""I hear if you do adderall and cocaine while pregnant your baby comes out bilingual""",1
826522488456757248,Looking for an OBGYN who wants to give me the thumbs up or down on Adderall while pregnant (for a romper story),1
814556695162654720,"I swear, if i keep drinking and taking adderall im gonna end up married to someone i hate or pregnant.",1
814336070447939585,The NFL is handing out 4 game suspensions left and right for adderall but Tyreke Hill can beat his pregnant girlfriend and become a star,1
810611643403026432,Should pregnant women be buying adderall?,1
807286800112906240,"I only know because of Adderall research. (I didn't take while pregnant, but could have.)",1
795709290950627328,"yeah sure that's what they all say and they still end up pregnant

from aderall",1
795084262903058432,I want Westballz' Falco to fill me with lasers and adderall until i'm pregnant so he can be my real addy daddy in the back seat of my caddy.,1
790972721882599425,"Adderall can be very dangerous for pregnant women...I will say there are a lot of things we don't know about Adderall, says HarrisStratyner",1
786304235998773250,"Bioethics Bulletin: This Week - Pregnant Women, Research, Drugs, Zika, Meat, FoodEthics, Gen Adderall, Prices, + http://eepurl.com/cjP6s9",1
775140629860978688,Okay but like who asks a pregnant woman if they want an adderall?! .. Seriously?,1
