tweet_id,tweet,class
925015818,just took an Aleve for the first time in 3 years (due to being pregnant and breastfeeding),1
925015818,just took an Aleve for the first time in 3 years (due to being pregnant and breastfeeding),1
3463581237,"i really hate the limitations on what kinds of meds pregnant women can take. we have aleve here, but i can't take it. only acetaminophen.",1
1317778569,"Wow, Aleve has a long warning label. ""Do not take if under the age of 12, over the age of 12, pregnant, animal, vegetable, or mineral.""",1
3463581237,"i really hate the limitations on what kinds of meds pregnant women can take. we have aleve here, but i can't take it. only acetaminophen.",1
1317778569,"Wow, Aleve has a long warning label. ""Do not take if under the age of 12, over the age of 12, pregnant, animal, vegetable, or mineral.""",1
30367775604080641,sweetlady_27 Gelly take something..at least so Aleve's...what you gonna do if you become pregnant?.,1
14710696914714624,CrazyLoveSound I don't think I can take aleve when pregnant. Not sure about cherry bark.,1
24614971161,Can u take midol or aleve if ur pregnant???? I need to kno asap,1
30367775604080641,sweetlady_27 Gelly take something..at least so Aleve's...what you gonna do if you become pregnant?.,1
14710696914714624,CrazyLoveSound I don't think I can take aleve when pregnant. Not sure about cherry bark.,1
24614971161,Can u take midol or aleve if ur pregnant???? I need to kno asap,1
844743746050834437,When all you need is an Aleve and a session with a TENS unit...but you're pregnant and you can't have either one...cry cry cry.,1
823341883661422592,can you take aleve when pregnant http://bit.ly/2iZkIxv,1
812138828748230656,Can you take aleve while you're pregnant?,1
844743746050834437,When all you need is an Aleve and a session with a TENS unit...but you're pregnant and you can't have either one...cry cry cry.,1
823341883661422592,can you take aleve when pregnant http://bit.ly/2iZkIxv,1
812138828748230656,Can you take aleve while you're pregnant?,1
124369801681453056,Q: Take some aleve haha and nothing wishing ...A: I can't...I'm pregnant. U can't take anyt...: http://yearbook.com/ask-me-anything/1tc4dx,1
120535767331254273,CoachGlitter What's the Aleve for? That's my drug of choice too but I don't think they allow it when your pregnant,1
111507686494973952,"pregnant moms! New study shows use of NSAIDs (ibuprofen, aleve, motrin, advil) doubles risk of miscarriage weeks 1-20 http://bit.ly/r6KQvN",1
111410581885550592,"Another strike against NSAIDs. Pregnant women should avoid:  Aleve, Motrin, Ibuprofen http://www.latimes.com/health/boostershots/la-heb-nsaid-miscarriage-20110906,0,5064811.story",1
