tweet_id,tweet,class
111387603152023552,You Have Jaw Pain and Pregnant? -Tips to Help! http://is.gd/FPyDc9 Pregnancy Analgesic,1
111387603152023552,You Have Jaw Pain and Pregnant? -Tips to Help! http://is.gd/FPyDc9 Pregnancy Analgesic,1
4413410049527809,ReadThis:  Anyone Trying To Get Pregnant this is a must read Analgesic Consumption during Pregnancy can lead to Inf... http://bit.ly/bDCwKY,1
28766307804,: i wanted to know if activon topical analgesic is safe for me to use since i am 30 weeks pregnant? i know i cant ...  http://bit.ly/aVsrSf,1
4413410049527809,ReadThis:  Anyone Trying To Get Pregnant this is a must read Analgesic Consumption during Pregnancy can lead to Inf... http://bit.ly/bDCwKY,1
28766307804,: i wanted to know if activon topical analgesic is safe for me to use since i am 30 weeks pregnant? i know i cant ...  http://bit.ly/aVsrSf,1
392273005583536129,There's actually an Analgesic for Pregnant women which can allow them to walk around during labour. KidWillLiterallyDrop DumbestIdeaEver,1
323520588377366528,Which is the best/safe Analgesic on. Rx for a 5month pregnant woman with severe back pain (PCM not touching it). Suggestions pls,1
315214135380021248,I remember thee oh stage monologues and directing; oh high jumps and analgesic; oh pregnant pauses and instant shouts,1
392273005583536129,There's actually an Analgesic for Pregnant women which can allow them to walk around during labour. KidWillLiterallyDrop DumbestIdeaEver,1
323520588377366528,Which is the best/safe Analgesic on. Rx for a 5month pregnant woman with severe back pain (PCM not touching it). Suggestions pls,1
315214135380021248,I remember thee oh stage monologues and directing; oh high jumps and analgesic; oh pregnant pauses and instant shouts,1
156807633565794306,Megshernandez rambleginger You can't use Chloraseptic while pregnant? It's just a topical analgesic.,1
156807633565794306,Megshernandez rambleginger You can't use Chloraseptic while pregnant? It's just a topical analgesic.,1
562758709211045890,BootsUK N1. 14 types of Lemsip etc. All contain phenylephrine &/or caffeine. Looks great but now 1 less analgesic option for pregnant women,1
514135620986601474,This 3rd trimester pelvic/labial pain has GOT TO GO. There must be a genital analgesic or something pregnant... http://fb.me/6OTGMikKG,1
501016945936707585,"TheMattBungard One's analgesic, ones anti-inflam. I do miss Nurofen Plus tho - cant take AI's when you're pregnant & I lived on it before.",1
562758709211045890,BootsUK N1. 14 types of Lemsip etc. All contain phenylephrine &/or caffeine. Looks great but now 1 less analgesic option for pregnant women,1
514135620986601474,This 3rd trimester pelvic/labial pain has GOT TO GO. There must be a genital analgesic or something pregnant... http://fb.me/6OTGMikKG,1
501016945936707585,"TheMattBungard One's analgesic, ones anti-inflam. I do miss Nurofen Plus tho - cant take AI's when you're pregnant & I lived on it before.",1
307706940941803520,"(paracetamol)

 it is only analgesic and antipyretic
 it only NSAIDs for pregnant woman
 (cont) http://tl.gd/l6lha6",1
263327628075864064,"relaxdparenting Hi, my wife is 8months pregnant. In your opinion, how effective is water birthing in your experience as an analgesic?",1
246283647420866560,Women who have continued to run whilst pregnant have been shown to suffer less lower-back pain and reduced amounts of analgesic delivery.,1
307706940941803520,"(paracetamol)

 it is only analgesic and antipyretic
 it only NSAIDs for pregnant woman
 (cont) http://tl.gd/l6lha6",1
263327628075864064,"relaxdparenting Hi, my wife is 8months pregnant. In your opinion, how effective is water birthing in your experience as an analgesic?",1
246283647420866560,Women who have continued to run whilst pregnant have been shown to suffer less lower-back pain and reduced amounts of analgesic delivery.,1
644476488322973696,how the effect of analgesic drugs for pregnant? TrimesterTalk,1
612242788198031360,Pregnant women who take the commonly used analgesic paracetamol for more than a week could lead to reproductive... http://fb.me/4ERBTEh0Z,1
603687123393388544,Pregnant women who take the commonly used analgesic paracetamol for more than a week could lead to reproductive... http://fb.me/37QvDhBme,1
644476488322973696,how the effect of analgesic drugs for pregnant? TrimesterTalk,1
612242788198031360,Pregnant women who take the commonly used analgesic paracetamol for more than a week could lead to reproductive... http://fb.me/4ERBTEh0Z,1
603687123393388544,Pregnant women who take the commonly used analgesic paracetamol for more than a week could lead to reproductive... http://fb.me/37QvDhBme,1
479285235335446528,"So I guess ""the safest drug"" is partially agreeable for Paracetamol. Analgesic of choice for PREGNANT patients.",1
