tweet_id,tweet,class
3877583677,brookeburke quick Q...have you or anyone you know taken anti anxiety meds while pregnant?  any side effects on baby??,1
3877583677,brookeburke quick Q...have you or anyone you know taken anti anxiety meds while pregnant?  any side effects on baby??,1
203511844898484224,Mental note. Do not fly pregnant or in any condition anti-anxiety meds are not permitted. Holy hell I'm a nervous mama.,1
203511844898484224,Mental note. Do not fly pregnant or in any condition anti-anxiety meds are not permitted. Holy hell I'm a nervous mama.,1
292366416038989824,"MichaelaTaverna yeah. I used to be on anti-anxiety meds, to help me sleep. But I'm trying to get pregnant, so can't be on them anymore.",1
264001273592946688,Any anti-anxiety meds for pregnant women?,1
231574361503563776,JaneMonheit can't do mondo caffeine while I'm not on anti anxiety meds. DUH. and shouldn't anyway since I'm pregnant. :-/,1
292366416038989824,"MichaelaTaverna yeah. I used to be on anti-anxiety meds, to help me sleep. But I'm trying to get pregnant, so can't be on them anymore.",1
264001273592946688,Any anti-anxiety meds for pregnant women?,1
231574361503563776,JaneMonheit can't do mondo caffeine while I'm not on anti anxiety meds. DUH. and shouldn't anyway since I'm pregnant. :-/,1
405853002910552064,"Brook says:

""how many of you were on anti-depressants and anti-anxiety meds before you became pregnant then had... http://fb.me/2X2EFYiXM",1
370613662332899330,suleikhasnyder I need to ask for a prescription for some emergency-type anti anxiety meds. Doctor offered them when I was pregnant,1
329286929206087682,MedMughal are there any anti anxiety meds one could take for fear of flying while pregnant? (no I am not pregnant yet).,1
405853002910552064,"Brook says:

""how many of you were on anti-depressants and anti-anxiety meds before you became pregnant then had... http://fb.me/2X2EFYiXM",1
370613662332899330,suleikhasnyder I need to ask for a prescription for some emergency-type anti anxiety meds. Doctor offered them when I was pregnant,1
329286929206087682,MedMughal are there any anti anxiety meds one could take for fear of flying while pregnant? (no I am not pregnant yet).,1
1044623452,panicking about taking anti-anxiety meds while pregnant.  OH THE IRONY.,1
1044623452,panicking about taking anti-anxiety meds while pregnant.  OH THE IRONY.,1
954317195655315457,I appreciate & respect docs do but sometimes they really need to listen to the patient and not be so dismissive. When I was pregnant with my 2nd I had contractions weeks before my delivery. Went to hospital several times & given anti-anxiety meds. I kept going and eventually,1
943647946951729152,Theyre discountinuing my anti-anxiety med! I had a hard time even filling a months prescription today! This is frustrating! Being pregnant is not the time to be changing meds! (The meds Im on are safe for babe),1
941652347415130113,So had a very hectic afternoon yesterday. Had to rush pregnant wife to the doctors. She may either have preeclampsia (again) or pregnancy-related hypertension. Nothing like a little gods damned chaos to push the limits of my anti-anxiety meds.,1
872492101069447168,"more than she knows. At 26 wks pregnant, I can't take anti-anxiety meds that help with flying. So just be chatting to me took my mind off.",1
954317195655315457,I appreciate & respect docs do but sometimes they really need to listen to the patient and not be so dismissive. When I was pregnant with my 2nd I had contractions weeks before my delivery. Went to hospital several times & given anti-anxiety meds. I kept going and eventually,1
943647946951729152,Theyre discountinuing my anti-anxiety med! I had a hard time even filling a months prescription today! This is frustrating! Being pregnant is not the time to be changing meds! (The meds Im on are safe for babe),1
941652347415130113,So had a very hectic afternoon yesterday. Had to rush pregnant wife to the doctors. She may either have preeclampsia (again) or pregnancy-related hypertension. Nothing like a little gods damned chaos to push the limits of my anti-anxiety meds.,1
872492101069447168,"more than she knows. At 26 wks pregnant, I can't take anti-anxiety meds that help with flying. So just be chatting to me took my mind off.",1
122134997133041664,"RT whoiamblog PPDWoes took anti anxiety meds pregnant+bfing. I know, not the same. bipolar ppdchat <-Me, 2. Def are safe meds out there.",1
113697217176539136,I Want To Take Anti-anxiety Meds But I Heard They Can Harm Your Unborn Baby If You Get Pregnant?: I really want ... http://bit.ly/p9BVoH,1
122134997133041664,"RT whoiamblog PPDWoes took anti anxiety meds pregnant+bfing. I know, not the same. bipolar ppdchat <-Me, 2. Def are safe meds out there.",1
