tweet_id,tweet,class
2435365796,"Dark chocolate is full of antioxidants, slows the aging process, decreases blood pressure and spawns happy babies from pregnant mommies.",1
2391603972,WomensHealthMag There's also a drink that's rich in antioxidants and great for pregnant women - http://ilovehealthychocolate.com/activ.php,1
2435365796,"Dark chocolate is full of antioxidants, slows the aging process, decreases blood pressure and spawns happy babies from pregnant mommies.",1
2391603972,WomensHealthMag There's also a drink that's rich in antioxidants and great for pregnant women - http://ilovehealthychocolate.com/activ.php,1
960974578582306816,Science has shown that coffee is good for you! The antioxidants help fight stress and reduce some forms of cancer. I knew there was a reason I like it! Learn more in this Inc article. Note - Pregnant women should not drink it. https://goo.gl/vk49nS weekendexplorerpic.twitter.com/leRwSida0g,1
958151462298759168,"Study says Mediterranean diet boosts IVF success rate by 70%: Fish, wholegrains, oliveoil and Antioxidants in fruit and vegetables improve egg qualty and protect womb.
http://www.dailymail.co.uk/health/article-5327459/Mediterranean-diet-raises-IVF-success-rate-70.html WomensHealth fertility baby pregnant ttc PCOS eggfreezing MEDTECHpic.twitter.com/iinjgr0Zaa",1
953328433987244032,This mama needs a little extra antioxidants through the day. Even if you arent pregnant or a https://www.instagram.com/p/BeBRbuxho6r/,1
951831778351833090,"Many pregnant women prescribed antibiotics that are potentially dangerous to offspring, report shows
Come and drip with us ivtherapy vitamins cincinnati wellness antiaging ShereeWLWT lbonis1 hydration karinjohnson antioxidants jendalton12pic.twitter.com/mFH3ExV27e",1
947112563090837504,Try 10 drops twice a day BEE&YOU Propolis Water Soluble Extract to boost your weakened immune system naturally during pregnancy! It has 80x more antioxidants than pomegranate juice. Shop now http://www.bee-and-you.com propolis beeyou antioxidants pregnant pregnancy behealthypic.twitter.com/2Bd2I8048E,1
942096070250848256,"fitness health FATTY ACIDS, VITAMINS AND ANTIOXIDANTS FOR FERTILITY - Supplements for FertilityGuest Post By Yulia BerryAfter years of doing your best not to get pregnant http://ow.ly/FLjQ50fKIJQ",1
937290425379033088,"Mangoes are rich in Iron, which makes them extremely good for the health of pregnant women, as well as individuals suffering from anaemia. This anti-inflammatory fruit is also rich in antioxidants!
FoodFact Health Healthyfood healthyeating foodiepic.twitter.com/M1kbaJF24I",1
936882688660664322,"Mangoes are rich in Iron, which makes them extremely good for the health of pregnant women, as well as individuals suffering from anaemia. This anti-inflammatory fruit is also rich in antioxidants!

FoodFact ABetterLifeABetterWorld PanasonicAppliances PanasonicCookingpic.twitter.com/OP4r67YLDq",1
929031133240553473,"Baby skin is perfection. Protect little ones with vitamin packed formulas filled with wholesome antioxidants and minerals that shield skin from environmental factors.
 nursery pink babybalm pregnant moms BABYBUMP newmom nursing pregnancy babyshowergifts babyessentialspic.twitter.com/rMqewN9nW2",1
900781008164974593,"Fruit contains Vitamin C, Antioxidants and other minerals you need to help get pregnant faster. gettingpregnant pregnancy fertilitypic.twitter.com/AMi6H7m8OP",1
898781084552318977,"Berries, kiwis & oranges are great to eat while you are pregnant and/or breastfeeding. VitC + Antioxidants!
food yum colourful colourpic.twitter.com/EF7fnzMZPF",1
960974578582306816,Science has shown that coffee is good for you! The antioxidants help fight stress and reduce some forms of cancer. I knew there was a reason I like it! Learn more in this Inc article. Note - Pregnant women should not drink it. https://goo.gl/vk49nS weekendexplorerpic.twitter.com/leRwSida0g,1
958151462298759168,"Study says Mediterranean diet boosts IVF success rate by 70%: Fish, wholegrains, oliveoil and Antioxidants in fruit and vegetables improve egg qualty and protect womb.
http://www.dailymail.co.uk/health/article-5327459/Mediterranean-diet-raises-IVF-success-rate-70.html WomensHealth fertility baby pregnant ttc PCOS eggfreezing MEDTECHpic.twitter.com/iinjgr0Zaa",1
953328433987244032,This mama needs a little extra antioxidants through the day. Even if you arent pregnant or a https://www.instagram.com/p/BeBRbuxho6r/,1
951831778351833090,"Many pregnant women prescribed antibiotics that are potentially dangerous to offspring, report shows
Come and drip with us ivtherapy vitamins cincinnati wellness antiaging ShereeWLWT lbonis1 hydration karinjohnson antioxidants jendalton12pic.twitter.com/mFH3ExV27e",1
947112563090837504,Try 10 drops twice a day BEE&YOU Propolis Water Soluble Extract to boost your weakened immune system naturally during pregnancy! It has 80x more antioxidants than pomegranate juice. Shop now http://www.bee-and-you.com propolis beeyou antioxidants pregnant pregnancy behealthypic.twitter.com/2Bd2I8048E,1
942096070250848256,"fitness health FATTY ACIDS, VITAMINS AND ANTIOXIDANTS FOR FERTILITY - Supplements for FertilityGuest Post By Yulia BerryAfter years of doing your best not to get pregnant http://ow.ly/FLjQ50fKIJQ",1
937290425379033088,"Mangoes are rich in Iron, which makes them extremely good for the health of pregnant women, as well as individuals suffering from anaemia. This anti-inflammatory fruit is also rich in antioxidants!
FoodFact Health Healthyfood healthyeating foodiepic.twitter.com/M1kbaJF24I",1
936882688660664322,"Mangoes are rich in Iron, which makes them extremely good for the health of pregnant women, as well as individuals suffering from anaemia. This anti-inflammatory fruit is also rich in antioxidants!

FoodFact ABetterLifeABetterWorld PanasonicAppliances PanasonicCookingpic.twitter.com/OP4r67YLDq",1
929031133240553473,"Baby skin is perfection. Protect little ones with vitamin packed formulas filled with wholesome antioxidants and minerals that shield skin from environmental factors.
 nursery pink babybalm pregnant moms BABYBUMP newmom nursing pregnancy babyshowergifts babyessentialspic.twitter.com/rMqewN9nW2",1
900781008164974593,"Fruit contains Vitamin C, Antioxidants and other minerals you need to help get pregnant faster. gettingpregnant pregnancy fertilitypic.twitter.com/AMi6H7m8OP",1
898781084552318977,"Berries, kiwis & oranges are great to eat while you are pregnant and/or breastfeeding. VitC + Antioxidants!
food yum colourful colourpic.twitter.com/EF7fnzMZPF",1
314469435865980929,"Pregnant__Pause yes, that's why vitamins and antioxidants are so important both internally & externally. :)",1
307162225301413888,"Moringa offers an all natural dose of vitamins, calcium, iron & antioxidants for pregnant & breastfeeding moms http://bit.ly/Ypsu1I",1
264049171697373184,"Antioxidants & Oxidative Stress: In women 12-28 weeks pregnant, dietary intake of antioxidants through consumption... http://fb.me/AdhWIj3Z",1
260839590024331265,Taking Antioxidants may have a chance to increase the chance of getting cancer if pregnant may have eye troubles should take multivitamins,1
258960733612679168,Trying to get pregnant? Antioxidants may help improve sperm quality http://guelphnaturopathic.ca/wp-content/uploads/2012/03/Cherevaty-male-fertility-issue-29.pdf infertility menshealth,1
244531277313753088,"EveryKingzDREAM: MEN! If u wanna boost ur fertility, take these antioxidants ===> Vitamin E, Folic acid n Zincu tryin 2get pregnant lol",1
236808763812745217,Black beans are high in fibre & antioxidants -lowers blood cholesterol level. They're high in folate (vit B6) - important for pregnant woman,1
314469435865980929,"Pregnant__Pause yes, that's why vitamins and antioxidants are so important both internally & externally. :)",1
307162225301413888,"Moringa offers an all natural dose of vitamins, calcium, iron & antioxidants for pregnant & breastfeeding moms http://bit.ly/Ypsu1I",1
264049171697373184,"Antioxidants & Oxidative Stress: In women 12-28 weeks pregnant, dietary intake of antioxidants through consumption... http://fb.me/AdhWIj3Z",1
260839590024331265,Taking Antioxidants may have a chance to increase the chance of getting cancer if pregnant may have eye troubles should take multivitamins,1
258960733612679168,Trying to get pregnant? Antioxidants may help improve sperm quality http://guelphnaturopathic.ca/wp-content/uploads/2012/03/Cherevaty-male-fertility-issue-29.pdf infertility menshealth,1
244531277313753088,"EveryKingzDREAM: MEN! If u wanna boost ur fertility, take these antioxidants ===> Vitamin E, Folic acid n Zincu tryin 2get pregnant lol",1
236808763812745217,Black beans are high in fibre & antioxidants -lowers blood cholesterol level. They're high in folate (vit B6) - important for pregnant woman,1
486011950740934657,BexieLady danni_meow HmayProductions RED WINE HAS ANTIOXIDANTS SO YOU CAN TOTALLY DRINK IT WHEN PREGNANT,1
459050165710516224,FYI ladies if you are pregnant you can have 1 glass of RED wine everday bc its full of antioxidants,1
456088410672082944,"GuyGourmet my wife is 6 months pregnant, the immune boating Vitamin E and antioxidants will go towards a healthy child WinFreeBeef",1
456087979623456769,"GuyGourmet my wife is 6 months pregnant, the immune boating Vitamin E and antioxidants will go towards a healthy and happy child of mine!",1
436807463011385345,"For us non pregnant ladies...green tea, or its extract, is great for weight loss-- it boosts the metabolism, & has great antioxidants..",1
413480534396768256,Pregnant in Melbourne?Caffeine-free red espresso has 5x more antioxidants than greentea!Enjoy it hot or cold! http://www.redhotdrinks.com.au,1
413424440467136512,Pregnant ladies looking for a caffeine free drink- look no further! Enjoy red espresso in a hot or cold form! antioxidants natural,1
410493119155535872,Need diet tips to help get pregnant? Read our latest blog detailing how antioxidants boost chances of conceiving! http://bit.ly/18zHnF8,1
410493118048260097,Need diet tips to help get pregnant? Read our latest blog detailing how antioxidants boost chances of conceiving! http://bit.ly/18zHnF8,1
410455231940411392,Pregnant & craving chocolate? Opt for dark vs. milk choc. Still not health food but its full of antioxidants that are good for your health!,1
486011950740934657,BexieLady danni_meow HmayProductions RED WINE HAS ANTIOXIDANTS SO YOU CAN TOTALLY DRINK IT WHEN PREGNANT,1
459050165710516224,FYI ladies if you are pregnant you can have 1 glass of RED wine everday bc its full of antioxidants,1
456088410672082944,"GuyGourmet my wife is 6 months pregnant, the immune boating Vitamin E and antioxidants will go towards a healthy child WinFreeBeef",1
456087979623456769,"GuyGourmet my wife is 6 months pregnant, the immune boating Vitamin E and antioxidants will go towards a healthy and happy child of mine!",1
436807463011385345,"For us non pregnant ladies...green tea, or its extract, is great for weight loss-- it boosts the metabolism, & has great antioxidants..",1
413480534396768256,Pregnant in Melbourne?Caffeine-free red espresso has 5x more antioxidants than greentea!Enjoy it hot or cold! http://www.redhotdrinks.com.au,1
413424440467136512,Pregnant ladies looking for a caffeine free drink- look no further! Enjoy red espresso in a hot or cold form! antioxidants natural,1
410493119155535872,Need diet tips to help get pregnant? Read our latest blog detailing how antioxidants boost chances of conceiving! http://bit.ly/18zHnF8,1
410493118048260097,Need diet tips to help get pregnant? Read our latest blog detailing how antioxidants boost chances of conceiving! http://bit.ly/18zHnF8,1
