tweet_id,tweet,class
848240825066762240,"Facts about shingles:
Shingles less harmful than chickenpox in pregnancy
Antivirals: not C-I if pregnant
If ear pain: Ramsay Hunt Sd.",1
847452214557679621,ALL HBsAg+ pregnant women need testing to evaluate if antivirals are needed. hepatitisB hepB HepatitisElimination http://ow.ly/l4Eu30al7MJpic.twitter.com/wThatEFhoJ,1
836914023794868224,Pregnant women with flu should be treated aggressively: Flu Antivirals for Expectant Moms Did Not Harm Babies http://www.medpagetoday.com/OBGYN/Pregnancy/63481,1
806557666092974084,"A8 Pregnant women can be prescribed antivirals, so if you think you have the flu, call your provider right away. NIVW2016pic.twitter.com/OJd1dv3BIp",1
803298055860588544,"I got sent home bc I'm still sickish and my boss is on antivirals for shingles, while pregnant.........",1
848240825066762240,"Facts about shingles:
Shingles less harmful than chickenpox in pregnancy
Antivirals: not C-I if pregnant
If ear pain: Ramsay Hunt Sd.",1
847452214557679621,ALL HBsAg+ pregnant women need testing to evaluate if antivirals are needed. hepatitisB hepB HepatitisElimination http://ow.ly/l4Eu30al7MJpic.twitter.com/wThatEFhoJ,1
836914023794868224,Pregnant women with flu should be treated aggressively: Flu Antivirals for Expectant Moms Did Not Harm Babies http://www.medpagetoday.com/OBGYN/Pregnancy/63481,1
806557666092974084,"A8 Pregnant women can be prescribed antivirals, so if you think you have the flu, call your provider right away. NIVW2016pic.twitter.com/OJd1dv3BIp",1
803298055860588544,"I got sent home bc I'm still sickish and my boss is on antivirals for shingles, while pregnant.........",1
276054575843258368,Speaker strongly recommends using antivirals for pregnant Pts this flu season. embc,1
264384981265170433,"katu measles kills adults especially pregnant women. As an ob/gyn resident in Houston,TX, we had 3 women die despite antivirals",1
276054575843258368,Speaker strongly recommends using antivirals for pregnant Pts this flu season. embc,1
264384981265170433,"katu measles kills adults especially pregnant women. As an ob/gyn resident in Houston,TX, we had 3 women die despite antivirals",1
954206042736373760,So important for pregnant women to recognize symptoms. Early antivirals can prevent serious complications from fluhttps://twitter.com/kpbewelldoc/status/954189973242040320,1
946137393840652288,"New CDCgov healthalert today re: influenza. All hospitalized, severely-ill & high risk (<2, >65, pregnant, comorbidities) patients with flu should receive antivirals ASAP. Do not delay treatment for test results.  https://emergency.cdc.gov/han/han00409.asp",1
937813393662234625,"Its National Influenza Vaccination Week NIVW. Pregnant women and young children are especially at risk. Take 3 actions to fightflu and protect your family: a yearly flu vaccine, everyday preventive actions & antivirals as recommended. https://go.usa.gov/xRpeJpic.twitter.com/fjN0xMzNRw",1
932950755044220930,"Antivirals may lessen symptoms/duration of the flu and reduce the chances of further complications. It is also good for reducing the chances of death in patients admitted in hospital. At risk people such as the elderly over 65, pregnant women and have a weakened immune system.",1
954206042736373760,So important for pregnant women to recognize symptoms. Early antivirals can prevent serious complications from fluhttps://twitter.com/kpbewelldoc/status/954189973242040320,1
946137393840652288,"New CDCgov healthalert today re: influenza. All hospitalized, severely-ill & high risk (<2, >65, pregnant, comorbidities) patients with flu should receive antivirals ASAP. Do not delay treatment for test results.  https://emergency.cdc.gov/han/han00409.asp",1
937813393662234625,"Its National Influenza Vaccination Week NIVW. Pregnant women and young children are especially at risk. Take 3 actions to fightflu and protect your family: a yearly flu vaccine, everyday preventive actions & antivirals as recommended. https://go.usa.gov/xRpeJpic.twitter.com/fjN0xMzNRw",1
932950755044220930,"Antivirals may lessen symptoms/duration of the flu and reduce the chances of further complications. It is also good for reducing the chances of death in patients admitted in hospital. At risk people such as the elderly over 65, pregnant women and have a weakened immune system.",1
13114682859,Pregnancy news & art-  Pregnancy Outcomes or Newborns Unaffected by Influenza Antivirals - DG News http://url4.eu/34TeJ,1
13099231891,New: Pregnancy Outcomes or Newborns Unaffected by Influenza Antivirals - DG News http://bit.ly/bnu7d7,1
12644700813,Early antivirals mean fewer ICU visits for pregnant pandemic flu patients http://digg.com/u1UCOn,1
12601159448,"CDC: Antivirals saved many pregnant women w/ H1N1, who made up 5% of swine flu deaths, http://bit.ly/9dPske healt... http://bit.ly/ckgQAH",1
12599551273,"CDC: Antivirals saved many pregnant women w/ H1N1, who made up 5% of swine flu deaths, http://bit.ly/9dPske health",1
12587242548,"women news Early Antivirals Decrease H1N1 Mortality in Pregnant Women: TUESDAY, April 20 (HealthDay News) -- http://url4.eu/2pP0N",1
12582280997,[Avian Flu Diary] Study: Antivirals Saved Lives Of Pregnant Women ... http://bit.ly/a2al9p H1N1,1
12566923642,Early antivirals mean fewer ICU visits for pregnant pandemic flu patients - CIDRAP : http://bit.ly/c4sfSJ,1
12543048938,Early antivirals mean fewer ICU visits for pregnant pandemic flu patients http://ow.ly/1AZtY,1
12540168636,AFD Blog `Study: Antivirals Saved Lives Of Pregnant Women' H1N1 swineflu http://tinyurl.com/y6kla32,1
7720576106,FluGov: Pregnant women who have suspected H1N1 should be tested and treatment w/ antivirals should begin immediate... http://bit.ly/4R91Yd,1
7720361526,Pregnant women who have suspected H1N1 should be tested and treatment w/ antivirals should begin immediately. http://bit.ly/1mxnTN,1
7092140975,Only 50% pregnant women hospitalized w/2009 H1N1 influenza during first 4 months of pandemic received antivirals w/in 48hrs of symptom onset,1
5656216247,"UPDATE 1-Antivirals key to preventing severe H1N1 disease-WHO: Pregnant women, children under the age of 2 and .. http://bit.ly/1dWqzA",1
5271977115,"H1N1hfx Greatest risk, under 5, pregnant, under 65 with chronic disease, get early care with antivirals",1
5040967381,Hospital takes extra precautions: Others who should be treated with antivirals are pregnant women (including th.. http://bit.ly/1aiPMk,1
4717244637,Use of antivirals for H1N1 in pregnant women from CDC:  http://bit.ly/nFBtI,1
4561729344,"CDC: H1N1 (swine flu) antivirals safe for pregnant, breastfeeding women & breastfeeding can help boost baby's immunity: http://bit.ly/1mVUh8",1
