tweet_id,tweet,class
179135682,"embereye NOS ENERGY DRINK  Not recommended for children, pregnant women or people sensitive to caffeine.",1
178851872,"drinking something called ""burn"" which indicates it's not suited for children under 16, pregnant women nor people allergic to caffene...",1
13747581,"Uh Oh,Limit 2 cans per day, not recommended for children, pregnant women, or people sensitive to caffeine.This  IS my second one for the day",1
179135682,"embereye NOS ENERGY DRINK  Not recommended for children, pregnant women or people sensitive to caffeine.",1
178851872,"drinking something called ""burn"" which indicates it's not suited for children under 16, pregnant women nor people allergic to caffene...",1
13747581,"Uh Oh,Limit 2 cans per day, not recommended for children, pregnant women, or people sensitive to caffeine.This  IS my second one for the day",1
788950473,Last caffeine injection before the cycle ride home at 6. Dinner at home with Lori the pregnant Canadian.,1
784498508,Rocketcool- Not recommended for pregnant woman or people sensitive to caffeine.,1
775537092,"""Not recommeded for children, pregnant women, or people sensitive to caffeine.""",1
757357042,"Apparently my free can of AMP Energy drink is, ""NOT RECOMMENDED FOR CHILDREN, PREGNANT WOMEN OR PEOPLE SENSITIVE TO CAFFEINE.""  Is that bad?",1
753468102,jowyang: And all that caffeine is a really bad idea for pregnant women...,1
659646532,I don't care if that article said caffeine is bad for pregnant women.  Mama needs some coffee!,1
627125762,digg_feeds: Caffeine doubles miscarriage risk: study (http://tinyurl.com/26ezsf) Pregnant women who d.. http://tinyurl.com/3xhvck,1
627125682,digg_feeds: Caffeine doubles miscarriage risk: study (http://tinyurl.com/yqld6g) Pregnant women who d.. http://tinyurl.com/yo3d55,1
625840312,Pregnant women should limit caffeine intake: study: Pregnant women have long been warned of the danger.. http://tinyurl.com/2nekrt,1
624069532,fr. globeandmail.com Too much caffeine raises risk of miscarriage: Pregnant women .. http://tinyurl.com/23voym,1
623975702,Globe: Too much caffeine raises risk of miscarriage: Pregnant women who consume more than two .. http://tinyurl.com/23voym,1
623614262,"Why is women avoiding caffeine while pregnant, news??",1
623392402,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 5 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
623320952,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 4 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
623320642,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 4 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
623268362,"24dash

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 4 hours ago
By Rob Stein Caffeine consumption by pregnant  ...",1
623243642,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 4 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
623028492,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 2 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
623028162,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 2 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
622950532,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 2 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
788950473,Last caffeine injection before the cycle ride home at 6. Dinner at home with Lori the pregnant Canadian.,1
784498508,Rocketcool- Not recommended for pregnant woman or people sensitive to caffeine.,1
775537092,"""Not recommeded for children, pregnant women, or people sensitive to caffeine.""",1
757357042,"Apparently my free can of AMP Energy drink is, ""NOT RECOMMENDED FOR CHILDREN, PREGNANT WOMEN OR PEOPLE SENSITIVE TO CAFFEINE.""  Is that bad?",1
753468102,jowyang: And all that caffeine is a really bad idea for pregnant women...,1
659646532,I don't care if that article said caffeine is bad for pregnant women.  Mama needs some coffee!,1
627125762,digg_feeds: Caffeine doubles miscarriage risk: study (http://tinyurl.com/26ezsf) Pregnant women who d.. http://tinyurl.com/3xhvck,1
627125682,digg_feeds: Caffeine doubles miscarriage risk: study (http://tinyurl.com/yqld6g) Pregnant women who d.. http://tinyurl.com/yo3d55,1
625840312,Pregnant women should limit caffeine intake: study: Pregnant women have long been warned of the danger.. http://tinyurl.com/2nekrt,1
624069532,fr. globeandmail.com Too much caffeine raises risk of miscarriage: Pregnant women .. http://tinyurl.com/23voym,1
623975702,Globe: Too much caffeine raises risk of miscarriage: Pregnant women who consume more than two .. http://tinyurl.com/23voym,1
623614262,"Why is women avoiding caffeine while pregnant, news??",1
623392402,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 5 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
623320952,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 4 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
623320642,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 4 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
623268362,"24dash

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 4 hours ago
By Rob Stein Caffeine consumption by pregnant  ...",1
623243642,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 4 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
623028492,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 2 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
623028162,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 2 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
622950532,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 2 hours ago
By Rob Stein Caffeine consumption by pregnant w ...",1
622826062,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 1 hour ago
By Rob Stein Caffeine consumption by pregnant wo ...",1
622805012,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 1 hour ago
By Rob Stein Caffeine consumption by pregnant wo ...",1
622776172,"MSNBC

Caffeine Increases Risk of Miscarriage, Study Finds
Washington Post - 1 hour ago
By Rob Stein Caffeine consumption by pregnant wo ...",1
512442062,"I can grudgingly abstain from sushi for 9 months, but it just seems cruel to tell pregnant women to limit caffeine",1
370451792,just had my first coffee since finding out i was pregnant and that caffeine is hitting me! gotta go get some water!!,1
