tweet_id,tweet,class
1050705452,Took 8 capsules of Chinese Herbs for the first time today - taking 18 capsules each day. What won't I try to help get pregnant...,1
1050705452,Took 8 capsules of Chinese Herbs for the first time today - taking 18 capsules each day. What won't I try to help get pregnant...,1
8541263176,Are a cleaner kitchen and happier pregnant wife worth coping with coffee capsules and missing the french press? You bet!,1
4494243487,RT 2 capsules doxycycline 100mg. Take with food and avoid taking with dairy products. DO NOT GIVE to children or pregnant women.,1
4443055310,"those in contact with flood water, pls take leptospirosis prophylaxis ASAP; 2 capsules doxycyclin 100mg. dnt give to children and pregnant..",1
4438445837,2 capsules doxycyclin 100mg. take with food and avoid taking with dairy products. do not give to children and pregnant women. SPREAD D WORD,1
4436366070,2 capsules doxycyclin 100mg. take with food and avoid taking with dairy products. do not give to children and pregnant women. PLEASE REPOST.,1
4414617485,2 capsules doxycycline 100mg. Take with food and avoid taking with dairy products. DO NOT GIVE to children or pregnant women. Thanks!,1
8541263176,Are a cleaner kitchen and happier pregnant wife worth coping with coffee capsules and missing the french press? You bet!,1
4494243487,RT 2 capsules doxycycline 100mg. Take with food and avoid taking with dairy products. DO NOT GIVE to children or pregnant women.,1
4443055310,"those in contact with flood water, pls take leptospirosis prophylaxis ASAP; 2 capsules doxycyclin 100mg. dnt give to children and pregnant..",1
4438445837,2 capsules doxycyclin 100mg. take with food and avoid taking with dairy products. do not give to children and pregnant women. SPREAD D WORD,1
4436366070,2 capsules doxycyclin 100mg. take with food and avoid taking with dairy products. do not give to children and pregnant women. PLEASE REPOST.,1
4414617485,2 capsules doxycycline 100mg. Take with food and avoid taking with dairy products. DO NOT GIVE to children or pregnant women. Thanks!,1
3835710170,queen_elisheba turmeric is s great cold remedy. Natural antihistamine. Capsules or powder mixed with honey. Ok when pregnant.,1
3754850889,Fish oil assists emotional wellbeing: Fish oil capsules may help pregnant women and new mothers guard against po.. http://bit.ly/EwCKd,1
3550764991,Free green tea capsules Akron / Canton: I was taking this green tea once a day but just found out I am pregnant... http://bit.ly/S4UZB,1
3382117592,PREGNANT women who take fish oil capsules could dramatically cut the risk of asthma and eczema in their babies http://tinyurl.com/qc6joc,1
3369787136,Fish oil can boost health of babies: PREGNANT women who take fish oil capsules could dramatically .. http://bit.ly/3VZ4A,1
3292243122,"You can get ""Curcumin Complex"" from Swanson's--1-800-437-4148. Take 1 twice a day. Take 0 capsules twice a day if you're pregnant or nursing",1
2446358461,Can anyone tell me if there is any benefit to taking fish oil capsules while pregnant? Have u taken these while preggers?,1
1952423469,mindykaling  It's either the capsules or you're pregnant.,1
3835710170,queen_elisheba turmeric is s great cold remedy. Natural antihistamine. Capsules or powder mixed with honey. Ok when pregnant.,1
3754850889,Fish oil assists emotional wellbeing: Fish oil capsules may help pregnant women and new mothers guard against po.. http://bit.ly/EwCKd,1
3550764991,Free green tea capsules Akron / Canton: I was taking this green tea once a day but just found out I am pregnant... http://bit.ly/S4UZB,1
