tweet_id,tweet,class
15697206052913152,"I had it when I was pregnant, it runs in family and even 2 co-codamol didn't touch it last night. Yes I'm feeling very sorry for myself :-(",1
15697206052913152,"I had it when I was pregnant, it runs in family and even 2 co-codamol didn't touch it last night. Yes I'm feeling very sorry for myself :-(",1
351771598073769984,"Inbox - Ppp,I'm31 weeks pregnant and have been given co-codamol to be taken every 6hrs due to lower pain in my... http://fb.me/35SNnE9Ev",1
325691529488379906,"Inbox--

I'm 33+3 pregnant and pulled muscle in my ribs. I've had diazepam, co-codamol and perhodine. The pain... http://fb.me/1iTTFfCAY",1
351771598073769984,"Inbox - Ppp,I'm31 weeks pregnant and have been given co-codamol to be taken every 6hrs due to lower pain in my... http://fb.me/35SNnE9Ev",1
325691529488379906,"Inbox--

I'm 33+3 pregnant and pulled muscle in my ribs. I've had diazepam, co-codamol and perhodine. The pain... http://fb.me/1iTTFfCAY",1
457493760084279297,"BethanyAtkinso2 Yeah, I had it constantly when pregnant. You need otrivine nasal drops and ibuprofen. Oh and co-codamol, obviously...  x",1
455932167093514240,Co-codamol is brilliant when your pregnant.,1
457493760084279297,"BethanyAtkinso2 Yeah, I had it constantly when pregnant. You need otrivine nasal drops and ibuprofen. Oh and co-codamol, obviously...  x",1
455932167093514240,Co-codamol is brilliant when your pregnant.,1
3719029409,Parent-to-Parent : co-codamol when pregnant http://bit.ly/wVXgx,1
3252753230,Is it safe to take co-codamol while pregnant,1
3719029409,Parent-to-Parent : co-codamol when pregnant http://bit.ly/wVXgx,1
3252753230,Is it safe to take co-codamol while pregnant,1
711831536602124289,"Thank you uterus for waking me up at 2am with a ""we're not pregnant!!"" pain party.  If anyone needs me, I'll be in my co-codamol box.",1
711831536602124289,"Thank you uterus for waking me up at 2am with a ""we're not pregnant!!"" pain party.  If anyone needs me, I'll be in my co-codamol box.",1
265566357859487744,Just seen someone offer a pregnant idiot codeine for back pain. Not low dose Co-codamol but high dose codeine phosphate. Bloody idiots!,1
245982894227591168,Anyone know if you can take co-codamol when you're pregnant ??,1
244746288694951937,My tummy is so swollen I look 6 months pregnant I just want to feel better now but on the plus I love these co-codamol make me sleepy ,1
265566357859487744,Just seen someone offer a pregnant idiot codeine for back pain. Not low dose Co-codamol but high dose codeine phosphate. Bloody idiots!,1
245982894227591168,Anyone know if you can take co-codamol when you're pregnant ??,1
244746288694951937,My tummy is so swollen I look 6 months pregnant I just want to feel better now but on the plus I love these co-codamol make me sleepy ,1
123795178359242753,I Am 4 Weeks Pregnant :) Can I Take Co-codamol (solpadol 30mg/500mg)?: I have been taking Solpadol which is 30mg... http://bit.ly/ocDWtv,1
