tweet_id,tweet,class
925422243,"amalah dude, I got some severe head cold/flu thing when I was 8 months pregnant. the worst. nearly suffocated from snot/belly combo",1
916635115,"vivienfrance: I got sick (cold, flu, etc) more when I was pregnant than I ever have before. Or I noticed more b/c I couldn't take any meds.",1
925422243,"amalah dude, I got some severe head cold/flu thing when I was 8 months pregnant. the worst. nearly suffocated from snot/belly combo",1
916635115,"vivienfrance: I got sick (cold, flu, etc) more when I was pregnant than I ever have before. Or I noticed more b/c I couldn't take any meds.",1
4089102487,"not that I'm pissed about the pregnant thing, just the cold/flu thing",1
4089067887,"wish I felt human again.  This cold/flu thing has kicked my ass.  And to top it off, I'm pregnant and can't take much of anything",1
1370116995,Still dealing with cold & flu while 6 months pregnant. At least I got some sleep last night. Today's mission: animating SEO101 slides,1
1340112357,JaysMom28 cold/flu... and the doctor wondered if I was pregnant smh,1
1155578252,Wow! I didn't realize you can't take ANYTHING when your pregnant for cold/flu...not even oregano! Double dang!!,1
4089102487,"not that I'm pissed about the pregnant thing, just the cold/flu thing",1
4089067887,"wish I felt human again.  This cold/flu thing has kicked my ass.  And to top it off, I'm pregnant and can't take much of anything",1
1370116995,Still dealing with cold & flu while 6 months pregnant. At least I got some sleep last night. Today's mission: animating SEO101 slides,1
1340112357,JaysMom28 cold/flu... and the doctor wondered if I was pregnant smh,1
1155578252,Wow! I didn't realize you can't take ANYTHING when your pregnant for cold/flu...not even oregano! Double dang!!,1
14528069073,KatApel and can't take cold & flu tabs/antihistamines while pregnant. Just have to ride it out..,1
13162848250,dellvink aww I wish you didn't catch this.  I had something similar when pregnant - u really do miss cold & flu tabs & nurofen etc. xx,1
9937673985,So it sucks havin a cold/flu and be pregnant but on the plus side popsicles r great!,1
8437620848,Treating Cold & Flu For Pregnant Woman Using Natural Remedies. http://bit.ly/adfz4t,1
7081386763,Does Tylenol cold & flu work? I think it might be a placebo since it's recommended for pregnant women and babies...,1
6880565288,feels like I've taken a beating (not the fun kind) & I'm coming down with some cold/flu type thing. Being pregnant right now feels awful...,1
5470769666,"so sad! RT UkraineNews: The cold & flu epidemic has killed 96 people in Ukraine, including 9 children, 7 pregnant women & 6 doctors.",1
5083259627,On day 5 of a cold/flu/infection and would like scientists to know that pregnant gals need meds too - can they not make a safe drug for us?!,1
14528069073,KatApel and can't take cold & flu tabs/antihistamines while pregnant. Just have to ride it out..,1
13162848250,dellvink aww I wish you didn't catch this.  I had something similar when pregnant - u really do miss cold & flu tabs & nurofen etc. xx,1
9937673985,So it sucks havin a cold/flu and be pregnant but on the plus side popsicles r great!,1
8437620848,Treating Cold & Flu For Pregnant Woman Using Natural Remedies. http://bit.ly/adfz4t,1
7081386763,Does Tylenol cold & flu work? I think it might be a placebo since it's recommended for pregnant women and babies...,1
6880565288,feels like I've taken a beating (not the fun kind) & I'm coming down with some cold/flu type thing. Being pregnant right now feels awful...,1
5470769666,"so sad! RT UkraineNews: The cold & flu epidemic has killed 96 people in Ukraine, including 9 children, 7 pregnant women & 6 doctors.",1
5083259627,On day 5 of a cold/flu/infection and would like scientists to know that pregnant gals need meds too - can they not make a safe drug for us?!,1
590541690601103360,"Pregnant with a cold, flu, allergies? Find out what's safe to take and what to avoid, via Med_Shadow:  http://bit.ly/1QeeLcw",1
583059007335571456,Having a cold/flu while pregnant is just awful. I never imagined I could feel any worse than I usually do. pregnantproblems,1
570816615052226560,Being sick with a cold/flu while pregnant ,1
563743515688316928,"A guide to the cold & flu for the pregnant, nursing, and little ones - Easing your discomfort and babies too!  http://ift.tt/1DmAPfa",1
560907276333383681,guess who just loves being pregnant with a cold/flu????  not this girl. and if you do you are crazy. http://instagram.com/p/yc89k6Fyim/,1
556881006033387521,"I'm sick and type in my symptoms (aches,chills,nausea) to WebMd, top of the list are:
Pregnant
Cold/flu
HIV
Bitten by a coil snake
",1
554710595627663360,"Passing out every time I sit down. 

- What it's like being pregnant with a cold/flu bug & 3 kids. 

FeelingNarcoleptic",1
547600723815718912,Anyone know if it's ok to take Tylenol cold & flu while pregnant??,1
533644326593495040,"Cold, flu season different for pregnant women | News - Home http://www.news4jax.com/news/cold-flu-season-different-for-pregnant-women/29658640",1
532344556184813568,"Doctors say cold, flu is season different for pregnant women http://bit.ly/1sz1fRFpic.twitter.com/MlWDuIbrRG",1
532335673031024641,New post on how to get over your cold and flu! health healthy pregnant pregnancy cold flu http://instagram.com/p/vR8GfjjP4F/,1
532317113428357120,"Cold, flu season different for pregnant women | News - Home http://www.news4jax.com/news/cold-flu-season-different-for-pregnant-women/29658640",1
530761936066318336,"my sister saw i had a bunch of tablets in my bag and she said ""alisha are u  pregnant""  um they were only energy and cold+flu tablets",1
530072586521022464,ModernMom A1: My biggest concern about cold & flu season is being pregnant. I think I have a little cold starting now. SmilingItForward,1
518508783560294400,37 weeks pregnant and sick with a cold/flu? Just my luck:(,1
515168865572364289,"Mum's Query: ""I'm 15 weeks pregnant and dying with cold/flu. Feel shocking. Any tips/ recommended remedies?""",1
507187594233270272,37 Weeks Pregnant Chalkboard + Pregnancy Cold & Flu Tips http://beyondfitphysiques.com/37-weeks-pregnant-chalkboard-pregnancy-cold-flu/,1
507187490604982272,"Hey! New post that I think you'll LOVE: ""37 Weeks Pregnant Chalkboard + Pregnancy Cold & Flu Tips"" http://ift.tt/1qyqEgt beyondfitlif...",1
506232851663446016,having a cold/flu whatever i have and being pregnant at the same time is so miserable ,1
505453509672570880,I've come down with a horrible cold/flu :( What remedies can a pregnant lady take to help alleviate symptoms? My... http://fb.me/1mcQgOR3r,1
590541690601103360,"Pregnant with a cold, flu, allergies? Find out what's safe to take and what to avoid, via Med_Shadow:  http://bit.ly/1QeeLcw",1
583059007335571456,Having a cold/flu while pregnant is just awful. I never imagined I could feel any worse than I usually do. pregnantproblems,1
570816615052226560,Being sick with a cold/flu while pregnant ,1
563743515688316928,"A guide to the cold & flu for the pregnant, nursing, and little ones - Easing your discomfort and babies too!  http://ift.tt/1DmAPfa",1
560907276333383681,guess who just loves being pregnant with a cold/flu????  not this girl. and if you do you are crazy. http://instagram.com/p/yc89k6Fyim/,1
556881006033387521,"I'm sick and type in my symptoms (aches,chills,nausea) to WebMd, top of the list are:
Pregnant
Cold/flu
HIV
Bitten by a coil snake
",1
554710595627663360,"Passing out every time I sit down. 

- What it's like being pregnant with a cold/flu bug & 3 kids. 

FeelingNarcoleptic",1
547600723815718912,Anyone know if it's ok to take Tylenol cold & flu while pregnant??,1
533644326593495040,"Cold, flu season different for pregnant women | News - Home http://www.news4jax.com/news/cold-flu-season-different-for-pregnant-women/29658640",1
532344556184813568,"Doctors say cold, flu is season different for pregnant women http://bit.ly/1sz1fRFpic.twitter.com/MlWDuIbrRG",1
532335673031024641,New post on how to get over your cold and flu! health healthy pregnant pregnancy cold flu http://instagram.com/p/vR8GfjjP4F/,1
532317113428357120,"Cold, flu season different for pregnant women | News - Home http://www.news4jax.com/news/cold-flu-season-different-for-pregnant-women/29658640",1
530761936066318336,"my sister saw i had a bunch of tablets in my bag and she said ""alisha are u  pregnant""  um they were only energy and cold+flu tablets",1
530072586521022464,ModernMom A1: My biggest concern about cold & flu season is being pregnant. I think I have a little cold starting now. SmilingItForward,1
518508783560294400,37 weeks pregnant and sick with a cold/flu? Just my luck:(,1
515168865572364289,"Mum's Query: ""I'm 15 weeks pregnant and dying with cold/flu. Feel shocking. Any tips/ recommended remedies?""",1
507187594233270272,37 Weeks Pregnant Chalkboard + Pregnancy Cold & Flu Tips http://beyondfitphysiques.com/37-weeks-pregnant-chalkboard-pregnancy-cold-flu/,1
507187490604982272,"Hey! New post that I think you'll LOVE: ""37 Weeks Pregnant Chalkboard + Pregnancy Cold & Flu Tips"" http://ift.tt/1qyqEgt beyondfitlif...",1
506232851663446016,having a cold/flu whatever i have and being pregnant at the same time is so miserable ,1
505453509672570880,I've come down with a horrible cold/flu :( What remedies can a pregnant lady take to help alleviate symptoms? My... http://fb.me/1mcQgOR3r,1
860300844675211265,Nothing worse then being 9 months pregnant and be down with a cold/flu.,1
855739265736732672,What can you take for a cold/flu when pregnant,1
855588570462957569,"At 8 weeks pregnant your energy is generally very low, breasts are tender, and may have nausea. Plus more susceptible to cold/flu lo immune",1
848193803295092738,"My last pregnancy my doctor said it was ok to take Tylenol, does anyone know if you can take Tylenol cold & flu severe while pregnant?",1
844273117405073409,cold? Flu? Pregnant?...lol,1
836073754274865152,These Zahler prenatal vitamins have made me feel GREAT despite 1: not being pregnant & 2: fighting the cold/flu. http://amzn.to/2mkSEL4pic.twitter.com/fL1xxcVYKZ,1
831485712465805312,How to treat cold & flu when you're pregnant http://ow.ly/yoV7306NScJpic.twitter.com/hEzg7H7roO,1
820332905721253888,"Usually when I get sick, I just wait it out. But this cold/flu or whatever I got is totally kicking my pregnant ass. ",1
817016025120182272,"If you're pregnant & suffering with cold & flu, read this for natural home remedies that really work! pregnancy http://buff.ly/2jdMmeSpic.twitter.com/Dc0DONj2CP",1
813690386266943488,"If you're pregnant & suffering with cold & flu, read this for natural home remedies that really work! pregnancy http://buff.ly/2izkuNWpic.twitter.com/afjiT1rJZK",1
812316159186010114,The Flu Shot When Pregnant https://goo.gl/fb/IAyT4Q cold flu flushot fluvaccine health pregnancy pregnant,1
811737962102853637,"When you search up symptoms of your illness/cold/flu,  and it results in being pregnant,  dying or dead ASAP  doctors tomoz me thinks",1
806200351804260353,It's cold & flu season. Here's what you can & can't take while pregnant: pic.twitter.com/VIXwoEIvWj,1
793978957078986753,"According to WebMD I either have a cold/flu, I'm pregnant, or it's cancer. Lets start placing bets!",1
793439938360537088,39weeks pregnant with the cold/flu fucking SUCKSSSSSS,1
792753549209903104,I just google is is ok to take NyQuil & DayQuil while pregnant & it specifically said definitely not the severe cold & flu,1
791626189517578240,Should you get the flu shot when you're pregnant? Your cold & flu guide > http://ow.ly/qwxc3059N8d via Todaysparentpic.twitter.com/ixwli5k1LC,1
787658200619315200,Should you get the flu shot when you're pregnant? Your cold & flu guide > http://ow.ly/qwxc3059N8dpic.twitter.com/ZVFDTRPEHS,1
785839192932659200,I'm home sick today with cold/flu symptoms. Just isn't right to also have to be 37 weeks pregnant. I need a feel... http://fb.me/4ZZ5enU4r,1
782031868099039232,"A cold, flu...I don't know...last time I felt like this I was temporarily pregnant...",1
860300844675211265,Nothing worse then being 9 months pregnant and be down with a cold/flu.,1
855739265736732672,What can you take for a cold/flu when pregnant,1
855588570462957569,"At 8 weeks pregnant your energy is generally very low, breasts are tender, and may have nausea. Plus more susceptible to cold/flu lo immune",1
848193803295092738,"My last pregnancy my doctor said it was ok to take Tylenol, does anyone know if you can take Tylenol cold & flu severe while pregnant?",1
844273117405073409,cold? Flu? Pregnant?...lol,1
836073754274865152,These Zahler prenatal vitamins have made me feel GREAT despite 1: not being pregnant & 2: fighting the cold/flu. http://amzn.to/2mkSEL4pic.twitter.com/fL1xxcVYKZ,1
831485712465805312,How to treat cold & flu when you're pregnant http://ow.ly/yoV7306NScJpic.twitter.com/hEzg7H7roO,1
820332905721253888,"Usually when I get sick, I just wait it out. But this cold/flu or whatever I got is totally kicking my pregnant ass. ",1
817016025120182272,"If you're pregnant & suffering with cold & flu, read this for natural home remedies that really work! pregnancy http://buff.ly/2jdMmeSpic.twitter.com/Dc0DONj2CP",1
813690386266943488,"If you're pregnant & suffering with cold & flu, read this for natural home remedies that really work! pregnancy http://buff.ly/2izkuNWpic.twitter.com/afjiT1rJZK",1
812316159186010114,The Flu Shot When Pregnant https://goo.gl/fb/IAyT4Q cold flu flushot fluvaccine health pregnancy pregnant,1
811737962102853637,"When you search up symptoms of your illness/cold/flu,  and it results in being pregnant,  dying or dead ASAP  doctors tomoz me thinks",1
806200351804260353,It's cold & flu season. Here's what you can & can't take while pregnant: pic.twitter.com/VIXwoEIvWj,1
793978957078986753,"According to WebMD I either have a cold/flu, I'm pregnant, or it's cancer. Lets start placing bets!",1
793439938360537088,39weeks pregnant with the cold/flu fucking SUCKSSSSSS,1
792753549209903104,I just google is is ok to take NyQuil & DayQuil while pregnant & it specifically said definitely not the severe cold & flu,1
791626189517578240,Should you get the flu shot when you're pregnant? Your cold & flu guide > http://ow.ly/qwxc3059N8d via Todaysparentpic.twitter.com/ixwli5k1LC,1
787658200619315200,Should you get the flu shot when you're pregnant? Your cold & flu guide > http://ow.ly/qwxc3059N8dpic.twitter.com/ZVFDTRPEHS,1
785839192932659200,I'm home sick today with cold/flu symptoms. Just isn't right to also have to be 37 weeks pregnant. I need a feel... http://fb.me/4ZZ5enU4r,1
782031868099039232,"A cold, flu...I don't know...last time I felt like this I was temporarily pregnant...",1
682636905041801217,"Anyone else spending NYE pregnant, sick & working? I'll be taking Vicks NyQuil Cold&Flu shots  Oscars while finding empty booths to nap in",1
676808920367808512,"Being sick while pregnant is the worst!
Tips to treat your cold & flu via Todaysparent.
http://ow.ly/VR33Upic.twitter.com/qxSCcr8M7z",1
671019631914713088,Should you get the flu shot when you're pregnant? Your cold & flu guide > http://ow.ly/Vd29ypic.twitter.com/51AOuQrRtf,1
670272295018086400,Make sure to avoid the cold & flu season! WhatToExpect tells moms-to-be how to safely treat colds while pregnant: http://bit.ly/20ZCliL,1
664889281006145536,"My pregnant body today: backpain, stomach pain, freezing cold, flu jab, hot flush, tiredness ",1
659041252239773697,Being 8 months pregnant makes the cold/Flu feel like ebola. pregnancyproblems preggoproblems,1
652372194039697408,Can anyone recommend what I can take for the cold & flu while pregnant? ,1
639321795472953344,So pregnant in the summer = hot as hell. Pregnant in the winter = cold/flu with no meds. I'll take sunmer,1
625670298248024065,"Text your mom that you're taking a sick/mental health day from work. First responses: Cold? Flu? PREGNANT?!""  nobabyonboard atleastnotyet",1
621172195956359168,Pregnant + constant heartburn + head cold/ flu = miserable Casey,1
612191945822179328,"I don't think I'm going to make it cold & flu, pregnant & teething my wisdom tooth plz help me",1
606448334530879488,Like why haven't they come out with a cold & flu medication for pregnant women yet ,1
682636905041801217,"Anyone else spending NYE pregnant, sick & working? I'll be taking Vicks NyQuil Cold&Flu shots  Oscars while finding empty booths to nap in",1
676808920367808512,"Being sick while pregnant is the worst!
Tips to treat your cold & flu via Todaysparent.
http://ow.ly/VR33Upic.twitter.com/qxSCcr8M7z",1
671019631914713088,Should you get the flu shot when you're pregnant? Your cold & flu guide > http://ow.ly/Vd29ypic.twitter.com/51AOuQrRtf,1
670272295018086400,Make sure to avoid the cold & flu season! WhatToExpect tells moms-to-be how to safely treat colds while pregnant: http://bit.ly/20ZCliL,1
664889281006145536,"My pregnant body today: backpain, stomach pain, freezing cold, flu jab, hot flush, tiredness ",1
659041252239773697,Being 8 months pregnant makes the cold/Flu feel like ebola. pregnancyproblems preggoproblems,1
652372194039697408,Can anyone recommend what I can take for the cold & flu while pregnant? ,1
639321795472953344,So pregnant in the summer = hot as hell. Pregnant in the winter = cold/flu with no meds. I'll take sunmer,1
625670298248024065,"Text your mom that you're taking a sick/mental health day from work. First responses: Cold? Flu? PREGNANT?!""  nobabyonboard atleastnotyet",1
621172195956359168,Pregnant + constant heartburn + head cold/ flu = miserable Casey,1
612191945822179328,"I don't think I'm going to make it cold & flu, pregnant & teething my wisdom tooth plz help me",1
606448334530879488,Like why haven't they come out with a cold & flu medication for pregnant women yet ,1
497103138759794688,Catching a cold/flu while pregnant <<<,1
469955994269646851,Being pregnant with a cold/flu/whatever I have makes it 20 times worse soreadytobeoffwork  miserable worstday fml,1
456566917210177537,"Billie_McL ah stop it's getting out of hand at this stage, well I got the cold/flu so I ain't getting pregnant ThankFuck",1
455968572158644225,Any tips on how to get rid of a cold n possible chest infection when pregnant? feelawful holidays cold flu,1
441588892643651584,They need to make a medicine for cold & flu for pregnant women .,1
441366583966191616,"Pregnant with a cold. Since I can't take cold+flu stuff, chicken soup tastes like sweet, sweet drugs. I just had two bowls.",1
440805698629550080,Nothing worse than having a head cold/flu while pregnant gurr  feeling sick,1
437474091344207872,"Theres a difference between having a fucking cold/flu whatever the fuck this is and being pregnant, jesus fucking christ wtf",1
435775275305955328,Can't tell where the cold/flu symptoms end and the pregnancy symptoms begin. Yay for lowered immune systems while pregnant! OhTheSarcasm,1
433002485280960512,RoniMai if only I could breathe. Cold/flu plus decreased lung capacity due to 32wks pregnant are not a good combination. doonecold,1
431110843812831232,So the itchy eyes do NOT appear to be pink eye. The diagnosis is now between allergies and a cold/flu. Or I could be pregnant... WebDocDija,1
424949972732510208,Tylenol cold & flu! It helped me. RT KobiocasMom: This bein pregnant with the flu is for the fuckin birds... Im ova it!!!,1
424937246500724736,"I'm not pregnant nor am I hungover but I woke up getting sick 6:30am. ""Over this Cold/Flu"". Hard to fight a... http://fb.me/2Hvjsw01b",1
416029366393384960,Nothing is more awkward than having your grandma ask if you're pregnant because you have a cold/flu. Sheesh,1
414619247667474433,"FQ
I  am 23w2d pregnant I can't takr Tylenol because of health issues. Anyways I think I may have a cold/flu any... http://fb.me/PeSHh28K",1
