tweet_id,tweet,class
642632112,"Whatever the reason, pregnant mums should chill out for their baby's sake. Stop cortisol the dangerous stress chemical and put yer feet up!",1
642632112,"Whatever the reason, pregnant mums should chill out for their baby's sake. Stop cortisol the dangerous stress chemical and put yer feet up!",1
890142574,"Apparently the more stress while pregnant, the more cortisol is released which interrupts baby developmental sleep. Gonna be a retarded kid.",1
890142574,"Apparently the more stress while pregnant, the more cortisol is released which interrupts baby developmental sleep. Gonna be a retarded kid.",1
34718372864200705,"Obese mums have kids with leptin resistance & higher cortisol? (stress hormone) -> ^appetite -> weight gain. So, get fit then get pregnant!",1
12909225399291904,MDLinx: Plasma Corticotropin-Releasing Hormone and Cortisol Concentrations and Perceived Stress among Pregnant W... http://bit.ly/dWDbLZ,1
12900857435652097,Plasma Corticotropin-Releasing Hormone and Cortisol Concentrations and Perceived Stress among Pregnant Wome... http://bit.ly/hnByUD PSY,1
29398090075,belly fat  Is there any possibility that I could I be pregnant?: ...possibility that it could be cortisol induced... http://bit.ly/bAQEKe,1
21104603801,"Want to Get Pregnant? Don't Stress About It | Strollerderby: Adrenaline is linked to short-term stress, cortisol t... http://bit.ly/bjOBms",1
21101939702,BBC News High stressdelays pregnancy: No difference in the chance of becoming pregnant was found with cortisol. An... http://bit.ly/aMVCiG,1
21015863988,MyFirstPregnancy.net Stress May Affect Chances of Getting Pregnant: Cortisol levels did not appear to influence co... http://bit.ly/bWhixA,1
21014296628,Stress May Affect Chances of Getting Pregnant: Cortisol levels did not appear to influence conception during the s... http://bit.ly/adxW8x,1
21014293444,Stress May Affect Chances of Getting Pregnant: Cortisol levels did not appear to influence conception during the s... http://bit.ly/9WFxdQ,1
21014293376,Stress May Affect Chances of Getting Pregnant: Cortisol levels did not appear to influence conception during the s... http://bit.ly/aTyIxT,1
21011504908,Stress May Affect Chances of Getting Pregnant: Cortisol levels did not appear to influence conception during the s... http://bit.ly/caaxbK,1
20963171488,Eating liquorice when pregnant could affect newborn health: Children aged eight were tested for levels of cortisol... http://bit.ly/c9QI84,1
20724880422,Study: Avoid Licorice While Pregnant: Babble (blog)But prolonged high levels of cortisol in the body have been lin... http://bit.ly/aq0IMz,1
16196509518,Two kinds of hormon changing contributes to slip pregnant women's memory loss. Two related hormon is estrogen and cortisol.,1
34718372864200705,"Obese mums have kids with leptin resistance & higher cortisol? (stress hormone) -> ^appetite -> weight gain. So, get fit then get pregnant!",1
12909225399291904,MDLinx: Plasma Corticotropin-Releasing Hormone and Cortisol Concentrations and Perceived Stress among Pregnant W... http://bit.ly/dWDbLZ,1
12900857435652097,Plasma Corticotropin-Releasing Hormone and Cortisol Concentrations and Perceived Stress among Pregnant Wome... http://bit.ly/hnByUD PSY,1
29398090075,belly fat  Is there any possibility that I could I be pregnant?: ...possibility that it could be cortisol induced... http://bit.ly/bAQEKe,1
21104603801,"Want to Get Pregnant? Don't Stress About It | Strollerderby: Adrenaline is linked to short-term stress, cortisol t... http://bit.ly/bjOBms",1
21101939702,BBC News High stressdelays pregnancy: No difference in the chance of becoming pregnant was found with cortisol. An... http://bit.ly/aMVCiG,1
21015863988,MyFirstPregnancy.net Stress May Affect Chances of Getting Pregnant: Cortisol levels did not appear to influence co... http://bit.ly/bWhixA,1
21014296628,Stress May Affect Chances of Getting Pregnant: Cortisol levels did not appear to influence conception during the s... http://bit.ly/adxW8x,1
21014293444,Stress May Affect Chances of Getting Pregnant: Cortisol levels did not appear to influence conception during the s... http://bit.ly/9WFxdQ,1
21014293376,Stress May Affect Chances of Getting Pregnant: Cortisol levels did not appear to influence conception during the s... http://bit.ly/aTyIxT,1
21011504908,Stress May Affect Chances of Getting Pregnant: Cortisol levels did not appear to influence conception during the s... http://bit.ly/caaxbK,1
20963171488,Eating liquorice when pregnant could affect newborn health: Children aged eight were tested for levels of cortisol... http://bit.ly/c9QI84,1
20724880422,Study: Avoid Licorice While Pregnant: Babble (blog)But prolonged high levels of cortisol in the body have been lin... http://bit.ly/aq0IMz,1
16196509518,Two kinds of hormon changing contributes to slip pregnant women's memory loss. Two related hormon is estrogen and cortisol.,1
499554876767371264,Struggling to get pregnant? Remember the stress hormone cortisol can interfere with the production of progesterone. fertility womenchat,1
489795428074790912,Relationships between lead biomarkers and diurnal salivary cortisol indices in pregnant women http://wp.me/p23yyz-PF via wordpressdotcom,1
484125628284043265,Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge birth pregnant i2 parents,1
478505746410524672,"Posttraumatic stress disorder, smoking, and cortisol in a community sample of pregnant women http://www.ncbi.nlm.nih.gov/pubmed/24926909 stress PTSD",1
477129401579352064,Relationships between lead biomarkers and diurnal salivary cortisol indices in pregnant women from Mexico City. http://www.ncbi.nlm.nih.gov/pubmed/?term=24916609,1
476087197071069184,Supportive fathers lower their pregnant partners cortisol levels: Canadian research. http://www.fira.ca/,1
475268218953957376,High protein diets while pregnant may programme the foetus for a life of higher cortisol levels,1
468480192818995201,"Children of mothers who were pregnant in 9/11 & survived have elevated cortisol levels, other markers, says DartCenter's Shapiro ewa14",1
460849759616376832,The only thing that sucks about being fit and pregnant is that you can't tell I'm pregnant I just look like I have a cortisol imbalance,1
454022490646253568,"""Pregnant women who are exposed to high stress or trauma release chemical cortisol into placenta which can predispose child to addiction.""",1
451753809266868224,Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge birth pregnant moms parent i2,1
428715046776995840,Men know you're pregnant before you do. cortisol couvade bcweek14 sextalk,1
422411511790071808,"Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge

birth pregnant doulaparty",1
499554876767371264,Struggling to get pregnant? Remember the stress hormone cortisol can interfere with the production of progesterone. fertility womenchat,1
489795428074790912,Relationships between lead biomarkers and diurnal salivary cortisol indices in pregnant women http://wp.me/p23yyz-PF via wordpressdotcom,1
484125628284043265,Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge birth pregnant i2 parents,1
478505746410524672,"Posttraumatic stress disorder, smoking, and cortisol in a community sample of pregnant women http://www.ncbi.nlm.nih.gov/pubmed/24926909 stress PTSD",1
477129401579352064,Relationships between lead biomarkers and diurnal salivary cortisol indices in pregnant women from Mexico City. http://www.ncbi.nlm.nih.gov/pubmed/?term=24916609,1
476087197071069184,Supportive fathers lower their pregnant partners cortisol levels: Canadian research. http://www.fira.ca/,1
475268218953957376,High protein diets while pregnant may programme the foetus for a life of higher cortisol levels,1
468480192818995201,"Children of mothers who were pregnant in 9/11 & survived have elevated cortisol levels, other markers, says DartCenter's Shapiro ewa14",1
460849759616376832,The only thing that sucks about being fit and pregnant is that you can't tell I'm pregnant I just look like I have a cortisol imbalance,1
454022490646253568,"""Pregnant women who are exposed to high stress or trauma release chemical cortisol into placenta which can predispose child to addiction.""",1
451753809266868224,Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge birth pregnant moms parent i2,1
428715046776995840,Men know you're pregnant before you do. cortisol couvade bcweek14 sextalk,1
422411511790071808,"Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge

birth pregnant doulaparty",1
403903501224247296,Thayer: most ethical way to look at stress in pregnant women is to look at diurnal cortisol rhythm aaa2013,1
403758561656049664,Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge birth pregnant moms parents,1
402421765718032384,Cortisol-like medications used while pregnant may contribute to ...,1
396324727020482561,srudavsky Bei Bei Shuai higher cortisol levels and higher rate of depression 4 pregnant women. INInfantMortality,1
391590988579627008,WikiPickie MiraTweeta julieanneda globeandmail I'm proof. Mother full of cortisol while pregnant. I suffer chronic anxiety!,1
390578771776262144,Kelpie_Daisy actually cortisol is caused from stress which breaks down your telomeres. Which does not mean you have to be pregnant.,1
389460757681016832,Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge http://circumcision.org i2 pregnant parents,1
380355335216979970,WaitingMama2012 possibly low cortisol(I have that too) and I got pregnant but can't carry (that may be my immune sys or evil uterus).,1
372821754558693376,ooohjess or i could just get pregnant to lower my cortisol levels handy 2birds1stone babies,1
359967434800775168,"One study found that pregnant women who fasted had higher levels of the stress hormone, cortisol, in their blood than women who didn't.",1
355295618849193984,"One study found that pregnant women who fasted had higher levels of the stress hormone, cortisol, in their blood than women who didn't.",1
347525434449219585,jayashrikulkar1: We need to watch the mental state of pregnant women because elevated levels of cortisol transfer to fetus ThinkBeHappy,1
343365694768955393,"Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge. Torture!

birth pregnant moms parents",1
335326287067492352,"In pregnant mothers with anxiety, production of the enzyme 11- HSD2 decreases and this could expose the unborn baby to more cortisol",1
333249003221303298,We need to help moms to stress less while pregnant to decrease the cortisol levels in her brain which influence the cortisol in baby.,1
318018591532392448,Did you know if you eat liquorice when pregnant your baby's exposed to cortisol which causes health problems in later life. trudat,1
403903501224247296,Thayer: most ethical way to look at stress in pregnant women is to look at diurnal cortisol rhythm aaa2013,1
403758561656049664,Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge birth pregnant moms parents,1
402421765718032384,Cortisol-like medications used while pregnant may contribute to ...,1
396324727020482561,srudavsky Bei Bei Shuai higher cortisol levels and higher rate of depression 4 pregnant women. INInfantMortality,1
391590988579627008,WikiPickie MiraTweeta julieanneda globeandmail I'm proof. Mother full of cortisol while pregnant. I suffer chronic anxiety!,1
390578771776262144,Kelpie_Daisy actually cortisol is caused from stress which breaks down your telomeres. Which does not mean you have to be pregnant.,1
389460757681016832,Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge http://circumcision.org i2 pregnant parents,1
380355335216979970,WaitingMama2012 possibly low cortisol(I have that too) and I got pregnant but can't carry (that may be my immune sys or evil uterus).,1
372821754558693376,ooohjess or i could just get pregnant to lower my cortisol levels handy 2birds1stone babies,1
359967434800775168,"One study found that pregnant women who fasted had higher levels of the stress hormone, cortisol, in their blood than women who didn't.",1
355295618849193984,"One study found that pregnant women who fasted had higher levels of the stress hormone, cortisol, in their blood than women who didn't.",1
347525434449219585,jayashrikulkar1: We need to watch the mental state of pregnant women because elevated levels of cortisol transfer to fetus ThinkBeHappy,1
343365694768955393,"Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge. Torture!

birth pregnant moms parents",1
335326287067492352,"In pregnant mothers with anxiety, production of the enzyme 11- HSD2 decreases and this could expose the unborn baby to more cortisol",1
333249003221303298,We need to help moms to stress less while pregnant to decrease the cortisol levels in her brain which influence the cortisol in baby.,1
318018591532392448,Did you know if you eat liquorice when pregnant your baby's exposed to cortisol which causes health problems in later life. trudat,1
113227980867764224,"Timely cortisol / ptsd research ""sandygautam: Pregnant 9/11 survivors transmitted trauma to their children http://goo.gl/0FcFH"" fb",1
107700933282115584,Stress levels increase in pregnant women during disasters = increases cortisol levels = anxious babies = anxious adults Irene,1
91168166587285504,"As part of his research into the triggers of _labour_, he had infused the pregnant ewe with cortisol. This appeared... http://dlvr.it/b2ksL",1
76693843210280960,"Too stressed to get pregnant? Stress creates cortisol which competes w progesterone, preventing pregnancy. Chill out w a hot stone massage!",1
63916871103164416,Gentle vs. aversive handling of pregnant ewes: I. Maternal cortisol behavior http://dlvr.it/Q5HyN,1
49983392825090048,alanakuwabara when you are pregnant your cortisol levels are higher than normal.  So it does feel like coffee power & (sigh) normal.,1
113227980867764224,"Timely cortisol / ptsd research ""sandygautam: Pregnant 9/11 survivors transmitted trauma to their children http://goo.gl/0FcFH"" fb",1
107700933282115584,Stress levels increase in pregnant women during disasters = increases cortisol levels = anxious babies = anxious adults Irene,1
91168166587285504,"As part of his research into the triggers of _labour_, he had infused the pregnant ewe with cortisol. This appeared... http://dlvr.it/b2ksL",1
76693843210280960,"Too stressed to get pregnant? Stress creates cortisol which competes w progesterone, preventing pregnancy. Chill out w a hot stone massage!",1
63916871103164416,Gentle vs. aversive handling of pregnant ewes: I. Maternal cortisol behavior http://dlvr.it/Q5HyN,1
49983392825090048,alanakuwabara when you are pregnant your cortisol levels are higher than normal.  So it does feel like coffee power & (sigh) normal.,1
589091880614375424,nyztt2015 Anxiety more predictive of intrusiveness than depression. Cortisol of pregnant mom => immediate surge in babies. Falls away.,1
575090493815676929,You can tell that I am going through a rough time when I look more pregnant than my sister cortisol,1
571247156520206336,Pregnant?  New study shows omega3 can reduce stress during pregnancy and lower cortisol levels ... - PubMed - NCBI http://www.ncbi.nlm.nih.gov/pubmed/25415158?dopt=Abstract,1
556458485131776000,"Infants whose mothers experienced ethnic discrimination while pregnant show stress effect, cortisol reactivity: http://ow.ly/H8Isl""",1
555469907643875329,"Infants whose mothers experienced ethnic discrimination while pregnant show stress effect, more cortisol reactivity: http://ow.ly/H8Isl",1
553374907799576576,most encouraging thing I've learnt all day: increased social support for pregnant women lowers cortisol levels + improves baby's development,1
544403032331784192,EmilyODowd1 if you're currently pregnant your child is going to be aggressive and lower cog development. Get down that cortisol level Gurl.,1
541900316107882497,The Acute Autonomic Stress Response and Amniotic Fluid Glucocorticoids in Second-Trimester Pregnant Women http://www.ncbi.nlm.nih.gov/pubmed/25478705 cortisol,1
530711321734430721,DHA Supplements May Reduce Stress in Pregnant Women: The saliva tests measured the women's cortisol levels before http://binged.it/10xzVwd,1
530703412212420608,DHA Supplements May Reduce Stress in Pregnant Women: The saliva tests measured the women's cortisol levels before http://binged.it/10xscOO,1
530473150900097025,Did u know? Pregnant moms have higher cortisol levels and so do their newborns. childrencanthrive,1
530413757085011969,Angela Bowen: pregnant women who have depression -- more cortisol produced that will affect the pregnancy cam2014 midwives,1
529592326063419392,Salivary cortisol response to infant distress in pregnant women with depressive symptoms http://www.ncbi.nlm.nih.gov/pubmed/25352317 salivarycortisol,1
522781128579878913,Pregnant smokers with PTSD have the highest level of cortisol compared to those with PTSD alone or smokers alone: http://ow.ly/BRWmA,1
513893028881518593,"Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge

i2 pregnant expecting parents",1
508821825774575618,Thinking of telling my pregnant in-law that the cortisol released from stress leads to a gay baby & enjoy what reaction comes up,1
502145109488857088,Study by HSPH_Superfund: Blood lead levels assoc. w/cortisol response in pregnant women may explain health outcomes http://bit.ly/1sUE9I5,1
589091880614375424,nyztt2015 Anxiety more predictive of intrusiveness than depression. Cortisol of pregnant mom => immediate surge in babies. Falls away.,1
575090493815676929,You can tell that I am going through a rough time when I look more pregnant than my sister cortisol,1
571247156520206336,Pregnant?  New study shows omega3 can reduce stress during pregnancy and lower cortisol levels ... - PubMed - NCBI http://www.ncbi.nlm.nih.gov/pubmed/25415158?dopt=Abstract,1
556458485131776000,"Infants whose mothers experienced ethnic discrimination while pregnant show stress effect, cortisol reactivity: http://ow.ly/H8Isl""",1
555469907643875329,"Infants whose mothers experienced ethnic discrimination while pregnant show stress effect, more cortisol reactivity: http://ow.ly/H8Isl",1
553374907799576576,most encouraging thing I've learnt all day: increased social support for pregnant women lowers cortisol levels + improves baby's development,1
544403032331784192,EmilyODowd1 if you're currently pregnant your child is going to be aggressive and lower cog development. Get down that cortisol level Gurl.,1
541900316107882497,The Acute Autonomic Stress Response and Amniotic Fluid Glucocorticoids in Second-Trimester Pregnant Women http://www.ncbi.nlm.nih.gov/pubmed/25478705 cortisol,1
530711321734430721,DHA Supplements May Reduce Stress in Pregnant Women: The saliva tests measured the women's cortisol levels before http://binged.it/10xzVwd,1
530703412212420608,DHA Supplements May Reduce Stress in Pregnant Women: The saliva tests measured the women's cortisol levels before http://binged.it/10xscOO,1
530473150900097025,Did u know? Pregnant moms have higher cortisol levels and so do their newborns. childrencanthrive,1
530413757085011969,Angela Bowen: pregnant women who have depression -- more cortisol produced that will affect the pregnancy cam2014 midwives,1
529592326063419392,Salivary cortisol response to infant distress in pregnant women with depressive symptoms http://www.ncbi.nlm.nih.gov/pubmed/25352317 salivarycortisol,1
522781128579878913,Pregnant smokers with PTSD have the highest level of cortisol compared to those with PTSD alone or smokers alone: http://ow.ly/BRWmA,1
513893028881518593,"Baby boys respond to circumcision with marked reduction in oxygenation & a cortisol surge

i2 pregnant expecting parents",1
508821825774575618,Thinking of telling my pregnant in-law that the cortisol released from stress leads to a gay baby & enjoy what reaction comes up,1
502145109488857088,Study by HSPH_Superfund: Blood lead levels assoc. w/cortisol response in pregnant women may explain health outcomes http://bit.ly/1sUE9I5,1
775729839227764736,TheSRIP borja romero-gonzalez presenting on hair cortisol &perceived stress among pregnant physically active women pic.twitter.com/rWLZhg6G1o,1
775072928295751680,Moms who were pregnant during 9/11 share their stories - http://buff.ly/2c1YVYK Cortisol,1
775072925640749056,Moms who were pregnant during 9/11 share their stories - http://buff.ly/2c20tlc Cortisol,1
772334520548806656,The Association between Hair Cortisol and Self-Reported Symptoms of Depression in Pregnant Women https://drumup.io/s/S00Q6y,1
772134163331690496,The Association between Hair Cortisol and Self-Reported Symptoms of Depression in Pregnant Women http://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0161804,1
771166048351506432,Being pregnant is crying your eyes out and feeling like a shithead for putting your developing baby through that cortisol storm.,1
765095839807275008,"Momentary stress, cortisol, and gestational length among pregnant victims of childhood maltreatment: a pilot study. http://www.ncbi.nlm.nih.gov/pubmed/27512497",1
762385377147498496,Salivary cortisol in pregnant women suffering from blood and injection phobia psychologycases http://medworm.com/index.php?rid=5229310&amp;cid=c_306_36_f&amp;fid=33468&amp;url=http%3A%2F%2Fwww.springerlink.com%2Fcontent%2Fu21w47u1un511511%2F,1
756606440119336960,Hair cortisol as a hypothalamic-pituitary-adrenal axis biomarker in pregnant women with asthma.  http://www.ncbi.nlm.nih.gov/pubmed/27440139,1
756466736124178433,Pubmed: Hair cortisol as a hypothalamic-pituitary-adrenal axis biomarker in pregnant women with asthma: a http://dlvr.it/Ls3dlR,1
