tweet_id,tweet,class
2461321794,Just experienced the joy of a cracked tooth at 8.5 months pregnant- had extraction and am recuperating at home.,1
2461321794,Just experienced the joy of a cracked tooth at 8.5 months pregnant- had extraction and am recuperating at home.,1
13441125022,"Working theory is that Face Eating Mouse of yesterday's extraction was super fat, and therefore pregnant. This morning's mouse was slimmer.",1
13357956776,Pregnancy news & art-  Vacuum Extraction http://url4.eu/39QI2,1
9648689073,"aubchic march 15th is extraction day! 17 more days, im sooo done being pregnant, ive felt miserable this last trimester",1
9150571499,"If a woman of Asian extraction got pregnant by an Asian man and then had an abortion, could she be said to have been disoriented?",1
5801000265,"PrenatalYoga 6mths pregnant with really bad toothache,think filling & tooth need to come out?Is extraction safe & what can I use for pain?",1
4386447187,"Pemarine (PREgnant MARe's urINE, literally) is a synthetic estrogen used to treat hormone deficiency, but the extraction method of getting",1
4324716920,pregnant women always take antibiotics after a dental extraction. Take good care of your teeth ladies!,1
13441125022,"Working theory is that Face Eating Mouse of yesterday's extraction was super fat, and therefore pregnant. This morning's mouse was slimmer.",1
13357956776,Pregnancy news & art-  Vacuum Extraction http://url4.eu/39QI2,1
9648689073,"aubchic march 15th is extraction day! 17 more days, im sooo done being pregnant, ive felt miserable this last trimester",1
9150571499,"If a woman of Asian extraction got pregnant by an Asian man and then had an abortion, could she be said to have been disoriented?",1
5801000265,"PrenatalYoga 6mths pregnant with really bad toothache,think filling & tooth need to come out?Is extraction safe & what can I use for pain?",1
4386447187,"Pemarine (PREgnant MARe's urINE, literally) is a synthetic estrogen used to treat hormone deficiency, but the extraction method of getting",1
4324716920,pregnant women always take antibiotics after a dental extraction. Take good care of your teeth ladies!,1
29497601791,"Are you Pregnant?: Many mothers have experienced gum disease, dental pain and/or tooth extraction during or shortl... http://bit.ly/d2IEqq",1
27624010231,tooth extraction while pregnant is it safe? http://dentaltooth.co.cc/?p=6675,1
23106947305,"OHHHH the ""i'm from french extraction"" girl. I'd do her. I'd do Mrs Campbell Wife... really even pregnant.",1
21936713334,I'm in the homestretch with the twins. Estimated extraction date is Sept 13th. I hate being pregnant in this heat.,1
21903960832,Pregnancy news & art-  Vacuum Extraction http://url4.eu/70Rvl,1
19424363240,Pregnancy news & art-  Vacuum Extraction http://url4.eu/6Jx7u,1
29497601791,"Are you Pregnant?: Many mothers have experienced gum disease, dental pain and/or tooth extraction during or shortl... http://bit.ly/d2IEqq",1
27624010231,tooth extraction while pregnant is it safe? http://dentaltooth.co.cc/?p=6675,1
23106947305,"OHHHH the ""i'm from french extraction"" girl. I'd do her. I'd do Mrs Campbell Wife... really even pregnant.",1
21936713334,I'm in the homestretch with the twins. Estimated extraction date is Sept 13th. I hate being pregnant in this heat.,1
21903960832,Pregnancy news & art-  Vacuum Extraction http://url4.eu/70Rvl,1
19424363240,Pregnancy news & art-  Vacuum Extraction http://url4.eu/6Jx7u,1
217382406385184768,When is Operation Baby Extraction? RT JohnPFelts Is there a proper way to ask a girl if she's pregnant or not?  saynothingatall,1
207754853387206657,I mean if having a puss extraction scared the hell out of me what more for a pregnant lady to give birth.,1
198244629446012928,"On the same note, due to my pregnant status and the state of my tooth. It doesn't look like it can be saved. :( Candidate for extraction",1
189686086870634496,*Asian pregnancy test* insert Rubik in to the woman's coin slot wait until 1 minute before extraction if its solved your pregnant,1
184333875063947265,At the dentist today. Options: root canal or extraction. Insurance won't cover a root canal unless you're pregnant. Volunteers anyone?,1
182095748626776064,"Doctors attending pregnant women should be trained to be proficient in life saving procedures like CS, forceps delivery & vacuum extraction",1
157456457305047040,"exhumation, sperm extraction. If the person wasn't dead too long. RT dYahna_2: This lady got pregnant by a dead man!!! The world is ending.",1
132512521163780096,CountessBezuhov ClassicBookworm Sorry re tooth extraction-ouch! I haven't heard of pregnant women being told 2 avoid peanuts but who knows,1
217382406385184768,When is Operation Baby Extraction? RT JohnPFelts Is there a proper way to ask a girl if she's pregnant or not?  saynothingatall,1
207754853387206657,I mean if having a puss extraction scared the hell out of me what more for a pregnant lady to give birth.,1
198244629446012928,"On the same note, due to my pregnant status and the state of my tooth. It doesn't look like it can be saved. :( Candidate for extraction",1
189686086870634496,*Asian pregnancy test* insert Rubik in to the woman's coin slot wait until 1 minute before extraction if its solved your pregnant,1
184333875063947265,At the dentist today. Options: root canal or extraction. Insurance won't cover a root canal unless you're pregnant. Volunteers anyone?,1
182095748626776064,"Doctors attending pregnant women should be trained to be proficient in life saving procedures like CS, forceps delivery & vacuum extraction",1
157456457305047040,"exhumation, sperm extraction. If the person wasn't dead too long. RT dYahna_2: This lady got pregnant by a dead man!!! The world is ending.",1
132512521163780096,CountessBezuhov ClassicBookworm Sorry re tooth extraction-ouch! I haven't heard of pregnant women being told 2 avoid peanuts but who knows,1
569719562326962177,Indian Army soldiers help carry a pregnant woman to a helicopter extraction point for later treatment at a... http://fb.me/4bKZTZd0a,1
569051506948722688,RT CombatJourno: Indian Army soldiers help carry a pregnant woman to a helicopter extraction point for later treat http://ift.tt/1DAwK8P,1
568807108189298688,Indian Army soldiers help carry a pregnant woman to a helicopter extraction point for later treatment at a hospital http://fb.me/4m7ubcMTb,1
568793630959398913,RT CombatJourno: Indian Army soldiers help carry a pregnant woman to a helicopter extraction point for later treat http://ift.tt/1DAwK8P,1
568669491879673856,Indian Army soldiers help carry a pregnant woman to a helicopter extraction point for later treatment at a hospital pic.twitter.com/8iGan4HmCg,1
568079774469496832,Nofilter spraytan for pregnant women is safe! We have extraction booths that will make sure you http://instagram.com/p/zP6ovTIFqp/,1
559317523179376642,I liked a YouTube video http://youtu.be/YihfTmo1U90?a 15 Weeks Pregnant | Tooth Extraction & Oral Surgery,1
556035966318542848,Superego burden debt of nature rear extraction pluralism affluent if them conform these pregnant escalier: rClgt,1
549363822411407360,"rambleginger I had the extraction in 2011 then got pregnant, then I was nursing, then I forgot for a year so just getting the implant now.",1
547273515078922240,Hopefully they can actually do this extraction. Especially with me being pregnant n all...,1
544913568328855552,When you've had kidney stones and wisdom tooth extraction where the anaesthesia wore off...pregnant women need to SHUT THE FUCK UP...,1
542522571590086657,"Pregnant Wife asks. Do I look fat? 

That is clear and present danger.

Calls for an extraction team.",1
524181255592878080,Quantitative determination of telavancin in pregnant baboon plasma by solid-phase extraction and LCESIMS http://bit.ly/1rM7K2O,1
510699942546243584,http://buff.ly/1tQXDQU unusualsex Fresh extraction of milk Instead of cows they use pregnant females. The same effe pic.twitter.com/HUBEI7Yq1Z,1
569719562326962177,Indian Army soldiers help carry a pregnant woman to a helicopter extraction point for later treatment at a... http://fb.me/4bKZTZd0a,1
569051506948722688,RT CombatJourno: Indian Army soldiers help carry a pregnant woman to a helicopter extraction point for later treat http://ift.tt/1DAwK8P,1
568807108189298688,Indian Army soldiers help carry a pregnant woman to a helicopter extraction point for later treatment at a hospital http://fb.me/4m7ubcMTb,1
568793630959398913,RT CombatJourno: Indian Army soldiers help carry a pregnant woman to a helicopter extraction point for later treat http://ift.tt/1DAwK8P,1
568669491879673856,Indian Army soldiers help carry a pregnant woman to a helicopter extraction point for later treatment at a hospital pic.twitter.com/8iGan4HmCg,1
568079774469496832,Nofilter spraytan for pregnant women is safe! We have extraction booths that will make sure you http://instagram.com/p/zP6ovTIFqp/,1
559317523179376642,I liked a YouTube video http://youtu.be/YihfTmo1U90?a 15 Weeks Pregnant | Tooth Extraction & Oral Surgery,1
556035966318542848,Superego burden debt of nature rear extraction pluralism affluent if them conform these pregnant escalier: rClgt,1
549363822411407360,"rambleginger I had the extraction in 2011 then got pregnant, then I was nursing, then I forgot for a year so just getting the implant now.",1
547273515078922240,Hopefully they can actually do this extraction. Especially with me being pregnant n all...,1
544913568328855552,When you've had kidney stones and wisdom tooth extraction where the anaesthesia wore off...pregnant women need to SHUT THE FUCK UP...,1
542522571590086657,"Pregnant Wife asks. Do I look fat? 

That is clear and present danger.

Calls for an extraction team.",1
524181255592878080,Quantitative determination of telavancin in pregnant baboon plasma by solid-phase extraction and LCESIMS http://bit.ly/1rM7K2O,1
510699942546243584,http://buff.ly/1tQXDQU unusualsex Fresh extraction of milk Instead of cows they use pregnant females. The same effe pic.twitter.com/HUBEI7Yq1Z,1
313723294559895553,Wisdom tooth extraction on a pregnant patient. That's what I do!,1
311528965795880960,"Study: Heavier pregnant women may face higher c-section, vacuum-extraction & forceps risk. http://2soc.us/d882",1
307347399528022016,Acute fetal distress following tooth extraction and abscess drainage in a pregnant patient with maxillofacial infecti http://bit.ly/YM9n61,1
299792999787925505,How many of these horses were farmed for hormone extraction and kept constantly pregnant?,1
288529876770750465,VivaLaTsega: they told me I can't eat or drink anything including water 8hours before the extraction you're pregnant???,1
278219682727731203,Explanation: about to get 2 tooth implants when I found out I was pregnant. Now need extraction on other side. Hence 9 mos of hunger.,1
274762199862476800,YanieBasri OMG!!! I know rite!!! I'm having the same thing too at this moment & it sucks bcoz I'm pregnant & I can't do tooth extraction,1
257626053785317376,"Ask Which is safer when pregnant root canal or extraction?: ...and went to the dentist a week ago, my tooth 15... http://twal.kr/TQPI47",1
247444584186146817,http://sciencealerts.com Evaluation of Masimo signal extraction technology pulse oximetry in anaesthetized pregnant sheep http://dlvr.it/29KMy2,1
247444420327251968,http://sciencealerts.com Evaluation of Masimo signal extraction technology pulse oximetry in anaesthetized pregnant sheep http://dlvr.it/29KMkk,1
244558031050907648,Pregnant extraction - 5 of the Most tasteless Causes of Vaginal Discharges during Pregnancy!: Bacterial Std - Pr... http://bit.ly/QpTnoq,1
244438270266712065,Twin pregnant pt has cm 4 da delivery.some times breech extraction may do. Ask from tilan.,1
242962465674108928,"Fresh extraction of milk: Release Year: 2011
Video language: English

Instead of cows they use pregnant females.... http://bit.ly/TdBMR5",1
239513021666455552,I did DNA extraction and PCR while pregnant. (._.) My professor was like...uhm...you prrrrobably shouldn't touch that ethidium bromide.,1
236719171323449344,Omg facialist today was a pregnant lady!i think she took out all her frustrations on me during extraction -_-,1
232295197218856961,breathing technique lessen the    pain during blood extraction acdg to 2ndavenue's PREGNANT IN HEELS. Take a deep breath.Famous MMC spiel!!,1
231222698938888192,AMotherhoodBlog MommyMomentMom I wonder what they can do for pain management for an extraction while pregnant.,1
222159822861250560,Pregnant lady did my extraction. Man she's good that was like 5 min job.,1
313723294559895553,Wisdom tooth extraction on a pregnant patient. That's what I do!,1
311528965795880960,"Study: Heavier pregnant women may face higher c-section, vacuum-extraction & forceps risk. http://2soc.us/d882",1
307347399528022016,Acute fetal distress following tooth extraction and abscess drainage in a pregnant patient with maxillofacial infecti http://bit.ly/YM9n61,1
299792999787925505,How many of these horses were farmed for hormone extraction and kept constantly pregnant?,1
288529876770750465,VivaLaTsega: they told me I can't eat or drink anything including water 8hours before the extraction you're pregnant???,1
278219682727731203,Explanation: about to get 2 tooth implants when I found out I was pregnant. Now need extraction on other side. Hence 9 mos of hunger.,1
274762199862476800,YanieBasri OMG!!! I know rite!!! I'm having the same thing too at this moment & it sucks bcoz I'm pregnant & I can't do tooth extraction,1
257626053785317376,"Ask Which is safer when pregnant root canal or extraction?: ...and went to the dentist a week ago, my tooth 15... http://twal.kr/TQPI47",1
247444584186146817,http://sciencealerts.com Evaluation of Masimo signal extraction technology pulse oximetry in anaesthetized pregnant sheep http://dlvr.it/29KMy2,1
247444420327251968,http://sciencealerts.com Evaluation of Masimo signal extraction technology pulse oximetry in anaesthetized pregnant sheep http://dlvr.it/29KMkk,1
244558031050907648,Pregnant extraction - 5 of the Most tasteless Causes of Vaginal Discharges during Pregnancy!: Bacterial Std - Pr... http://bit.ly/QpTnoq,1
244438270266712065,Twin pregnant pt has cm 4 da delivery.some times breech extraction may do. Ask from tilan.,1
242962465674108928,"Fresh extraction of milk: Release Year: 2011
Video language: English

Instead of cows they use pregnant females.... http://bit.ly/TdBMR5",1
239513021666455552,I did DNA extraction and PCR while pregnant. (._.) My professor was like...uhm...you prrrrobably shouldn't touch that ethidium bromide.,1
236719171323449344,Omg facialist today was a pregnant lady!i think she took out all her frustrations on me during extraction -_-,1
232295197218856961,breathing technique lessen the    pain during blood extraction acdg to 2ndavenue's PREGNANT IN HEELS. Take a deep breath.Famous MMC spiel!!,1
231222698938888192,AMotherhoodBlog MommyMomentMom I wonder what they can do for pain management for an extraction while pregnant.,1
222159822861250560,Pregnant lady did my extraction. Man she's good that was like 5 min job.,1
955741771736272896,Killing a pregnant woman is ungodly. Whosoever responsible should be brought to the book. The only thing i disprove is associating this inhumanity to the Fulani extraction cox just of recent Benue State Governor Masterminded similar attack on his people just to paint Fulani Black https://twitter.com/benmurraybruce/status/954050836166045697,1
951510317879758848,"Most Medicaid recipients can not or should not be working. Forcing someone who's pregnant or disabled to have a job could profoundly damage their health. 

You shouldn't have to offer yourself up for profit extraction to maintain your dignity. https://twitter.com/washingtonpost/status/951414613966454784",1
946120130496430086,youtube: peppa pig tooth extraction pain crying pregnant elsa,1
938454647928492032,"""dilation and extraction,"" or D&X, and ""intact D&E,"" it involves removing the fetus intact by dilating a pregnant woman's cervix, then pulling the entire body out through the birth canal.",1
930678429330141184,This madness must end. This outright disregard for the Nigerians of Igbo extraction must end. This collective insult against the people of SE Nigeria by their pregnant governors must end. Something must give way. Someone/something must shift.,1
929782905106321415,"Goal: Ban the importation of meat products linked to equine chorionic gonadotropin extraction.

Pregnant horses... http://fb.me/TR09AJC5",1
926152578471202816,That's uncommon for you. For me bitches form my school got pregnant in 7th grade and up,1
925050584633397248,"Dr. Ms favorite joke before an extraction-Al whats the difference between a pregnant lady & a light bulb??
Me-....
Him-you can unscrew one, but cant the other! 
kneeslapper ",1
906396725664817152,Indian Army soldiers help carrying a pregnant lady to extraction point from where she would be taken to hospital.,1
899745522784886784,"Had a top wisdom tooth removed when I was pregnant, so no drugs to speak of. It wasn't as bad as the pain that required its extraction ",1
898783284854796289,"The transfer of industrialsupercriticalco2 extraction from pregnant mice to their offspring, http://bit.ly/2vMAm91pic.twitter.com/FfZ9p3Lkve",1
880620788595834880,Got result of the blood extraction... all i understand is not pregnant  pic.twitter.com/7oR2d4WlZM,1
879562677391175680,If it ain't my wisdom tooth I know damn well it's an extraction  ... and I'm pregnant and extra emotional imma be such a baby cry.,1
877426281952006145,Between being pregnant and recovering from a wisdom tooth extraction there's no such thing as sleep,1
955741771736272896,Killing a pregnant woman is ungodly. Whosoever responsible should be brought to the book. The only thing i disprove is associating this inhumanity to the Fulani extraction cox just of recent Benue State Governor Masterminded similar attack on his people just to paint Fulani Black https://twitter.com/benmurraybruce/status/954050836166045697,1
951510317879758848,"Most Medicaid recipients can not or should not be working. Forcing someone who's pregnant or disabled to have a job could profoundly damage their health. 

You shouldn't have to offer yourself up for profit extraction to maintain your dignity. https://twitter.com/washingtonpost/status/951414613966454784",1
946120130496430086,youtube: peppa pig tooth extraction pain crying pregnant elsa,1
938454647928492032,"""dilation and extraction,"" or D&X, and ""intact D&E,"" it involves removing the fetus intact by dilating a pregnant woman's cervix, then pulling the entire body out through the birth canal.",1
930678429330141184,This madness must end. This outright disregard for the Nigerians of Igbo extraction must end. This collective insult against the people of SE Nigeria by their pregnant governors must end. Something must give way. Someone/something must shift.,1
929782905106321415,"Goal: Ban the importation of meat products linked to equine chorionic gonadotropin extraction.

Pregnant horses... http://fb.me/TR09AJC5",1
926152578471202816,That's uncommon for you. For me bitches form my school got pregnant in 7th grade and up,1
925050584633397248,"Dr. Ms favorite joke before an extraction-Al whats the difference between a pregnant lady & a light bulb??
Me-....
Him-you can unscrew one, but cant the other! 
kneeslapper ",1
906396725664817152,Indian Army soldiers help carrying a pregnant lady to extraction point from where she would be taken to hospital.,1
899745522784886784,"Had a top wisdom tooth removed when I was pregnant, so no drugs to speak of. It wasn't as bad as the pain that required its extraction ",1
898783284854796289,"The transfer of industrialsupercriticalco2 extraction from pregnant mice to their offspring, http://bit.ly/2vMAm91pic.twitter.com/FfZ9p3Lkve",1
880620788595834880,Got result of the blood extraction... all i understand is not pregnant  pic.twitter.com/7oR2d4WlZM,1
879562677391175680,If it ain't my wisdom tooth I know damn well it's an extraction  ... and I'm pregnant and extra emotional imma be such a baby cry.,1
877426281952006145,Between being pregnant and recovering from a wisdom tooth extraction there's no such thing as sleep,1
678372711651934208,15 Weeks Pregnant | Tooth Extraction & OralSurgery http://www.youtube.com/watch?feature=player_embedded&v=YihfTmo1U90 http://glanzend.co.za/2015/01/25/15-weeks-pregnant-tooth-extraction-oral-surgery/,1
667352741342150656,Amniocentesis  extraction by centesis of amniotic fluid from a pregnantwoman https://satgrevocabulary.wordpress.com/2015/11/19/amniocentesis-extraction-by-centesis-of-amniotic-fluid-from-a-pregnant-woman,1
667352730743107584,(pregnancy) extraction by centesis of amniotic fluid from a pregnant woman (after the 15th week of pregnancy) to... http://fb.me/4jCFLYtWp,1
652937815668322304,"StopTheFrackAttack ""Any form of energy extraction that harms the well-being of infants and pregnant women has no... http://fb.me/7C5gUEVxO",1
643955303839629312,"Being pregnant and enduring a 4-hour, no eating,3 blood extraction and having to drink this awful https://instagram.com/p/7rC1PnxBte/",1
617870168153325568,I just watched a wisdom tooth extraction video. It was a worse idea than when I decided to watch a c-section while pregnant.,1
613845535129079808,"Did THE coolest extraction today. Full abscess came out, it looked like a pregnant cockroach. Freaking sweet.",1
613395094553653248,I liked a YouTube video http://youtu.be/YihfTmo1U90?a 15 Weeks Pregnant | Tooth Extraction & Oral Surgery,1
597123725625053185,"MinaANDMaya: Pfizer Pregnant mares kept tiny stalls, attached 2 extraction bags https://www.change.org/p/pfizer-take-horse-urine-out-of-hormone-medication?recruiter=51648533&utm_source=share_sponsor&utm_medium=twitter&utm_campaign=share_twitter_responsive premarin prempro hormones",1
678372711651934208,15 Weeks Pregnant | Tooth Extraction & OralSurgery http://www.youtube.com/watch?feature=player_embedded&v=YihfTmo1U90 http://glanzend.co.za/2015/01/25/15-weeks-pregnant-tooth-extraction-oral-surgery/,1
667352741342150656,Amniocentesis  extraction by centesis of amniotic fluid from a pregnantwoman https://satgrevocabulary.wordpress.com/2015/11/19/amniocentesis-extraction-by-centesis-of-amniotic-fluid-from-a-pregnant-woman,1
667352730743107584,(pregnancy) extraction by centesis of amniotic fluid from a pregnant woman (after the 15th week of pregnancy) to... http://fb.me/4jCFLYtWp,1
652937815668322304,"StopTheFrackAttack ""Any form of energy extraction that harms the well-being of infants and pregnant women has no... http://fb.me/7C5gUEVxO",1
643955303839629312,"Being pregnant and enduring a 4-hour, no eating,3 blood extraction and having to drink this awful https://instagram.com/p/7rC1PnxBte/",1
617870168153325568,I just watched a wisdom tooth extraction video. It was a worse idea than when I decided to watch a c-section while pregnant.,1
613845535129079808,"Did THE coolest extraction today. Full abscess came out, it looked like a pregnant cockroach. Freaking sweet.",1
613395094553653248,I liked a YouTube video http://youtu.be/YihfTmo1U90?a 15 Weeks Pregnant | Tooth Extraction & Oral Surgery,1
