tweet_id,tweet,class
508006966137217024,"YouTube - CDC ""Whistleblower"" Now Says He'd NEVER Inject His Pregnant Wife with a Flu-Shot: http://youtu.be/32nO3rpeBD4",1
508006966137217024,"YouTube - CDC ""Whistleblower"" Now Says He'd NEVER Inject His Pregnant Wife with a Flu-Shot: http://youtu.be/32nO3rpeBD4",1
148097966081720320,"Jessica Alba Tells Us Which Toxic Chemicals YOU Should Avoid - http://healthfreedoms.org/2011/12/14/jessica-alba-tells-us-which-toxic-chemicals-you-should-avoid/
Wish she would incl.Flu-shot promoted to pregnant women",1
148097966081720320,"Jessica Alba Tells Us Which Toxic Chemicals YOU Should Avoid - http://healthfreedoms.org/2011/12/14/jessica-alba-tells-us-which-toxic-chemicals-you-should-avoid/
Wish she would incl.Flu-shot promoted to pregnant women",1
2906773277,Pregnant women likely on flu-shot list http://tinyurl.com/npyw7t,1
2906773277,Pregnant women likely on flu-shot list http://tinyurl.com/npyw7t,1
437782380493803520,"Thimerasol, preservative for immunizations that is 50%Mercury, also used in flu-Shot for pregnant woman.CDC withheld study linking 2 autism.",1
437782380493803520,"Thimerasol, preservative for immunizations that is 50%Mercury, also used in flu-Shot for pregnant woman.CDC withheld study linking 2 autism.",1
843878505330876416,how can it be worse. My husband pay 750 a month. He can get prenatal care but no FLU-SHOT.  If he gets pregnant we are covered,1
843878505330876416,how can it be worse. My husband pay 750 a month. He can get prenatal care but no FLU-SHOT.  If he gets pregnant we are covered,1
1240017296753676288,"Could H-Chloroquine be synonymous with a flu-shot but for C19? No significant side effects, off patent, cheap, pregnant women can take it. To slow spread by preventative care...",1
1210291300014022656,"How about this: flu-shot cuts pregnant women's chance of stillbirth by half

https://academic.oup.com/cid/article/62/10/1221/2462656",1
1240017296753676288,"Could H-Chloroquine be synonymous with a flu-shot but for C19? No significant side effects, off patent, cheap, pregnant women can take it. To slow spread by preventative care...",1
1210291300014022656,"How about this: flu-shot cuts pregnant women's chance of stillbirth by half

https://academic.oup.com/cid/article/62/10/1221/2462656",1
16660473432768512,"Flu-Shot Demand Droops; Prices Fall: Last fall, hordes of worried parents, pregnant women and others drove deman... http://bit.ly/fyCXPA",1
16652784627613697,"Flu-Shot Demand Droops; Prices Fall: Last fall, hordes of worried parents, pregnant women and others drove deman... http://bit.ly/iaij8p",1
16650686653530112,"Flu-Shot Demand Droops; Prices Fall: Last fall, hordes of worried parents, pregnant women and others drove deman... http://bit.ly/hE9clF",1
