tweet_id,tweet,class
3432118842,"Pregnant women over here drink bucketloads of Gaviscon, but not sure if you get that in the US. Similar to Pepto-Bismol I think.",1
3380725823,I'm 32 weeks pregnant with twins. My ligaments are stretched to the max and I'm living on gaviscon!!!! Having a pity party day!,1
3276713476,goodcatmum Not so good. Hope it disappears soon. I spent many a night swigging Gaviscon when i was pregnant. It's not that?,1
2844361631,"TonyLetts Ah, memories of Gaviscon. I was practically addicted to it when I was pregnant - had such terrible heartburn. It works though!",1
2191315626,lobelia my partner had bad heart burn all the time when she was pregnant both times. Gaviscon was the only answer in the end.,1
1828607014,Wouldn't recommend rhubarb crumble after night of red wine.Almost frothing at the mouth & feel 8 mmth pregnant after half pint of gaviscon.,1
1253232985,Gumpos glad it semi worked! I suffered badly when I was pregnant and was drinking gaviscon like anything lol,1
3432118842,"Pregnant women over here drink bucketloads of Gaviscon, but not sure if you get that in the US. Similar to Pepto-Bismol I think.",1
3380725823,I'm 32 weeks pregnant with twins. My ligaments are stretched to the max and I'm living on gaviscon!!!! Having a pity party day!,1
3276713476,goodcatmum Not so good. Hope it disappears soon. I spent many a night swigging Gaviscon when i was pregnant. It's not that?,1
2844361631,"TonyLetts Ah, memories of Gaviscon. I was practically addicted to it when I was pregnant - had such terrible heartburn. It works though!",1
2191315626,lobelia my partner had bad heart burn all the time when she was pregnant both times. Gaviscon was the only answer in the end.,1
1828607014,Wouldn't recommend rhubarb crumble after night of red wine.Almost frothing at the mouth & feel 8 mmth pregnant after half pint of gaviscon.,1
1253232985,Gumpos glad it semi worked! I suffered badly when I was pregnant and was drinking gaviscon like anything lol,1
14092803497,Got awful heartburn. Ouch! Never reallly suffered when pregnant last time and wondered what fuss about. Now I know!Tips?Had Gaviscon & milk.,1
12833153802,bananaramagirl Gaviscon was my best friend when I was pregnant. Drank litres of the stuff and didn't go anywhere without a bottle.,1
11042333051,Judyastley - I remember being pregnant and having to go into rehab to get off Gaviscon which preg women ALWAYS swig from the bottle,1
9482451752,"bengillam If you don't like drinking gaviscon, they do tablet form now. Wife had them on prescription when pregnant.",1
9307362280,RT adpharmnet: Gaviscon  heartburn relief for pregnant women in NZ at AdPharm Blog http://ow.ly/14Ymy,1
9186339889,Bored of being pregnant. Want drinks. Many drinks. Big drinks. And want to cut Gaviscon out of my diet.,1
9162138090,"SweetAngela78 really? when I was pregnant they said I could! WTF? I had gall stones and a lot of pain, the gaviscon helped w/ pressure",1
9074669254,22 weeks pregnant & I'm on the Gaviscon already! Was practically dependent on it last time - but not until the end!!,1
9051724100,chanellejhayes Got plagued with that when I was pregnant... Quite horrible! Try some gaviscon x,1
8876234805,"sarajcox =( its always the good food that upsets heartburn when ur pregnant, evil hormones!!!! That's y u gotta love gaviscon!!!! X",1
5839294010,"This gaviscon better fucking work, I'm not walking about looking like I'm pregnant tomorrow. Or ever for that matter.",1
5450648208,yescandoweb get some gaviscon tastes gross but worked when I was pregnant with Jack and Harry remember I used to swig it from the bottle!,1
4891275726,"I thought ""I sweared by Gaviscon when I was pregnant"" was the most boring thing I'd heard at school, but ""If I don't go to the supermarket..",1
4816766187,"stu_art_ist Kaolin & morphine has ""chalky"" taste but not too unpleasant. I lived on Gaviscon when I was pregnant.",1
14092803497,Got awful heartburn. Ouch! Never reallly suffered when pregnant last time and wondered what fuss about. Now I know!Tips?Had Gaviscon & milk.,1
12833153802,bananaramagirl Gaviscon was my best friend when I was pregnant. Drank litres of the stuff and didn't go anywhere without a bottle.,1
11042333051,Judyastley - I remember being pregnant and having to go into rehab to get off Gaviscon which preg women ALWAYS swig from the bottle,1
9482451752,"bengillam If you don't like drinking gaviscon, they do tablet form now. Wife had them on prescription when pregnant.",1
