tweet_id,tweet,class
526916092,galateadia: I found candied ginger to really help those when i was pregnant.,1
124802842,"Spice Girls reunion tour will feature ""Ginger, Sporty, Posh, Scary and a heavily pregnant Baby Spice"" http://tinyurl.com/2cx86e",1
53983862,We learned from the pregnant bartender that ginger ale with bitters calms the stomach.,1
129337600833093632,"vegantriangle Oops, by ginger I definitely meant garlic. Stupid pregnant brain...",1
129318454116364288,"whats fat, ginger, and pregnant? nothing. gingerprobz",1
129295885841612801,When your pregnant praying that it wont be born a ginger irishproblems,1
129243597269778434,"Tea lover ITSMoments recommends indulging in our Ginger Twist tea, especially if you're pregnant. http://bit.ly/vBX7W1",1
129236190930026496,Whattoexpect for some reason when I was pregnant ginger made me more nauseous!,1
129200813221478401,"topgunner09: Whats ginger , fat and pregnant ??????  Nothing hahaha !!! noo I know someone who is fat Ginger and pregnant, how grim",1
129199804722053120,"Whats ginger , fat and pregnant ??????  Nothing hahaha !!!",1
129174194524127233,"Dr_Ellie any suggestions for morning sickness that comes at night, tried ginger biscuits not working :( (14 weeks pregnant)",1
129099688140996608,Good news gingers: if you get a girl pregnant 99.6% chance she'll get an abortion nochildsupport,1
129018369520316416,"prof_shati7 Some pregnant women do as well!!!!!!!
Ewwwww",1
128997664841940992,"moonwashed it was hilarious, honestly. Love being this pregnant. Only time my self body image is good. What kind of fucked up is that? !",1
128981212902592512,MissSnowski  if you post youtube videos of gingers you will get pregnant and you will die .... edsheeransux,1
128963760953110528,scott_mills I was hoping the ginger nun left the convent because she was pregnant!! Is that slightly wrong of me???,1
128937727646375937,"haiggy37 clearly I am, but I'm also pregnant. Don't worry, I won't be getting a paternity test.",1
128933215267340288,"Tips for friends of pregnant women: do not ask ""hasn't that baby arrived yet?"" or similar. The answer is pretty obvious. Really.",1
128931392624140288,moonwashed I want a large glass of bombay sapphire with tonic & a lime wedge. Too pregnant for gin. One is not enough. <sigh>,1
128929591996854272,"TheUrbanDryad I feel fat and ugly except when I'm pregnant. Ironic, huh? I do understand, but that's not much help I know",1
128841818686242816,A2NEWS: Pregnancy Help... stop motion pregnancyThe best reliefband  pregnant ginger motion sickness ..Snuza Halo Mo... http://ow.ly/1fjamt,1
128841814496116737,A2NEWS: Pregnancy Help... stop motion pregnancyThe best reliefband  pregnant ginger motion sickness ..Snuza Halo Mo... http://ow.ly/1fjamk,1
128841808108199936,A2NEWS: Pregnancy Help... stop motion pregnancyThe best reliefband  pregnant ginger motion sickness ..Snuza Halo Mo... http://ow.ly/1fjamm,1
15010848281,Lol she kinda salty -- scenario - nigga pours ciroq in pregnant girls ginger ale dasmessedup,1
15005828937,Ginger_Sling u pregnant aint u??,1
14977051392,wickedgoddess why am I not finding out there is ginger vodka until I'm pregnant and now have to wait forever to try it?,1
14946097856,_Sofonias_ // made from ginger root I believe...settles your stomach when you are nauscious or pregnant. And mixes well with whiskey too !,1
14872834402,I'm pregnant and the crystallized ginger from TheGingerPeople is saving my guts.,1
14863736923,"im nauseous, went to the store for ginger ale, came back with blueberries and Gold&Blatt's Chocolate Orange bar... im not pregnant, really!",1
14838382045,ALL my new growth while pregnant turned the color it was supposed to.  I currently have ginger roots and brunette hair with a red tinge,1
14767493519,RhapsodyDiva LMAO YYYYYYYYYYYY & you pregnant now?  I don't undrastand.  Did you get my tweet about ginger altoids?  I wonder if they help.,1
14760842340,"breckland you pregnant then :)) or has Sainsburys just ordered their first 250,000 bottles of Ginger Beer with Chilli",1
14724650778,"Just ate an entire sleeve of saltines with Ginger ale on the bus. Feel better, but now let the (not true) pregnant rumors begin! ;)",1
14676612044,"Oh dear, the ginger cat that we feed is definitely pregnant, and whilst I love kittens, there are too many cats around here already.",1
14670225475,"What is fat, ginger and pregnant? Nothing....",1
14593611177,I believe Everyone got off Gilligans island. Ginger & Mary Ann are pregnant! WHO'S THE FATHER!  Lost yidboy,1
14589843382,garrett Ginger finds out she's pregnant with Skipper's child. LOST,1
14575491790,"Leftover taco bell burrito and ginger snaps. No, I am not pregnant.",1
14554947246,JudgeLauren RealRobertWebb yeah I did!! My dad used to tell me that I was Ginger because my mum ate carrots when she was pregnant with me!,1
