tweet_id,tweet,class
911040419,"Gwen_In_Texas When I was sick a few weeks ago, the doctor thought I either had Hepatitis or I was pregnant. WTF dude!",1
911040419,"Gwen_In_Texas When I was sick a few weeks ago, the doctor thought I either had Hepatitis or I was pregnant. WTF dude!",1
784223464,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? Why children in the Hep,1
784182889,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? Why children in the Hep,1
783979810,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? Why children in the Hep,1
783921001,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? Why children in the Hep.,1
783859039,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? Why children in the Hep.,1
781431063,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? B. www.loseweight24hr.com,1
781357421,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? B. www.loseweight24hr.com,1
781326275,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? B. www.loseweight24hr.com,1
781218462,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? B. www.loseweight24hr.com,1
781183080,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? B. www.loseweight24hr.com,1
784223464,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? Why children in the Hep,1
784182889,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? Why children in the Hep,1
783979810,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? Why children in the Hep,1
783921001,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? Why children in the Hep.,1
783859039,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? Why children in the Hep.,1
781431063,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? B. www.loseweight24hr.com,1
781357421,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? B. www.loseweight24hr.com,1
781326275,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? B. www.loseweight24hr.com,1
781218462,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? B. www.loseweight24hr.com,1
781183080,QA: Every Pregnant Woman Needs to Know This. Q: What is it Hepatitis B? B. www.loseweight24hr.com,1
3253674201,&hearts: Can Hepatitis B Vaccine Administered To Pregnant Women? http://bit.ly/47AkDW,1
2871275213,Prevalence and risk factors for Hepatitis C and HIV-1 infections among pregnant women in Central ... - http://7thspace.com/go/315427/,1
2739961787,"Hepatitis E virus infection is highly prevalent among pregnant women in Accra, Ghana. ... - http://7thspace.com/go/314813/",1
2422552292,"6000 pregnant in camps, 12,200 cases of chicken pox, 2139 cases of Hepatitis A! Fair?? http://bit.ly/rkSu6",1
2190031902,Screening Pregnant Women for Hepatitis B Virus Infection: U.S.... (source: Topix.net) http://bit.ly/ZmUsI,1
2185004321,UPSTF: Screen for hepatitis B virus infection in pregnant women at their first prenatal visit (Grade A recommendation) http://bit.ly/cfoQY,1
2183898876,http://434012bwxvs6t Screening for Hepatitis B Virus Infection in Pregnant Women ... - Annals of Internal Medicine http://bit.ly/WI6fu,1
