tweet_id,tweet,class
299125208311291905,jackie_jade_ 2FBS I got food poisoning and took Imodium before i knew i was pregnant with Mr 16. Thats stuffs bad.,1
287591810363187200,"Is ""eat a bunch of imodium pills and force out toilet lunker to show solidarity with pregnant women"" a good resolution?",1
258058352825868288,PinotNegrigio LOL you said something about Imodium and that's when bootys are pregnant,1
223516114737577984,taking imodium while pregnant http://bit.ly/NCwQkj,1
299125208311291905,jackie_jade_ 2FBS I got food poisoning and took Imodium before i knew i was pregnant with Mr 16. Thats stuffs bad.,1
287591810363187200,"Is ""eat a bunch of imodium pills and force out toilet lunker to show solidarity with pregnant women"" a good resolution?",1
258058352825868288,PinotNegrigio LOL you said something about Imodium and that's when bootys are pregnant,1
223516114737577984,taking imodium while pregnant http://bit.ly/NCwQkj,1
576910793486135296,imodium safe when pregnant http://bit.ly/1GFJJUh ebook,1
547130309876387842,Pooping on Imodium is like getting pregnant on birth control.,1
576910793486135296,imodium safe when pregnant http://bit.ly/1GFJJUh ebook,1
547130309876387842,Pooping on Imodium is like getting pregnant on birth control.,1
24842738931335168,Just wondering if anyone knows if I can take Imodium AD while 6 weeks pregnant?  I am having terrible stomach ac...  http://bit.ly/aVsrSf,1
15604162890,rotormommy I think you might be ok because Imodium was one of the things I knew I could take when pregnant. That is when I started using it,1
24842738931335168,Just wondering if anyone knows if I can take Imodium AD while 6 weeks pregnant?  I am having terrible stomach ac...  http://bit.ly/aVsrSf,1
15604162890,rotormommy I think you might be ok because Imodium was one of the things I knew I could take when pregnant. That is when I started using it,1
1033238059918209024,"Thats the most wicked feeling, huh?!?  Sometimes forced into playing the what do I take game: Imodium or laxative or antacid or antinausea or.... ugh!
With flares like that my gut balloons up quickly - its like watching me become 6 months pregnant in 30 minutes!  ",1
1015862021114322944,"I took Imodium yesterday because I was worried about getting the nervous poops for my tattoo, but now Im backed up and look 8 months pregnant.",1
1003018174932094976,Had to Google Translate to a Ukrainian pharmacist that me arse was like a free-flowing chocolate fountain. Got some Imodium. Didnt poo for 3 days and looked about 7 months pregnant by Friday morning.,1
1001578676637515776,Well I panicked and bought Imodium so I could safely do my hour+ commute on public transport. It worked too well. Spent last night feeling like I was pregnant with 100 angry bees and berating myself for being an idiot. Now I seem fine? ,1
1033238059918209024,"Thats the most wicked feeling, huh?!?  Sometimes forced into playing the what do I take game: Imodium or laxative or antacid or antinausea or.... ugh!
With flares like that my gut balloons up quickly - its like watching me become 6 months pregnant in 30 minutes!  ",1
1015862021114322944,"I took Imodium yesterday because I was worried about getting the nervous poops for my tattoo, but now Im backed up and look 8 months pregnant.",1
1003018174932094976,Had to Google Translate to a Ukrainian pharmacist that me arse was like a free-flowing chocolate fountain. Got some Imodium. Didnt poo for 3 days and looked about 7 months pregnant by Friday morning.,1
1001578676637515776,Well I panicked and bought Imodium so I could safely do my hour+ commute on public transport. It worked too well. Spent last night feeling like I was pregnant with 100 angry bees and berating myself for being an idiot. Now I seem fine? ,1
185131579281113088,imodium can i take while pregnant http://imodium-can-i-take-while-pregnant.cheapillsshop.com,1
183345990579916800,imodium safe pregnant http://imodium-safe-pregnant.cheapillsshop.com,1
173299053436731392,http://is-imodium-ok-for-pregnant-women.tabletshop.org is imodium ok for pregnant women,1
173298952098164736,http://is-imodium-ok-for-pregnant-women.tabletshop.org is imodium ok for pregnant women,1
170931692037611520,http://safe-to-take-imodium-while-pregnant.tabletshop.org safe to take imodium while pregnant,1
185131579281113088,imodium can i take while pregnant http://imodium-can-i-take-while-pregnant.cheapillsshop.com,1
183345990579916800,imodium safe pregnant http://imodium-safe-pregnant.cheapillsshop.com,1
173299053436731392,http://is-imodium-ok-for-pregnant-women.tabletshop.org is imodium ok for pregnant women,1
173298952098164736,http://is-imodium-ok-for-pregnant-women.tabletshop.org is imodium ok for pregnant women,1
170931692037611520,http://safe-to-take-imodium-while-pregnant.tabletshop.org safe to take imodium while pregnant,1
489224279725072384,Taking Imodium Ad UntilPregnant http://wp.me/p3UepW-1Q6N,1
450385166066655232,"HIGH ON DAT IMODIUM AGAIN oh no my neighbor is fucking pregnant again, the one that told me its ok to work at her coffee shop while drunk",1
489224279725072384,Taking Imodium Ad UntilPregnant http://wp.me/p3UepW-1Q6N,1
450385166066655232,"HIGH ON DAT IMODIUM AGAIN oh no my neighbor is fucking pregnant again, the one that told me its ok to work at her coffee shop while drunk",1
329289137322618880,Imodium is a great idea if you want to get bloated and feel pregnant,1
329289137322618880,Imodium is a great idea if you want to get bloated and feel pregnant,1
949922824206110722,"Meh, I'm not planning on getting pregnant. It can also tighten you up. Not as good as Imodium, but it'll do in a pinch. IBS-D",1
903807517783990272,"5 Diarrhea Drugs for Pregnant Women - personal experience,
Can you take Imodium if you are pregnant?,
Is it... http://youtu.be/VKDXZTGHWec?a",1
902520396926394368,Never give Holland & Barrett your email address. Bought some Imodium once and they pester me like I got em pregnant,1
871088651131772928,Imodium for cat diarrhea - Can i take imodium ad while pregnant - Imodium ad dosage for withdrawal - MassisPost http://dlvr.it/PJWGnr,1
949922824206110722,"Meh, I'm not planning on getting pregnant. It can also tighten you up. Not as good as Imodium, but it'll do in a pinch. IBS-D",1
903807517783990272,"5 Diarrhea Drugs for Pregnant Women - personal experience,
Can you take Imodium if you are pregnant?,
Is it... http://youtu.be/VKDXZTGHWec?a",1
902520396926394368,Never give Holland & Barrett your email address. Bought some Imodium once and they pester me like I got em pregnant,1
871088651131772928,Imodium for cat diarrhea - Can i take imodium ad while pregnant - Imodium ad dosage for withdrawal - MassisPost http://dlvr.it/PJWGnr,1
1209817497215520770,"IINGFONG IS DIFFERENT. CORN FART WEE-LEE NEL-SOHN YOU WITH PREGNANT PICK UP STICKS DIARRHEA OUT WHY IT'S DO YOU LIKE FISH FOOD? SO EARLY. AND BATTERING RAM. IMODIUM AD SNIFFER LIKE, AND WHERE OR IS IT CHICKEN BROTH? MONEY NOW IT'S TIME FOR FART CONSTIPATED AND SONGWING",1
1204512335823589380,"Ur dog could have extreme seperation anxiety from u especially cuz rn ur pregnant or she maybe got into something that hurt her belly, u can give her an Imodium to help w diarrhea",1
1193107351420755968,Is loperamide/Imodium safe for pregnant people? ,1
