tweet_id,tweet,class
788950473,Last caffeine injection before the cycle ride home at 6. Dinner at home with Lori the pregnant Canadian.,1
788950473,Last caffeine injection before the cycle ride home at 6. Dinner at home with Lori the pregnant Canadian.,1
984722001,could i fallen pregnant after i only had the depo injection once 5 months ago : i had the depo injct.. http://tinyurl.com/57afj5,1
967577944,streko would you be using link injection techniques to get pregnant.  Now that is true blackhat!,1
962135077,Just had the injection for my bone scan. I'm now radioactive and must stay away from small children and pregnant women.,1
881546263,could i be pregnant when i have the injection and had a period that lasted 1 and a half days: i am o.. http://tinyurl.com/56z5x4,1
872897153,www.newestdiscovery.com update: Midwife cautioned over injection (A midwife is given a three-year caution after injecting a pregnant...),1
817822039,- NHS bodies are criticised after they could not agree which should pay for a pregnant woman's 100 injection.,1
817168263,NHS bodies are criticised after they could not agree which should pay for a pregnant woman's 100 injection. http://tinyurl.com/68ewsx,1
817168075,NHS bodies are criticised after they could not agree which should pay for a pregnant woman's 100 injection. http://tinyurl.com/68ewsx,1
984722001,could i fallen pregnant after i only had the depo injection once 5 months ago : i had the depo injct.. http://tinyurl.com/57afj5,1
967577944,streko would you be using link injection techniques to get pregnant.  Now that is true blackhat!,1
962135077,Just had the injection for my bone scan. I'm now radioactive and must stay away from small children and pregnant women.,1
881546263,could i be pregnant when i have the injection and had a period that lasted 1 and a half days: i am o.. http://tinyurl.com/56z5x4,1
872897153,www.newestdiscovery.com update: Midwife cautioned over injection (A midwife is given a three-year caution after injecting a pregnant...),1
817822039,- NHS bodies are criticised after they could not agree which should pay for a pregnant woman's 100 injection.,1
817168263,NHS bodies are criticised after they could not agree which should pay for a pregnant woman's 100 injection. http://tinyurl.com/68ewsx,1
817168075,NHS bodies are criticised after they could not agree which should pay for a pregnant woman's 100 injection. http://tinyurl.com/68ewsx,1
4078955669,"serenium got my booster injection booked in, have to be very careful as a friend is pregnant and I dont want to risk it",1
3991270122,"pfpaul i was gettin the injection behind an exs back, and i still fell pregnant!!!",1
3536486737,"""Are you pregnant? Are you sure there's no way you can be pregnant? ...And you're sure you're not pregnant?"" :L :L injections are fun :P",1
3361210653,"Going in 4 trigger pnt injections for my aching back. Plus,my girls pregnant & psycho. I'm hoping it's just me, but she's breaking me down",1
3360356634,"Tulsa news Pregnant women worry over vaccine: The new injection against swine flu 'is scary,' says one ..  http://bit.ly/VDJNk",1
3124819673,putyourflareon Lovenox injections into a pregnant belly. That's irony.,1
2820793571,You know what feels strange? An epidural injection. I now sympathize with pregnant women. Which is weird.,1
2790949671,Women faking being pregnant with injection in order to be married: http://bit.ly/la0hT,1
2622207147,Check this: I've heard you can get pregnant by a semen injection. True story. XD Nahhh! Don't believe everything you see on TV!,1
2463195630,EpiPen Safety and Accidental Injection | Baby Health Advice: Pregnant Smokers Pass Habit To BabiesThe study cond.. http://bit.ly/9pNnA,1
2453132424,EpiPen Safety and Accidental Injection | Baby Health Advice: Pregnant Smokers Pass Habit To BabiesThe study cond.. http://bit.ly/15tuF4,1
2433894193,the_apostate i'm pregnant!! nooooooooo! i'm going to see about the steroid injection for hayfever.,1
2357615497,"Q: if you dont get pregnant after 6 clomid cycles, what's next? A: Look at low dose FSH injections pcosfertility09",1
2343384886,sat here after 1st month of comid. had my first 18.5 folicle so was able 2 hav injection very nervous but exited. wml could b pregnant...,1
2306369177,Bincerli I said the same thing! Even Linda Evangelista cooled the injections when she was pregnant.,1
2231935559,"so after that guy asked if i was pregnant, he fucked his girlfriend in our bathroom.  good day at work.",1
2179059855,What I meant was the diet is made from injections of the urine of a pregnant woman.,1
2159328512,"is only 16 but is 9 weeks pregnant. Turns out condoms, the pill and the injection combined aren't good enough.",1
2159247082,iremember when I thought you went to the hospital and got an injection when you wanted to be pregnant lol!,1
2119499366,Being made get MMR injection soon..because my mam doesn't want me to get rubella when I'm pregnant.,1
4078955669,"serenium got my booster injection booked in, have to be very careful as a friend is pregnant and I dont want to risk it",1
3991270122,"pfpaul i was gettin the injection behind an exs back, and i still fell pregnant!!!",1
3536486737,"""Are you pregnant? Are you sure there's no way you can be pregnant? ...And you're sure you're not pregnant?"" :L :L injections are fun :P",1
3361210653,"Going in 4 trigger pnt injections for my aching back. Plus,my girls pregnant & psycho. I'm hoping it's just me, but she's breaking me down",1
3360356634,"Tulsa news Pregnant women worry over vaccine: The new injection against swine flu 'is scary,' says one ..  http://bit.ly/VDJNk",1
3124819673,putyourflareon Lovenox injections into a pregnant belly. That's irony.,1
2820793571,You know what feels strange? An epidural injection. I now sympathize with pregnant women. Which is weird.,1
2790949671,Women faking being pregnant with injection in order to be married: http://bit.ly/la0hT,1
2622207147,Check this: I've heard you can get pregnant by a semen injection. True story. XD Nahhh! Don't believe everything you see on TV!,1
2463195630,EpiPen Safety and Accidental Injection | Baby Health Advice: Pregnant Smokers Pass Habit To BabiesThe study cond.. http://bit.ly/9pNnA,1
2453132424,EpiPen Safety and Accidental Injection | Baby Health Advice: Pregnant Smokers Pass Habit To BabiesThe study cond.. http://bit.ly/15tuF4,1
2433894193,the_apostate i'm pregnant!! nooooooooo! i'm going to see about the steroid injection for hayfever.,1
2357615497,"Q: if you dont get pregnant after 6 clomid cycles, what's next? A: Look at low dose FSH injections pcosfertility09",1
2343384886,sat here after 1st month of comid. had my first 18.5 folicle so was able 2 hav injection very nervous but exited. wml could b pregnant...,1
2306369177,Bincerli I said the same thing! Even Linda Evangelista cooled the injections when she was pregnant.,1
2231935559,"so after that guy asked if i was pregnant, he fucked his girlfriend in our bathroom.  good day at work.",1
2179059855,What I meant was the diet is made from injections of the urine of a pregnant woman.,1
2159328512,"is only 16 but is 9 weeks pregnant. Turns out condoms, the pill and the injection combined aren't good enough.",1
2159247082,iremember when I thought you went to the hospital and got an injection when you wanted to be pregnant lol!,1
2119499366,Being made get MMR injection soon..because my mam doesn't want me to get rubella when I'm pregnant.,1
1940017943,If you have had a change in health status/become pregnant/start new meds (including cortisone injections!!) always tell your LMT,1
1794203986,Is it possible to fall pregnant when you are on family planning injections?: http://bit.ly/n2kIB,1
1533427731,"Invited by Yedda to answer  ""Trying to get pregnant after coming off the pill injection"" http://yedda.com/q/8620177681618/?tiy",1
1497155089,"Well, we have finally received our IVF prescription and bloody test requests.  Hopefully we will soon be pregnant !  Roll on the injections.",1
1462255700,'Is there any chance you're pregnant?'..'I wish'..'Lizzie!'. Injection arm hurts :(,1
1405980939,plasmaegg Indeed. I tripped and fell on someone else's injection yesterday and now I'm pregnant!,1
1325936115,My wife and I started injections of Lovenox - a blood thinner.  I jab a needle into my wifes pregnant belly every night. No Pressure! ugh,1
