tweet_id,tweet,class
931985518,The bad news is I have to go on insulin. The good news is I weigh less now than when I got pregnant!,1
892797897,my doctor put me on metformin to lower my insulin level and to help me get pregnant.: me and my Husb.. http://tinyurl.com/55766p,1
835833726,Severe Insulin Resistance May Increase Rate Of Pregnancy And Birth Complications: Testing pregnant wo.. http://tinyurl.com/4z9hs8,1
931985518,The bad news is I have to go on insulin. The good news is I weigh less now than when I got pregnant!,1
892797897,my doctor put me on metformin to lower my insulin level and to help me get pregnant.: me and my Husb.. http://tinyurl.com/55766p,1
835833726,Severe Insulin Resistance May Increase Rate Of Pregnancy And Birth Complications: Testing pregnant wo.. http://tinyurl.com/4z9hs8,1
4002769209,women news Uric acid concentrations are associated with insulin resistance and birthweight in normotensive pregnant wo http://url4.eu/RMhh,1
3881061877,rubixcubeman Oh man! I had it when I was pregnant. I would jack up my insulin pen and order chocolate cake for dessert. I was very baaaddd!,1
3483430197,Insulin use in diabetes (2): Insulin will also be required in pregnant women with diabetes. There are many insta.. http://bit.ly/nBjlW,1
3439727523,Will be writing a new article soon on the new Flex Pen 70/30 insulin that makes life much easier for pregnant diabetic moms.,1
3350580497,"When mother use insulin | Diabetes Treatment: Control diet, is pregnant women with gestational diabetes control .. http://bit.ly/11njaa",1
3348981775,"When mother use insulin | Diabetes Treatment: Control diet, is pregnant women with gestational diabetes control .. http://bit.ly/11njaa",1
3345679958,"When mother use insulin | Diabetes Treatment: Control diet, is pregnant women with gestational diabetes control .. http://bit.ly/11njaa",1
3344526968,"When mother use insulin | Diabetes Treatment: Control diet, is pregnant women with gestational diabetes control .. http://bit.ly/DIswg",1
3344427703,"When mother use insulin | Diabetes Treatment: Control diet, is pregnant women with gestational diabetes control .. http://bit.ly/11njaa",1
3172750329,"TalinaN I ended up on insulin with my last two pregnancies....not pregnant, I'm considered pre-diabetic",1
2518130803,"[Blog] Gestational Diabetes at 16 weeks,on insulin,taking 8 units ,but still sugar levels show elevate...: Iam 16 weeks pregnant 2nd pre ...",1
2503612710,I'm almost 32 weeks pregnant.  But were having trouble controling the diabetes.  Started new insulin shots.  I hope they work.,1
2492667638,Sticking myself with insulin nightly is reason number 167 why I hate being pregnant !!,1
2416114477,Since getting pregnant her insulin requirements have quadrupled in both sensitivity & her carbohydrate ratio & is expected 2 go up further,1
2360646505,I'm now 30 weeks pregnant and ready to have this baby! But now I have to take insulin shots. Yuck!!,1
2213405533,My blood sugar last night was198 and I'm pregnant. Doctor is about to put me on insulin shots.,1
2185376819,[Blog] Pregnant Diabetic Type II on insulin. I have no preg symptoms and am worried I may have had a miscarriag...: After having a misca ...,1
2038456958,"very very tired. and lightheaded, which is different than dizzy. It's either the new insulin or I'm pregnant, which is very unlikely.",1
1901265469,"[Blog] At what point will insulin be necessary for gestational diabet...: I'm 31 weeks pregnant, gestational diabetes, my blood sugars s ...",1
1888478683,"After having 6 insulin shots a day when I was pregnant, and being borderline diabetic now. This means alot to me.",1
