tweet_id,tweet,class
2367060496,Pookthy. Ya I was taken lexapro. I luv it. I stopped takin it when I found out I was pregnant. Doc said I could still take it tho,1
1733201790,Obsessionful Not now that I'm pregnant. Lexapro and Zoloft are the only safe SSRIs. Lexapro made me feel like a zombie. Blah.,1
2367060496,Pookthy. Ya I was taken lexapro. I luv it. I stopped takin it when I found out I was pregnant. Doc said I could still take it tho,1
1733201790,Obsessionful Not now that I'm pregnant. Lexapro and Zoloft are the only safe SSRIs. Lexapro made me feel like a zombie. Blah.,1
367648967347015680,"Took Lexapro last night yet still feel the nausea this morning. What gives? And no, I'm not pregnant. Yes, I'm sure.",1
353036270454308864,"Weight loss after stopping lexapro: And male fertility, weight loss programs is pregnant women take roche orli... http://bit.ly/17Q79pT",1
351732760420950018,Taking lexapro while pregnant: Xanax pregnancy klonopin wellbutrin cost cialis levitra lexapro high cholestero... http://bit.ly/19OTh3f,1
351690092856872961,Taking lexapro while pregnant http://bit.ly/17yVdIW,1
351690090885550080,Taking lexapro while pregnant http://bit.ly/17yVdIW,1
318572114972139520,feltfedora seawall I have every intention of continuing my Lexapro AND my Strattera if I ever get pregnant.,1
318113552667930625,"DrJaneChi scATX Me too. Having some wobbles coming off mine, because Lexapro's generally not recommended if one gets pregnant (IIRC)?",1
367648967347015680,"Took Lexapro last night yet still feel the nausea this morning. What gives? And no, I'm not pregnant. Yes, I'm sure.",1
353036270454308864,"Weight loss after stopping lexapro: And male fertility, weight loss programs is pregnant women take roche orli... http://bit.ly/17Q79pT",1
351732760420950018,Taking lexapro while pregnant: Xanax pregnancy klonopin wellbutrin cost cialis levitra lexapro high cholestero... http://bit.ly/19OTh3f,1
351690092856872961,Taking lexapro while pregnant http://bit.ly/17yVdIW,1
351690090885550080,Taking lexapro while pregnant http://bit.ly/17yVdIW,1
318572114972139520,feltfedora seawall I have every intention of continuing my Lexapro AND my Strattera if I ever get pregnant.,1
318113552667930625,"DrJaneChi scATX Me too. Having some wobbles coming off mine, because Lexapro's generally not recommended if one gets pregnant (IIRC)?",1
863945858575773696,"Mom: When I was pregnant you only got 1 ultrasound. The doc and I smoked cigs in his office while we reviewed it

Me: Haha *chews lexapro*",1
839641993890443267,"A&i friend writes 

I just found out im pregnant. Was at 5mg lexapro tapered down from 20mg. And also i am... http://fb.me/2JlNhOKrD",1
839219320588812288,Reports have connected antidepressant Lexapro to birth defects if taken while pregnant. Dont stop your medication without doctor approval. pic.twitter.com/GFJAzZ1YeD,1
837558503296249856,lexapro is the best!!! I was on it until I got pregnant!!!,1
837371506548146176,i took lexapro while inwas pregnant and it made me sleep so good at night lol but now im on,1
820797460289355776,I took my lexapro while I was pregnant and it didn't help some days either,1
803961871531470848,just googled if u can take lexapro while pregnant & i'm not even on lexapro. maybe sign i need to go on lexapro.,1
798235221615374340,I just tapered off Lexapro to get pregnant. Today is a rough one for me.,1
863945858575773696,"Mom: When I was pregnant you only got 1 ultrasound. The doc and I smoked cigs in his office while we reviewed it

Me: Haha *chews lexapro*",1
839641993890443267,"A&i friend writes 

I just found out im pregnant. Was at 5mg lexapro tapered down from 20mg. And also i am... http://fb.me/2JlNhOKrD",1
839219320588812288,Reports have connected antidepressant Lexapro to birth defects if taken while pregnant. Dont stop your medication without doctor approval. pic.twitter.com/GFJAzZ1YeD,1
837558503296249856,lexapro is the best!!! I was on it until I got pregnant!!!,1
837371506548146176,i took lexapro while inwas pregnant and it made me sleep so good at night lol but now im on,1
820797460289355776,I took my lexapro while I was pregnant and it didn't help some days either,1
803961871531470848,just googled if u can take lexapro while pregnant & i'm not even on lexapro. maybe sign i need to go on lexapro.,1
798235221615374340,I just tapered off Lexapro to get pregnant. Today is a rough one for me.,1
293511180545298432,FanQ: I'm 15 weeks pregnant and was recently put on generic Lexapro because of severe mood swings and depression.... http://fb.me/1Out6Yayv,1
293478228545396736,Lexapro Study Indicates No Benefit for Pregnant Women http://tpcl.as/XR1ABY,1
293440361005731841,Lexapro Study Indicates No Benefit for Pregnant Women  http://tpcl.as/13Xbc2h,1
290478051752558592,lazlothebuzz just saw a commercial saying lexapro can cause birth defects if you are pregnant. Better watch for that.,1
287094859741929472,Saw a commercial that says taking Lexapro while pregnant can give your child birth defects... Lexapro is a lifetime thing for me. uhoh ,1
285662330140905472,Latest Study Suggests Lexapro et al Carry No Benefit For Pregnant Women and ... - http://LawyersandSettlements.com http://ow.ly/2u0Q0C,1
285650802234769408,Paxil News: Latest Study Suggests Lexapro et al Carry No Benefit For Pregnant Women and ... - http://LawyersandSettlements.com http://bit.ly/VlpRhE,1
285415210943131649,"Latest Study Suggests Lexapro et al Carry No Benefit For Pregnant Women and Babies: Boston, MA: While experts ag... http://bit.ly/X6Yb5h",1
269814696549421057,Noticias C.C. Foros  can you take lexapro while pregnant -- Cod Delivery lexapro http://goo.gl/fb/PLJp1,1
259344095871381505,"""Lexapro and birthcontrol in the water. Everyone happy and not pregnant"" shitmybosssays",1
236669001495887872,"If You Were Pregnant and Took The Anti-Depressant:
Celexa
Lexapro
Paxil
Effexor
Zoloft
Prozac
or Pristiq,
Your Baby May Be In Serious Risk.",1
228966555654950912,Lexapro During Pregnancy & Breastfeeding - Summary Women who are pregnant or may become pregnant should not take... http://bit.ly/OsoYRl,1
223549449211871233,lexapro and getting pregnant http://bit.ly/Of9RIw,1
293511180545298432,FanQ: I'm 15 weeks pregnant and was recently put on generic Lexapro because of severe mood swings and depression.... http://fb.me/1Out6Yayv,1
293478228545396736,Lexapro Study Indicates No Benefit for Pregnant Women http://tpcl.as/XR1ABY,1
293440361005731841,Lexapro Study Indicates No Benefit for Pregnant Women  http://tpcl.as/13Xbc2h,1
290478051752558592,lazlothebuzz just saw a commercial saying lexapro can cause birth defects if you are pregnant. Better watch for that.,1
287094859741929472,Saw a commercial that says taking Lexapro while pregnant can give your child birth defects... Lexapro is a lifetime thing for me. uhoh ,1
285662330140905472,Latest Study Suggests Lexapro et al Carry No Benefit For Pregnant Women and ... - http://LawyersandSettlements.com http://ow.ly/2u0Q0C,1
285650802234769408,Paxil News: Latest Study Suggests Lexapro et al Carry No Benefit For Pregnant Women and ... - http://LawyersandSettlements.com http://bit.ly/VlpRhE,1
285415210943131649,"Latest Study Suggests Lexapro et al Carry No Benefit For Pregnant Women and Babies: Boston, MA: While experts ag... http://bit.ly/X6Yb5h",1
269814696549421057,Noticias C.C. Foros  can you take lexapro while pregnant -- Cod Delivery lexapro http://goo.gl/fb/PLJp1,1
259344095871381505,"""Lexapro and birthcontrol in the water. Everyone happy and not pregnant"" shitmybosssays",1
236669001495887872,"If You Were Pregnant and Took The Anti-Depressant:
Celexa
Lexapro
Paxil
Effexor
Zoloft
Prozac
or Pristiq,
Your Baby May Be In Serious Risk.",1
228966555654950912,Lexapro During Pregnancy & Breastfeeding - Summary Women who are pregnant or may become pregnant should not take... http://bit.ly/OsoYRl,1
223549449211871233,lexapro and getting pregnant http://bit.ly/Of9RIw,1
774420344677347328,"Pharmacy held my prescription for Lexapro to ask me if I was pregnant. 

If that ain't a reason for anxiety meds, well...no. I'm not.",1
768833030333067265,The use of Lexapro by pregnant women has been known to cause serious congenital birth defects: http://bit.ly/2bPgHMV,1
756392439812792321,"I'm on lexapro and see a psych etc, but I'm just really over being pregnant",1
729287506357706752,"Agree with Dr. Pappas's answer to ""I want to get pregnant of my second baby, so I reduced Lexapro to 10m &buspirone t..."" - http://htap.u...",1
729287502134054912,"Agree with Dr. Reynolds's answer to ""I want to get pregnant of my second baby, so I reduced Lexapro to 10m &buspirone..."" - http://htap.u...",1
716646068969058304,Dreamed I was pregnant but no one would take me to the hospital so I had to keep the baby inside of me. lexapro dreams thisisanightmare,1
715377493725749248,Online Pharmacy With Lexapro - took Lexapro before i knew i was pregnant: Lexapro Free Usa Shipping? Do You Wa... http://bit.ly/1V7MYNC,1
687455421385338881,ramzelindistres also I'll eat like a baby carrot or fucking leaf and bam 9 months pregnant bloating I am a blotation device,1
774420344677347328,"Pharmacy held my prescription for Lexapro to ask me if I was pregnant. 

If that ain't a reason for anxiety meds, well...no. I'm not.",1
768833030333067265,The use of Lexapro by pregnant women has been known to cause serious congenital birth defects: http://bit.ly/2bPgHMV,1
756392439812792321,"I'm on lexapro and see a psych etc, but I'm just really over being pregnant",1
729287506357706752,"Agree with Dr. Pappas's answer to ""I want to get pregnant of my second baby, so I reduced Lexapro to 10m &buspirone t..."" - http://htap.u...",1
729287502134054912,"Agree with Dr. Reynolds's answer to ""I want to get pregnant of my second baby, so I reduced Lexapro to 10m &buspirone..."" - http://htap.u...",1
716646068969058304,Dreamed I was pregnant but no one would take me to the hospital so I had to keep the baby inside of me. lexapro dreams thisisanightmare,1
715377493725749248,Online Pharmacy With Lexapro - took Lexapro before i knew i was pregnant: Lexapro Free Usa Shipping? Do You Wa... http://bit.ly/1V7MYNC,1
687455421385338881,ramzelindistres also I'll eat like a baby carrot or fucking leaf and bam 9 months pregnant bloating I am a blotation device,1
499918895424495616,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
499215499839172608,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
498301988418109440,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
494610151492837376,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
483983975132569600,Lexapro Getting Pregnant Hang InThere http://wp.me/p3UepW-1obP,1
479309339526967297,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
469979101814870016,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
463235929910824960,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
462114793936392192,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
458669339764195328,Lexapro has been linked to birth defects in infants of women who used the drug while pregnant. Class action info at: http://www.classactionlawsuithelp.com/lexapro-class-action-lawsuit/,1
458290838490345472,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
457696959080304640,"FQ:

I was wondering if anyone is on lexapro while pregnant? I did some research and now don't know how to ask my... http://fb.me/34nK44Ww1",1
444038181198241793,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
437975306687610880,CDC Study Confirms Risk of Lexapro Birth Defects http://tpcl.as/1fNxMNI pregnant drugfacts,1
432098255942717440,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
423464306391650304,New post: Lexapro while pregnant http://geo-rx.us/archives/14752/lexapro-while-pregnant/,1
415868815151734785,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
412959647180804096,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
410328664027705344,i don't fucks with the fact that lexapro effects the effectiveness of my birth control  my luck I'll get fucking pregnant. ,1
499918895424495616,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
499215499839172608,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
498301988418109440,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
494610151492837376,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
483983975132569600,Lexapro Getting Pregnant Hang InThere http://wp.me/p3UepW-1obP,1
479309339526967297,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
469979101814870016,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
463235929910824960,Esomeprazole 20mg Generic Nexium - Can i take lexapro while pregnant => http://esomeprazole20mg.net/l/10512/ca43,1
