tweet_id,tweet,class
3437172637,well apparently my doctor is pregnant again so they gave me the nurse practitioner for my meningitis shot.,1
2507119306,"RT johannajc: My neice is in the hospital tonight-33 weeks pregnant, preeclampsia & meningitis...she is being induced. Please keep her  ...",1
2342428648,e-petitions '...legislate routine testing for streptococcus meningitis in pregnant women' -.. http://snipurl.com/kx2p6,1
2276869142,"Tests point to anesthesiologist as likely source of bacterial meningitis that infected two pregnant women, killing one, http://bit.ly/DInPV",1
2252702362,"Anesthesiologist Blamed for Infecting 2 Pregnant Women With Meningitis, Killing 1 (foxnews.com) http://bit.ly/iw1ad",1
2229810954,Jennjennx3 glad you're home.....even severe strep throat beats meningitis!  but a pregnant grandma?  scary.,1
2181739896,If you kiss someone you will get meningitis! If you have sex you will get pregnant! What next? If you shower you will get HIV?,1
1654190239,"Chemoprophylaxis for meningitis (close contacts): rifampin, BID, 2 days. Pregnant women should not receive rifampin.",1
1343227064,viral meningitis: fear of viral meningitis transmission. My wife is a teacher and is eight months pregnant. A se.. http://tinyurl.com/czf2gb,1
1288829035,viral meningitis: My wife is a teacher and is eight months pregnant. A seven-year-old child in the school has vi.. http://snipurl.com/d91fb,1
1143188045,Q: Rx meningitis in pregnant woman,1
3437172637,well apparently my doctor is pregnant again so they gave me the nurse practitioner for my meningitis shot.,1
2507119306,"RT johannajc: My neice is in the hospital tonight-33 weeks pregnant, preeclampsia & meningitis...she is being induced. Please keep her  ...",1
2342428648,e-petitions '...legislate routine testing for streptococcus meningitis in pregnant women' -.. http://snipurl.com/kx2p6,1
2276869142,"Tests point to anesthesiologist as likely source of bacterial meningitis that infected two pregnant women, killing one, http://bit.ly/DInPV",1
2252702362,"Anesthesiologist Blamed for Infecting 2 Pregnant Women With Meningitis, Killing 1 (foxnews.com) http://bit.ly/iw1ad",1
2229810954,Jennjennx3 glad you're home.....even severe strep throat beats meningitis!  but a pregnant grandma?  scary.,1
2181739896,If you kiss someone you will get meningitis! If you have sex you will get pregnant! What next? If you shower you will get HIV?,1
1654190239,"Chemoprophylaxis for meningitis (close contacts): rifampin, BID, 2 days. Pregnant women should not receive rifampin.",1
1343227064,viral meningitis: fear of viral meningitis transmission. My wife is a teacher and is eight months pregnant. A se.. http://tinyurl.com/czf2gb,1
1288829035,viral meningitis: My wife is a teacher and is eight months pregnant. A seven-year-old child in the school has vi.. http://snipurl.com/d91fb,1
1143188045,Q: Rx meningitis in pregnant woman,1
13675704091,"mlhmissy Strangely, I kept thinking of ""Kids"" Doc kept asking if I was pregnant; also meningitis. sadly, they don't know what caused shock.",1
12253761448,drinkerthinker Perhaps you have a pregnant tapeworm which has meningitis?,1
12235559579,drinkerthinker maybe you're infected with a pregnant tapeworm that has meningitis?,1
12019616508,Viral meningitis. Not pregnant. No stds. Weak. All good.,1
11365140027,lesleymackley Do you think she's pregnant or are they going to give her some sort of exhaustion illness or meningitis or glandular fever..?,1
10045119286,Veggie_Guy I was in the hospital for spinal meningitis when they discovered i was pregnant,1
8945576197,earlier i got called for a shoot next week to act like a pregnant teen & i just got called again to act like i have meningitis . wtf? lmao,1
7273302646,10yearsago I was 7 months pregnant and unknowingly infected with Strep B (causes early onset meningitis),1
6914362795,"TalindaB hi talinda, I had meningitis 2 1/2 years ago and I was 3 months pregnant at the time so I couldn't get any meds for the pain.",1
6802036285,moepet triplecherry The story of Modigliani is so tragic. Died at 36 from tubercular meningitis and his pregnant love committed suicide.,1
5603660501,Please sign this no.10 petition to legislate routine testing for streptococcus meningitis in pregnant women http://tinyurl.com/ykarwn3,1
4502937070,"S3CTO_mdavies Seasonal flu dosages, meningitis vax, and H1N1 for kids and pregnant moms all contain thimerosal.",1
13675704091,"mlhmissy Strangely, I kept thinking of ""Kids"" Doc kept asking if I was pregnant; also meningitis. sadly, they don't know what caused shock.",1
12253761448,drinkerthinker Perhaps you have a pregnant tapeworm which has meningitis?,1
12235559579,drinkerthinker maybe you're infected with a pregnant tapeworm that has meningitis?,1
12019616508,Viral meningitis. Not pregnant. No stds. Weak. All good.,1
11365140027,lesleymackley Do you think she's pregnant or are they going to give her some sort of exhaustion illness or meningitis or glandular fever..?,1
10045119286,Veggie_Guy I was in the hospital for spinal meningitis when they discovered i was pregnant,1
8945576197,earlier i got called for a shoot next week to act like a pregnant teen & i just got called again to act like i have meningitis . wtf? lmao,1
7273302646,10yearsago I was 7 months pregnant and unknowingly infected with Strep B (causes early onset meningitis),1
6914362795,"TalindaB hi talinda, I had meningitis 2 1/2 years ago and I was 3 months pregnant at the time so I couldn't get any meds for the pain.",1
6802036285,moepet triplecherry The story of Modigliani is so tragic. Died at 36 from tubercular meningitis and his pregnant love committed suicide.,1
5603660501,Please sign this no.10 petition to legislate routine testing for streptococcus meningitis in pregnant women http://tinyurl.com/ykarwn3,1
4502937070,"S3CTO_mdavies Seasonal flu dosages, meningitis vax, and H1N1 for kids and pregnant moms all contain thimerosal.",1
22744575504285696,"byrongronseth LianaWS carissang I'm absolutely not pregnant. Given how many people live in my house right now, my money's on meningitis!",1
15843796033998849,Pregnant? Had the Meningitis or HPV Vaccine? You may qualify to help in a new important study: http://ht.ly/3qkCm pregnancy health mom,1
15529110449164288,Pregnant? Had the Meningitis or HPV Vaccine? You may qualify to help in a new important study: http://ht.ly/3pMC4 pregnancy health mom,1
