tweet_id,tweet,class
1419055592,SexyFemaleMarketing Sexy Body Tip 1:Eat Spinach regularly as it's rich in micronutrients which is beneficial to hypertension & pregnant mom,1
1419055592,SexyFemaleMarketing Sexy Body Tip 1:Eat Spinach regularly as it's rich in micronutrients which is beneficial to hypertension & pregnant mom,1
76194926123155457,How to ensure micronutrients for children: Pregnant women are provided with iron and multi micronutrient pills d... http://bit.ly/kVMckb,1
48962126936670208,"University of Ibadan, Nigeria educating pregnant mothers on exclusive breastfeeding, immunizations, and micronutrients http://goo.gl/yDmER",1
76194926123155457,How to ensure micronutrients for children: Pregnant women are provided with iron and multi micronutrient pills d... http://bit.ly/kVMckb,1
48962126936670208,"University of Ibadan, Nigeria educating pregnant mothers on exclusive breastfeeding, immunizations, and micronutrients http://goo.gl/yDmER",1
674634292484526080,"Reading the help offered to pregnant woman seeking advice re: RLS (restless leg syndrome) astounds me. Micronutrients + hydration, ladies!",1
652873564283109376,Poor Economics: High returns on inv in micronutrients for children & pregnant women. But often food policy focused on cheap grain.,1
641643373460369408,"Its FASDay: Dont drink alcohol while pregnant, DO take multiple Micronutrients. Heres why http://bit.ly/1O0cocXpic.twitter.com/rJHxd9knkE",1
623970282168909824,Development policy should figure out how to get micronutrients to pregnant women in the third world (biofeminism!) https://twitter.com/AndrewSabisky/status/623967541321433088,1
618670931595108352,Serum levels of some micronutrients and congenital malformations: a prospective cohort study in pregnant women. http://www.ncbi.nlm.nih.gov/m/pubmed/25497778/,1
618216196652056576,More care for pregnant women can address malnutrition. Multiple micronutrients are an important part of this care. https://twitter.com/rl_sf/status/618194244117749760,1
674634292484526080,"Reading the help offered to pregnant woman seeking advice re: RLS (restless leg syndrome) astounds me. Micronutrients + hydration, ladies!",1
652873564283109376,Poor Economics: High returns on inv in micronutrients for children & pregnant women. But often food policy focused on cheap grain.,1
641643373460369408,"Its FASDay: Dont drink alcohol while pregnant, DO take multiple Micronutrients. Heres why http://bit.ly/1O0cocXpic.twitter.com/rJHxd9knkE",1
623970282168909824,Development policy should figure out how to get micronutrients to pregnant women in the third world (biofeminism!) https://twitter.com/AndrewSabisky/status/623967541321433088,1
618670931595108352,Serum levels of some micronutrients and congenital malformations: a prospective cohort study in pregnant women. http://www.ncbi.nlm.nih.gov/m/pubmed/25497778/,1
618216196652056576,More care for pregnant women can address malnutrition. Multiple micronutrients are an important part of this care. https://twitter.com/rl_sf/status/618194244117749760,1
774303980264550400,Dont drink alcohol while pregnant but DO take multiple Micronutrients. Heres why  http://bit.ly/1O0cocX FASDaypic.twitter.com/R8rOym1DwL,1
740144043858890753,The WINNN project is aimed at making provisions of Micronutrients/ iron supplementation for children under 5 & pregnant women in Nigeria,1
716581407917649920,Serum Micronutrients in Helminth-infected Pregnant Women and Children: http://dlvr.it/KyNJwN vitaminApic.twitter.com/VIupaM5oYK,1
716566963347005440,Serum Micronutrients in Helminth-infected Pregnant Women and Children: Suggestions for Differential Supplementation http://dlvr.it/KyMP4l,1
711921375410262017,Quiz time! Which two micronutrients does Canadas Food Guide recommend that pregnant women have in a multivitamin? It is folic acid and iron!,1
774303980264550400,Dont drink alcohol while pregnant but DO take multiple Micronutrients. Heres why  http://bit.ly/1O0cocX FASDaypic.twitter.com/R8rOym1DwL,1
740144043858890753,The WINNN project is aimed at making provisions of Micronutrients/ iron supplementation for children under 5 & pregnant women in Nigeria,1
716581407917649920,Serum Micronutrients in Helminth-infected Pregnant Women and Children: http://dlvr.it/KyNJwN vitaminApic.twitter.com/VIupaM5oYK,1
716566963347005440,Serum Micronutrients in Helminth-infected Pregnant Women and Children: Suggestions for Differential Supplementation http://dlvr.it/KyMP4l,1
711921375410262017,Quiz time! Which two micronutrients does Canadas Food Guide recommend that pregnant women have in a multivitamin? It is folic acid and iron!,1
496959543704694784,[Administration of folic acid and other micronutrients to pregnant women in Colombia]. http://dlvr.it/6XHfNS,1
473376774941052928,Lack of key micronutrients poses a major threat to the health of children and pregnant women in low-income countries pic.twitter.com/TzdqQGGO0o,1
450650507506618368,Women who become pregnant after bariatric surgery must meet w/a physician to undergo screenings for micronutrients. http://hub.am/1mtrAlU,1
448142414587625472,Micronutrients are vital to bariatric patients who become pregnant http://buff.ly/1d23OFi by malleysurgical,1
496959543704694784,[Administration of folic acid and other micronutrients to pregnant women in Colombia]. http://dlvr.it/6XHfNS,1
