tweet_id,tweet,class
9249700142,I think that pregnant girl got me sickkk! Damn give me some nightquil i need to be better before friday! Ughhh fuckk youu.,1
9249700142,I think that pregnant girl got me sickkk! Damn give me some nightquil i need to be better before friday! Ughhh fuckk youu.,1
930278081541099520,This Vicks vapor rub got me hot and cold but this nightquil gone get me right  hate being sick and pregnant had to handle it before it got worse,1
930278081541099520,This Vicks vapor rub got me hot and cold but this nightquil gone get me right  hate being sick and pregnant had to handle it before it got worse,1
39887995091816448,"If your pregnant and take nightquil, what will happen?",1
39887995091816448,"If your pregnant and take nightquil, what will happen?",1
392213746308759552,being sick while pregnant is not the business .. im irritated af & i just wish i could take some nightquil ,1
392213746308759552,being sick while pregnant is not the business .. im irritated af & i just wish i could take some nightquil ,1
304009809932476416,Being Pregnant and sick is the worst!. I really just wanna pop some nightquil tablets in and call it a day! :(,1
301227066068713472,If wasn't pregnant I would've taken a shot of NightQuil lol,1
295960010570227712,A yo that nightquil had me gone i just was having two dreams at the same time the first one i was pregnant ,1
286378041100353536,If I wasn't pregnant I swear I would take me a shot of nightquil,1
285669686920749057,Twerkin4who_NtU nall chat ! they gone thank yo ass pregnant or bout dead ! just leave the pills and nightquil wea they at baby !,1
239938639033937920,& NO IM NOT PREGNANT my cousin just aggravating me ! I'm about to slip her ass some nightquil,1
304009809932476416,Being Pregnant and sick is the worst!. I really just wanna pop some nightquil tablets in and call it a day! :(,1
301227066068713472,If wasn't pregnant I would've taken a shot of NightQuil lol,1
295960010570227712,A yo that nightquil had me gone i just was having two dreams at the same time the first one i was pregnant ,1
286378041100353536,If I wasn't pregnant I swear I would take me a shot of nightquil,1
285669686920749057,Twerkin4who_NtU nall chat ! they gone thank yo ass pregnant or bout dead ! just leave the pills and nightquil wea they at baby !,1
239938639033937920,& NO IM NOT PREGNANT my cousin just aggravating me ! I'm about to slip her ass some nightquil,1
1100007881108160515,I would take nightquil and the normal things for cough when I was pregnant just not hot teas,1
1100007881108160515,I would take nightquil and the normal things for cough when I was pregnant just not hot teas,1
1042222683918884864,I can't drink that one (trying to get pregnant and it messed with my cycle when I was drinking it) but my husband loves it. He also doesn't get crazy Nightquil dreams either like I do  BibChat,1
1042222683918884864,I can't drink that one (trying to get pregnant and it messed with my cycle when I was drinking it) but my husband loves it. He also doesn't get crazy Nightquil dreams either like I do  BibChat,1
1217994506747801600,For first trimesters they are really bad. I think DayQuil could possibly be taken in the second trimester but nightquil you cant tale at all while pregnant,1
1214498185881759744,Me at 5 in the morning googling is nightquil safe to drink while pregnant because this insomnia isnt doing it for me I feel dead,1
1173781593028063232,So I was very sick for the last 3/4 days and keep in mind Im pregnant and literally could only take Tylenol and fucking vitamin c and now my brother is sick acting like a baby mad at me because hes sick and feels so shitty meanwhile he can take DayQuil &nightquil,1
1217994506747801600,For first trimesters they are really bad. I think DayQuil could possibly be taken in the second trimester but nightquil you cant tale at all while pregnant,1
1214498185881759744,Me at 5 in the morning googling is nightquil safe to drink while pregnant because this insomnia isnt doing it for me I feel dead,1
1173781593028063232,So I was very sick for the last 3/4 days and keep in mind Im pregnant and literally could only take Tylenol and fucking vitamin c and now my brother is sick acting like a baby mad at me because hes sick and feels so shitty meanwhile he can take DayQuil &nightquil,1
