tweet_id,tweet,class
10886827037,METHADONE is a hot topic on our site's forum these days. One person asked if pregnant women should try to get off it: http://bit.ly/dsP3PU,1
10422908665,"opiate have you seen all the weird-ass pregnant stuff on DA? Freaks me out, man.",1
7706457608,"Woman is 17 wks pregnant, positive for benzos, opiates and pot. Refused a nicotine patch because ""it could hurt the baby.""",1
7606864646,RT MariAdkins RT NataniaBarron Anyone know if they would've prescribed opiates to pregnant women in the late 1800s in US? eg. laudanum?,1
7605817683,PanHistoria RT know anything about opiates and pregnant women in the late 1800s in the US? NataniaBarron,1
7605647910,"Anyone know if they would have prescribed opiates to pregnant women in the late 1800s in the US? ie. laudanum, etc?",1
5867147301,"4-month-old boy at center of investigation dies, suffered fatal injuries; mother took suboxone, heroin while pregnant http://bit.ly/1n9uhf",1
10886827037,METHADONE is a hot topic on our site's forum these days. One person asked if pregnant women should try to get off it: http://bit.ly/dsP3PU,1
10422908665,"opiate have you seen all the weird-ass pregnant stuff on DA? Freaks me out, man.",1
7706457608,"Woman is 17 wks pregnant, positive for benzos, opiates and pot. Refused a nicotine patch because ""it could hurt the baby.""",1
7606864646,RT MariAdkins RT NataniaBarron Anyone know if they would've prescribed opiates to pregnant women in the late 1800s in US? eg. laudanum?,1
7605817683,PanHistoria RT know anything about opiates and pregnant women in the late 1800s in the US? NataniaBarron,1
7605647910,"Anyone know if they would have prescribed opiates to pregnant women in the late 1800s in the US? ie. laudanum, etc?",1
5867147301,"4-month-old boy at center of investigation dies, suffered fatal injuries; mother took suboxone, heroin while pregnant http://bit.ly/1n9uhf",1
33198545460789249,WHO WOULD DO THAT TO A BABY I'M CRYING RIGHT NOW. TAKING OPIATES WHILE PREGNANT & SEEING THE VIDEO OF THE BABIES WITHDRAWING IS SO HURTFUL.,1
29950309266624514,So in my dream I got pregnant by someone I haven't seen since middle school and I gave birth.. Then they gave me opiates. Cool.,1
25888829223206912,"Gateway Health Plan pushes to improve care for pregnant addicts: ... who are addicted to opiates, which could sa... http://bit.ly/hCEP6G",1
13281232267771904,From palmd Treating pregnant women who opiate users http://bit.ly/hYkULG research review,1
7135008259047424,"WeirdAdvice Don't eat anything with poppy seeds while pregnant. Because if tested, you'll lose your kid since poppy seeds have opiates.",1
25979965898,http://bit.ly/9eYETk I went to a detox center to get off opiates there I learned that I was pregnant?  detox center,1
25488003320,"Recovery and Pregnancy: Hi, I am 25 years old and in recovery from opiate addiction. I am 11 weeks pregnant. I am ... http://bit.ly/c7CGip",1
25196835418,Caseworker says addicted pregnant moms in area at an alarming rate: Dresbach works closely with opiate-addicted ex... http://bit.ly/dqVFnS,1
21416055783,"Sometimes the little ghey or the pregnant load RT _oPIAte: SimplyCym Lol, I wanna know...Wait. Someone else talks like that?!",1
18034968455,"CaronTreatment We do OD prevention/education, help pregnant opiate addicted women, & work w/parents. Check us out: http://bit.ly/7VELKm :)",1
15421783565,"What's REALLY annoying in all this - I *am* going through opiate draw down because I got pregnant, if she's an addict, she was preg and",1
33198545460789249,WHO WOULD DO THAT TO A BABY I'M CRYING RIGHT NOW. TAKING OPIATES WHILE PREGNANT & SEEING THE VIDEO OF THE BABIES WITHDRAWING IS SO HURTFUL.,1
29950309266624514,So in my dream I got pregnant by someone I haven't seen since middle school and I gave birth.. Then they gave me opiates. Cool.,1
25888829223206912,"Gateway Health Plan pushes to improve care for pregnant addicts: ... who are addicted to opiates, which could sa... http://bit.ly/hCEP6G",1
13281232267771904,From palmd Treating pregnant women who opiate users http://bit.ly/hYkULG research review,1
7135008259047424,"WeirdAdvice Don't eat anything with poppy seeds while pregnant. Because if tested, you'll lose your kid since poppy seeds have opiates.",1
25979965898,http://bit.ly/9eYETk I went to a detox center to get off opiates there I learned that I was pregnant?  detox center,1
