tweet_id,tweet,class
4079027605,wittertainment Oxycontin = heavy duty painkiller. Oxytocin = hormone that brings on labour for pregnant ladies. Two different things.,1
1338771430,"andytheclark Vicodin's for babies. Try eating oxycontin from a Pez dispenser (I know, I'm later than a pregnant catholic girl's period....)",1
1159540378,KateRothwell can oxycontin make you pregnant?,1
4079027605,wittertainment Oxycontin = heavy duty painkiller. Oxytocin = hormone that brings on labour for pregnant ladies. Two different things.,1
1338771430,"andytheclark Vicodin's for babies. Try eating oxycontin from a Pez dispenser (I know, I'm later than a pregnant catholic girl's period....)",1
1159540378,KateRothwell can oxycontin make you pregnant?,1
7398605476,I went to my DR when I found out I was pregnant and told him I was addicted to oxycontin 2 4- http://www.helpmesue.com/post/my-obgyn law,1
7398605476,I went to my DR when I found out I was pregnant and told him I was addicted to oxycontin 2 4- http://www.helpmesue.com/post/my-obgyn law,1
20187790260051968,"New Hope for Pregnant Women Addicted to Oxycontin, Other Pain Pills http://bit.ly/gSBAVW",1
20184396279578624,"New Hope for Pregnant Women Addicted to Oxycontin, Other Pain Pills: Addiction to prescription drugs, and partic... http://bit.ly/iaN7IW",1
20184396229255168,"New Hope for Pregnant Women Addicted to Oxycontin, Other Pain Pills: Addiction to prescription drugs, and partic... http://bit.ly/iaN7IW",1
20177795040677888,"New Hope for Pregnant Women Addicted to Oxycontin, Other Pain Pills http://bit.ly/eKgP2N",1
24582099229,My pregnant cousin just called crying - said they were going to induce her with 'oxycontin' I told her it was 'oxytocin' and its ok. funny,1
16711188034,Coming off Oxycontin while pregnant: I was taking nearly 500mg of oxycontin per day for a painful condition which ... http://bit.ly/armp0M,1
20187790260051968,"New Hope for Pregnant Women Addicted to Oxycontin, Other Pain Pills http://bit.ly/gSBAVW",1
20184396279578624,"New Hope for Pregnant Women Addicted to Oxycontin, Other Pain Pills: Addiction to prescription drugs, and partic... http://bit.ly/iaN7IW",1
