tweet_id,tweet,class
1050042767,sheilawalsh Pleurisy is SO painful! I had it while pregnant 24 yrs/ago. Our youngest (19now) had it last year. Pain meds will help... rest.,1
896242024,We've confirmed she's not pregnant. Going to draw blood and give IV pain meds.,1
1050042767,sheilawalsh Pleurisy is SO painful! I had it while pregnant 24 yrs/ago. Our youngest (19now) had it last year. Pain meds will help... rest.,1
896242024,We've confirmed she's not pregnant. Going to draw blood and give IV pain meds.,1
4025502795,"cops in FL search 4 man who attacked pregnant pharmacist, hitting her on head with gun b4 running off w large amt of pain meds.",1
2591558337,: Is there any pain meds I can ask my doctor to prescribe me to relieve pain whil pregnant? http://bit.ly/Uflq6,1
1943894837,"hmarie99 still kinda sore...great pain meds, but sore.have to sit up like a pregnant lady,but surviving on the couch",1
1932143600,"thegirlhouse we are watching a show called, ""I didn't know I was pregnant."" How? HOW?! ""Miraculously delivered without pain meds...""",1
1641551909,"""where were u yesterday?"" ""i broke my tibia in a freak parasailing incedent and the pain meds made me puke."" ""oh my god are you pregnant?""",1
1635800880,A_M_I oh and I also today that women who do water aerobics while pregnant are 3 times less likely to ask for pain meds during labor,1
1559670655,Back from lunch! It was pretty uneventful unless you think a pregnant lady crawling under a bed to dispense pain meds to a cat is funny. lol,1
1487920250,Joint_Pain My friend (who's in my book) went off all of her pain meds when she was pregnant. Didn't feel enough research to say it's ok.,1
1487920247,Joint_Pain My friend (who's in my book) went off all of her pain meds when she was pregnant. Didn't feel enough research to say it's ok.,1
1330780608,"Pregnant sister-in-law jacked up on pain meds, ""I can't see, I can't see.""   Yea, her eyes were closed and yes she is blonde.",1
1251401405,"flyhoney ah well they have to be a certain age to even get tylonal I think, but imagine being pregnant with asmtha = NO PAIN MEDS!! UCK!",1
1207677857,Knocked out on pain meds. Apparently a pregnant woman in agonizing pain isn't a concern to local dentists. No one will give me an appt.,1
1163378803,JodisCraft Thanks! Being 8 months pregnant doesn't help... they won't do anything but give me pain meds and promise they''re safe.,1
4025502795,"cops in FL search 4 man who attacked pregnant pharmacist, hitting her on head with gun b4 running off w large amt of pain meds.",1
2591558337,: Is there any pain meds I can ask my doctor to prescribe me to relieve pain whil pregnant? http://bit.ly/Uflq6,1
1943894837,"hmarie99 still kinda sore...great pain meds, but sore.have to sit up like a pregnant lady,but surviving on the couch",1
