tweet_id,tweet,class
7592046940,"Dom_ODOT shit my cousins girl be popping percs, drinking beer, smoking weed while pregnant. that bitch is too fat to throw offa bridge tho",1
7592046940,"Dom_ODOT shit my cousins girl be popping percs, drinking beer, smoking weed while pregnant. that bitch is too fat to throw offa bridge tho",1
24297338154,"and my homie just told me she just threw up all over herself on her way to work.. ahh, the percs of being pregnant.. lol",1
24297338154,"and my homie just told me she just threw up all over herself on her way to work.. ahh, the percs of being pregnant.. lol",1
106552243251195904,"dear vicodin and percs, i appreciate you taking the pain in my mouth away but peeing every 20 mins is for pregnant bitches. <3 moi.",1
101323377653981185,how r u pregnant but the doctor prescribed u percs for pain when u got n a car wreck? weird,1
83021753043005441,thanks to those 2 percs my broken toe is feeling much better also.  thank god i didnt get pregnant cuz i wouldnt have been able to take ish,1
63270314381029376,He really put my shoes on my feet lol being pregnant has its percs lol,1
106552243251195904,"dear vicodin and percs, i appreciate you taking the pain in my mouth away but peeing every 20 mins is for pregnant bitches. <3 moi.",1
101323377653981185,how r u pregnant but the doctor prescribed u percs for pain when u got n a car wreck? weird,1
83021753043005441,thanks to those 2 percs my broken toe is feeling much better also.  thank god i didnt get pregnant cuz i wouldnt have been able to take ish,1
63270314381029376,He really put my shoes on my feet lol being pregnant has its percs lol,1
856151719792738305,"Girl they ""tightened up"" after Prince, but they back tk norma lol I even got percs when I was pregnant and heroin is real bad up here smh",1
849785736513671169,He on percs and the other one balding. I'm glad I got pregnant and they ain't want me. https://twitter.com/dariusjohnson_/status/849759932291403776,1
844166112254152705,I googled a question on quora and when you scroll down there's a bunch more questions..someone asked if you could take percs while pregnant,1
842901552281149441,Customer overdosed today on xannys and Percs and she was Pregnant,1
835532287282458625,Sold percs to a pregnant lady... forgive me for the 'perc baby',1
826866392276332544,"I swear once bitches get pregnant once they stay getting pregnant, popping kids like they percs ",1
815618569413214208,Girls are pregnant fucking with percs and xans because they can't drink... y'all some snaps killing your babies,1
803668077145571329,Percs of being pregnant: whole family take care of me and baby me ,1
796850466672050179,i also been very hooked on painkillers and even got prescribe percs WHILE pregnant after medical procedures and refused to take it,1
796090659681792000,"Well who PREGNANT and strung out on PERCS??? Let me go do some research... we may have some ELECTION DAY TEA... 

Justin Maury",1
794404600904355840,"I CANT DEAL...THESE BITCHES BE PREGNANT AND POPPIN PERCS, SMOKIN WEED AND DRINKIN LIQUOR, ITS NOT CUTE AND U BITCHES HAVE NO SELF RESPECT",1
791466959971942400,I'm on this prescription call diclegis it's like percs for pregnant woman I feel so much better.,1
787891779483889664,So I wonder when women pill heads get pregnant do they stop  like seriously because ppl claim that's a strong addiction percs xans Ect ,1
856151719792738305,"Girl they ""tightened up"" after Prince, but they back tk norma lol I even got percs when I was pregnant and heroin is real bad up here smh",1
849785736513671169,He on percs and the other one balding. I'm glad I got pregnant and they ain't want me. https://twitter.com/dariusjohnson_/status/849759932291403776,1
844166112254152705,I googled a question on quora and when you scroll down there's a bunch more questions..someone asked if you could take percs while pregnant,1
842901552281149441,Customer overdosed today on xannys and Percs and she was Pregnant,1
835532287282458625,Sold percs to a pregnant lady... forgive me for the 'perc baby',1
826866392276332544,"I swear once bitches get pregnant once they stay getting pregnant, popping kids like they percs ",1
815618569413214208,Girls are pregnant fucking with percs and xans because they can't drink... y'all some snaps killing your babies,1
803668077145571329,Percs of being pregnant: whole family take care of me and baby me ,1
796850466672050179,i also been very hooked on painkillers and even got prescribe percs WHILE pregnant after medical procedures and refused to take it,1
796090659681792000,"Well who PREGNANT and strung out on PERCS??? Let me go do some research... we may have some ELECTION DAY TEA... 

Justin Maury",1
794404600904355840,"I CANT DEAL...THESE BITCHES BE PREGNANT AND POPPIN PERCS, SMOKIN WEED AND DRINKIN LIQUOR, ITS NOT CUTE AND U BITCHES HAVE NO SELF RESPECT",1
791466959971942400,I'm on this prescription call diclegis it's like percs for pregnant woman I feel so much better.,1
787891779483889664,So I wonder when women pill heads get pregnant do they stop  like seriously because ppl claim that's a strong addiction percs xans Ect ,1
685183059797381120,Off them percs but you're pregnant? HMMMMM,1
684865731146702848,How you let ya Bm pop Percs while she pregnant ,1
669395501649932288,U pregnant & was asking for percs smh,1
667532400289832960,"If youre doing percs while you're pregnant, you're the dumbest most selfish bitch and you don't deserve that child in the least bit",1
665166151014420480,The OBGYN had me on percs & other pills while I was pregnant its in my book Amy Wickes Author / From Privilege To... http://fb.me/2pAUo5m7y,1
656536638529609729,"""I hope im not pregnant cause I took 4 percs last night"" OH JUST SILLY ME EASE DROPPING :)",1
649422498392616960,so they prescribed him percs. they gave him an ultrasound. he's convinced he's pregnant. hilarious shit.,1
648865407428894720,Right here he's saying you ain't shit but a bad mother cus you smoking Percs while pregnant & that I'm that bitch  pic.twitter.com/xKPOPsOZ3b,1
648303118485204992,lol see this shit alot smh RT CreepHavHoe_: Pregnant chick was buying hella percs off me talking bout she don't care hey me either,1
643967125783228416,Do u suppose to take percs wen u pregnant ,1
641820701410873344,destroy_time Just the percs. I was already on cipro for a UTI. Add'l complaint: will be happy when I don't look/feel pregnant anymore.,1
638863600111652865,THEN THEY GON BUY CIROC WEAVE N PERCS WIT YA SHIT EVEN THO HER HOMIE PREGNANT..  THESE BITCHES IS SAVAGES,1
637762566941339648,Why is she posting about if someone has percs when she's pregnant??? Wtf..,1
636373883176775680,"My back is killing me, i wouldve got some percs if i wasnt pregnant",1
621547431054966784,Bitch I'll get pregnant again for 9 whole months just for some percs  j/p ,1
618841272481021954,Did percs the whole time u was pregnant and breast feeding I'm sure u know much about the topic,1
604749002798678016,Popping percs & you pregnant ,1
604028621888561153,I Had 4 Girlfriends 2 Were in rehab to my knowledge 2 pregnant/abortion 3addicted to Percs ALL I DID SHIT FOR Stop Making you The 1 ,1
