tweet_id,tweet,class
2513210421,"chellehbpt Gangrene is the ghost her daughter is Pertussis, Pertussis adopted Cholera, Cholera got pregnant when she was a teen & had Lupus",1
2513210421,"chellehbpt Gangrene is the ghost her daughter is Pertussis, Pertussis adopted Cholera, Cholera got pregnant when she was a teen & had Lupus",1
837741219,"DocuTicker... Prevention of Pertussis, Tetanus, and Diphtheria Among Pregnant and Post.. http://tinyurl.com/4b6ymw",1
837741219,"DocuTicker... Prevention of Pertussis, Tetanus, and Diphtheria Among Pregnant and Post.. http://tinyurl.com/4b6ymw",1
13728126346,"If pregnant and get vaccinated against pertussis immediately post partum. Pertussis on rise, infants at greatest risk.",1
9776414780,"South Bend couple loses baby to pertussis: Finally, after five years, Katie became pregnant with a baby girl th.. http://bit.ly/d9QSks",1
7285389766,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
7285191173,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
7285190535,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
7285189922,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
7285187799,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
7285090844,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
7285089698,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
7284988672,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
7230385695,pertussis vaccine in healthy pregnant women http://bit.ly/6m2jqC,1
6997065038,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
6996415407,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
6996353238,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
6996104767,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
6769552054,"jonathanserrie Drs are also suggesting that pregnant or recently given birth, or those around young children get the Pertussis vaccine CDC",1
6309354126,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
6001982038,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
5973884177,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
5973216251,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
13728126346,"If pregnant and get vaccinated against pertussis immediately post partum. Pertussis on rise, infants at greatest risk.",1
9776414780,"South Bend couple loses baby to pertussis: Finally, after five years, Katie became pregnant with a baby girl th.. http://bit.ly/d9QSks",1
7285389766,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
7285191173,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
7285190535,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
7285189922,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
7285187799,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
7285090844,pertussis vaccine in healthy pregnant women http://bit.ly/7SSulz,1
