tweet_id,tweet,class
137720592,"""Pregnant women gotta eat meat! You can't have no good baby eatin' fish and pills!""",1
60564332,"friend Nick's wife is 6mos preg with twins, 5'0"" 100lbs before pregnant, having contractions already. not good. gave her pills to relax ute",1
137720592,"""Pregnant women gotta eat meat! You can't have no good baby eatin' fish and pills!""",1
60564332,"friend Nick's wife is 6mos preg with twins, 5'0"" 100lbs before pregnant, having contractions already. not good. gave her pills to relax ute",1
777666489,regrowing lost fingers? pregnant men? wtf is going on? i feel like I'm taking crazy pills!,1
750321082,"can't stomach much these days, either, champuru, but I'm pretty sure I'M not pregnant! I think for me it's the Topamax (migraine pills).",1
676776872,Why does the first pill of my bc pills always make me feel like poop??  Oh well. Guess it's better than being pregnant.,1
467807432,"I think it said on the packet ""Blue pill not to be taken by pregnant women (!), those with high blood pressure and those taking Red pills""",1
777666489,regrowing lost fingers? pregnant men? wtf is going on? i feel like I'm taking crazy pills!,1
750321082,"can't stomach much these days, either, champuru, but I'm pretty sure I'M not pregnant! I think for me it's the Topamax (migraine pills).",1
676776872,Why does the first pill of my bc pills always make me feel like poop??  Oh well. Guess it's better than being pregnant.,1
467807432,"I think it said on the packet ""Blue pill not to be taken by pregnant women (!), those with high blood pressure and those taking Red pills""",1
1091345599,Happy new year you all! 7 Weeks pregnant is not a joke! Am tired and iron pills makes me sick cant take them! Just want to sleep! Arg..,1
1075969736,"scrosnoe  I'm married with four kids and though I don't use birth control pills, the last thing I need is to get pregnant at 50!",1
1061111000,"It's freaking birth control pills, not morphine.  Why do we want people to get pregnant in this country?",1
1017573127,I must be pregnant because I'm craving every thing I see on the commercials....Maybe its the birth control pills. Help!,1
1004195754,Pregnant Man is pregnant again. What's he gonna do? There are no birth control pills for men. http://tinyurl.com/5v5gfb,1
1004191150,"Pretty sure I broke my thumb falling into the wall. Good news, not pregnant. Bad news, those iron pills I'm supposed to take? Yeah.. forgot.",1
1000352560,i need to stop dreaming about being pregnant. is it possible to OD on birth control pills?,1
920639636,Sex yoda says taking two pills will not get you more pregnant,1
889412897,planning to get pregnant but i dont know if i should take the pills the doctore provided me with sin.. http://tinyurl.com/6fqq49,1
874925475,"these commercials confuse me. at what point did the major selling point of birth control pills stop being ""not getting pregnant""?",1
874615056,Apparently you can't take any pain killers or allergy pills period while pregnant...,1
853785582,jerseymomma I just realized yesterday that the doc did prescribe me birth control pills w/ I was pregnant.. Who would do that?,1
844319952,"elizasea quaker oatmeal everymorning and my cholestrol is down to normal in 6 months,i refused the pills because im trying to get pregnant",1
834286107,I think my grandparents took crazy pills when they were pregnant. What the heck?!?!?!?!,1
811990014,eliabelmares it's not the pills elia. you're PREGNANT! you have a human BEING inside you! i'd be nauseous too if somebody was living in me!,1
797275835,"Note to myself: started taking birth control pills 4/25/08 
Let's see how long it takes to get pregnant.",1
1091345599,Happy new year you all! 7 Weeks pregnant is not a joke! Am tired and iron pills makes me sick cant take them! Just want to sleep! Arg..,1
1075969736,"scrosnoe  I'm married with four kids and though I don't use birth control pills, the last thing I need is to get pregnant at 50!",1
1061111000,"It's freaking birth control pills, not morphine.  Why do we want people to get pregnant in this country?",1
1017573127,I must be pregnant because I'm craving every thing I see on the commercials....Maybe its the birth control pills. Help!,1
1004195754,Pregnant Man is pregnant again. What's he gonna do? There are no birth control pills for men. http://tinyurl.com/5v5gfb,1
1004191150,"Pretty sure I broke my thumb falling into the wall. Good news, not pregnant. Bad news, those iron pills I'm supposed to take? Yeah.. forgot.",1
1000352560,i need to stop dreaming about being pregnant. is it possible to OD on birth control pills?,1
920639636,Sex yoda says taking two pills will not get you more pregnant,1
889412897,planning to get pregnant but i dont know if i should take the pills the doctore provided me with sin.. http://tinyurl.com/6fqq49,1
874925475,"these commercials confuse me. at what point did the major selling point of birth control pills stop being ""not getting pregnant""?",1
874615056,Apparently you can't take any pain killers or allergy pills period while pregnant...,1
853785582,jerseymomma I just realized yesterday that the doc did prescribe me birth control pills w/ I was pregnant.. Who would do that?,1
844319952,"elizasea quaker oatmeal everymorning and my cholestrol is down to normal in 6 months,i refused the pills because im trying to get pregnant",1
834286107,I think my grandparents took crazy pills when they were pregnant. What the heck?!?!?!?!,1
811990014,eliabelmares it's not the pills elia. you're PREGNANT! you have a human BEING inside you! i'd be nauseous too if somebody was living in me!,1
797275835,"Note to myself: started taking birth control pills 4/25/08 
Let's see how long it takes to get pregnant.",1
36458370097479681,"The problem is the pills existence to begin with IMO ""Pharmacy Mistakenly Gives Pregnant Woman Abortion Pill"" http://tinyurl.com/4btyss3",1
36436248981667840,Had the craziest dream! I was pregnant & due June 11th! Wtf?!?! *pops TWO birth control pills*,1
36384025018896385,TusharG If you love a woman you'll not force her to get pregnant each year or take birth control pills.You will use condoms for love making,1
36263939557961728,How do taking diet pills while pregnant affect the fetus? http://xikv.com/pregnant/6028.html,1
36230901192986624,"I feel like it would be so annoying to be pregnant. That big ol stomach making you waddle-no coffee, having to take all those pills",1
36210609863262208,RT L1LmissSUNSHiN3: These dummies taking prenatal pills && ain't even pregnant. . . Tryna make dey hair && nails grow - a lotta ppl do that,1
36173586339205120,Is it me or is this babyboom back in effect? I'll OD on birth control pills before I get pregnant at 21,1
36169407491211264,Can everyone please stop getting pregnant . Its like people popping pills to make them pregnant .,1
36152900396781568,I am awful with taking pills. No point of me taking birth control. I'm almost positive I would still end up pregnant. SMH,1
36124468564721665,Call me crazy but so many pregnant teens in the US.. I really think we should sell birth control pills over the counter..,1
36116237322813440,"Quick Question: 

I forgot to take the first two pills of my new birth control pill pack, could I be pregnant? http://bit.ly/gwVlrX",1
36095322652413952,RT Pretty_QueLinda: Bald bitches fake like they're pregnant so the doctor can give em prenatal pills so their hair can grow lmfao,1
36074957628899328,Im serious>lilcaez: U silly....LOL RT Rayblow: Somebody getting pregnant 2nite. I wish I had some day after pills I would get that bread,1
36071679738257409,Somebody getting pregnant 2nite. I wish I had some day after pills I would get that bread this weekend lol!!!!,1
36005354005336064,"The problem is the pills existence to begin with IMO ""Pharmacy Mistakenly Gives Pregnant Woman Abortion Pill"" http://tinyurl.com/4btyss3",1
36004758850379776,pain pills online no prescription: buy phentermine online with no prescription zithromax while pregnant (http://... http://bit.ly/hUy1G7,1
36003971642433536,Days to acquire Pregnant  When is the greatest Time to Get Pregnant?: Pills To Get Pregnant Naturally: 3 Quick... http://bit.ly/gJyQSG,1
35930627760984064,RT abc7 ~  Safeway says procedures were not followed at its pharmacy when a pregnant woman was given the wrong pills http://bit.ly/fTKmgh,1
