tweet_id,tweet,class
1045503069,aaronmfraser Probiotic sounds like something a pregnant woman would have....,1
1045503069,aaronmfraser Probiotic sounds like something a pregnant woman would have....,1
3291869342,sipping Bio-K+ fruity flavour. Pregnant and probiotic! Should help balance out all the macaroons I ate last night to feed the bad bacteria.,1
3133354772,brookeburke Pregnant and nursing moms and their babies should be taking Natren LifeStart Probiotic to boost natural immunity and nutrients!,1
2715996900,In-Liven Probiotic Superfood & Berry Radical Antioxidant-great for pregnant & breastfeeding moms http://bit.ly/2EDax5,1
1967893738,5 supplements I recommend 4 pregnant women: 1) gd quality prenatal multi 2) Fish Oil 3) Cal/Mag 4) Probiotic 5) B12 + Folic Acid Supplement,1
1873876101,"Probiotics may help ward off postpartum obesity, study says. Pregnant women may want to take probiotic supplements in the 1st trimester.",1
1818808146,Probiotics may help ward off postpartum obesity | Health: Pregnant women who take probiotic supplements starting.. http://bit.ly/v19P5,1
1806163586,"Daily supplements of a multi-species probiotic for a pregnant mother and her young child, could reduce the risk of infant eczema by 58%!",1
1756877886,Monavie Energy Probiotics may prevent belly fat after pregnancy: Pregnant women who take probiotic.. http://bit.ly/sb5br,1
1751751108,Reuters - Pregnant women who take probiotic supplements starting in the first trimester are less likely to devel.. http://tinyurl.com/on6tb3,1
1750010700,Health: Probiotics may help ward off postpartum obesity: NEW YORK (Reuters Health) - Pregnant women who take probiotic supplements..,1
1744102638,Probiotics may help ward off postpartum obesity (Reuters): Reuters - Pregnant women who take probiotic supplemen.. http://bit.ly/OHt6D,1
1741174600,"Probiotics may help ward off postpartum obesity 
 (Reuters)
: Reuters - Pregnant women who take probiotic supple.. http://tinyurl.com/ry2rat",1
3291869342,sipping Bio-K+ fruity flavour. Pregnant and probiotic! Should help balance out all the macaroons I ate last night to feed the bad bacteria.,1
3133354772,brookeburke Pregnant and nursing moms and their babies should be taking Natren LifeStart Probiotic to boost natural immunity and nutrients!,1
2715996900,In-Liven Probiotic Superfood & Berry Radical Antioxidant-great for pregnant & breastfeeding moms http://bit.ly/2EDax5,1
1967893738,5 supplements I recommend 4 pregnant women: 1) gd quality prenatal multi 2) Fish Oil 3) Cal/Mag 4) Probiotic 5) B12 + Folic Acid Supplement,1
1873876101,"Probiotics may help ward off postpartum obesity, study says. Pregnant women may want to take probiotic supplements in the 1st trimester.",1
1818808146,Probiotics may help ward off postpartum obesity | Health: Pregnant women who take probiotic supplements starting.. http://bit.ly/v19P5,1
1806163586,"Daily supplements of a multi-species probiotic for a pregnant mother and her young child, could reduce the risk of infant eczema by 58%!",1
1756877886,Monavie Energy Probiotics may prevent belly fat after pregnancy: Pregnant women who take probiotic.. http://bit.ly/sb5br,1
1751751108,Reuters - Pregnant women who take probiotic supplements starting in the first trimester are less likely to devel.. http://tinyurl.com/on6tb3,1
1750010700,Health: Probiotics may help ward off postpartum obesity: NEW YORK (Reuters Health) - Pregnant women who take probiotic supplements..,1
1744102638,Probiotics may help ward off postpartum obesity (Reuters): Reuters - Pregnant women who take probiotic supplemen.. http://bit.ly/OHt6D,1
1741174600,"Probiotics may help ward off postpartum obesity 
 (Reuters)
: Reuters - Pregnant women who take probiotic supple.. http://tinyurl.com/ry2rat",1
492149040168304640,From Follower: I am 9 weeks pregnant and looking for a safe/natural daily probiotic and wondering if anyone has recommendations,1
475381888035876864,Now carrying HMF Maternity - a probiotic for pregnant moms and allergic babies - in our supplements store: http://ow.ly/xymDs,1
469244400258646016,$58.00 for probiotic tablets. These things better work. I'm sick of looking like a pregnant baboon every time I get so much as a sniffle.,1
464201435853254656,"RT weavemade Did you know the probiotic bacteria found in lifeway_kefir is great for kids, pregnant women, & nursing moms?  MotherCulture",1
464201314097180673,"Did you know the probiotic bacteria found in lifeway_kefir is great for kids, pregnant women, & nursing moms? motherculture weavemade",1
453669146967179264,Being sick while pregnant is no buenoI'm finally on the road to recovery & this Probiotic acidophilus http://instagram.com/p/mi-tPADzi9/,1
448284550545047553,"Lmfao. Take a probiotic daily.  ""sashlyy: getting shot in the knee cap > trying to shit while pregnant""",1
423517947215511553,Hi bryanmeehan hope you're well! When I was pregnant you recommended a probiotic for babies - what was it? And any supplements for 1yo?,1
416630463017807872,I recommend to every pregnant mother in my clinic to take a good quality probiotic. http://fb.me/6pDyCBOng,1
413919899413516288,"Probiotic administration to pregnant mother reduces allergic response in baby, immune studies http://www.ncbi.nlm.nih.gov/pubmed/23517039",1
409070627480276992,Probiotic Supplementes: No evidence that they prevent childhood asthma when given to infants or to pregnant women http://bit.ly/1eUYOnK,1
409065484894875648,"""Probiotic Supplementes: No evidence that they prevent childhood asthma when given to infants or to pregnant women"" http://bit.ly/1eUYOnK",1
492149040168304640,From Follower: I am 9 weeks pregnant and looking for a safe/natural daily probiotic and wondering if anyone has recommendations,1
475381888035876864,Now carrying HMF Maternity - a probiotic for pregnant moms and allergic babies - in our supplements store: http://ow.ly/xymDs,1
469244400258646016,$58.00 for probiotic tablets. These things better work. I'm sick of looking like a pregnant baboon every time I get so much as a sniffle.,1
464201435853254656,"RT weavemade Did you know the probiotic bacteria found in lifeway_kefir is great for kids, pregnant women, & nursing moms?  MotherCulture",1
464201314097180673,"Did you know the probiotic bacteria found in lifeway_kefir is great for kids, pregnant women, & nursing moms? motherculture weavemade",1
453669146967179264,Being sick while pregnant is no buenoI'm finally on the road to recovery & this Probiotic acidophilus http://instagram.com/p/mi-tPADzi9/,1
448284550545047553,"Lmfao. Take a probiotic daily.  ""sashlyy: getting shot in the knee cap > trying to shit while pregnant""",1
423517947215511553,Hi bryanmeehan hope you're well! When I was pregnant you recommended a probiotic for babies - what was it? And any supplements for 1yo?,1
416630463017807872,I recommend to every pregnant mother in my clinic to take a good quality probiotic. http://fb.me/6pDyCBOng,1
