tweet_id,tweet,class
959185795,Asbury Clinic: Sinus Infection? Take Sudafed. Ear Infection? Take Sudafed. Cancer? Take Sudafed. Pregnant? Take Sudafed. ........Kill me.,1
959185795,Asbury Clinic: Sinus Infection? Take Sudafed. Ear Infection? Take Sudafed. Cancer? Take Sudafed. Pregnant? Take Sudafed. ........Kill me.,1
676225767446069248,the_MRSlife DarlingMsAshley _ThatMomLife I took Sudafed PE while pregnant AND nursing my toddler and my supply didn't change! Feel better,1
674012189062139904,"After 9+ years pregnant, breastfeeding, or both, it's nice to take a sudafed to treat a sinus headache without thinking of anyone but me.",1
655034955114913792,Having a cold while pregnant is the worst. This baby better appreciate the fact that I'm not taking Sudafed for her sake.,1
650465122566078464,"Post private: anyone take sudafed when pregnant for sinus pressure?
RB Kait",1
643449644429803520,told the nurse id had a sinusitis for 16weeks n she thought I meant pregnant? had the doctor asking if I was ok taking sudafed this far gone,1
634480882187767808,"Having a nasty sinus cold is never fun times, but it's especially turds when you're pregnant and can't take any Sudafed!",1
629419311199707140,"drakefanfic into my cough before getting help and they just said Sudafed and water bc pregnant suck it up. 
Me: I CANT FUNCTION",1
629418593671733248,drakefanfic Sudafed was my life saver while pregnant and I had the worst cold and cough in the world,1
610170009218891776,"Head cold. Stuffy nose. Yes Sudafed *might* cause birth defects if taken when pregnant, but you have to weigh it up. I HAVE A STUFFY NOSE!",1
676225767446069248,the_MRSlife DarlingMsAshley _ThatMomLife I took Sudafed PE while pregnant AND nursing my toddler and my supply didn't change! Feel better,1
674012189062139904,"After 9+ years pregnant, breastfeeding, or both, it's nice to take a sudafed to treat a sinus headache without thinking of anyone but me.",1
655034955114913792,Having a cold while pregnant is the worst. This baby better appreciate the fact that I'm not taking Sudafed for her sake.,1
650465122566078464,"Post private: anyone take sudafed when pregnant for sinus pressure?
RB Kait",1
643449644429803520,told the nurse id had a sinusitis for 16weeks n she thought I meant pregnant? had the doctor asking if I was ok taking sudafed this far gone,1
634480882187767808,"Having a nasty sinus cold is never fun times, but it's especially turds when you're pregnant and can't take any Sudafed!",1
629419311199707140,"drakefanfic into my cough before getting help and they just said Sudafed and water bc pregnant suck it up. 
Me: I CANT FUNCTION",1
629418593671733248,drakefanfic Sudafed was my life saver while pregnant and I had the worst cold and cough in the world,1
610170009218891776,"Head cold. Stuffy nose. Yes Sudafed *might* cause birth defects if taken when pregnant, but you have to weigh it up. I HAVE A STUFFY NOSE!",1
761695778628833280,"Popping a Sudafed tablet and having the box tell you not to take one if you're pregnant or breastfeeding.
I should be fine??",1
760804905183576064,my doc let me take sudafed while pregnant.,1
747134192077651968,"Things I really miss while pregnant: Ibuprofen, free flowing caffeine, Sudafed, retinol face cream, margaritas. 22 more weeks. ithinkican",1
744309887400816640,"Laws re sinus meds are so fucking ludicrous. I've got a sick, pregnant wife. Fake Sudafed is not s damn option",1
715192523673587712,weirdmedicine who do I listen to? The pharmacist or the Dr? Have a pregnant wife dr said she can have Sudafed and the pharma said no,1
701669535691182080,It really is! Sudafed saved me! RT TunchyyMarie Having a cold while you pregnant has got to be 1 of the worst things I've ever endured ,1
686932465827487746,Figured out last night that pregnant ladies can take sudafed. blessed,1
686375440999530497,"Got id'd to buy Sudafed, like seriously? I am 7 1/2 months pregnant, I'm not cooking meth in my garage or some shit ",1
761695778628833280,"Popping a Sudafed tablet and having the box tell you not to take one if you're pregnant or breastfeeding.
I should be fine??",1
760804905183576064,my doc let me take sudafed while pregnant.,1
747134192077651968,"Things I really miss while pregnant: Ibuprofen, free flowing caffeine, Sudafed, retinol face cream, margaritas. 22 more weeks. ithinkican",1
744309887400816640,"Laws re sinus meds are so fucking ludicrous. I've got a sick, pregnant wife. Fake Sudafed is not s damn option",1
715192523673587712,weirdmedicine who do I listen to? The pharmacist or the Dr? Have a pregnant wife dr said she can have Sudafed and the pharma said no,1
701669535691182080,It really is! Sudafed saved me! RT TunchyyMarie Having a cold while you pregnant has got to be 1 of the worst things I've ever endured ,1
686932465827487746,Figured out last night that pregnant ladies can take sudafed. blessed,1
686375440999530497,"Got id'd to buy Sudafed, like seriously? I am 7 1/2 months pregnant, I'm not cooking meth in my garage or some shit ",1
14799742743,"A friend's fb status ""Just witnessed a man buying 3 bottles of sudafed with pregnant wife/girlfriend with blackeye in Walmart"" only in bama",1
14011612927,"Funny how I was on morphine and percoset when I was pregnant, and I can't take a friggin' sudafed now.",1
12985959671,"MckMama NO allergies here normally, but pregnant- whoa, watch out! Old-school Sudafed usually takes the edge off & is safe for us PG mamas.",1
10870115824,Waiting at the Dr's while the wife gets her sinus looked at. What can a pregnant woman take for a sinus infection besides Sudafed?,1
10625800029,"I caught Pie's and Sweetie's cold. Inevitable, I guess. Worse while pregnant, because I can't take anything more useful than 4hr Sudafed. :p",1
10345831734,wellreadreviews You can take Sudafed when you're pregnant hun lol.,1
8651363362,"So, I think I'm getting sick AGAIN. I blame the weather and being pregnant. Have bought so much Sudafed, Walmart may think I'm cookin' meth.",1
8134218479,Time for the sudafed ... I woke up this morning and my nose looked like I was 25 months pregnant! :(,1
6820451815,missbellarella yeah apparently they think ppl over 21 don't use it to get high or something. I had to ask for sudafed when I was pregnant.,1
6805516493,Ugh.  Fighting off this awful head cold.  So unfair when you're pregnant.  I'm dying for a Sudafed!,1
6117824654,"Feliciatopia No, but when I was pregnant and couldn't take sudafed, I used tepid water and salt. You put it in hand and inhale in shower",1
5864608920,"me = pregnant + somehow sick + stuffed up + ball tomorrow! FIX IT! Rememdies now! Dont tell me to drink tea, real stuff! Can I take sudafed?",1
4673729134,sixechojnz even when i was not pregnant i was resistant to sudafed. Advil cold and sinus worked well for me.,1
4398812511,"Great. Thought I took Sudafed while pregnant. Now appears to be class C. Eff, my kid's gonna have club foot.",1
14799742743,"A friend's fb status ""Just witnessed a man buying 3 bottles of sudafed with pregnant wife/girlfriend with blackeye in Walmart"" only in bama",1
14011612927,"Funny how I was on morphine and percoset when I was pregnant, and I can't take a friggin' sudafed now.",1
12985959671,"MckMama NO allergies here normally, but pregnant- whoa, watch out! Old-school Sudafed usually takes the edge off & is safe for us PG mamas.",1
10870115824,Waiting at the Dr's while the wife gets her sinus looked at. What can a pregnant woman take for a sinus infection besides Sudafed?,1
10625800029,"I caught Pie's and Sweetie's cold. Inevitable, I guess. Worse while pregnant, because I can't take anything more useful than 4hr Sudafed. :p",1
10345831734,wellreadreviews You can take Sudafed when you're pregnant hun lol.,1
8651363362,"So, I think I'm getting sick AGAIN. I blame the weather and being pregnant. Have bought so much Sudafed, Walmart may think I'm cookin' meth.",1
8134218479,Time for the sudafed ... I woke up this morning and my nose looked like I was 25 months pregnant! :(,1
6820451815,missbellarella yeah apparently they think ppl over 21 don't use it to get high or something. I had to ask for sudafed when I was pregnant.,1
6805516493,Ugh.  Fighting off this awful head cold.  So unfair when you're pregnant.  I'm dying for a Sudafed!,1
6117824654,"Feliciatopia No, but when I was pregnant and couldn't take sudafed, I used tepid water and salt. You put it in hand and inhale in shower",1
5864608920,"me = pregnant + somehow sick + stuffed up + ball tomorrow! FIX IT! Rememdies now! Dont tell me to drink tea, real stuff! Can I take sudafed?",1
4673729134,sixechojnz even when i was not pregnant i was resistant to sudafed. Advil cold and sinus worked well for me.,1
4398812511,"Great. Thought I took Sudafed while pregnant. Now appears to be class C. Eff, my kid's gonna have club foot.",1
3230783568,MaryM27_81 My ob always prescribed sudafed and robitussin when I was pregnant.,1
2820152698,"Man, why are condoms in the locked case with the Sudafed? Are they TRYING to get me pregnant? Well, common sense is on my side, SO THERE.",1
