tweet_id,tweet,class
3979005692,""" my friend 4weeks pregnant and she drink 1 tablet of CORTAL ASPIRIN. after that she never take any medicine b http://PD0.US/R/?R177873",1
3734489975,""" I am delayed for 10 days period. I am pregnant so pls tell pill of  SECURE aborstion tablet that available i http://PD0.US/R/?S163336",1
3731072340,[Womens Health]I don't think a breast feeding mother can go for such a tablet.first see whether you atre pregnant or not if so then go for a,1
3485976642,PeterArceo A PREGNANT WOMAN should NEVER even touch DHEA (don't even let her touch the tablet) can result in deformed genitalia of fetus,1
2743775495,"PHEW, kirsty ainnt pregnant :) but the doctor giv her the wrong tablet cud have killed the bitch :) :')",1
2073969850,"The world is pregnant with Apple Vice President Philip Schiller's WWDC keynote speech at 19:00 CEST today. iPhone, Snow Leopard, Tablet?",1
3979005692,""" my friend 4weeks pregnant and she drink 1 tablet of CORTAL ASPIRIN. after that she never take any medicine b http://PD0.US/R/?R177873",1
3734489975,""" I am delayed for 10 days period. I am pregnant so pls tell pill of  SECURE aborstion tablet that available i http://PD0.US/R/?S163336",1
3731072340,[Womens Health]I don't think a breast feeding mother can go for such a tablet.first see whether you atre pregnant or not if so then go for a,1
3485976642,PeterArceo A PREGNANT WOMAN should NEVER even touch DHEA (don't even let her touch the tablet) can result in deformed genitalia of fetus,1
2743775495,"PHEW, kirsty ainnt pregnant :) but the doctor giv her the wrong tablet cud have killed the bitch :) :')",1
2073969850,"The world is pregnant with Apple Vice President Philip Schiller's WWDC keynote speech at 19:00 CEST today. iPhone, Snow Leopard, Tablet?",1
14635903263,"Doc's receptionist made a point of confirming bump (& you can't miss it) but tablet info sheet says ""DO NOT take if pregnant"". Umm...?",1
14532346232,tintinbabao >> watching Kabuhayang Swak na Swak now .. I tried the Carica Malunggay tablet when i was pregnant til i gave birth.,1
14337763857,Pharmac-subsidised iodine tablet available from 1 July at pharmacies for pregnant and breastfeeding women .http://bit.ly/cMisgZ,1
14336807635,Pharmac-subsidised iodine tablet available from 1 July at pharmacies for pregnant and breastfeeding women (HT: Agencies 4 Nutrition Action),1
13726749350,Just had an anti-inflammatory tablet. I have a crick in my back. Moving like a 90 year-old 8-month pregnant woman. No tennis today... :(,1
12696766563,Vitamins could reduce low baby weight risk: The study gave a group of pregnant women a daily tablet containing a f... http://bit.ly/aRj08Q,1
11236301259,"asukalynyai Don't worry sist it will be fine, just take your anemia tablet routinely as doctor advises...it's normal for pregnant ladies...",1
10714275317,[Pharmacy](AA$3.00)I want to abt this tablet and other part is is my wife pregnant... http://bit.ly/9DQRLK,1
10389323602,"http://bit.ly/9mhmz1 ebony uncut, randy orton nude, is rachel ray pregnant, throat infections, clotrimazole vaginal tablet dissolution",1
9571174237,with these tablet things I'm taking i'm not aloud to get pregnant whilst taking them. dammit >.< ;),1
9482451752,"bengillam If you don't like drinking gaviscon, they do tablet form now. Wife had them on prescription when pregnant.",1
8822749706,Not sure the name of tablet I took..but lets just say I wont be getting pregnant in the near future.,1
8320484312,"Apparently Apple were considering calling the new tablet the iSlate, which sounds like a teenager telling her boyfriend she's pregnant.",1
8287254690,"Tablet: wont use it to save the planet, nor to get my wife pregnant, but a as worthy gadget, as it sh'd be. http://mashable.com/apple-tablet",1
8278086688,Rumor: You can't get the Apple Tablet pregnant if you love it.,1
8150950932,"Latest Topics: verapamil, cholinerv 500 mg tablet, tramadol, decilone  on pregnant, pliva 433, small pink round pill, phenavent, small blue",1
7601282807,"Just swallowed an effervescent tablet instead of making a drink out of it, to avoid the taste. Bad move. Now look pregnant :(",1
7308795742,"""I can't remember if I took my malaria tablet this morning...if I was a girl I would be pregnant... A lot!"" ..richard hammond :P funny",1
7308718300,"""I can't remember if I took my malaria tablet this morning? ..if I was a girl I would be pregnant a lot!"" ..richard hammond :P funny",1
7099343269,"'i've forgotten to take my malaria tablet, if I was a girl I'd be pregnant .. Alot' hahaha top gear :')",1
14635903263,"Doc's receptionist made a point of confirming bump (& you can't miss it) but tablet info sheet says ""DO NOT take if pregnant"". Umm...?",1
14532346232,tintinbabao >> watching Kabuhayang Swak na Swak now .. I tried the Carica Malunggay tablet when i was pregnant til i gave birth.,1
14337763857,Pharmac-subsidised iodine tablet available from 1 July at pharmacies for pregnant and breastfeeding women .http://bit.ly/cMisgZ,1
14336807635,Pharmac-subsidised iodine tablet available from 1 July at pharmacies for pregnant and breastfeeding women (HT: Agencies 4 Nutrition Action),1
13726749350,Just had an anti-inflammatory tablet. I have a crick in my back. Moving like a 90 year-old 8-month pregnant woman. No tennis today... :(,1
12696766563,Vitamins could reduce low baby weight risk: The study gave a group of pregnant women a daily tablet containing a f... http://bit.ly/aRj08Q,1
11236301259,"asukalynyai Don't worry sist it will be fine, just take your anemia tablet routinely as doctor advises...it's normal for pregnant ladies...",1
10714275317,[Pharmacy](AA$3.00)I want to abt this tablet and other part is is my wife pregnant... http://bit.ly/9DQRLK,1
10389323602,"http://bit.ly/9mhmz1 ebony uncut, randy orton nude, is rachel ray pregnant, throat infections, clotrimazole vaginal tablet dissolution",1
9571174237,with these tablet things I'm taking i'm not aloud to get pregnant whilst taking them. dammit >.< ;),1
9482451752,"bengillam If you don't like drinking gaviscon, they do tablet form now. Wife had them on prescription when pregnant.",1
8822749706,Not sure the name of tablet I took..but lets just say I wont be getting pregnant in the near future.,1
8320484312,"Apparently Apple were considering calling the new tablet the iSlate, which sounds like a teenager telling her boyfriend she's pregnant.",1
8287254690,"Tablet: wont use it to save the planet, nor to get my wife pregnant, but a as worthy gadget, as it sh'd be. http://mashable.com/apple-tablet",1
8278086688,Rumor: You can't get the Apple Tablet pregnant if you love it.,1
8150950932,"Latest Topics: verapamil, cholinerv 500 mg tablet, tramadol, decilone  on pregnant, pliva 433, small pink round pill, phenavent, small blue",1
7601282807,"Just swallowed an effervescent tablet instead of making a drink out of it, to avoid the taste. Bad move. Now look pregnant :(",1
7308795742,"""I can't remember if I took my malaria tablet this morning...if I was a girl I would be pregnant... A lot!"" ..richard hammond :P funny",1
7308718300,"""I can't remember if I took my malaria tablet this morning? ..if I was a girl I would be pregnant a lot!"" ..richard hammond :P funny",1
7099343269,"'i've forgotten to take my malaria tablet, if I was a girl I'd be pregnant .. Alot' hahaha top gear :')",1
7042495947,Took a tablet that is normally given to pregnant women for morning sickness. It's helping. Hopefully I'll be recovered soon!,1
