tweet_id,tweet,class
807128867,Panda News: Pulmonary Tuberculosis in a Young Pregnant Female: Challenges in ... - RedOrbit: Pul.. http://tinyurl.com/5uohaz,1
807128867,Panda News: Pulmonary Tuberculosis in a Young Pregnant Female: Challenges in ... - RedOrbit: Pul.. http://tinyurl.com/5uohaz,1
3230489352,Case Report: Pulmonary Tuberculosis in a Young Pregnant Female http://www.hindawi.com/journals/idog/2008/628985.html,1
2631670789,"I officially do not have rabies. I also neither have aids, tuberculosis, diabeties nor am I pregnant. Just in case you were wondering.",1
2075526692,"There were 2 deaths in the ""death tank"" that we think is infected with fish tuberculosis. 2 bluered males.  Female is pregnant again -bertha",1
3230489352,Case Report: Pulmonary Tuberculosis in a Young Pregnant Female http://www.hindawi.com/journals/idog/2008/628985.html,1
2631670789,"I officially do not have rabies. I also neither have aids, tuberculosis, diabeties nor am I pregnant. Just in case you were wondering.",1
2075526692,"There were 2 deaths in the ""death tank"" that we think is infected with fish tuberculosis. 2 bluered males.  Female is pregnant again -bertha",1
129128476342099968,Dr Gupta: pregnant women with tuberculosis can transmit TB to infant  in utero Lille2011,1
119084808986042368,Yep in case you havent heard Im pregnant. And my child has fetal alcohol syndrome. Oh and dont forget tuberculosis thanks to THEmexicanfox,1
91181995501170688,"Active Tuberculosis Case-Finding Among Pregnant Women Presenting to Antenatal Clinics in Soweto, South Africa http://dlvr.it/b32Nm",1
89249034379866112,Tuberculosis (TB) screening & isoniazid preventive therapy essential part of PMTCT care for pregnant women with HIV http://bit.ly/pTaJZz,1
88980589637664768,"WORLD_RECORD
Do u know?
Which disease Usually Spreads through milk?
Ans:Tuberculosis

*World's 1st pregnant man
Ans:Thomas Beatie(2008)",1
88932119354679297,"aids hiv Active Tuberculosis Case-Finding Among Pregnant Women Presenting to Antenatal Clinics in Soweto, Sout... http://bit.ly/pTaJZz",1
88780266381910016,"WORLD_RECORD
Q:Which disease Usually spreads through milk?

Tuberculosis

*World's 1st pregnant man:
Thomas... http://fb.me/xOrCIF7P",1
59606336907907072,"... are receiving immune system-suppressing drugs; have active, untreated tuberculosis; or are pregnant or tryin... http://bit.ly/g8Iuwm",1
55666470356656128,Lmmfao!! Ur funny lady RT NIKKIKILZMINAJ: BLo_SeaLevel I'm scared of pregnant women cause they contagious like tuberculosis.,1
55666019443810304,BLo_SeaLevel I'm scared of pregnant women cause they contagious like tuberculosis. If I smell them u will get preggo to,1
55428845981024256,I don't care how long you've been a pregnant crack addict with stage 4 tuberculosis and a violent pimp. Haven't you ever heard of a coaster?,1
55411608645664768,I don't care how long you've been a pregnant crack whore with stage 4 tuberculosis and a violent pimp.  Haven't you ever heard of a coaster?,1
49454822335856640,Okay! Pregnant + serz case of Tuberculosis + HIV positve...gbam! For one person?? afmag nawa for u oooooo....lwkm!,1
43015931416424448,"HealthGuard Foundation sensitized over 40 pregnant mothers on TUBERCULOSIS  C.A.C (Oke-Igbala), Agidi Road, Alapere-Ketu.",1
129128476342099968,Dr Gupta: pregnant women with tuberculosis can transmit TB to infant  in utero Lille2011,1
119084808986042368,Yep in case you havent heard Im pregnant. And my child has fetal alcohol syndrome. Oh and dont forget tuberculosis thanks to THEmexicanfox,1
91181995501170688,"Active Tuberculosis Case-Finding Among Pregnant Women Presenting to Antenatal Clinics in Soweto, South Africa http://dlvr.it/b32Nm",1
89249034379866112,Tuberculosis (TB) screening & isoniazid preventive therapy essential part of PMTCT care for pregnant women with HIV http://bit.ly/pTaJZz,1
88980589637664768,"WORLD_RECORD
Do u know?
Which disease Usually Spreads through milk?
Ans:Tuberculosis

*World's 1st pregnant man
Ans:Thomas Beatie(2008)",1
88932119354679297,"aids hiv Active Tuberculosis Case-Finding Among Pregnant Women Presenting to Antenatal Clinics in Soweto, Sout... http://bit.ly/pTaJZz",1
88780266381910016,"WORLD_RECORD
Q:Which disease Usually spreads through milk?

Tuberculosis

*World's 1st pregnant man:
Thomas... http://fb.me/xOrCIF7P",1
59606336907907072,"... are receiving immune system-suppressing drugs; have active, untreated tuberculosis; or are pregnant or tryin... http://bit.ly/g8Iuwm",1
55666470356656128,Lmmfao!! Ur funny lady RT NIKKIKILZMINAJ: BLo_SeaLevel I'm scared of pregnant women cause they contagious like tuberculosis.,1
55666019443810304,BLo_SeaLevel I'm scared of pregnant women cause they contagious like tuberculosis. If I smell them u will get preggo to,1
55428845981024256,I don't care how long you've been a pregnant crack addict with stage 4 tuberculosis and a violent pimp. Haven't you ever heard of a coaster?,1
55411608645664768,I don't care how long you've been a pregnant crack whore with stage 4 tuberculosis and a violent pimp.  Haven't you ever heard of a coaster?,1
49454822335856640,Okay! Pregnant + serz case of Tuberculosis + HIV positve...gbam! For one person?? afmag nawa for u oooooo....lwkm!,1
43015931416424448,"HealthGuard Foundation sensitized over 40 pregnant mothers on TUBERCULOSIS  C.A.C (Oke-Igbala), Agidi Road, Alapere-Ketu.",1
13811739561,Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania http://ow.ly/1G8sd TB,1
13645029355,twosamuse thrilled about me being here pregnant with the tuberculosis outbreak. I tried to tell him that I'm on the neds but he's worrying.,1
13572827174,Pregnant and Pained: Could it be tuberculosis or HIV? Could it be a fungus? None of those would respond to the an... http://nyti.ms/9Od7wt,1
10922068624,"Btw, results of my medical were all normal. I'm not a druggie, I don't have cancer and/or tuberculosis and I'm not pregnant, yay! Lol.",1
10148315100,www.SingaporeHIV.com Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania: http://url4.eu/1hV2a,1
10134989631,http://eurekamag.com Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania: a... http://bit.ly/dnG296,1
10132898207,Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania: a ... - http://bit.ly/amXTVR  - RT 361,1
10132888502,Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania: a ... - http://bit.ly/amXTVR,1
10126431952,Latent tuberculosis among pregnant mothers in a resource poor setting in ...: Untreated latent TB infection (LTBI)... http://bit.ly/detmoE,1
10118314197,Latent tuberculosis among pregnant mothers in a resource poor setting in ... http://bit.ly/d7tEom,1
10117926745,Latent tuberculosis among pregnant mothers in a resource poor setting in ...: ... therefore targeted screening sho... http://bit.ly/9iVwFK,1
10117538709,http://434012bwxvs6t Latent tuberculosis among pregnant mothers in a resource poor setting in ... - 7thSpace Interac... http://bit.ly/b8Oi9Q,1
10115237283,RT zyberguy Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania: a  http://goo.gl/fb/s372,1
10114561252,Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania: a http://goo.gl/fb/s372,1
9456562334,Pregnancy news & art-  'Aishwarya Rai cannot risk pregnancy due to stomach tuberculosis' - AsiaOne http://url4.eu/1S4qc,1
9332076908,juniorbachchan writin abt a woman dat she can't get pregnant bcoz of stomach tuberculosis! crossed the limit! so cheap whoever has written,1
13811739561,Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania http://ow.ly/1G8sd TB,1
13645029355,twosamuse thrilled about me being here pregnant with the tuberculosis outbreak. I tried to tell him that I'm on the neds but he's worrying.,1
13572827174,Pregnant and Pained: Could it be tuberculosis or HIV? Could it be a fungus? None of those would respond to the an... http://nyti.ms/9Od7wt,1
10922068624,"Btw, results of my medical were all normal. I'm not a druggie, I don't have cancer and/or tuberculosis and I'm not pregnant, yay! Lol.",1
10148315100,www.SingaporeHIV.com Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania: http://url4.eu/1hV2a,1
10134989631,http://eurekamag.com Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania: a... http://bit.ly/dnG296,1
10132898207,Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania: a ... - http://bit.ly/amXTVR  - RT 361,1
10132888502,Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania: a ... - http://bit.ly/amXTVR,1
10126431952,Latent tuberculosis among pregnant mothers in a resource poor setting in ...: Untreated latent TB infection (LTBI)... http://bit.ly/detmoE,1
10118314197,Latent tuberculosis among pregnant mothers in a resource poor setting in ... http://bit.ly/d7tEom,1
10117926745,Latent tuberculosis among pregnant mothers in a resource poor setting in ...: ... therefore targeted screening sho... http://bit.ly/9iVwFK,1
10117538709,http://434012bwxvs6t Latent tuberculosis among pregnant mothers in a resource poor setting in ... - 7thSpace Interac... http://bit.ly/b8Oi9Q,1
10115237283,RT zyberguy Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania: a  http://goo.gl/fb/s372,1
10114561252,Latent tuberculosis among pregnant mothers in a resource poor setting in Northern Tanzania: a http://goo.gl/fb/s372,1
9456562334,Pregnancy news & art-  'Aishwarya Rai cannot risk pregnancy due to stomach tuberculosis' - AsiaOne http://url4.eu/1S4qc,1
9332076908,juniorbachchan writin abt a woman dat she can't get pregnant bcoz of stomach tuberculosis! crossed the limit! so cheap whoever has written,1
23290887647793152,"Pregnancy do's and dont's: i have a tuberculosis and now im pregnant, wat was the effect of this to my baby? http://bit.ly/hJsu8V",1
23290887626817536,"WomensHealthDr: Pregnancy do's and dont's: i have a tuberculosis and now im pregnant, wat was the effect of this... http://bit.ly/h00DPq",1
23287400604114944,"Pregnancy do's and dont's: i have a tuberculosis and now im pregnant, wat was the effect of this to my baby? http://bit.ly/hJsu8V",1
23287400474091520,"WomensHealthDr: Pregnancy do's and dont's: i have a tuberculosis and now im pregnant, wat was the effect of this... http://bit.ly/h00DPq",1
19182056005181441,TREATMENT OF LATENT TUBERCULOSIS WITH ISONIAZID | eThaiSORE.com ...: Pregnant women who are at high risk of deve... http://bit.ly/gISFCa,1
10427521111695361,12/2 NCLEX ?: A pregnant patient with tuberculosis (TB) should know that all of the following statements are true... http://ow.ly/3j2xE,1
29661955657,11/4 NCLEX ?: A pregnant patient with tuberculosis (TB) should know that all of the following statements are... http://ow.ly/33amt,1
27938578915,Lol RT Wayno119: Lol yall niggas really care if Beyonce pregnant ? Yall probably don't know if you have tuberculosis tho,1
