tweet_id,tweet,class
1037150743,"Between being pregnant & taking Unisom for nausea, I could seriously sleep 18 hours a day.  SO sleepy.",1
888651870,"foids Unisom might be a good thing to try, my dr reccommended it when I was pregnant and couldn't stay asleep",1
1037150743,"Between being pregnant & taking Unisom for nausea, I could seriously sleep 18 hours a day.  SO sleepy.",1
888651870,"foids Unisom might be a good thing to try, my dr reccommended it when I was pregnant and couldn't stay asleep",1
11357521340,"""Unisom while pregnant"" I'm 32 weeks. I have not slept in like 6 weeks seriously. I'm getting worse of course and I...http://bit.ly/cFyOMl",1
8864292684,StinaMFKing Unisom works great. They even let me use it while I was pregnant. I only need to take half.,1
6360772823,"""Did you take Unisom (the sleep-aid pill) as an Anti-nausia medication?"" Hi Moms, I am now pregnant with my second...http://bit.ly/4ul2ax",1
11357521340,"""Unisom while pregnant"" I'm 32 weeks. I have not slept in like 6 weeks seriously. I'm getting worse of course and I...http://bit.ly/cFyOMl",1
8864292684,StinaMFKing Unisom works great. They even let me use it while I was pregnant. I only need to take half.,1
6360772823,"""Did you take Unisom (the sleep-aid pill) as an Anti-nausia medication?"" Hi Moms, I am now pregnant with my second...http://bit.ly/4ul2ax",1
30871007925370880,Unisom or doxylamine works well for this at night ReelMomma i will not throw up tonight. will not. nightsickness pregnant,1
15174062057721856,Shopping list for the newly pregnant: Vitamins. Unisom. Gas-X. Elastic pants. And tweezers. You definitely need tweezers.,1
30871007925370880,Unisom or doxylamine works well for this at night ReelMomma i will not throw up tonight. will not. nightsickness pregnant,1
15174062057721856,Shopping list for the newly pregnant: Vitamins. Unisom. Gas-X. Elastic pants. And tweezers. You definitely need tweezers.,1
2717318860,askjillian you should ask your doctor about taking 1/4 unisom. It totally worked when I was pregnant with my 3rd & sick 24/7.,1
2717318860,askjillian you should ask your doctor about taking 1/4 unisom. It totally worked when I was pregnant with my 3rd & sick 24/7.,1
123198897718968320,"Losing it after 3 consecutive nights of pregnant insomnia. Cranky, dizzy, light headed, nauseous. Have ok to try Unisom, fingers crossed.",1
113626565501386753,Whitneylwhite take some vitamin b and a unisom before you go to bed at night. that helped me a lot when i was pregnant with Jossi.,1
96775842172112896,jennaluke13 Unisom! It's my BFF! Over the counter sleeping pill! My doctor recommended it when I was pregnant. Totally safe! Love it!,1
72862526630670336,"poobou I just took half a unisom, too! *fist bump to my pregnant soul sista*",1
51093741913636864,"Time for a unisom. I can barely swallow, I'm so nauseous. pregnant 9weeks",1
50431155111079936,homesweetsarah look for doxylamine (active ingred); ahhhh I took so many Unisom when I was pregnant I'm now immune to it...,1
45862481322708992,Will do thx RT 3under3Mom: Kimzolciak try taking a unisom and B6 before bed..that was the only way I could sleep when pregnant w/the twins,1
45862246487826433,Kimzolciak try taking a unisom and B6 before bed..that was the only way I could sleep when pregnant w/the twins,1
43148600146010114,"Mildly queasy. Do I take a unisom? They help me sleep, and they kick the morning sickness. From what I've read, they're safe. pregnant",1
123198897718968320,"Losing it after 3 consecutive nights of pregnant insomnia. Cranky, dizzy, light headed, nauseous. Have ok to try Unisom, fingers crossed.",1
113626565501386753,Whitneylwhite take some vitamin b and a unisom before you go to bed at night. that helped me a lot when i was pregnant with Jossi.,1
96775842172112896,jennaluke13 Unisom! It's my BFF! Over the counter sleeping pill! My doctor recommended it when I was pregnant. Totally safe! Love it!,1
72862526630670336,"poobou I just took half a unisom, too! *fist bump to my pregnant soul sista*",1
51093741913636864,"Time for a unisom. I can barely swallow, I'm so nauseous. pregnant 9weeks",1
50431155111079936,homesweetsarah look for doxylamine (active ingred); ahhhh I took so many Unisom when I was pregnant I'm now immune to it...,1
45862481322708992,Will do thx RT 3under3Mom: Kimzolciak try taking a unisom and B6 before bed..that was the only way I could sleep when pregnant w/the twins,1
45862246487826433,Kimzolciak try taking a unisom and B6 before bed..that was the only way I could sleep when pregnant w/the twins,1
43148600146010114,"Mildly queasy. Do I take a unisom? They help me sleep, and they kick the morning sickness. From what I've read, they're safe. pregnant",1
677688933308899333,I get so nauseas. im taking unisom and b... http://discussion.bloomapp.co/item?postid=iWab4KoRvf pregnant pregnancy babybump mom,1
677688930783862784,I get so nauseas. im taking unisom and b... http://discussion.bloomapp.co/item?postid=iWab4KoRvf pregnant mom parenting birthing,1
677688929022291968,I get so nauseas. im taking unisom and b... http://discussion.bloomapp.co/item?postid=iWab4KoRvf pregnant parent babybump preggo,1
676890822579781632,I'd like to try Unisom with B6 for relie... http://discussion.bloomapp.co/item?postid=FlNDcFcPVI pregnant pregnancy babybump mom,1
676890820021198850,I'd like to try Unisom with B6 for relie... http://discussion.bloomapp.co/item?postid=FlNDcFcPVI pregnant infant maternity baby,1
662082572206391297,Unisom is gods gift to pregnant women,1
631909184401895428,"Omg. Women who are pregnant - Diclegis is a waste of money. It's Unisom & B6, seriously. Fkng drug companies... smh Disgusting",1
630934272585658372,"Oh, I forgot it was THAT season. The one where I go to Wally World at 11pm to get Unisom for my pregnant wife. Gladly. Sorta.",1
614433906759077893,DenicePerkkins you can take half of a unisom pill. I used to not be able to sleep when I was pregnant with Michael but I wouldn't take them,1
677688933308899333,I get so nauseas. im taking unisom and b... http://discussion.bloomapp.co/item?postid=iWab4KoRvf pregnant pregnancy babybump mom,1
677688930783862784,I get so nauseas. im taking unisom and b... http://discussion.bloomapp.co/item?postid=iWab4KoRvf pregnant mom parenting birthing,1
677688929022291968,I get so nauseas. im taking unisom and b... http://discussion.bloomapp.co/item?postid=iWab4KoRvf pregnant parent babybump preggo,1
676890822579781632,I'd like to try Unisom with B6 for relie... http://discussion.bloomapp.co/item?postid=FlNDcFcPVI pregnant pregnancy babybump mom,1
676890820021198850,I'd like to try Unisom with B6 for relie... http://discussion.bloomapp.co/item?postid=FlNDcFcPVI pregnant infant maternity baby,1
662082572206391297,Unisom is gods gift to pregnant women,1
631909184401895428,"Omg. Women who are pregnant - Diclegis is a waste of money. It's Unisom & B6, seriously. Fkng drug companies... smh Disgusting",1
630934272585658372,"Oh, I forgot it was THAT season. The one where I go to Wally World at 11pm to get Unisom for my pregnant wife. Gladly. Sorta.",1
614433906759077893,DenicePerkkins you can take half of a unisom pill. I used to not be able to sleep when I was pregnant with Michael but I wouldn't take them,1
220697973607247873,BindsTheTuna notperfect Indigogirls I know Unisom is doxylamine (I took it when pregnant) but I think you're right about most of them.,1
219790156125847553,Ineed some Unisom pills wen iwas pregnant witt kay he gave me tha same thing... Jus too help me sleep ineed my rest,1
217813416713269248,unisom doxylamine succinate 25 mg and pregnant http://bit.ly/NzASah,1
214916179016417280,"Selkie1970 I'm not sure why the Unisom helps, but it's been used for decades for OTC nausea relief for pregnant women.",1
162302530817228800,r8bbrt Lol he's been a little better now that we let him in the room all night. And is Unisom ok to take while pregnant?,1
158276430533361665,arwenelizabeth am I remembering this correctly? Did you take Unisom at night while pregnant?,1
154930972079562753,MommaInPearls birthdayrn sorry butting in-my on actually suggested unisom while pregnant. That + vitamin B are supposed to help nausea,1
147692357230407680,Pregnant Women Unisom and Dramamine Is Y'all Best Friend,1
139203767152287744,"MrsPinkWorld Even being pregnant, I still have to take a Unisom to get tired.",1
220697973607247873,BindsTheTuna notperfect Indigogirls I know Unisom is doxylamine (I took it when pregnant) but I think you're right about most of them.,1
219790156125847553,Ineed some Unisom pills wen iwas pregnant witt kay he gave me tha same thing... Jus too help me sleep ineed my rest,1
217813416713269248,unisom doxylamine succinate 25 mg and pregnant http://bit.ly/NzASah,1
214916179016417280,"Selkie1970 I'm not sure why the Unisom helps, but it's been used for decades for OTC nausea relief for pregnant women.",1
162302530817228800,r8bbrt Lol he's been a little better now that we let him in the room all night. And is Unisom ok to take while pregnant?,1
158276430533361665,arwenelizabeth am I remembering this correctly? Did you take Unisom at night while pregnant?,1
154930972079562753,MommaInPearls birthdayrn sorry butting in-my on actually suggested unisom while pregnant. That + vitamin B are supposed to help nausea,1
147692357230407680,Pregnant Women Unisom and Dramamine Is Y'all Best Friend,1
139203767152287744,"MrsPinkWorld Even being pregnant, I still have to take a Unisom to get tired.",1
314375562347028482,"Lexicuhhh me too.. & since I'm pregnant I can't take anything!! I've heard the unisom is safe, so I took one. worked pretty well. try zquil",1
303590153493032960,jessjudkins I had a horrible time with it this pregnant - my midwife had me take unisom (sleeping pill) and B6 once a day. It was amazing.,1
292120427470405634,AttilaTheHippie unisom was the ONLY way i could sleep when pregnant with my lil diva...hope it works for ya!,1
274247403165609986,Unisom makes me have really crazy dreams. Last night I dreamed I was pregnant with a girl. Glad it was just a dream,1
262028787049447424,Really wish I wasn't pregnant so I could just take some unisom and pass out..sick of being constantly bored!!!! ,1
258063052837097472,I wonder if you can take unisom while you're pregnant,1
