tweet_id,tweet,class
572123454402527232,I've been without vyvanse for two months and now that I feel like a pregnant whale I am ready to get back on it,1
571027059318919168,i swear vyvanse makes my bladder a tenth of the size. I feel like a pregnant woman going to the bathroom every 5 min. ProbTheCoffeeToo,1
530119881556254721,Forgot what it was like to be hungry... I go one day without taking my vyvanse and I feel the hunger of a pregnant cow,1
572123454402527232,I've been without vyvanse for two months and now that I feel like a pregnant whale I am ready to get back on it,1
571027059318919168,i swear vyvanse makes my bladder a tenth of the size. I feel like a pregnant woman going to the bathroom every 5 min. ProbTheCoffeeToo,1
530119881556254721,Forgot what it was like to be hungry... I go one day without taking my vyvanse and I feel the hunger of a pregnant cow,1
756319622933065728,"sometimes I think I'm pregnant, but between the birth control, alcohol, vyvanse, stomach punches, and whatever else... No way",1
745644286771879936,"before I got pregnant I was on Celexa, Xanax, vyvanse and trazodone at night and none of those can be taken while BFing.",1
756319622933065728,"sometimes I think I'm pregnant, but between the birth control, alcohol, vyvanse, stomach punches, and whatever else... No way",1
745644286771879936,"before I got pregnant I was on Celexa, Xanax, vyvanse and trazodone at night and none of those can be taken while BFing.",1
221571887598288896,i took vyvanse while pregnant and my baby http://bit.ly/M3yTK9,1
210216421655973888,"It's official vyvanse dosnt work for me! I'm eating like a pregnant woman, Ive never been more unfocused, and I'm about to pass out!",1
221571887598288896,i took vyvanse while pregnant and my baby http://bit.ly/M3yTK9,1
210216421655973888,"It's official vyvanse dosnt work for me! I'm eating like a pregnant woman, Ive never been more unfocused, and I'm about to pass out!",1
7409471096,"Open Question: Lamictal and Vyvanse and I might be pregnant, please help!? - http://tinyurl.com/yg5xke2",1
6406159440,"Open Question: I accidently took vyvanse!?: I accidentally took my medicine ,vyvanse, and im pregnant!. .. http://tinyurl.com/yhd7ndo",1
5479534633,""" I have been taking Vyvanse 50mg for about 1 1/2 yrs.  Recently (2 days ago) I discovered I was pregnant.  In http://PD0.US/R/?D76752",1
7409471096,"Open Question: Lamictal and Vyvanse and I might be pregnant, please help!? - http://tinyurl.com/yg5xke2",1
6406159440,"Open Question: I accidently took vyvanse!?: I accidentally took my medicine ,vyvanse, and im pregnant!. .. http://tinyurl.com/yhd7ndo",1
5479534633,""" I have been taking Vyvanse 50mg for about 1 1/2 yrs.  Recently (2 days ago) I discovered I was pregnant.  In http://PD0.US/R/?D76752",1
273608673866166272,"my god when i dont take my vyvanse, im forreal a 9month pregnant woman.. pickles, chips/salsa, apple pie, ice cream, pound cake, tuna? wtf",1
273504559555551232,"I just found out you can't have sushi when you're pregnant. So no sushi, no booze, no vyvanse? What would posses someone to ever reproduce?",1
251097337831755776,SydTheSlothRoss lsmilligan94 my vyvanse makes me so nauseous especially in the morning. It's like I'm pregnant or something.,1
273608673866166272,"my god when i dont take my vyvanse, im forreal a 9month pregnant woman.. pickles, chips/salsa, apple pie, ice cream, pound cake, tuna? wtf",1
273504559555551232,"I just found out you can't have sushi when you're pregnant. So no sushi, no booze, no vyvanse? What would posses someone to ever reproduce?",1
251097337831755776,SydTheSlothRoss lsmilligan94 my vyvanse makes me so nauseous especially in the morning. It's like I'm pregnant or something.,1
473961731383754752,Linds143 these munchies I get from being off vyvanse have got to stop. I got pregnant woman & pothead munchies combined SoHungry,1
461341299690336256,AP_Snarf vyvanse is an ADD medicine lol. Thankfully I'm also not pregnant or old.,1
453776694038765568,Vyvanse had me peeing more often than a pregnant lady,1
434877708611231744,Vyvanse= peeing like a pregnant women! ,1
433621083129122816,"This 60mg vyvanse has me needing to pee every 5 min, literally like a pregnant lady",1
411253823890391040,this lady is talking about how vyvanse can harm your child when pregnant..... oh.,1
473961731383754752,Linds143 these munchies I get from being off vyvanse have got to stop. I got pregnant woman & pothead munchies combined SoHungry,1
461341299690336256,AP_Snarf vyvanse is an ADD medicine lol. Thankfully I'm also not pregnant or old.,1
453776694038765568,Vyvanse had me peeing more often than a pregnant lady,1
434877708611231744,Vyvanse= peeing like a pregnant women! ,1
433621083129122816,"This 60mg vyvanse has me needing to pee every 5 min, literally like a pregnant lady",1
411253823890391040,this lady is talking about how vyvanse can harm your child when pregnant..... oh.,1
662254656807002115,Pregnant woman asking if Vyvanse and Antabuse are safe in pregnancy--great start for that child.,1
648166844449337344,Being pregnant is extra hard when I can't take my vyvanse and I have to do a bunch of homework LOVE. I'm sure you're worth it child,1
639618947432742913,Also this Vyvanse makes me pee more than a pregnant person!!!!!,1
606626789872570368,a woman who goes off f/ A HUNDRED AND FORTY MILLIGRAMS OF VYVANSE DAILY upon becoming pregnant reports psychic distress,1
662254656807002115,Pregnant woman asking if Vyvanse and Antabuse are safe in pregnancy--great start for that child.,1
648166844449337344,Being pregnant is extra hard when I can't take my vyvanse and I have to do a bunch of homework LOVE. I'm sure you're worth it child,1
639618947432742913,Also this Vyvanse makes me pee more than a pregnant person!!!!!,1
606626789872570368,a woman who goes off f/ A HUNDRED AND FORTY MILLIGRAMS OF VYVANSE DAILY upon becoming pregnant reports psychic distress,1
862424673694490625,oh yeah and it looked pregnant,1
821425033813716992,"took my vyvanse yesterday for the 1st time since i got pregnant bc i feel like i havent been productive lately, & i couldnt sleep til 5am",1
862424673694490625,oh yeah and it looked pregnant,1
821425033813716992,"took my vyvanse yesterday for the 1st time since i got pregnant bc i feel like i havent been productive lately, & i couldnt sleep til 5am",1
1018354647067553793,"I want another baby. But being pregnant means no Vyvanse and a lower dose of my antidepressant.
Well...guess that means no baby for now. MentalHealthMatters BorderlinePersonalityDisorder",1
997191863676235777,That's how coffee is for me now. Idk how I used to take vyvanse every day before I got pregnant lol. I have to take my anxiety medicine when I drink coffee,1
985996234543517701,My doctor is having me go off of vyvanse and birth control because of a bad reaction with my blood thinner. Its like shes trying to make me stupid and pregnant on purpose.,1
1018354647067553793,"I want another baby. But being pregnant means no Vyvanse and a lower dose of my antidepressant.
Well...guess that means no baby for now. MentalHealthMatters BorderlinePersonalityDisorder",1
997191863676235777,That's how coffee is for me now. Idk how I used to take vyvanse every day before I got pregnant lol. I have to take my anxiety medicine when I drink coffee,1
985996234543517701,My doctor is having me go off of vyvanse and birth control because of a bad reaction with my blood thinner. Its like shes trying to make me stupid and pregnant on purpose.,1
914556856420507648,I haven't taken my lamictal or vyvanse in like a week because I might be pregnant  https://twitter.com/chrismccn/status/914556717572038656,1
912851898314747904,"Today I was asked what I missed the most now that Im pregnant again.

Not alcohol.........but vyvanse.",1
875065184481660929,"i do not suggest taking 3 extended release vyvanse
you will get pregnant and die",1
914556856420507648,I haven't taken my lamictal or vyvanse in like a week because I might be pregnant  https://twitter.com/chrismccn/status/914556717572038656,1
912851898314747904,"Today I was asked what I missed the most now that Im pregnant again.

Not alcohol.........but vyvanse.",1
875065184481660929,"i do not suggest taking 3 extended release vyvanse
you will get pregnant and die",1
1233556627405537280,The one thing I dont like about being pregnant is not being able to take my Vyvanse I never wanna be at work now,1
1222310454254538754,"mine falls out when I take my vyvanse so if anyone takes that, take prenatals too (yes even if not pregnant) 

if you dont... well prenatals still work lol. and fish oil pills I think?",1
1202791893635080192,My mom took prenatal vyvanse when she was pregnant with me,1
1188140647049580546,Damn I just realized if I was ever a mom and I was pregnant with another child I wouldnt be able to just pop a vyvanse/ addy to clean my whole house like a cute little housewife wtf ??,1
1233556627405537280,The one thing I dont like about being pregnant is not being able to take my Vyvanse I never wanna be at work now,1
1222310454254538754,"mine falls out when I take my vyvanse so if anyone takes that, take prenatals too (yes even if not pregnant) 

if you dont... well prenatals still work lol. and fish oil pills I think?",1
1202791893635080192,My mom took prenatal vyvanse when she was pregnant with me,1
1188140647049580546,Damn I just realized if I was ever a mom and I was pregnant with another child I wouldnt be able to just pop a vyvanse/ addy to clean my whole house like a cute little housewife wtf ??,1
402849550383448064,This Vyvanse is makin me sweat like a pregnant woman!!! Whhooo!! It's hot!! ,1
348869813805920257,Took my vyvanse every day this week except today so I'm eating like a freaking pregnant woman.,1
339176736539426817,"I mean it's nothing to brag about because ive only completed one year, but I got pregnant and couldnt take vyvanse while pregnant ",1
332019285679562752,Took my Vyvanse today for the first time since finding out I was pregnant...and I'm still awake! Gotta get used to this again! ,1
331469927754108928,"I feel like I'm I'm peeing as much as a pregnant girl, who just drank second pot of coffee, and has a bladder infection... Thanx vyvanse",1
330739898673946624,Two cups of coffee and an energy-filled smoothie: a pregnant person's vyvanse.,1
402849550383448064,This Vyvanse is makin me sweat like a pregnant woman!!! Whhooo!! It's hot!! ,1
348869813805920257,Took my vyvanse every day this week except today so I'm eating like a freaking pregnant woman.,1
339176736539426817,"I mean it's nothing to brag about because ive only completed one year, but I got pregnant and couldnt take vyvanse while pregnant ",1
332019285679562752,Took my Vyvanse today for the first time since finding out I was pregnant...and I'm still awake! Gotta get used to this again! ,1
331469927754108928,"I feel like I'm I'm peeing as much as a pregnant girl, who just drank second pot of coffee, and has a bladder infection... Thanx vyvanse",1
330739898673946624,Two cups of coffee and an energy-filled smoothie: a pregnant person's vyvanse.,1
1148418140822528000,"Vyvanse for my ADD makes life infinitely more manageable. I haven't been able to take it while pregnant or breastfeeding, but my countdown back to it is officially on.  Glad you had such a good appointment, and good luck in finding something that works for you!",1
1135982918063534085,"I was diagnosed with ADHD after I had my second kid. I'm now pregnant after being on Vyvanse for a year, and the first trimester was ROUGH. Now that I know what life is like w/meds vs w/o meds, I absolutely understand your position. And meds haven't been life-changing for me.",1
1122967334044483584,"I'm only going to say this once. ""If you are pregnant, you may not take Adderall, or Vyvanse or Focalin or Ritalin. Not no way, not no how!""",1
1115453830957813760,I really wish I could take a Vyvanse rn.  I need a non pregnant clone..,1
1112022052343562242,When I became pregnant I switched out my daily Vyvanse for a much lower PRN dosage of Ritalin; My energy and productivity levels dropped to all time lows while my ADHD symptoms were at all time highs. It was really hard and I wouldn't wish it on anyone. More research is needed.,1
1110289699036450817,I took vyvanse and Wellbutrin. Now that Im pregnant Im not on anything because other antidepressants make me a angry raging psychopath  and Id rather feel sad and useless than want to rip doors off the hinges and punch people ,1
1108372632443998209,Check on your friends that are pregnant and in college. We cant take our vyvanse and we are NOT OKAY. ,1
1092201155084673025,"CW: VOMIT MENTION

Medication update: idk if its the reboxetine or the vyvanse but I feel fuuuuucking miserable 

Its like being pregnant, Im hypersensitive to smell & pretty much everything makes me start retching. Also Im so bloated I look about 6 months gone",1
1080476266875273216,"Seroquel, Sertraline (Zoloft), Adderall. Seroquel is off-label for anxiety and has been hugely helpful. I was on the highest dose of Vyvanse for forever but stopped when I got pregnant. I realized my high doseage was seriously exacerbating my anxiety and switched meds.",1
1075678884283199488,Vyvanse got me peeing like a pregnant lady.,1
