tweet_id,tweet,class
1095813997,HIRH I get REALLY sick when pregnant and my doc prescribes zofran,1
1095813997,HIRH I get REALLY sick when pregnant and my doc prescribes zofran,1
3912303719,"8 years ago today I was pregnant, taking a Zofran, eating Cheerios, & scared to death thinking about the world I was bringing my child into.",1
3457578157,"Anyone ever take Zofram (could b zofran, not sure) while pregnant?",1
3363657513,Kendra suggests that I try Zofran to not feel sick in the car.  Apparently it's helped her with her pregnancy...but I'm not pregnant.,1
2799533458,"""So sick while pregnant with number 2"" I am about 9 weeks pregnant and have been so sick. I am on Zofran twice a day...http://bit.ly/7d6zs",1
2153197111,"jeweljk  Also, Zofran used for morning sickness in case ur pregnant.Hope seas are calm but keep in mind! I know, I'm being Jewish mother :)",1
2109493874,thankful for my Zofran!!  Turns out meds for people on chemo make a pregnant girl feel normal again!,1
1440330319,"expectantdaddy so far its horrible lol I'm on zofran for the nausea, I've lost about 20lbs since I've been pregnant",1
1433982149,"AmandaMeyer supposedly zofran only works in 80% of people, pregnant or not. phenergan was a joke to me. I dunno what else they give, but...",1
1259426467,symtym   So now all the pregnant ladies will get Zofran (very expensive).,1
1132142083,"MsSpoons we have prescription antinausea meds, mostly written for pregnant women. its called zofran. i think i have a 24 hr virus?",1
3912303719,"8 years ago today I was pregnant, taking a Zofran, eating Cheerios, & scared to death thinking about the world I was bringing my child into.",1
3457578157,"Anyone ever take Zofram (could b zofran, not sure) while pregnant?",1
3363657513,Kendra suggests that I try Zofran to not feel sick in the car.  Apparently it's helped her with her pregnancy...but I'm not pregnant.,1
2799533458,"""So sick while pregnant with number 2"" I am about 9 weeks pregnant and have been so sick. I am on Zofran twice a day...http://bit.ly/7d6zs",1
2153197111,"jeweljk  Also, Zofran used for morning sickness in case ur pregnant.Hope seas are calm but keep in mind! I know, I'm being Jewish mother :)",1
2109493874,thankful for my Zofran!!  Turns out meds for people on chemo make a pregnant girl feel normal again!,1
1440330319,"expectantdaddy so far its horrible lol I'm on zofran for the nausea, I've lost about 20lbs since I've been pregnant",1
1433982149,"AmandaMeyer supposedly zofran only works in 80% of people, pregnant or not. phenergan was a joke to me. I dunno what else they give, but...",1
1259426467,symtym   So now all the pregnant ladies will get Zofran (very expensive).,1
1132142083,"MsSpoons we have prescription antinausea meds, mostly written for pregnant women. its called zofran. i think i have a 24 hr virus?",1
35380612638445568,pregnant when zofran: acyclovir cream herpescoumadin teaching warfarin how much does tizanidine cost (http://pos... http://bit.ly/ijpzMQ,1
35350064532561921,DammitKate Lmao! And zofran is hardcore shit.I had to take that when I was pregnant w my first. I guess I'm out of meds ideas. Lol,1
35104516013563904,Insurance is denying my request for more zofran & won't cover it. This is lame. Anybody tried anything else that worked for them? pregnant,1
32440034556645376,Good to see hyperemesis & zofran in the media RT heraldsun Pregnant woman pay for nausea wonder drug Zofran | http://bit.ly/gh6WNw,1
31894659236110336,"grex78 I'm sending u a pic of me 6 mths pregnant w/ Kailey. U took ur zofran, right?! HUGE!",1
30746391827456000,ChivyBean NO but half the time when a woman is pregnant and has sever morning sickness..she is givin reglan promethazine zofran odt...,1
28235671722262528,Hey! The anti-emetic actually sorta worked this time! I don't feel so vomit-y. WOOHOO for that! Go Zofran! A pregnant woman's buddy.,1
26457714196480000,"daisyJD I was the worst pregnant woman ever, but since I had morning sickness so bad I was on Zofran for 26 WEEKS I figure it was okay.",1
24831595026321408,RaisingMadison I loved that more than my husband when I was pregnant that and Zofran BFF's for life!,1
20885991992594432,Target the Zofran from the pharmacy that keeps me from puking all day long while pregnant. lol,1
19975434892480513,"Ginger, zofran, chamomile, phenergan fncmullin: Any suggestions in anti-nausea meds safe for pregnant ladies?",1
18092608286887936,redheadedpharm This pregnant girl called the other day. Filled her Rx for Zofran and left it at home...,1
14471101195223040,Praise god for pregnant friends!! She gave me some zofran till I can get some from my dr.,1
12507313323642881,Zofran While Pregnant And Nursing. Read it now at http://tinyurl.com/393bjzc,1
10161790373601280,"""16 and pregnant"" makes me nauseous , I need some zofran",1
9990873412542464,MinkyMoo MyBottlesUp I am on both. But I stopped the zofran..b/c it's not doing anything for me. It helped when pregnant with Luca though.,1
6490624064749568,MinkyMoo Zofran barely took the edge off of my ALL DAY sickness when I was pregnant with the boys.  Praying it subsides by the 12-14th week,1
35380612638445568,pregnant when zofran: acyclovir cream herpescoumadin teaching warfarin how much does tizanidine cost (http://pos... http://bit.ly/ijpzMQ,1
35350064532561921,DammitKate Lmao! And zofran is hardcore shit.I had to take that when I was pregnant w my first. I guess I'm out of meds ideas. Lol,1
35104516013563904,Insurance is denying my request for more zofran & won't cover it. This is lame. Anybody tried anything else that worked for them? pregnant,1
32440034556645376,Good to see hyperemesis & zofran in the media RT heraldsun Pregnant woman pay for nausea wonder drug Zofran | http://bit.ly/gh6WNw,1
31894659236110336,"grex78 I'm sending u a pic of me 6 mths pregnant w/ Kailey. U took ur zofran, right?! HUGE!",1
30746391827456000,ChivyBean NO but half the time when a woman is pregnant and has sever morning sickness..she is givin reglan promethazine zofran odt...,1
28235671722262528,Hey! The anti-emetic actually sorta worked this time! I don't feel so vomit-y. WOOHOO for that! Go Zofran! A pregnant woman's buddy.,1
26457714196480000,"daisyJD I was the worst pregnant woman ever, but since I had morning sickness so bad I was on Zofran for 26 WEEKS I figure it was okay.",1
24831595026321408,RaisingMadison I loved that more than my husband when I was pregnant that and Zofran BFF's for life!,1
20885991992594432,Target the Zofran from the pharmacy that keeps me from puking all day long while pregnant. lol,1
19975434892480513,"Ginger, zofran, chamomile, phenergan fncmullin: Any suggestions in anti-nausea meds safe for pregnant ladies?",1
18092608286887936,redheadedpharm This pregnant girl called the other day. Filled her Rx for Zofran and left it at home...,1
14471101195223040,Praise god for pregnant friends!! She gave me some zofran till I can get some from my dr.,1
12507313323642881,Zofran While Pregnant And Nursing. Read it now at http://tinyurl.com/393bjzc,1
10161790373601280,"""16 and pregnant"" makes me nauseous , I need some zofran",1
9990873412542464,MinkyMoo MyBottlesUp I am on both. But I stopped the zofran..b/c it's not doing anything for me. It helped when pregnant with Luca though.,1
6490624064749568,MinkyMoo Zofran barely took the edge off of my ALL DAY sickness when I was pregnant with the boys.  Praying it subsides by the 12-14th week,1
6489696603475968,MinkyMoo I just read on your blog that you've been sick as a dog and they put you on Zofran.  I took that too when I was pregnant.,1
29434358174,"Eat what sounds good at this point pretty_swell: Jelly Bellies, mint gum, zofran. Diet of champions. pregnant nauseated bleh",1
29394077992,"Jelly Bellies, mint gum, zofran. Diet of champions. pregnant nauseated bleh",1
25849522492,"If Zofran is safe while pregnant it should be safe while nursing, right?? (thanks dr. Twitter)",1
24198717015,I am not taking a Zofran this morning. Trying to wean myself from two a day. I'm a little scared. pregnant,1
22187703777,mrskellystamps I can't believe you are still doing that while pregnant!  Do you take zofran or anything for nausea?,1
21086313535,MommyJenna Are you sick? Praying for you. Zofran is the only nausea med that worked for me when pregnant. Sorry it doesn't work for you.,1
18754758534,im 6 weeks pregnant and my dr prescribed me zofran wafers 4mg for my morning sickness as i cant take maxalon. i ha...  http://bit.ly/aVsrSf,1
18375601156,ali_konu i had no idea you were pregnant...congrats!  and you have to be referring to zofran.,1
17979391496,"MomRN  when I was pregnant with bryson I stayed on Zofran all 9 months I couldnt keep anything down, was a very long 9 months too",1
16549883979,Going to pick up my zofran prescription. Still pregnant.,1
15439218944,pregnant and taking zofran? anyone know of birth defects from this? http://bit.ly/cmIy5p,1
15433267787,pregnant and taking zofran? anyone know of birth defects from this? http://bit.ly/cyjlbz,1
126486336457814016,"outsidevoice No, used all of that and my zofran while pregnant. Had it so bad, doc wouldn't refill when I ran out... jerk.",1
121222651686559744,GirlieBlog TheReviewStew Good to know....I always get very very nauseous when I'm pregnant.  I had to go on Zofran the last time around,1
120963740177928192,minivangirl poor Chicky :( I was on Zofran when I was pregnant with 9.,1
119990678213242880,overflowinbrain Zofran = a pregnant woman's BFF. I also took phenegren at night to help. I was a mess.,1
117773484385501184,infertilitysrd I had a zofran pump.  Sexy.  Nothing like a fanny pack as an accessory while pregnant.  Finally was feeling normal-ish...,1
117610777724194817,RT LoveNmyLyfeRN Need some zofran or phenergan right now.. << PREGNANT ?,1
115565890069733377,PreppyBumpkin Feel better!  Zofran saved me when I was pregnant!,1
114465514797006848,Zofran is given to alleviate nausea in cancer patients and pregnant women with hyperemesis (severe morning sickness). http://fb.me/wJw4lUvy,1
114399759191650304,"nicolespag WoodWhisperer Zofran = the sweet sweet crystal meth of the nauseated pregnant woman. Welcome back to eating, Nicole;-)",1
113356245737541634,Zofran is my new bff. Why didn't they give this to me when I was pregnant!?,1
111269944330682368,Zofran didn't help the nausea; time for milk. pregnant,1
108927549203169280,"Plain oatmeal, a peach, coffee, 8 mg of zofran, 150 mg of zantac, 2500 mg of omega-3, 15 mg, of iron, 330 mg of mullein. Pregnant breakfast.",1
106374593798873088,"KathRandall Oh that's bad! I think the zofran makes me feel weird, but it may just be pregnant brain. I can't believe how spaced out I am.",1
103248933337317376,doc_robert pregnant man? That'll surely be enough to pull Oprah out of retirement. Hope you feel better. FYI hdu has zofran wafers.,1
96331726263037952,"Zofran is safe during pregnant, sweet, now I don't have to worry about being a mom some day. Literally that was my only concern. puking",1
94361989245186048,LvanO Zofran? I used that while pregnant and actually for a bad stomach bug ( had some left).,1
94206467590201344,sk_obrien zofran was a gift from the gods when I was pregnant...my entire pregnancy. :-/,1
89805644856692736,"7 Weeks Pregnant via MommyMandy l California Mom Blog - This past week my midwife got me an RX for Zofran, ... http://tinyurl.com/6cokrm2",1
88771112586059777,I am 6 weeks pregnant and was just hit with nausea today =( after feeling so great! I took Zofran with my daught...  http://bit.ly/aVsrSf,1
126486336457814016,"outsidevoice No, used all of that and my zofran while pregnant. Had it so bad, doc wouldn't refill when I ran out... jerk.",1
121222651686559744,GirlieBlog TheReviewStew Good to know....I always get very very nauseous when I'm pregnant.  I had to go on Zofran the last time around,1
120963740177928192,minivangirl poor Chicky :( I was on Zofran when I was pregnant with 9.,1
119990678213242880,overflowinbrain Zofran = a pregnant woman's BFF. I also took phenegren at night to help. I was a mess.,1
117773484385501184,infertilitysrd I had a zofran pump.  Sexy.  Nothing like a fanny pack as an accessory while pregnant.  Finally was feeling normal-ish...,1
117610777724194817,RT LoveNmyLyfeRN Need some zofran or phenergan right now.. << PREGNANT ?,1
115565890069733377,PreppyBumpkin Feel better!  Zofran saved me when I was pregnant!,1
114465514797006848,Zofran is given to alleviate nausea in cancer patients and pregnant women with hyperemesis (severe morning sickness). http://fb.me/wJw4lUvy,1
114399759191650304,"nicolespag WoodWhisperer Zofran = the sweet sweet crystal meth of the nauseated pregnant woman. Welcome back to eating, Nicole;-)",1
113356245737541634,Zofran is my new bff. Why didn't they give this to me when I was pregnant!?,1
111269944330682368,Zofran didn't help the nausea; time for milk. pregnant,1
108927549203169280,"Plain oatmeal, a peach, coffee, 8 mg of zofran, 150 mg of zantac, 2500 mg of omega-3, 15 mg, of iron, 330 mg of mullein. Pregnant breakfast.",1
106374593798873088,"KathRandall Oh that's bad! I think the zofran makes me feel weird, but it may just be pregnant brain. I can't believe how spaced out I am.",1
103248933337317376,doc_robert pregnant man? That'll surely be enough to pull Oprah out of retirement. Hope you feel better. FYI hdu has zofran wafers.,1
