tweet_id,tweet,class
3463581237,"i really hate the limitations on what kinds of meds pregnant women can take. we have aleve here, but i can't take it. only acetaminophen.",1
1126432364,"First bad headache since before I got pregnant. Dude no fun. Acetaminophen does jack, I'm hoping for the best.",1
3463581237,"i really hate the limitations on what kinds of meds pregnant women can take. we have aleve here, but i can't take it. only acetaminophen.",1
1126432364,"First bad headache since before I got pregnant. Dude no fun. Acetaminophen does jack, I'm hoping for the best.",1
29300500537020416,acetaminophen or ibuprofen for fever: pregnant while labetalolcoumadin therapy for pulmonary embolism [URL=http:... http://bit.ly/geuhKe,1
20425389180456960,Environment factors including Acetaminophen and antibiotic used in pregnant women linked to developing of asthma... http://bit.ly/eDFjwz,1
8700105309818880,Did You Knowthat acetaminophen is not good to take while pregnant or planning to get pregnant?,1
2469326313488384,Using ibuprofen later in pregnancy may cause reduced amount of amniotic fluid. Acetaminophen is the pain reliever of choice while pregnant.,1
2406421639471105,Using ibuprofen later in pregnancy may cause reduced amount of amniotic fluid. Acetaminophen is the pain reliever of choice while pregnant.,1
2394644147081216,RT utahallergy: Paracetamol (acetaminophen for us in the US) use by pregnant mothers linked to asthma development. http://ow.ly/37yOc,1
2394416018890752,Paracetamol (acetaminophen for those of us in the US) use by pregnant mothers linked to asthma development. http://ow.ly/37yOc,1
21798962838,"just in case i am pregnant.. acetaminophen is ok, correct? ihasabackache",1
17979037268,"I have a headache, it's ibuprofen that's safe to take while pregnant, right? Not acetaminophen?",1
16161096003,HauteSingleMama know what I miss? I miss allergy meds. the strongest thing i've taken since getting pregnant is freaking acetaminophen.,1
29300500537020416,acetaminophen or ibuprofen for fever: pregnant while labetalolcoumadin therapy for pulmonary embolism [URL=http:... http://bit.ly/geuhKe,1
20425389180456960,Environment factors including Acetaminophen and antibiotic used in pregnant women linked to developing of asthma... http://bit.ly/eDFjwz,1
8700105309818880,Did You Knowthat acetaminophen is not good to take while pregnant or planning to get pregnant?,1
2469326313488384,Using ibuprofen later in pregnancy may cause reduced amount of amniotic fluid. Acetaminophen is the pain reliever of choice while pregnant.,1
2406421639471105,Using ibuprofen later in pregnancy may cause reduced amount of amniotic fluid. Acetaminophen is the pain reliever of choice while pregnant.,1
2394644147081216,RT utahallergy: Paracetamol (acetaminophen for us in the US) use by pregnant mothers linked to asthma development. http://ow.ly/37yOc,1
2394416018890752,Paracetamol (acetaminophen for those of us in the US) use by pregnant mothers linked to asthma development. http://ow.ly/37yOc,1
21798962838,"just in case i am pregnant.. acetaminophen is ok, correct? ihasabackache",1
17979037268,"I have a headache, it's ibuprofen that's safe to take while pregnant, right? Not acetaminophen?",1
16161096003,HauteSingleMama know what I miss? I miss allergy meds. the strongest thing i've taken since getting pregnant is freaking acetaminophen.,1
300408943157604352,cookcleankill where I'm pregnant I can't take aspirin or ibuprofen. I can only take acetaminophen.,1
283954285358751744,Acetaminophen is usually recommended to reduce fever during pregnancy. Tylenol is one brand of acetaminophen-http://ht.ly/gcEGM pregnant,1
281852819575812096,Acetaminophen is usually recommended to reduce fever during pregnancy. Tylenol is one brand of acetaminophen-http://ht.ly/gcDqc pregnant,1
261175559923589121,"While a clear risk hasn't been established, women trying to get pregnant may wish to avoid ibuprofen. Acetaminophen is typically preferred",1
260760101961465856,"While a clear risk hasn't been established, women trying to get pregnant may wish to avoid ibuprofen. Acetaminophen is typically preferred",1
247663735102115840,Good reminder RT RosiePope Acetaminophen (Tylenol) safe while pregnant but make sure to always ask your doc MommyIQ http://ow.ly/dDF0E,1
247659086735372288,"Acetaminophen, or Tylenol, is safe while pregnant but make sure to always ask your doc MommyIQ http://ow.ly/dDF0E",1
230839152101429248,Is it safe to take Ibuprofen or Acetaminophen when you're pregnant? http://bit.ly/RaycGc,1
222472703637078017,How to treat a toothache when you are pregnant?? Acetaminophen (Tylenol) is safe for pregnant women. Ps. Always check with your MD for dose,1
300408943157604352,cookcleankill where I'm pregnant I can't take aspirin or ibuprofen. I can only take acetaminophen.,1
283954285358751744,Acetaminophen is usually recommended to reduce fever during pregnancy. Tylenol is one brand of acetaminophen-http://ht.ly/gcEGM pregnant,1
281852819575812096,Acetaminophen is usually recommended to reduce fever during pregnancy. Tylenol is one brand of acetaminophen-http://ht.ly/gcDqc pregnant,1
261175559923589121,"While a clear risk hasn't been established, women trying to get pregnant may wish to avoid ibuprofen. Acetaminophen is typically preferred",1
260760101961465856,"While a clear risk hasn't been established, women trying to get pregnant may wish to avoid ibuprofen. Acetaminophen is typically preferred",1
247663735102115840,Good reminder RT RosiePope Acetaminophen (Tylenol) safe while pregnant but make sure to always ask your doc MommyIQ http://ow.ly/dDF0E,1
247659086735372288,"Acetaminophen, or Tylenol, is safe while pregnant but make sure to always ask your doc MommyIQ http://ow.ly/dDF0E",1
230839152101429248,Is it safe to take Ibuprofen or Acetaminophen when you're pregnant? http://bit.ly/RaycGc,1
222472703637078017,How to treat a toothache when you are pregnant?? Acetaminophen (Tylenol) is safe for pregnant women. Ps. Always check with your MD for dose,1
406153271930527744,What Pregnant Moms Should Know About Taking Acetaminophen http://ow.ly/rfPMN,1
405393468534423552,Jury's still out on acetaminophen use during pregnancy http://www.dailyrx.com/acetaminophen-overuse-during-pregnancy-could-influence-childs-development?autoplay=756244145 pregnant pharmacist digitalPharmacist,1
400308493477216258,New study rings alarm bells for pregnant women using large amounts of acetaminophen based drugs... http://fb.me/2sVhKAu1t,1
399163476569886721,"How acetaminophen found in Tylenol or paracetamol may be causing Autism, Aspergers and ADD. when pregnant https://www.youtube.com/watch?v=RCHi0wUlJI4",1
398902920449892352,Recent health study raises concerns over taking acetaminophen while pregnant http://ow.ly/qCVmy,1
398472308471238656,"New study links acetaminophen use by pregnant women to developmental probs, but called far from definitive. http://natpo.st/17FFUST",1
398428421019013120,New study rings alarm-bells for pregnant women using large amounts of acetaminophen based drugs such as Tylenol http://natpo.st/17FFUST,1
398320923797094400,New study rings alarm-bells for pregnant women using large amounts of acetaminophen based drugs such as Tylenol http://buff.ly/1emMlfA,1
398274642365792256,New study alarming for pregnant women using large amt of acetaminophen based drugs such as Tylenol http://natpo.st/17FFUST pregnant moms,1
398232564042715136,New study rings alarm-bells for pregnant women using large amounts of acetaminophen based drugs such as Tylenol http://natpo.st/17FFUST,1
398222116614467584,New study rings alarm-bells for pregnant women using large amounts of acetaminophen based drugs such as Tylenol http://natpo.st/1bb2wr7,1
396243851805212672,Pregnant and hitting the acetaminophen hard? Careful! http://ow.ly/qojsO,1
395554656207638530,Study On Neurodevelopmental Effects of Prenatal Exposure to Paracetamol (Acetaminophen) http://www.sciencedaily.com/releases/2013/10/131029090518.htm pregnant pregnancy,1
384791029884268545,"AmandaMarcotte ""Women who are may be, or are trying to get pregnant"" pretty big chunk.  But y is Acetaminophen in EVERYTHING?!",1
359685374114660352,"Anonymous: 

""I am 34 weeks pregnant and was prescribed butalbital/acetaminophen/caffeine for my headaches. I got... http://fb.me/ybjGzwD7",1
358300768874401792,"I LOVEE ADVIL but im pregnant i can only use acetaminophen and only a certain mg  RT bklynbigdawg: albaCRiSTiNA_ try Advil Gel-Caps, they",1
355034596993277953,"Pregnant woman w/ migraine - acetaminophen, metoclopramide, certain opiates, & NSAIDs (until week 32); Triptans (Cat C) when benefit > risk",1
338641724404547584,kimddunn is there anything OTC I can take for a sinus infection while pregnant that does not contain acetaminophen? I can't take Tylenol,1
324659970119458816,If you are pregnant or breastfeeding ask a doctor before taking acetaminophen. Heres why: http://bit.ly/nNYy0o,1
323910159451688960,Jaxploder Sammypumpkin janellum no NSAIDS for those who are pregnant. Acetaminophen only.,1
406153271930527744,What Pregnant Moms Should Know About Taking Acetaminophen http://ow.ly/rfPMN,1
405393468534423552,Jury's still out on acetaminophen use during pregnancy http://www.dailyrx.com/acetaminophen-overuse-during-pregnancy-could-influence-childs-development?autoplay=756244145 pregnant pharmacist digitalPharmacist,1
