tweet_id,tweet,class
587044189445042176,"Agree with Dr. Mele's answer to ""I just found out I was pregnant and have been taking  0.5 mg Xanax and 10mg ambien o..."" - http://htap.u...",1
576972436559638528,katie_marie_sm Sue_AnnaSmith I know ambien is nuts. I can't believe my OB had me on it while I was pregnant! I hallucinated every night!,1
572288951194501120,"queenofblending ambien??That stuff is strong. I took it when i was pregnant and knocked out instantly. I was super loopy,but it did the job",1
551870813826084864,"Sorry I've been so quiet on Twitter, guys. 

I'm pregnant (surprise!) and sober me doesn't have nearly as much to say as drunken/Ambien me.",1
544577156462833665,"randompattern yes, have, and it's been frustrating because my sleep has been TERRIBLE since being pregnant. hence the ambien",1
540714783918804992,Dang TamarBraxtonHer  I'm hysterical. I'm too pregnant for this lemme take me an ambien! TamarAndVince,1
537432625192108032,kelsrenee01 they gave me ambien when I was pregnant & on bedrest in the hospital for insomnia. I swear that's why I'm dependent on sleep,1
533085721217998848,I think the ambien got me pregnant this time. My dogs head is on my roomates and I can't find hers.,1
525481837150617601,Maebirdwing   Amber- I'd still date you even if you were pregnant. ambien.,1
525107593162031104,I wonder if oomf is pregnant by that boy  guess we'll find out soon enough ,1
523221580722085888,"TM2LeahDawn if you get pregnant and Aleve, Advil, and Adderall get a sister can i choose the name? Ambien",1
522896357225668608,If I wasn't pregnant I would've been popped my ambien. My damn teeth hurttttt ,1
506264792978706432,This time three years ago I  was 39 weeks 5 days pregnant and preparing to be induced.  I was given an Ambien and... http://fb.me/2Rd6EMeY6,1
587044189445042176,"Agree with Dr. Mele's answer to ""I just found out I was pregnant and have been taking  0.5 mg Xanax and 10mg ambien o..."" - http://htap.u...",1
576972436559638528,katie_marie_sm Sue_AnnaSmith I know ambien is nuts. I can't believe my OB had me on it while I was pregnant! I hallucinated every night!,1
572288951194501120,"queenofblending ambien??That stuff is strong. I took it when i was pregnant and knocked out instantly. I was super loopy,but it did the job",1
551870813826084864,"Sorry I've been so quiet on Twitter, guys. 

I'm pregnant (surprise!) and sober me doesn't have nearly as much to say as drunken/Ambien me.",1
544577156462833665,"randompattern yes, have, and it's been frustrating because my sleep has been TERRIBLE since being pregnant. hence the ambien",1
540714783918804992,Dang TamarBraxtonHer  I'm hysterical. I'm too pregnant for this lemme take me an ambien! TamarAndVince,1
537432625192108032,kelsrenee01 they gave me ambien when I was pregnant & on bedrest in the hospital for insomnia. I swear that's why I'm dependent on sleep,1
533085721217998848,I think the ambien got me pregnant this time. My dogs head is on my roomates and I can't find hers.,1
