tweet_id,tweet,class
283923533636182016,"how to get azithromycin dose for chlamydia: motrin drug, junior motrin taking motrin while pregnant; | azithromy... http://tinyurl.com/cdcat5z",1
259665276512133120,is ok to take azithromycin when i'm pregnant 5062: after effects of antibiotics - azithromycin dosage for pneumo... http://bit.ly/QFz1Cz,1
259665275132182528,is ok to take azithromycin when i'm pregnant 5062: after effects of antibiotics - azithromycin dosage for pneumo... http://bit.ly/QFz1Cz,1
259662589661941761,is ok to take azithromycin when i'm pregnant 5062 http://bit.ly/UjgPoH news,1
243684939508379648,buy zithromax azithromycin online: clindamycin buy buy tenuate online - zithromax while pregnant azithromycin ca... http://bit.ly/RdaM3i,1
283923533636182016,"how to get azithromycin dose for chlamydia: motrin drug, junior motrin taking motrin while pregnant; | azithromy... http://tinyurl.com/cdcat5z",1
259665276512133120,is ok to take azithromycin when i'm pregnant 5062: after effects of antibiotics - azithromycin dosage for pneumo... http://bit.ly/QFz1Cz,1
259665275132182528,is ok to take azithromycin when i'm pregnant 5062: after effects of antibiotics - azithromycin dosage for pneumo... http://bit.ly/QFz1Cz,1
259662589661941761,is ok to take azithromycin when i'm pregnant 5062 http://bit.ly/UjgPoH news,1
243684939508379648,buy zithromax azithromycin online: clindamycin buy buy tenuate online - zithromax while pregnant azithromycin ca... http://bit.ly/RdaM3i,1
14762568192,I have Campylobacteriosis with bloody diarrhea.  I am also 6 weeks pregnant.  I was prescribed azithromycin in the...  http://bit.ly/aVsrSf,1
13047035481,zithromax: Men's Health Blog - Azithromycin pregnant at http://www.menshealthblog.org/l/40410/az34,1
14762568192,I have Campylobacteriosis with bloody diarrhea.  I am also 6 weeks pregnant.  I was prescribed azithromycin in the...  http://bit.ly/aVsrSf,1
13047035481,zithromax: Men's Health Blog - Azithromycin pregnant at http://www.menshealthblog.org/l/40410/az34,1
902609828891181056,"Yes, except pregnant or lactating females n children. Even azithromycin (500) single dose will do",1
902609828891181056,"Yes, except pregnant or lactating females n children. Even azithromycin (500) single dose will do",1
1081141577718865920,Just looked at an excellent module on Chlamydia by BMJLearning. Interested to read that 7 days Doxycycline is preferred first line over stat Azithromycin (non pregnant) https://www.bashhguidelines.org/current-guidelines/urethritis-and-cervicitis/chlamydia-2015/,1
1081141577718865920,Just looked at an excellent module on Chlamydia by BMJLearning. Interested to read that 7 days Doxycycline is preferred first line over stat Azithromycin (non pregnant) https://www.bashhguidelines.org/current-guidelines/urethritis-and-cervicitis/chlamydia-2015/,1
592783049147949056,can take azithromycin while pregnant kwikamagra reviews doxy http://dlvr.it/9ZJh3R,1
592743422819205120,Preventive treatment of malaria in pregnant women with Azithromycin/chloroquine is not superior that sulfadoxine/pyrimethamine. ECCMID2015,1
591247309868032000,azithromycin safe for pregnant women http://bit.ly/1DmGzT6,1
586818515400859649,can you take azithromycin 250 mg while pregnant http://alointernacional.net/layouts/blog/can-you-take-azithromycin-250-mg-while-pregnant-5e.html,1
586443515128745984,can you take azithromycin 500mg when pregnant http://dotimrori.com/nbproject/gen/can-you-take-azithromycin-500mg-when-pregnant-bf.html,1
586312654337212417,is it safe to take azithromycin 250 mg while pregnant http://fortiscityhotels.com/layouts/mg/is-it-safe-to-take-azithromycin-250-mg-while-pregnant-51.html,1
585804300762374144,azithromycin 250 mg safe while pregnant http://dotimrori.com/nbproject/gen/azithromycin-250-mg-safe-while-pregnant-b0.html,1
584478090400821249,is it safe to take azithromycin 250 mg while pregnant http://alointernacional.net/layouts/blog/is-it-safe-to-take-azithromycin-250-mg-while-pregnant-51.html,1
