tweet_id,tweet,class
3292498401,Please share the info on HepB from the following video w/ all of your pregnant patients.  http://bit.ly/IljBz,1
3292498401,Please share the info on HepB from the following video w/ all of your pregnant patients.  http://bit.ly/IljBz,1
188265038165966848,RT HepBfreePhilly: Pregnant women who are HepB e-antigen positive are at higher risk for vertical (mother-... http://bit.ly/IeekZn ...,1
188261157793038338,Pregnant women who are HepB e-antigen positive are at higher risk for vertical (mother-to-child) transmission! http://ow.ly/a3a3A,1
171701123013558272,"Ask the HIV/AIDS Experts: ""Getting Pregnant With HIV and Hepatitis B: What Do We Need to Know?"" http://bit.ly/Axt3ED hepb hbv",1
188265038165966848,RT HepBfreePhilly: Pregnant women who are HepB e-antigen positive are at higher risk for vertical (mother-... http://bit.ly/IeekZn ...,1
188261157793038338,Pregnant women who are HepB e-antigen positive are at higher risk for vertical (mother-to-child) transmission! http://ow.ly/a3a3A,1
171701123013558272,"Ask the HIV/AIDS Experts: ""Getting Pregnant With HIV and Hepatitis B: What Do We Need to Know?"" http://bit.ly/Axt3ED hepb hbv",1
314740436482801665,18 weeks pregnant... im so worried my baby might get my hepatitis B... hepB pic.twitter.com/KQE5REuBur,1
314373525613998081,"RT HepBFoundation: HepB poorly managed in kids, pregnant women hepatitis B http://ow.ly/jeYps",1
314364550248009730,"HepB poorly managed in kids, pregnant women hepatitis B http://ow.ly/jeYps",1
294808170122080256,"Tere was a significant decline in HepB prevalence among pregnant women
and their infants in Shenyang, China! http://ow.ly/gTsRc",1
276748706131357696,CMEO presurvey: nearly 80% of clinicians were unsure of HepB risk status for pregnant women primarycare meded,1
273854307428872193,"CME protects future: 80% decline infant HepB vaccination since '91. Low-risk vaccine effective prevention; target infants, pregnant women",1
228944120117350401,RT womenshealth: RT WHDchat w/ cdchep: In the US it's recommended that all pregnant women be screened for hepatitis B hepb,1
314740436482801665,18 weeks pregnant... im so worried my baby might get my hepatitis B... hepB pic.twitter.com/KQE5REuBur,1
314373525613998081,"RT HepBFoundation: HepB poorly managed in kids, pregnant women hepatitis B http://ow.ly/jeYps",1
314364550248009730,"HepB poorly managed in kids, pregnant women hepatitis B http://ow.ly/jeYps",1
294808170122080256,"Tere was a significant decline in HepB prevalence among pregnant women
and their infants in Shenyang, China! http://ow.ly/gTsRc",1
276748706131357696,CMEO presurvey: nearly 80% of clinicians were unsure of HepB risk status for pregnant women primarycare meded,1
273854307428872193,"CME protects future: 80% decline infant HepB vaccination since '91. Low-risk vaccine effective prevention; target infants, pregnant women",1
228944120117350401,RT womenshealth: RT WHDchat w/ cdchep: In the US it's recommended that all pregnant women be screened for hepatitis B hepb,1
86785051244756992,"Hepatitis News : Accelerated Hep B Vaccine Schedule Safe, Effective for Pregnant Women http://ow.ly/5uIWi Hepatitis HBV HepB",1
70851541858402304,Updated factsheet available for pregnant women who have hepB! http://bit.ly/hepBperi via CDCHEP HepatitisAwareness,1
86785051244756992,"Hepatitis News : Accelerated Hep B Vaccine Schedule Safe, Effective for Pregnant Women http://ow.ly/5uIWi Hepatitis HBV HepB",1
70851541858402304,Updated factsheet available for pregnant women who have hepB! http://bit.ly/hepBperi via CDCHEP HepatitisAwareness,1
35790091641167872,RT hep_info cdchep Looking for material to educate pregnant women about hepB? See new factsheet! http://bit.ly/perihepB,1
32813000993800192,"If U R pregnant, & have hepB &undergoing antiviral treatment talk to your doc... Expert interview, pg. 3 http://ht.ly/3OQ6u",1
32806712264101888,The hepB vaccine and HBIG at birth can prevent your baby from getting HBV if  U R a pregnant Mom with hepatitis B,1
32805623397613568,"If you are a pregnant woman with hepB, B sure your baby is vaccinated at birth. http://ht.ly/3OOF8",1
32570404191080449,"cdchep: Updated factsheet available for pregnant women who have hepB! 
http://bit.ly/hepBperi",1
32548501212631040,"Updated factsheet available for pregnant women who have hepB! 
http://bit.ly/hepBperi",1
31844546916651010,Looking for material to educate pregnant women about hepB? See new factsheet! http://bit.ly/perihepB,1
31011193594314752,RT cdchep Looking for material to educate pregnant women about hepB? See new factsheet! http://ow.ly/3LYqt,1
30644283266572288,Looking for material to educate pregnant women about hepB? See new factsheet! http://bit.ly/perihepB,1
29594877412,NEW cdc HepB education slides in Spanish for pregnant women: hepatitis B vaccine. http://bit.ly/HBVSp & http://bit.ly/hepBslide,1
35790091641167872,RT hep_info cdchep Looking for material to educate pregnant women about hepB? See new factsheet! http://bit.ly/perihepB,1
32813000993800192,"If U R pregnant, & have hepB &undergoing antiviral treatment talk to your doc... Expert interview, pg. 3 http://ht.ly/3OQ6u",1
32806712264101888,The hepB vaccine and HBIG at birth can prevent your baby from getting HBV if  U R a pregnant Mom with hepatitis B,1
32805623397613568,"If you are a pregnant woman with hepB, B sure your baby is vaccinated at birth. http://ht.ly/3OOF8",1
32570404191080449,"cdchep: Updated factsheet available for pregnant women who have hepB! 
http://bit.ly/hepBperi",1
32548501212631040,"Updated factsheet available for pregnant women who have hepB! 
http://bit.ly/hepBperi",1
31844546916651010,Looking for material to educate pregnant women about hepB? See new factsheet! http://bit.ly/perihepB,1
31011193594314752,RT cdchep Looking for material to educate pregnant women about hepB? See new factsheet! http://ow.ly/3LYqt,1
30644283266572288,Looking for material to educate pregnant women about hepB? See new factsheet! http://bit.ly/perihepB,1
29594877412,NEW cdc HepB education slides in Spanish for pregnant women: hepatitis B vaccine. http://bit.ly/HBVSp & http://bit.ly/hepBslide,1
494500361231556610,A pregnant woman can easily pass HepB to her baby. Learn more about HepB vaccine to keep baby healthy. http://ow.ly/z0oat,1
469860079358205952,"Cost-Effectiveness of Testing Hepatitis B-Positive Pregnant Women for Hepatitis B e Antigen or Viral Load
http://www.chronicliverdisease.org/disease_focus/articles/article.cfm?article=CLD_HBV_Fan05152014-102640&dstate=hbv HBV hepB",1
469755038609715200,Maternal hepB & infant infection in pregnant WLHIV in S.Africa http://bit.ly/1m06sQB EGPAF_Africa MSHHealthImpact PactWorld HIV_Insight,1
465629336771366912,HepB Vaccine Damages The Liver and Dangerous For babies http://www.greenmedinfo.com/blog/hep-b-vaccine-damages-liver-it-supposed-protect immunisation children parents baby pregnant health,1
465521933476724736,RT HepB_EdBC: Thank you mom 4 Hepatitis B testing while you were pregnant &amp; gave me HBV vaccines to protect me. Now Im worry...,1
465516542516420608,Thank you mom 4 Hepatitis B testing while you were pregnant & gave me HBV vaccines to protect me. Now I'm worry free. Happy MothersDay!,1
464550335412183040,Pregnant or know someone who is? DYN administering Hepatitis B vaccines within 24h of birth can prevent HBV infection? Get Tested!!,1
458661535184093184,"Word of advice for expecting mothers: If you are pregnant, be sure your doctor tests you for hepatitis B before your baby is born. HepB",1
451456573832183809,Sero-Prev & Factors Assoc w Hepatitis B (4.2%) & C (1.5%) Co-Infection in Pregnant HIV+ Nigerian Women hiv hepB http://buff.ly/1jXlsm1,1
433284953309061120,"Management of hepatitis B in pregnant women and infants: a multicentre audit from four London hospitals
http://chronicliverdisease.org/disease_focus/articles/article.cfm?article=CLD_HBV_Godbole01222014-162219&dstate=hbv
HBV hepB",1
431062360975896577,"Management of hepatitis B in pregnant women and infants: a multicentre audit from four London hospitals
http://www.chronicliverdisease.org/disease_focus/articles/article.cfm?article=CLD_HBV_Godbole01222014-162219&dstate=hbv
HBV hepB",1
427857373269467136,HepB cannot be inherited from your parents. However pregnant women with hepatitis B can spread the virus to their babies during childbirth,1
423513829776302080,Should I be tested for hepB if I am pregnant? Yes! Break the cycle of hepatitis B transmission! http://ow.ly/so9g5,1
420301382269165568,"Even w routine testing, some pregnant ppl contract HepB between test & birth. The vaccine protects those infants. maehemsez",1
413759432716472320,"Many barriers prevent pregnant women from getting adequate HepB prenatal care. Visiting multiple providers, insruance, etc. HBVBaby",1
413167690979635200,"A woman who is pregnant, check for Chlamydia, HIV, HepB, Syphillis, Gonorrhea, & Hep C getcovered stopthespread http://hivtest.cdc.gov",1
494500361231556610,A pregnant woman can easily pass HepB to her baby. Learn more about HepB vaccine to keep baby healthy. http://ow.ly/z0oat,1
469860079358205952,"Cost-Effectiveness of Testing Hepatitis B-Positive Pregnant Women for Hepatitis B e Antigen or Viral Load
http://www.chronicliverdisease.org/disease_focus/articles/article.cfm?article=CLD_HBV_Fan05152014-102640&dstate=hbv HBV hepB",1
469755038609715200,Maternal hepB & infant infection in pregnant WLHIV in S.Africa http://bit.ly/1m06sQB EGPAF_Africa MSHHealthImpact PactWorld HIV_Insight,1
465629336771366912,HepB Vaccine Damages The Liver and Dangerous For babies http://www.greenmedinfo.com/blog/hep-b-vaccine-damages-liver-it-supposed-protect immunisation children parents baby pregnant health,1
465521933476724736,RT HepB_EdBC: Thank you mom 4 Hepatitis B testing while you were pregnant &amp; gave me HBV vaccines to protect me. Now Im worry...,1
465516542516420608,Thank you mom 4 Hepatitis B testing while you were pregnant & gave me HBV vaccines to protect me. Now I'm worry free. Happy MothersDay!,1
