tweet_id,tweet,class
1077503406,Fuck me Iv never seen so many pregnant ladies in one place,1
913152552,Husband too into Grand Theft Auto IV to realize his pregnant wife is starving. Off to eat pie.,1
896242024,We've confirmed she's not pregnant. Going to draw blood and give IV pain meds.,1
871770516,Shari took Della to vet - not good for pregnant dog to stop eating & not keep water down. Della now recv'g IV fluids & being observed.,1
1077503406,Fuck me Iv never seen so many pregnant ladies in one place,1
913152552,Husband too into Grand Theft Auto IV to realize his pregnant wife is starving. Off to eat pie.,1
896242024,We've confirmed she's not pregnant. Going to draw blood and give IV pain meds.,1
871770516,Shari took Della to vet - not good for pregnant dog to stop eating & not keep water down. Della now recv'g IV fluids & being observed.,1
32652471,"Just returned from el hospitale.  3 liters of IV fluid is a lot of drink for a little, pregnant lady. Say true!",1
32652471,"Just returned from el hospitale.  3 liters of IV fluid is a lot of drink for a little, pregnant lady. Say true!",1
4085243271,God im peeing like a friggin pregnant lady. Damn you suero!,1
4041022837,"I love my hometown. kinda miss it RT kiltedmedia hooked to an iv, smoking and pregnant outside the hospital....beautiful sights of cornwall",1
4039263171,"hooked to an iv, smoking and pregnant outside the hospital....beautiful sights of cornwall",1
4004699340,"Pancakes for breakfast, and coffee.  If I wasn't pregnant I would have the coffee on IV drip right now.  I JUST WANT TO SLEEP.",1
3940085314,"RT DJMLK: ""1 year old girl pregnant http://bit.ly/uMGz5"" that remind u of the antichrist shit. remember the omen pt IV",1
3886816811,[ Trying to Conceive ] Open Question : Did you stop trying and get pregnant?- hi iv been trying to get pregnant wit... http://bit.ly/wodOC,1
3849120105,"Just witnessed:Pregnant, barefoot on Clayton Ave, smoking, getting into car with IV STILL IN ARM! Excellent care St. Marys...just excellent.",1
3754385270,I think im over my pregnancy phobia now that iv started seeing more pregnant people.,1
3715341903,"Research time! What did the doctors actually do to me for the last 4 days??? Magnesium IV drip, Procardia, Abdominal CT-scan while pregnant.",1
3684327733,"Another successful IV=happy pregnant lady and a new nickname, Chicken, as in Chicken cacciatore. And I'm more nurturing than a female/ great",1
