tweet_id,tweet,class
4045235550,New Question: Metformin and Chinese Herbs: I am pregnant and on Metformin for the first trimester o.. http://digg.com/u1CdeW,1
3856165153,[Pregnancy]Metformin is prescribed for diabetes even for pregnant women.  So there should not be any problem in ur taking it before ur going,1
2893809841,"ON METFORMIN FOR 2 MONTHS AND HAD PERIOD FOR 2 MONTHS, BUT NO PERIOD FOR JULY AND NOT PREGNANT. WHY?",1
2370430821,Latest news: What are the chances of getting pregnant using only Metformin and ... http://bit.ly/13ruyO,1
1229315571,Fortamet and Pregnancy: Fortamet and Pregnancy: The risks of using Fortamet (metformin) while pregnant have not .. http://tinyurl.com/bc6sjw,1
4045235550,New Question: Metformin and Chinese Herbs: I am pregnant and on Metformin for the first trimester o.. http://digg.com/u1CdeW,1
3856165153,[Pregnancy]Metformin is prescribed for diabetes even for pregnant women.  So there should not be any problem in ur taking it before ur going,1
2893809841,"ON METFORMIN FOR 2 MONTHS AND HAD PERIOD FOR 2 MONTHS, BUT NO PERIOD FOR JULY AND NOT PREGNANT. WHY?",1
2370430821,Latest news: What are the chances of getting pregnant using only Metformin and ... http://bit.ly/13ruyO,1
1229315571,Fortamet and Pregnancy: Fortamet and Pregnancy: The risks of using Fortamet (metformin) while pregnant have not .. http://tinyurl.com/bc6sjw,1
892797897,my doctor put me on metformin to lower my insulin level and to help me get pregnant.: me and my Husb.. http://tinyurl.com/55766p,1
892557342,"how long does it really take to get pregnant on metformin, and do you have to have a perod to get pr.. http://tinyurl.com/6bcm9q",1
892797897,my doctor put me on metformin to lower my insulin level and to help me get pregnant.: me and my Husb.. http://tinyurl.com/55766p,1
892557342,"how long does it really take to get pregnant on metformin, and do you have to have a perod to get pr.. http://tinyurl.com/6bcm9q",1
870690923314794496,My wife was on Metformin while pregnant.  Glad yours isn't severe enough to warrant anything more.,1
870316823031447552,Did u still take metformin etc while pregnant?,1
869221856225656833,Here's what pregnant women should know about using prescription metformin: http://www.medicalnewstoday.com/articles/317397.php,1
863702336769847297,I went off birth control and took metformin and folic acid for years before trying to get pregnant.  I think it helped a lot.,1
862705348498653185,"""Metformin helps you get pregnant""",1
