tweet_id,tweet,class
2894173859,"on the midol box, it says to ask a doctor before use if you're pregnant. if you're pregnant, why would you need midol?",1
2038950618,Here's a tip: don't watch old episodes of House featuring pregnant women in distress when you're hormonal and hopped up on Midol. Trust  me.,1
2894173859,"on the midol box, it says to ask a doctor before use if you're pregnant. if you're pregnant, why would you need midol?",1
2038950618,Here's a tip: don't watch old episodes of House featuring pregnant women in distress when you're hormonal and hopped up on Midol. Trust  me.,1
14740345426,TeresaTopNotch thank god I have a penis. I don't go thru that or get pregnant. Better grab that midol.,1
14605163457,Zalischa ask Lucas to go to the drug store. Midol will helps you. You're not pregnant right?,1
14583484338,RT RealRite_Pebbz igets_money 3 packs of midol...sum hot tea and a whooleeee bunch of chocolatee!!! :D LOL--u sound like u pregnant..lol,1
11065844015,SometimesiWonder if there will ever be a time or world where boys gets periods and get pregnant... Until then more midol for me!,1
10960806575,"I possibly am pregnant but like at implantation stage, so, can I take midol or something for these cramps?  http://bit.ly/aVsrSf",1
10397181126,My head was hurting so bad I actually took two Midol...only thing I had in the car thanks kittiebeth.  Am I going to get pregnant?,1
9788889778,RT EnergizerHunnii Shoutout to all da dudes walkin around wit more estrogen than a pregnant bitch...pop a midol and grow some balls..thanx!,1
9788848287,RT EnergizerHunnii: Shoutout to all da dudes walkin around wit more estrogen than a pregnant bitch..pop a midol and grow some balls..thanx!,1
9788718370,Shoutout to all da dudes walkin around wit more estrogen than a pregnant bitch...pop a midol and grow some balls...thanx!,1
9374340996,Ced said if he take some Midol he gone get pregnant ... lmfaoo .,1
8126611716,"i love that menstrual midol says :
do not take if pregnant

lol",1
7920909712,"In the absence of Midol, I would try to stay pregnant as much as possible.",1
7696043615,"I love the midol label. ""Do not take if pregnant or if you have prostate problems"" Fail~",1
7580794622,"this fatique is killing my mojo, i feel like a pregnant women always mad tired. ill cramps, bout to take a midol :/",1
7152428813,"""if pregnant..."" if your freaking preggers why are you trying to take midol?",1
6696826229,Question: Why would you take Midol if you're pregnant? Isn't for situations where you are quite obviously NOT pregnant?,1
4715422039,"cwm76 Pelvic discomfort, dizzy spells, nausea and hot flashes, huh? You're either pregnant or menopausal. Take Midol with a vodka chaser.",1
14740345426,TeresaTopNotch thank god I have a penis. I don't go thru that or get pregnant. Better grab that midol.,1
14605163457,Zalischa ask Lucas to go to the drug store. Midol will helps you. You're not pregnant right?,1
14583484338,RT RealRite_Pebbz igets_money 3 packs of midol...sum hot tea and a whooleeee bunch of chocolatee!!! :D LOL--u sound like u pregnant..lol,1
11065844015,SometimesiWonder if there will ever be a time or world where boys gets periods and get pregnant... Until then more midol for me!,1
