tweet_id,tweet,class
17661513988833280,fuck it. i'm taking the oxycodone. it feels like my mouth is being stepped on by a elephant pregnant with triplets. sleepy time...,1
2438106317852672,New Post: oxycodone and pregnant? http://bit.ly/cu5U8C,1
2438105290252289,New Post: oxycodone and pregnant? http://exboyfriendexgirlfriend.com/advice-for-a-broken-heart/oxycodone-and-pregnant/,1
17661513988833280,fuck it. i'm taking the oxycodone. it feels like my mouth is being stepped on by a elephant pregnant with triplets. sleepy time...,1
2438106317852672,New Post: oxycodone and pregnant? http://bit.ly/cu5U8C,1
2438105290252289,New Post: oxycodone and pregnant? http://exboyfriendexgirlfriend.com/advice-for-a-broken-heart/oxycodone-and-pregnant/,1
13751015168,WhyIsDaddyCryin I have lots you can have lol when I found out I was pregnant oxycodone was the worst withdraw ever!! Talk about ill,1
13025982312,EhKho nope love none I use to get migraines so severe they gave me oxycodone the whole time I was pregnant with Z.,1
12966914289,"Big Brother 9's Matthew McDonald, already accused of beating pregnant gf, now charged w/Adam Jasinski in Oxycodone Ring http://bit.ly/ahntXr",1
13751015168,WhyIsDaddyCryin I have lots you can have lol when I found out I was pregnant oxycodone was the worst withdraw ever!! Talk about ill,1
13025982312,EhKho nope love none I use to get migraines so severe they gave me oxycodone the whole time I was pregnant with Z.,1
12966914289,"Big Brother 9's Matthew McDonald, already accused of beating pregnant gf, now charged w/Adam Jasinski in Oxycodone Ring http://bit.ly/ahntXr",1
953030868485906432,"maddow I'VE BEEN RAPED, I'M PREGNANT, I LOVE YOU! Three very powerful statements. I argue that they even more powerful if not true. I support metoo It is truly astonishing to watch. But that bright of light. is Oxycodone to a narcissist. Just an observation thats all.",1
943074253611642881,Never had migraines until I was pregnant! Those assholes prescribed me oxycodone. Dark rooms were my best friend (definitely hard when I was working retail FT as a single preggo mom) but here we are ten years later! Xoxo,1
933206080024469505,The NBCPhiladelphia mitchreports investigative work provides lens in2 how stigmatized pregnant woman w/opioid addiction R & that a baby can B born w/neonatal abstinence syndrome after exposure 2 drug mom was prescribed 4 pain (e.g. oxycodone). This is  more than heroin.,1
906853831098630145,I am 4 months pregnant and just started taking Methadone for pain after being hooked on oxycodone and oxycontin... http://ow.ly/xZTz50dWW2Y,1
890246541096759296,Remember that time JT got Liberty pregnant & he stole oxycodone from his job for her & the baby then tried to kill his self? https://twitter.com/madblackthot/status/889324557525504000,1
885604357705789440,Cool.. I want absolutely free coverage ( rich assholes can pay ). I want free abortions for all the bitches I get pregnant.. And oxycodone,1
953030868485906432,"maddow I'VE BEEN RAPED, I'M PREGNANT, I LOVE YOU! Three very powerful statements. I argue that they even more powerful if not true. I support metoo It is truly astonishing to watch. But that bright of light. is Oxycodone to a narcissist. Just an observation thats all.",1
943074253611642881,Never had migraines until I was pregnant! Those assholes prescribed me oxycodone. Dark rooms were my best friend (definitely hard when I was working retail FT as a single preggo mom) but here we are ten years later! Xoxo,1
933206080024469505,The NBCPhiladelphia mitchreports investigative work provides lens in2 how stigmatized pregnant woman w/opioid addiction R & that a baby can B born w/neonatal abstinence syndrome after exposure 2 drug mom was prescribed 4 pain (e.g. oxycodone). This is  more than heroin.,1
906853831098630145,I am 4 months pregnant and just started taking Methadone for pain after being hooked on oxycodone and oxycontin... http://ow.ly/xZTz50dWW2Y,1
890246541096759296,Remember that time JT got Liberty pregnant & he stole oxycodone from his job for her & the baby then tried to kill his self? https://twitter.com/madblackthot/status/889324557525504000,1
885604357705789440,Cool.. I want absolutely free coverage ( rich assholes can pay ). I want free abortions for all the bitches I get pregnant.. And oxycodone,1
858126706686689280,Anesthesia... I'm 21 weeks pregnant and it's my right kidney that had been hurting... I'm on oxycodone and muscle relaxer too,1
848649248853729281,FakeDrugFacts Oxycodone is not addictive. Thalydimide is safe for pregnant women. SSRIs are effective on depression.,1
790084129932972032,Robyn: Sorry to everyone but she's all I want. Alyssa: Addicted to oxycodone while 13 weeks pregnant? (21 October https://goo.gl/fb/0B7m9N,1
789234957524664321,Pregnancy :: Oxycodone Effects On Baby?: I'm 36 weeks pregnant . I'm a recovering addict . My husband past aw... http://bit.ly/2ebh0SF,1
858126706686689280,Anesthesia... I'm 21 weeks pregnant and it's my right kidney that had been hurting... I'm on oxycodone and muscle relaxer too,1
848649248853729281,FakeDrugFacts Oxycodone is not addictive. Thalydimide is safe for pregnant women. SSRIs are effective on depression.,1
790084129932972032,Robyn: Sorry to everyone but she's all I want. Alyssa: Addicted to oxycodone while 13 weeks pregnant? (21 October https://goo.gl/fb/0B7m9N,1
789234957524664321,Pregnancy :: Oxycodone Effects On Baby?: I'm 36 weeks pregnant . I'm a recovering addict . My husband past aw... http://bit.ly/2ebh0SF,1
466795701691617280,"FQ
Please post. I'm 34 weeks pregnant I have been taking oxycodone by a doctor and at work someone took all my... http://fb.me/2RKX6hBto",1
458972331747315712,PublicHealth News: FDA panel rejects Morphine-Oxycodone combo drug. Pregnant smokers often not counseled to quit. http://ow.ly/w4BVS,1
428355759462944768,"Today: Pregnant woman addicted to Oxycodone. Cannot stop med or baby might die. To ween off once born, give baby liquid morphine. fuckedup",1
417865278899232769,OralPhenomenal StilettoJill and was she pregnant at time of interview? At time of OxyCodone smoking episode?,1
466795701691617280,"FQ
Please post. I'm 34 weeks pregnant I have been taking oxycodone by a doctor and at work someone took all my... http://fb.me/2RKX6hBto",1
458972331747315712,PublicHealth News: FDA panel rejects Morphine-Oxycodone combo drug. Pregnant smokers often not counseled to quit. http://ow.ly/w4BVS,1
428355759462944768,"Today: Pregnant woman addicted to Oxycodone. Cannot stop med or baby might die. To ween off once born, give baby liquid morphine. fuckedup",1
417865278899232769,OralPhenomenal StilettoJill and was she pregnant at time of interview? At time of OxyCodone smoking episode?,1
403322568339226624,That oxycodone got this man sleeping like he's pregnant,1
371487131161460736,"My oxycodone'd sister just went on a rant about the ""Pregnant lady who tells her she dresses inappropriate at school""",1
354307979547377664,"Opiate dependence is a problem for the unborn baby. Pregnant women need to consult early to get off oxycodone, etc... http://online.wsj.com/article/SB10001424127887324251504578578081123343810.html",1
344220635335106560,A pregnant lady came in who has had oxycodone and two regiments of hydrocodone and was picking up more meds. I could barely hold my tongue,1
318827847697444864,So Shain passed away. Salwa in jail 4 heroin & oxycodone. Cara is pregnant. Will season 2 of Buckwild be  canceled?,1
318817720881790976,"Shain died last night, Salwa is in jail for heroin and oxycodone again, and Cara is pregnant. I doubt theres gonna be a season 2 of Buckwild",1
318816411457839106,"Shain died last night, Salwa is in jail for heroin and oxycodone again, and Cara is pregnant. I doubt theres gonna be a season 2 of Buckwild",1
403322568339226624,That oxycodone got this man sleeping like he's pregnant,1
371487131161460736,"My oxycodone'd sister just went on a rant about the ""Pregnant lady who tells her she dresses inappropriate at school""",1
354307979547377664,"Opiate dependence is a problem for the unborn baby. Pregnant women need to consult early to get off oxycodone, etc... http://online.wsj.com/article/SB10001424127887324251504578578081123343810.html",1
344220635335106560,A pregnant lady came in who has had oxycodone and two regiments of hydrocodone and was picking up more meds. I could barely hold my tongue,1
318827847697444864,So Shain passed away. Salwa in jail 4 heroin & oxycodone. Cara is pregnant. Will season 2 of Buckwild be  canceled?,1
318817720881790976,"Shain died last night, Salwa is in jail for heroin and oxycodone again, and Cara is pregnant. I doubt theres gonna be a season 2 of Buckwild",1
318816411457839106,"Shain died last night, Salwa is in jail for heroin and oxycodone again, and Cara is pregnant. I doubt theres gonna be a season 2 of Buckwild",1
559764234612252673,"Around a third of pregnant women take a prescription painkiller, such as codeine, oxycodone or morphine, but few... http://fb.me/6r5YAJdEd",1
536099756003442691,Oxycodone Off Business: Oxycodone Slow Release  Is Oxycodone Safe While Pregnant . Oxycodone Kidney Pain Cor P... http://bit.ly/1xgiKJd,1
527247653391040512,"I think I just won 1955 Man of the Year award: my wife is barefoot and pregnant, in the kitchen, preparing my after-dinner oxycodone.",1
513091967706988544,This bitch crazy she jus told me she taking percocet and oxycodone and she pregnant smh,1
559764234612252673,"Around a third of pregnant women take a prescription painkiller, such as codeine, oxycodone or morphine, but few... http://fb.me/6r5YAJdEd",1
536099756003442691,Oxycodone Off Business: Oxycodone Slow Release  Is Oxycodone Safe While Pregnant . Oxycodone Kidney Pain Cor P... http://bit.ly/1xgiKJd,1
527247653391040512,"I think I just won 1955 Man of the Year award: my wife is barefoot and pregnant, in the kitchen, preparing my after-dinner oxycodone.",1
513091967706988544,This bitch crazy she jus told me she taking percocet and oxycodone and she pregnant smh,1
314566592182767616,"Question: If you are a male taking oxycodone and you and your wife are trying to get pregnant, can the oxycodo... http://bit.ly/ZykHCp",1
290002046009085952,Glad my baby came out healthy cause Randa gave me oxycodone while I was pregnant.. I had to quit fooling with her the rest of my nine months,1
261995960413077504,Oxycodone During Pregnancy & Breastfeeding - Summary The use of Oxycodone in pregnant women has not been studied... http://bit.ly/OaQyCi,1
245817789753982976,"Latest Topics: sompraz, vermox, sifasi 5000 injection, metoprolol, is it safe for pregnant, pantocid, ornidazole, hypothyroidism, oxycodone",1
224649401124134913,oxycodone while 38 weeks pregnant http://bit.ly/Owj2V6,1
223984757699133441,how fast can you get an oxycodone out of your system when pregnant http://bit.ly/NLbWj9,1
223693811782656000,What do you do if you get pregnant on oxycodone http://bit.ly/NFvCou,1
223490975257993216,oxycodone while 38 weeks pregnant http://bit.ly/NC1B92,1
223116928854663168,Beezee21 Oooh! I was on Oxycodone for my gall bladder when I was pregnant,1
314566592182767616,"Question: If you are a male taking oxycodone and you and your wife are trying to get pregnant, can the oxycodo... http://bit.ly/ZykHCp",1
290002046009085952,Glad my baby came out healthy cause Randa gave me oxycodone while I was pregnant.. I had to quit fooling with her the rest of my nine months,1
261995960413077504,Oxycodone During Pregnancy & Breastfeeding - Summary The use of Oxycodone in pregnant women has not been studied... http://bit.ly/OaQyCi,1
245817789753982976,"Latest Topics: sompraz, vermox, sifasi 5000 injection, metoprolol, is it safe for pregnant, pantocid, ornidazole, hypothyroidism, oxycodone",1
224649401124134913,oxycodone while 38 weeks pregnant http://bit.ly/Owj2V6,1
223984757699133441,how fast can you get an oxycodone out of your system when pregnant http://bit.ly/NLbWj9,1
223693811782656000,What do you do if you get pregnant on oxycodone http://bit.ly/NFvCou,1
223490975257993216,oxycodone while 38 weeks pregnant http://bit.ly/NC1B92,1
223116928854663168,Beezee21 Oooh! I was on Oxycodone for my gall bladder when I was pregnant,1
709784823724834816,Okay my dentist  gave me a prescription of some oxycodone i can't take them because I'm pregnant even though my... http://fb.me/26EPcaAbW,1
687481187288379392,"Patient: what are these pills?
Me: oxycodone
Patient: this won't get me pregnant will it?

Patient is a 57 year old male.",1
709784823724834816,Okay my dentist  gave me a prescription of some oxycodone i can't take them because I'm pregnant even though my... http://fb.me/26EPcaAbW,1
687481187288379392,"Patient: what are these pills?
Me: oxycodone
Patient: this won't get me pregnant will it?

Patient is a 57 year old male.",1
2445803471,"tlstewart Oxycodone and spleen, hope you're okay.  Sucked into TLC series ""I didn't know I was pregnant. "" I think I know signs.",1
2445803471,"tlstewart Oxycodone and spleen, hope you're okay.  Sucked into TLC series ""I didn't know I was pregnant. "" I think I know signs.",1
638368974707798016,"POLICE: Pregnant mom drove drunk, had 276 oxycodone pills with 2 kids in the car. Story from Wallkill  noon.pic.twitter.com/J7ISBJlKve",1
594199844660609024,"112,000 pregnant women in TN, almost 28% used at least one Rx opioid, such as hydrocodone or oxycodone. http://ow.ly/3xOwh6",1
593847288956637184,"connolly asks if wolfert ever took oxycodone
wolfert said when she had kidney stones, when pregnant for mason",1
638368974707798016,"POLICE: Pregnant mom drove drunk, had 276 oxycodone pills with 2 kids in the car. Story from Wallkill  noon.pic.twitter.com/J7ISBJlKve",1
594199844660609024,"112,000 pregnant women in TN, almost 28% used at least one Rx opioid, such as hydrocodone or oxycodone. http://ow.ly/3xOwh6",1
593847288956637184,"connolly asks if wolfert ever took oxycodone
wolfert said when she had kidney stones, when pregnant for mason",1
1143632371163508736,"You would be surprised at what pregnant women are exposing their unborn infants to: heroine,methadone,percocet,oxycodone, bupenorphine, cocaine, crack, pcp, lsd, pot, alcohol, barbiturates, tobacco .... You name the substance & I see babies in the NICU exposed to it.",1
1142214024081186816,"4
Tobacco - gave up at 19 when I found out I was pregnant.
Alcohol - gave up same as above.
Caffeine - I have 1 iced latte a day. 
Oxycodone - daily. prescribed for pain. 
I'm pretty boring. But I'm happy.",1
1140373816813617152,"I'm pregnant but Gabe is not the father! I aborted it!
I went clubbing at Allegiance Lounge.
I went clubbing at Ella's Lounge.
I tried oxycodone.
I went clubbing at Allegiance Lounge.
I tried valium.
I went clubbing at Farmland.
I am addicted to morphine.",1
1114195959200788480,"In local heroin news: ""Li unlawfully prescribed oxycodone to a pregnant woman [who] gave birth to an opioid-dependent baby who spent 10 days in intensive care withdrawing from the oxycodone prescribed to his mother."" https://www.poconorecord.com/news/20190404/milford-pill-mill-doctor-sentenced-to-27-years",1
1108715147760148481,"""Florida Man Throws Cheeseburger at Pregnant Woman Gets Arrested""

This is what happens when you mix retirees, Oxycodone, and mosquitos. https://twitter.com/g_pratimaaa/status/1108036166731726850",1
1107259789413937154,"This multidisciplinary approach to managing one pregnant patient's case of severe Radiculopathy involved more than basic pain relievers. Read more about the use of Oxycodone, physical therapy, psychotherapy, and intervention pain management in this case:
https://hubs.ly/H0g-d3s0",1
1100258655386193921,"This doctor prescribed 1,000 oxycodone pills to a pregnant woman and he wonders why hes in prison.",1
1070435188465905664,"Lmaoooo these nigga getting yall pregnant thinking he gone get percs  , NO BABY OXYCODONE is what you gone get & you gotta take 2 ibuprofen with the Oxycodone to make a PERC & otoh dont think you fenna get 20 or 30 they only give you 12 ",1
1060529383381753856,"She drank kratom tea while pregnant. Then her newborn went into withdrawal.: The woman had used oxycodone for almost a decade but told her doctors she had been sober for two years. She never touched narcotics during her pregnancy, she said, and had http://j.obs.link/Qqlppkpic.twitter.com/Dtt6j1vxDx",1
1060441896210890753,"She drank kratom tea while pregnant. Then her newborn went into withdrawal The woman had used oxycodone for almost a decade but told her doctors she had been sober for two years. She never touched narcotics during her pregnancy, she said, and had complet https://ift.tt/rhOk0K",1
1143632371163508736,"You would be surprised at what pregnant women are exposing their unborn infants to: heroine,methadone,percocet,oxycodone, bupenorphine, cocaine, crack, pcp, lsd, pot, alcohol, barbiturates, tobacco .... You name the substance & I see babies in the NICU exposed to it.",1
1142214024081186816,"4
Tobacco - gave up at 19 when I found out I was pregnant.
Alcohol - gave up same as above.
Caffeine - I have 1 iced latte a day. 
Oxycodone - daily. prescribed for pain. 
I'm pretty boring. But I'm happy.",1
1140373816813617152,"I'm pregnant but Gabe is not the father! I aborted it!
I went clubbing at Allegiance Lounge.
I went clubbing at Ella's Lounge.
I tried oxycodone.
I went clubbing at Allegiance Lounge.
I tried valium.
I went clubbing at Farmland.
I am addicted to morphine.",1
1114195959200788480,"In local heroin news: ""Li unlawfully prescribed oxycodone to a pregnant woman [who] gave birth to an opioid-dependent baby who spent 10 days in intensive care withdrawing from the oxycodone prescribed to his mother."" https://www.poconorecord.com/news/20190404/milford-pill-mill-doctor-sentenced-to-27-years",1
1108715147760148481,"""Florida Man Throws Cheeseburger at Pregnant Woman Gets Arrested""

This is what happens when you mix retirees, Oxycodone, and mosquitos. https://twitter.com/g_pratimaaa/status/1108036166731726850",1
1107259789413937154,"This multidisciplinary approach to managing one pregnant patient's case of severe Radiculopathy involved more than basic pain relievers. Read more about the use of Oxycodone, physical therapy, psychotherapy, and intervention pain management in this case:
https://hubs.ly/H0g-d3s0",1
