tweet_id,tweet,class
35514254002110464,we've been at the peds clinic or er everyday this week w/ colby. asthma & pneumonia are just a gross combo & this pregnant mama is TIRED.,1
30657908312121345,"AStaRRy_Nite there is not pregnant ppl literally, i am in my peds/ob section of nursing. learning how to take care of preggos lol",1
14530532180230144,Adopt? RT karabeth55: I have decided after studying ob peds with brianne that I will never get pregnant I will die if I do,1
10744965768417280,Back to school to take my Peds and OB tests... I hate pregnant women and kid diseases boogle my mind... already plannin not to do well lol,1
9053550550188033,The podcast of my radio taping on flu vaccination of pregnant women!  http://bit.ly/eIHbNA,1
5232694376009730,reporter asking around for docs to speak against flu vaccine for pregnant women...?  wtf?  Saw one last yr who died from H1N1.  VACCINATE!,1
3894844967624704,"Quote of the day by a pregnant nurse on Peds 1 when talking about the joys of being 39wk pregnant: ""Girl, I have TMJ. I don't think so."" fb",1
3189525304049666,"RT WhatNursesDo: Flu shots safe for pregnant women, study finds  http://yhoo.it/bmPJ7S",1
2443398673858560,Interviewed for 570WSYR Healthlink on Air on influenza vaccine for pregnant women to protect their babies - podcast to follow...,1
29495474669,"Guys please dont just get a girl pregnant things wont go right u dont dump em too many peds around kids will b in danger,so dont dump women",1
22622048139,"American Acad. of Peds recommends trivalent seasonal flu shots for all kids 6 mo+, family/caregivers of children under 5 and pregnant women",1
35514254002110464,we've been at the peds clinic or er everyday this week w/ colby. asthma & pneumonia are just a gross combo & this pregnant mama is TIRED.,1
30657908312121345,"AStaRRy_Nite there is not pregnant ppl literally, i am in my peds/ob section of nursing. learning how to take care of preggos lol",1
14530532180230144,Adopt? RT karabeth55: I have decided after studying ob peds with brianne that I will never get pregnant I will die if I do,1
10744965768417280,Back to school to take my Peds and OB tests... I hate pregnant women and kid diseases boogle my mind... already plannin not to do well lol,1
9053550550188033,The podcast of my radio taping on flu vaccination of pregnant women!  http://bit.ly/eIHbNA,1
5232694376009730,reporter asking around for docs to speak against flu vaccine for pregnant women...?  wtf?  Saw one last yr who died from H1N1.  VACCINATE!,1
3894844967624704,"Quote of the day by a pregnant nurse on Peds 1 when talking about the joys of being 39wk pregnant: ""Girl, I have TMJ. I don't think so."" fb",1
3189525304049666,"RT WhatNursesDo: Flu shots safe for pregnant women, study finds  http://yhoo.it/bmPJ7S",1
2443398673858560,Interviewed for 570WSYR Healthlink on Air on influenza vaccine for pregnant women to protect their babies - podcast to follow...,1
29495474669,"Guys please dont just get a girl pregnant things wont go right u dont dump em too many peds around kids will b in danger,so dont dump women",1
22622048139,"American Acad. of Peds recommends trivalent seasonal flu shots for all kids 6 mo+, family/caregivers of children under 5 and pregnant women",1
3057884009,TeenAngster those are my favorite packaged cookie.  When pregnant and working nights on a peds floor they were my break food w/ skim milk,1
1787315548,Tell me y u would hit on a very pregnant lady!!! Lmao.,1
1737088263,"Aren't are all these radio and online guys cute with their ""Manny wants to be pregnant"" jokes? PEDs",1
1532866441,"DrDerekShepherd ... My peds doc cooper is living with his best friend Violet who is pregnant, and she doesn't know hu the baby daddy is =/",1
1171476716,"I wonder how fucked up you have to be to check out a pregnant girl. I guess it's not as bad as peds, but close!",1
1112488295,lilbeansboutiq I'm glad I only vaguely remember it.  Working peds while pregnant = scary.  Every other patient has a funky rash...,1
3057884009,TeenAngster those are my favorite packaged cookie.  When pregnant and working nights on a peds floor they were my break food w/ skim milk,1
1787315548,Tell me y u would hit on a very pregnant lady!!! Lmao.,1
1737088263,"Aren't are all these radio and online guys cute with their ""Manny wants to be pregnant"" jokes? PEDs",1
1532866441,"DrDerekShepherd ... My peds doc cooper is living with his best friend Violet who is pregnant, and she doesn't know hu the baby daddy is =/",1
1171476716,"I wonder how fucked up you have to be to check out a pregnant girl. I guess it's not as bad as peds, but close!",1
1112488295,lilbeansboutiq I'm glad I only vaguely remember it.  Working peds while pregnant = scary.  Every other patient has a funky rash...,1
15189813606,"JKsNaughtyNurse...ohhh...nice. Im gonna do OB...Love pregnant women and babies..lol..or Peds, cuz I LOVE kids too!",1
12693377876,"Effects of iron supplementation in nonanemic pregnant women, infants, and young children on the mental perfor... http://bit.ly/dbE9zw peds",1
11969844843,RT grimalkinrn RT IamShaneMorris: Oh fuck she's pregnant. There's no App for that.~Lmao!!,1
11844858561,Peds (and pregnant women) are reasons I could be a family doc but never an internist. RT erinrbreedlove  Why peds?,1
10937157591,"RT plasticmadness All pregnant women should get the H1N1 vaccine, independently of gestational age. h1n1 vaccination brazil campaign",1
10882778644,RT Student_Doctor1 HealthTip A pregnant woman's dental health can affect her unborn child.<>Yep ive seen it happen...not a good lopk,1
10796174817,"RT BKLYN_80sbaby blackcusswords.  ""I'm pregnant"".<>Lmaoooo!!!",1
10520776678,"Overheard at the Peds office: ""I didn't know she was pregnant."" ""I didn't either, but I don't look at her since she irritates me.""",1
10286687641,lxtacy  lol and we need to get your pregnant so Arizona can do the PEDs thing :D xx lol our litttle plan will come together !! =],1
9924305678,more dreams of surgery/peds/pregnant ladies. ehhhhh! That's it.. there is going to be a ban on studying OB up to 2 hours before bed.,1
9212979573,Nothing like a two-hour wait at Peds Urgent Care to drag on the evening...and make one pregnant mom paranoid about getting sick too.,1
9151534597,"RT paul_steele Pregnant woman, husband kicked off plane for asking for water http://bit.ly/bBpqFK via huffingtonpost /via BuzzEdition",1
8863982394,"fourwordsaftersex 
I think I'm pregnant! 
fail",1
8262277615,"RT taylorhayden7 ""Remember, if you take a pregnancy test, you ruin your chances of being on TLC's I Didn't Know I Was Pregnant.""~Lmao!!!",1
7216280468,RT DunkOnYoGrandma if a celeb is pregnant 9TimesOutOf10 lil wayne's responsible,1
