tweet_id,tweet,class
12719022070,Im jus statin da facts RT IDoWhatIWant24: LynaShae Fat F'n Tweet lmao but ur pregnant so its ok :),1
12401701618,"A pregnant women who smokes increases the risk that her baby will be born cross eyed says the Statens Serum Institute in Copenhagen, Denmark",1
9197469225,This Porn star on the news statin how she was pregnant 2 times while his wife was...woopiefuckindo ..U didnt have them so who cares??,1
4837800717,"coolkid18 it started with rimidi statin dat a 6th grader is pregnant. All I was sayin was n da 6th, da most we were doing was fingering",1
12719022070,Im jus statin da facts RT IDoWhatIWant24: LynaShae Fat F'n Tweet lmao but ur pregnant so its ok :),1
12401701618,"A pregnant women who smokes increases the risk that her baby will be born cross eyed says the Statens Serum Institute in Copenhagen, Denmark",1
9197469225,This Porn star on the news statin how she was pregnant 2 times while his wife was...woopiefuckindo ..U didnt have them so who cares??,1
4837800717,"coolkid18 it started with rimidi statin dat a 6th grader is pregnant. All I was sayin was n da 6th, da most we were doing was fingering",1
863176838239186946,He took me off the 'statin because of birth defect risks IF I got pregnant (not happening). 1 pill versus 4 a day.   :E,1
863176838239186946,He took me off the 'statin because of birth defect risks IF I got pregnant (not happening). 1 pill versus 4 a day.   :E,1
1054452022,Pregnant? Say no to statins! http://tinyurl.com/5jxv8g,1
1054392631,Pregnant? Say no to statins! http://tinyurl.com/5nkohm,1
1050754746,Study: Pregnant Women Should Avoid Statins http://tinyurl.com/6pvy79,1
1050735233,Study: Pregnant Women Should Avoid Statins http://tinyurl.com/6pvy79,1
1050077238,Study: Pregnant women should avoid statins http://www.timesoftheinternet.com/27586.html,1
1049520371,Statin Warning For Pregnant Women http://jijr.com/xSt,1
1048605496,"news : Pregnant women should avoid statins, warn experts - http://n.thaindian.com/129134",1
1047857692,Statin warning for pregnant women http://tinyurl.com/6mstwq,1
1047493373,"foodconsumer.org : Pregnant women should avoid using statins: 
Women during pregnancy should a.. http://tinyurl.com/5lyqag",1
1047226421,Statin warning for pregnant women http://tinyurl.com/67xksz,1
1004224969,"Statins may help with PCOS, surgery can boost success of IVF, and eating fat while pregnant makes kids want it: http://tinyurl.com/54ttgw",1
852139228,AllergyNotes  What happens if said children get pregnant taking the statins?,1
1054452022,Pregnant? Say no to statins! http://tinyurl.com/5jxv8g,1
1054392631,Pregnant? Say no to statins! http://tinyurl.com/5nkohm,1
1050754746,Study: Pregnant Women Should Avoid Statins http://tinyurl.com/6pvy79,1
1050735233,Study: Pregnant Women Should Avoid Statins http://tinyurl.com/6pvy79,1
1050077238,Study: Pregnant women should avoid statins http://www.timesoftheinternet.com/27586.html,1
1049520371,Statin Warning For Pregnant Women http://jijr.com/xSt,1
1048605496,"news : Pregnant women should avoid statins, warn experts - http://n.thaindian.com/129134",1
1047857692,Statin warning for pregnant women http://tinyurl.com/6mstwq,1
1047493373,"foodconsumer.org : Pregnant women should avoid using statins: 
Women during pregnancy should a.. http://tinyurl.com/5lyqag",1
1047226421,Statin warning for pregnant women http://tinyurl.com/67xksz,1
1004224969,"Statins may help with PCOS, surgery can boost success of IVF, and eating fat while pregnant makes kids want it: http://tinyurl.com/54ttgw",1
852139228,AllergyNotes  What happens if said children get pregnant taking the statins?,1
588356687343579136,"Ped http://v.adult lipid GL may result in statins for over 400,000more USteens... When statins for pregnant? http://ja.ma/1Cm8diF",1
586917342392799232,Statin in woman pregnant: actual risk of a congenital malformation as a consequence of statin use appears to be small.,1
583314703822241792,S/O to Abegailmaee for the legit lookin letter basically statin that I'm pregnant. I'm dying tonight. Bye guys pic.twitter.com/gWPC0tdvxC,1
578929726997270528,"Statins might be safe in pregnancy. Good news, as the treatment of pregnant women is a great challanege for us. http://www.bmj.com/content/350/bmj.h1035",1
558460171291463680,I pray that every answer on my exam is a statin because God knows I wouldn't recommend anything else unless my patient is pregnant ,1
553423238009593856,Remember u said if i got a girl pregnant u would get madd .. but u was wit him . GodMywitness just statin' them facts,1
534091560573358080,"MyANC_ pls invesitgate ARV stockouts, Iron/ Folate for pregnant ladies, basic antibiotics, statins, analgesia with no alt offered in KZN",1
526337669052514305,"Statins may cause fetal harm when administered to a pregnant woman.

Ugh.",1
519520724957290497,"_bossedUp1: I'm not here to judge but the whole city pregnant  & nobody has commitmentyou not judgin, just statin facts ",1
588356687343579136,"Ped http://v.adult lipid GL may result in statins for over 400,000more USteens... When statins for pregnant? http://ja.ma/1Cm8diF",1
586917342392799232,Statin in woman pregnant: actual risk of a congenital malformation as a consequence of statin use appears to be small.,1
583314703822241792,S/O to Abegailmaee for the legit lookin letter basically statin that I'm pregnant. I'm dying tonight. Bye guys pic.twitter.com/gWPC0tdvxC,1
578929726997270528,"Statins might be safe in pregnancy. Good news, as the treatment of pregnant women is a great challanege for us. http://www.bmj.com/content/350/bmj.h1035",1
558460171291463680,I pray that every answer on my exam is a statin because God knows I wouldn't recommend anything else unless my patient is pregnant ,1
553423238009593856,Remember u said if i got a girl pregnant u would get madd .. but u was wit him . GodMywitness just statin' them facts,1
534091560573358080,"MyANC_ pls invesitgate ARV stockouts, Iron/ Folate for pregnant ladies, basic antibiotics, statins, analgesia with no alt offered in KZN",1
526337669052514305,"Statins may cause fetal harm when administered to a pregnant woman.

Ugh.",1
519520724957290497,"_bossedUp1: I'm not here to judge but the whole city pregnant  & nobody has commitmentyou not judgin, just statin facts ",1
394579396490571776,Why Cant We Just Get A Simple Letter Every Month Statin We Nt Pregnant Instead Of A Fuckn Period and Cramps And Shit !,1
391822223352152065,"elouise_b ProfTimNoakes Yes, Category X--absolute contraindication for statins in pregnancy.  In other words, never take when pregnant.",1
388420991245770753,"edgarwright Or if pregnant, may become pregnant, or are currently taking statins for chest pains.",1
381834316365713408,"Don't give statins or fibrates for a pregnant women . 

For pregnant women with hyperlipemia give : Bile acids resins.",1
369657064080936960,Rahul_bill Heighway_ she might come back home statin fitness issues n tests reprts will later reveal tat she is pregnant with Root's child,1
337232536054951937,"gal:m ugly.
guy:m pregnant.
gal:what?
guy:I thot we wer statin tinz dat wer impossible",1
331779670896963585,Migraine meds while pregnant lowers baby's IQ; Statins may reduce prostate cancer deaths. http://conta.cc/10lkaaa,1
323575761825062912,"Girl:""im ugly"" ( ._.),Guy:""im pregnant"", Girl:""what?"", Guy:""sorry,i thought we were statin things that are impossible"" *panties get wet* ;-P",1
394579396490571776,Why Cant We Just Get A Simple Letter Every Month Statin We Nt Pregnant Instead Of A Fuckn Period and Cramps And Shit !,1
391822223352152065,"elouise_b ProfTimNoakes Yes, Category X--absolute contraindication for statins in pregnancy.  In other words, never take when pregnant.",1
388420991245770753,"edgarwright Or if pregnant, may become pregnant, or are currently taking statins for chest pains.",1
381834316365713408,"Don't give statins or fibrates for a pregnant women . 

For pregnant women with hyperlipemia give : Bile acids resins.",1
